"ple0098_v5","year","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1999","no migration background","868","0.102104249253981","0.0960652935831159","0.108143204924847"
"Yes","1999","direct migration background","53","0.0470057604981143","0.0380363607886153","0.0559751602076132"
"Yes","1999","indirect migration background","26","","",""
"No","1999","no migration background","8789","0.897895750746018","0.891856795075153","0.903934706416884"
"No","1999","direct migration background","2086","0.952994239501886","0.944024839792387","0.961963639211385"
"No","1999","indirect migration background","549","0.930311872756885","0.909500158842729","0.951123586671041"
"Yes","2000","no migration background","1725","0.105217099453179","0.100674455611413","0.109759743294946"
"Yes","2000","direct migration background","111","0.0430409233680477","0.0359827013179508","0.0500991454181447"
"Yes","2000","indirect migration background","44","0.0753408429115655","0.056818033227004","0.0938636525961269"
"No","2000","no migration background","15801","0.894782900546821","0.890240256705054","0.899325544388587"
"No","2000","direct migration background","3065","0.956959076631952","0.949900854581855","0.964017298682049"
"No","2000","indirect migration background","736","0.924659157088435","0.906136347403873","0.943181966772996"
"Yes","2001","no migration background","1598","0.107293458347185","0.102498910408188","0.112088006286181"
"Yes","2001","direct migration background","77","0.0376273747741071","0.0305549035908411","0.0446998459573731"
"Yes","2001","indirect migration background","52","0.1037976315113","0.0816270210662414","0.125968241956358"
"No","2001","no migration background","14408","0.892706541652815","0.887911993713819","0.897501089591812"
"No","2001","direct migration background","2704","0.962372625225893","0.955300154042627","0.969445096409159"
"No","2001","indirect migration background","675","0.8962023684887","0.874031758043642","0.918372978933759"
"Yes","2002","no migration background","2039","0.115699534376148","0.110793310884539","0.120605757867757"
"Yes","2002","direct migration background","105","0.0435544337003937","0.0357584849349808","0.0513503824658065"
"Yes","2002","indirect migration background","52","0.0716102003309131","0.052763458987537","0.0904569416742893"
"No","2002","no migration background","14289","0.884300465623852","0.879394242132243","0.889206689115461"
"No","2002","direct migration background","2528","0.956445566299606","0.948649617534194","0.964241515065019"
"No","2002","indirect migration background","667","0.928389799669087","0.909543058325711","0.947236541012463"
"Yes","2003","no migration background","1993","0.118816645791065","0.113764415831988","0.123868875750143"
"Yes","2003","direct migration background","93","0.0405969653459837","0.0328202612782272","0.0483736694137403"
"Yes","2003","indirect migration background","60","0.0923742329562565","0.0712535322087149","0.113494933703798"
"No","2003","no migration background","13764","0.881183354208935","0.876131124249857","0.886235584168012"
"No","2003","direct migration background","2381","0.959403034654016","0.95162633058626","0.967179738721773"
"No","2003","indirect migration background","662","0.907625767043744","0.886505066296202","0.928746467791285"
"Yes","2004","no migration background","2084","0.127376500026647","0.122095815309368","0.132657184743926"
"Yes","2004","direct migration background","103","0.0428606918869587","0.0347421980027331","0.0509791857711842"
"Yes","2004","indirect migration background","60","0.09755169047858","0.0761739993045581","0.118929381652602"
"No","2004","no migration background","13228","0.872623499973353","0.867342815256074","0.877904184690632"
"No","2004","direct migration background","2288","0.957139308113041","0.949020814228816","0.965257801997267"
"No","2004","indirect migration background","680","0.90244830952142","0.881070618347398","0.923826000695442"
"Yes","2005","no migration background","2143","0.141022914986772","0.135382757274728","0.146663072698816"
"Yes","2005","direct migration background","114","0.052410634009847","0.0431236365754667","0.0616976314442273"
"Yes","2005","indirect migration background","70","0.100900811743048","0.0794729746514988","0.122328648834598"
"No","2005","no migration background","12485","0.858977085013228","0.853336927301184","0.864617242725272"
"No","2005","direct migration background","2098","0.947589365990153","0.938302368555773","0.956876363424533"
"No","2005","indirect migration background","689","0.899099188256952","0.877671351165402","0.920527025348501"
"Yes","2006","no migration background","2651","0.158867648551428","0.153153234271116","0.164582062831739"
"Yes","2006","direct migration background","139","0.0621939676174923","0.0521454943263963","0.0722424409085884"
"Yes","2006","indirect migration background","86","0.122295872527465","0.0987855467244738","0.145806198330457"
"No","2006","no migration background","13069","0.841132351448572","0.835417937168261","0.846846765728884"
"No","2006","direct migration background","2080","0.937806032382508","0.927757559091412","0.947854505673604"
"No","2006","indirect migration background","660","0.877704127472535","0.854193801669543","0.901214453275526"
"Yes","2007","no migration background","2698","0.17536133330986","0.169217531283399","0.18150513533632"
"Yes","2007","direct migration background","143","0.0696211867265616","0.0584475368543826","0.0807948365987405"
"Yes","2007","indirect migration background","82","0.123321204133981","0.0991355384041114","0.14750686986385"
"No","2007","no migration background","12019","0.82463866669014","0.81849486466368","0.830782468716601"
"No","2007","direct migration background","1850","0.930378813273438","0.919205163401259","0.941552463145617"
"No","2007","indirect migration background","628","0.876678795866019","0.85249313013615","0.900864461595889"
"Yes","2008","no migration background","2936","0.205098447556017","0.198422201517853","0.211774693594181"
"Yes","2008","direct migration background","158","0.100220746941389","0.0863711854405741","0.114070308442204"
"Yes","2008","indirect migration background","104","0.154137472817329","0.127596471684543","0.180678473950115"
"No","2008","no migration background","11115","0.794901552443983","0.788225306405819","0.801577798482147"
"No","2008","direct migration background","1648","0.899779253058611","0.885929691557796","0.913628814559426"
"No","2008","indirect migration background","607","0.845862527182671","0.819321526049885","0.872403528315457"
"Yes","2009","no migration background","","","",""
"Yes","2009","direct migration background","","","",""
"Yes","2009","indirect migration background","","","",""
"No","2009","no migration background","","","",""
"No","2009","direct migration background","","","",""
"No","2009","indirect migration background","","","",""
"Yes","2010","no migration background","3811","0.220943241703122","0.214701306084951","0.227185177321294"
"Yes","2010","direct migration background","251","0.105565424580719","0.0940598596278618","0.117070989533576"
"Yes","2010","indirect migration background","162","0.15955185760013","0.137465580065748","0.181638135134512"
"No","2010","no migration background","13160","0.779056758296878","0.772814822678706","0.785298693915049"
"No","2010","direct migration background","2489","0.894434575419281","0.882929010466423","0.905940140372138"
"No","2010","indirect migration background","894","0.84044814239987","0.818361864865488","0.862534419934252"
"Yes","2011","no migration background","3551","0.231320800349234","0.224600407447346","0.238041193251123"
"Yes","2011","direct migration background","196","0.0982494686857229","0.0848303035415733","0.111668633829873"
"Yes","2011","indirect migration background","118","0.166111676868906","0.139001469762252","0.193221883975561"
"No","2011","no migration background","11573","0.768679199650765","0.761958806748877","0.775399592552654"
"No","2011","direct migration background","1694","0.901750531314277","0.888331366170127","0.915169696458427"
"No","2011","indirect migration background","606","0.833888323131094","0.806778116024439","0.860998530237748"
"Yes","2012","no migration background","4884","0.240449300367682","0.234511839174883","0.246386761560481"
"Yes","2012","direct migration background","275","0.0909158614306024","0.0804561125947606","0.101375610266444"
"Yes","2012","indirect migration background","200","0.195062868103678","0.172357766802059","0.217767969405297"
"No","2012","no migration background","15017","0.759550699632318","0.753613238439519","0.765488160825117"
