"ple0098_v5","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","1999","lower secondary degree","1-pers.-HH","38","0.0472640401715938","0.0324384351735503","0.0620896451696373"
"Yes","1999","lower secondary degree","(Married) couple without C. ","145","0.0797929789796828","0.0678393539687965","0.0917466039905692"
"Yes","1999","lower secondary degree","Single parent ","11","","",""
"Yes","1999","lower secondary degree","Couple + C. LE 16 ","53","0.0750323038323774","0.0574964883997723","0.0925681192649825"
"Yes","1999","lower secondary degree","Couple + C. GT 16 ","36","0.0395559261419825","0.0260746148284984","0.0530372374554667"
"Yes","1999","lower secondary degree","Couple + C. LE and GT 16","14","","",""
"Yes","1999","secondary school degree","1-pers.-HH","33","0.104550917653053","0.0734580345952064","0.135643800710901"
"Yes","1999","secondary school degree","(Married) couple without C. ","113","0.172664019136569","0.1472554325414","0.198072605731738"
"Yes","1999","secondary school degree","Single parent ","22","","",""
"Yes","1999","secondary school degree","Couple + C. LE 16 ","80","0.0904859227632216","0.0729492678428171","0.108022577683626"
"Yes","1999","secondary school degree","Couple + C. GT 16 ","50","0.101517030044897","0.0776673744631334","0.125366685626661"
"Yes","1999","secondary school degree","Couple + C. LE and GT 16","27","","",""
"Yes","1999","college entrance qualification","1-pers.-HH","43","0.238045959714183","0.184052154428614","0.292039764999752"
"Yes","1999","college entrance qualification","(Married) couple without C. ","74","0.211132967328765","0.174585249475485","0.247680685182045"
"Yes","1999","college entrance qualification","Single parent ","11","","",""
"Yes","1999","college entrance qualification","Couple + C. LE 16 ","57","0.14616076579443","0.112375533900216","0.179945997688645"
"Yes","1999","college entrance qualification","Couple + C. GT 16 ","30","0.0916242002553039","0.0591405629307933","0.124107837579815"
"Yes","1999","college entrance qualification","Couple + C. LE and GT 16","10","","",""
"Yes","1999","Other degree","1-pers.-HH","","","",""
"Yes","1999","Other degree","(Married) couple without C. ","5","","",""
"Yes","1999","Other degree","Single parent ","2","","",""
"Yes","1999","Other degree","Couple + C. LE 16 ","5","","",""
"Yes","1999","Other degree","Couple + C. GT 16 ","2","","",""
"Yes","1999","Other degree","Couple + C. LE and GT 16","","","",""
"Yes","1999","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","1999","no degree/no degree yet","(Married) couple without C. ","2","","",""
"Yes","1999","no degree/no degree yet","Single parent ","3","","",""
"Yes","1999","no degree/no degree yet","Couple + C. LE 16 ","3","","",""
"Yes","1999","no degree/no degree yet","Couple + C. GT 16 ","8","","",""
"Yes","1999","no degree/no degree yet","Couple + C. LE and GT 16","11","","",""
"No","1999","lower secondary degree","1-pers.-HH","749","0.952735959828406","0.937910354830363","0.96756156482645"
"No","1999","lower secondary degree","(Married) couple without C. ","1829","0.920207021020317","0.908253396009431","0.932160646031204"
"No","1999","lower secondary degree","Single parent ","252","0.938983553191386","0.910055269600957","0.967911836781815"
"No","1999","lower secondary degree","Couple + C. LE 16 ","814","0.924967696167623","0.907431880735017","0.942503511600228"
"No","1999","lower secondary degree","Couple + C. GT 16 ","767","0.960444073858017","0.946962762544533","0.973925385171502"
"No","1999","lower secondary degree","Couple + C. LE and GT 16","280","0.929689030319143","0.900464009927741","0.958914050710545"
"No","1999","secondary school degree","1-pers.-HH","339","0.895449082346947","0.8643561992891","0.926541965404794"
"No","1999","secondary school degree","(Married) couple without C. ","737","0.827335980863431","0.801927394268262","0.8527445674586"
"No","1999","secondary school degree","Single parent ","183","0.875056395445703","0.829793097132492","0.920319693758915"
"No","1999","secondary school degree","Couple + C. LE 16 ","948","0.909514077236778","0.891977422316374","0.927050732157183"
"No","1999","secondary school degree","Couple + C. GT 16 ","566","0.898482969955103","0.874633314373339","0.922332625536867"
"No","1999","secondary school degree","Couple + C. LE and GT 16","318","0.904060863364481","0.87298413576805","0.935137590960913"
"No","1999","college entrance qualification","1-pers.-HH","196","0.761954040285817","0.707960235000248","0.815947845571386"
"No","1999","college entrance qualification","(Married) couple without C. ","405","0.788867032671235","0.752319314817955","0.825414750524515"
"No","1999","college entrance qualification","Single parent ","64","0.857547243250916","0.778446253804915","0.936648232696918"
"No","1999","college entrance qualification","Couple + C. LE 16 ","363","0.85383923420557","0.820054002311355","0.887624466099784"
"No","1999","college entrance qualification","Couple + C. GT 16 ","273","0.908375799744696","0.875892162420185","0.940859437069207"
