"ple0098_v5","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1999","no migration background","West Germany","715","0.119247397661255","0.111164894744994","0.127329900577517"
"Yes","1999","no migration background","East Germany","153","0.0459942934138855","0.0390356666780534","0.0529529201497177"
"Yes","1999","direct migration background","West Germany","51","0.049215366382078","0.0398053254962563","0.0586254072678996"
"Yes","1999","direct migration background","East Germany","2","","",""
"Yes","1999","indirect migration background","West Germany","24","","",""
"Yes","1999","indirect migration background","East Germany","2","","",""
"No","1999","no migration background","West Germany","5461","0.880752602338745","0.872670099422484","0.888835105255006"
"No","1999","no migration background","East Germany","3328","0.954005706586114","0.947047079850282","0.960964333321947"
"No","1999","direct migration background","West Germany","1979","0.950784633617922","0.9413745927321","0.960194674503744"
"No","1999","direct migration background","East Germany","107","0.988426143060643","0.968346961404345","1.00850532471694"
"No","1999","indirect migration background","West Germany","530","0.931313848861932","0.910253002025388","0.952374695698476"
"No","1999","indirect migration background","East Germany","19","","",""
"Yes","2000","no migration background","West Germany","1510","0.124357796708973","0.118494065733178","0.130221527684768"
"Yes","2000","no migration background","East Germany","215","0.042945141553983","0.0375177502857616","0.0483725328222045"
"Yes","2000","direct migration background","West Germany","110","0.0450635876479742","0.0376760694572984","0.05245110583865"
"Yes","2000","direct migration background","East Germany","1","","",""
"Yes","2000","indirect migration background","West Germany","42","0.0753063037918359","0.056508168725085","0.0941044388585867"
"Yes","2000","indirect migration background","East Germany","2","","",""
"No","2000","no migration background","West Germany","10656","0.875642203291027","0.869778472315232","0.881505934266822"
"No","2000","no migration background","East Germany","5145","0.957054858446017","0.951627467177796","0.962482249714238"
"No","2000","direct migration background","West Germany","2919","0.954936412352026","0.94754889416135","0.962323930542702"
"No","2000","direct migration background","East Germany","146","0.996682793742432","0.987387692123619","1.00597789536125"
"No","2000","indirect migration background","West Germany","715","0.924693696208164","0.905895561141413","0.943491831274915"
"No","2000","indirect migration background","East Germany","21","","",""
"Yes","2001","no migration background","West Germany","1377","0.126823883652474","0.120605980080116","0.133041787224832"
"Yes","2001","no migration background","East Germany","221","0.0429962155941007","0.0373753295181852","0.0486171016700161"
"Yes","2001","direct migration background","West Germany","75","0.0389591694556944","0.0316072385241199","0.046311100387269"
"Yes","2001","direct migration background","East Germany","2","","",""
"Yes","2001","indirect migration background","West Germany","50","0.104876679387311","0.0822757321936376","0.127477626580985"
"Yes","2001","indirect migration background","East Germany","2","","",""
"No","2001","no migration background","West Germany","9626","0.873176116347526","0.866958212775168","0.879394019919884"
"No","2001","no migration background","East Germany","4782","0.957003784405899","0.951382898329984","0.962624670481815"
"No","2001","direct migration background","West Germany","2586","0.961040830544306","0.953688899612731","0.96839276147588"
"No","2001","direct migration background","East Germany","118","0.990882149137295","0.973875658180842","1.00788864009375"
"No","2001","indirect migration background","West Germany","656","0.895123320612689","0.872522373419015","0.917724267806362"
"No","2001","indirect migration background","East Germany","19","","",""
"Yes","2002","no migration background","West Germany","1778","0.136509151843792","0.130208417614748","0.142809886072836"
"Yes","2002","no migration background","East Germany","261","0.0474370556724787","0.0414984704873888","0.0533756408575686"
"Yes","2002","direct migration background","West Germany","104","0.0452665941134101","0.0371499259756795","0.0533832622511408"
"Yes","2002","direct migration background","East Germany","1","","",""
"Yes","2002","indirect migration background","West Germany","50","0.0716252401138497","0.0524815167573926","0.0907689634703069"
"Yes","2002","indirect migration background","East Germany","2","","",""
"No","2002","no migration background","West Germany","9628","0.863490848156208","0.857190113927164","0.869791582385252"
"No","2002","no migration background","East Germany","4661","0.952562944327521","0.946624359142431","0.958501529512611"
"No","2002","direct migration background","West Germany","2416","0.95473340588659","0.946616737748859","0.96285007402432"
"No","2002","direct migration background","East Germany","112","0.995406435342718","0.982938802388427","1.00787406829701"
"No","2002","indirect migration background","West Germany","647","0.92837475988615","0.909231036529693","0.947518483242607"
"No","2002","indirect migration background","East Germany","20","","",""
"Yes","2003","no migration background","West Germany","1713","0.139001583092847","0.132516296190656","0.145486869995037"
"Yes","2003","no migration background","East Germany","280","0.0525753726469596","0.0462786009569918","0.0588721443369275"
"Yes","2003","direct migration background","West Germany","91","0.0416441093974216","0.0336045740997656","0.0496836446950776"
"Yes","2003","direct migration background","East Germany","2","","",""
"Yes","2003","indirect migration background","West Germany","58","0.0940593089521243","0.0722942502628468","0.115824367641402"
"Yes","2003","indirect migration background","East Germany","2","","",""
"No","2003","no migration background","West Germany","9218","0.860998416907153","0.854513130004963","0.867483703809344"
"No","2003","no migration background","East Germany","4546","0.94742462735304","0.941127855663073","0.953721399043008"
"No","2003","direct migration background","West Germany","2281","0.958355890602578","0.950316355304922","0.966395425900234"
"No","2003","direct migration background","East Germany","100","0.987205889636999","0.965395826625143","1.00901595264886"
"No","2003","indirect migration background","West Germany","633","0.905940691047876","0.884175632358598","0.927705749737153"
"No","2003","indirect migration background","East Germany","29","","",""
"Yes","2004","no migration background","West Germany","1769","0.147860443043274","0.141107231198727","0.154613654887821"
"Yes","2004","no migration background","East Germany","315","0.0597667402607521","0.0529888745768672","0.0665446059446371"
"Yes","2004","direct migration background","West Germany","99","0.0435266299974983","0.0351697471654266","0.0518835128295699"
"Yes","2004","direct migration background","East Germany","4","","",""
"Yes","2004","indirect migration background","West Germany","57","0.100866395079824","0.0786364240284741","0.123096366131175"
"Yes","2004","indirect migration background","East Germany","3","","",""
"No","2004","no migration background","West Germany","8844","0.852139556956726","0.845386345112179","0.858892768801273"
"No","2004","no migration background","East Germany","4384","0.940233259739248","0.933455394055363","0.947011125423133"
"No","2004","direct migration background","West Germany","2191","0.956473370002502","0.94811648717043","0.964830252834573"
"No","2004","direct migration background","East Germany","97","0.975086558036096","0.944689898778154","1.00548321729404"
"No","2004","indirect migration background","West Germany","648","0.899133604920176","0.876903633868825","0.921363575971526"
"No","2004","indirect migration background","East Germany","32","0.971239190496614","0.915868782862036","1.02660959813119"
"Yes","2005","no migration background","West Germany","1796","0.163566261663767","0.156362673435084","0.17076984989245"
"Yes","2005","no migration background","East Germany","347","0.0658266927287602","0.0585813892878372","0.0730719961696831"
"Yes","2005","direct migration background","West Germany","108","0.0528972315314926","0.0433536065112482","0.0624408565517369"
"Yes","2005","direct migration background","East Germany","6","","",""
"Yes","2005","indirect migration background","West Germany","66","0.100651899459328","0.0787514016760024","0.122552397242653"
"Yes","2005","indirect migration background","East Germany","4","","",""
"No","2005","no migration background","West Germany","8332","0.836433738336233","0.82923015010755","0.843637326564916"
"No","2005","no migration background","East Germany","4153","0.93417330727124","0.926928003830317","0.941418610712163"
"No","2005","direct migration background","West Germany","2005","0.947102768468507","0.937559143448263","0.956646393488752"
"No","2005","direct migration background","East Germany","93","0.958977392118221","0.919907131245696","0.998047652990747"
"No","2005","indirect migration background","West Germany","659","0.899348100540672","0.877447602757347","0.921248598323998"
"No","2005","indirect migration background","East Germany","30","0.891240886612269","0.786590939602929","0.995890833621608"
"Yes","2006","no migration background","West Germany","2231","0.182177011552511","0.174962168003592","0.18939185510143"
"Yes","2006","no migration background","East Germany","420","0.0830759026103888","0.0752063251937982","0.0909454800269794"
"Yes","2006","direct migration background","West Germany","130","0.0627457068092793","0.0524008448108952","0.0730905688076635"
"Yes","2006","direct migration background","East Germany","9","","",""
"Yes","2006","indirect migration background","West Germany","82","0.124161557007947","0.0998881604934965","0.148434953522397"
"Yes","2006","indirect migration background","East Germany","4","","",""
"No","2006","no migration background","West Germany","8764","0.817822988447489","0.81060814489857","0.825037831996408"
"No","2006","no migration background","East Germany","4305","0.916924097389611","0.909054519973021","0.924793674806202"
"No","2006","direct migration background","West Germany","1981","0.937254293190721","0.926909431192337","0.947599155189105"
"No","2006","direct migration background","East Germany","99","0.950161354538738","0.909120347399649","0.991202361677827"
"No","2006","indirect migration background","West Germany","627","0.875838442992053","0.851565046477602","0.900111839506503"
"No","2006","indirect migration background","East Germany","33","0.937720320443206","0.859852668799063","1.01558797208735"
"Yes","2007","no migration background","West Germany","2232","0.201530890389289","0.193762061130917","0.20929971964766"
"Yes","2007","no migration background","East Germany","466","0.0904894261408981","0.0820841039676725","0.0988947483141236"
"Yes","2007","direct migration background","West Germany","136","0.0700877323124022","0.0586175402569628","0.0815579243678415"
"Yes","2007","direct migration background","East Germany","7","","",""
"Yes","2007","indirect migration background","West Germany","78","0.126973077482485","0.101818895406018","0.152127259558953"
"Yes","2007","indirect migration background","East Germany","4","","",""
"No","2007","no migration background","West Germany","8010","0.798469109610711","0.79070028035234","0.806237938869082"
"No","2007","no migration background","East Germany","4009","0.909510573859102","0.901105251685876","0.917915896032327"
