"ple0098_v5","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1999","in school","23","","",""
"Yes","1999","inadequately","4","","",""
"Yes","1999","general elemantary","96","0.0454457144503966","0.0370444069458354","0.0538470219549578"
"Yes","1999","middle vocational","499","0.0940734533850578","0.0869111992363406","0.101235707533775"
"Yes","1999","vocational + Abi","55","0.162401986224367","0.128734467062151","0.196069505386583"
"Yes","1999","higher vocational","72","0.0998105234102496","0.0775576122394798","0.122063434581019"
"Yes","1999","higher education","172","0.154022974650322","0.135900076686604","0.17214587261404"
"No","1999","in school","248","0.90837144352562","0.874022719841683","0.942720167209556"
"No","1999","inadequately","417","0.988072774288126","0.977702954037047","0.998442594539206"
"No","1999","general elemantary","2265","0.954554285549603","0.946152978045042","0.962955593054165"
"No","1999","middle vocational","5883","0.905926546614942","0.898764292466225","0.913088800763659"
"No","1999","vocational + Abi","406","0.837598013775633","0.803930494613417","0.871265532937849"
"No","1999","higher vocational","625","0.90018947658975","0.877936565418981","0.92244238776052"
"No","1999","higher education","1352","0.845977025349678","0.82785412738596","0.864099923313395"
"Yes","2000","in school","26","","",""
"Yes","2000","inadequately","6","","",""
"Yes","2000","general elemantary","123","0.0415675030687404","0.0349042672542448","0.048230738883236"
"Yes","2000","middle vocational","1003","0.0927259843978162","0.0874822137813927","0.0979697550142398"
"Yes","2000","vocational + Abi","122","0.132601154716552","0.111757652760468","0.153444656672635"
"Yes","2000","higher vocational","176","0.104589559572995","0.0898370159236816","0.119342103222308"
"Yes","2000","higher education","422","0.175320578959067","0.161152775021328","0.189488382896806"
"No","2000","in school","387","0.932283381687408","0.908051079984509","0.956515683390308"
"No","2000","inadequately","393","0.986040874222317","0.974529207375088","0.997552541069547"
"No","2000","general elemantary","3324","0.95843249693126","0.951769261116764","0.965095732745755"
"No","2000","middle vocational","10750","0.907274015602184","0.90203024498576","0.912517786218607"
"No","2000","vocational + Abi","895","0.867398845283448","0.846555343327365","0.888242347239532"
"No","2000","higher vocational","1477","0.895410440427005","0.880657896777692","0.910162984076319"
"No","2000","higher education","2345","0.824679421040933","0.810511617103194","0.838847224978672"
"Yes","2001","in school","30","0.0680772199977345","0.0448310884947887","0.0913233515006804"
"Yes","2001","inadequately","4","","",""
"Yes","2001","general elemantary","98","0.0312358218215509","0.0250224374963148","0.0374492061467869"
"Yes","2001","middle vocational","922","0.0962110002108211","0.0906077040584715","0.101814296363171"
"Yes","2001","vocational + Abi","129","0.143606484200186","0.121582680744001","0.165630287656371"
"Yes","2001","higher vocational","160","0.116317788343441","0.0999340546931567","0.132701521993726"
"Yes","2001","higher education","383","0.173275971103519","0.158651584849002","0.187900357358037"
"No","2001","in school","421","0.931922780002265","0.90867664849932","0.955168911505211"
"No","2001","inadequately","303","0.987205370120226","0.97463359738626","0.999777142854191"
"No","2001","general elemantary","2913","0.968764178178449","0.962550793853213","0.974977562503685"
"No","2001","middle vocational","9717","0.903788999789179","0.898185703636829","0.909392295941528"
"No","2001","vocational + Abi","845","0.856393515799814","0.834369712343629","0.878417319255999"
"No","2001","higher vocational","1311","0.883682211656559","0.867298478006274","0.900065945306843"
"No","2001","higher education","2190","0.826724028896481","0.812099642641963","0.841348415150998"
"Yes","2002","in school","40","0.0541515978816182","0.034174102603339","0.0741290931598975"
"Yes","2002","inadequately","2","","",""
"Yes","2002","general elemantary","105","0.0359216818898935","0.0290422566190322","0.0428011071607548"
"Yes","2002","middle vocational","1149","0.107214826026983","0.101301329312039","0.113128322741926"
"Yes","2002","vocational + Abi","155","0.129713249049363","0.109312900559258","0.150113597539469"
"Yes","2002","higher vocational","196","0.130787756707972","0.11365634752688","0.147919165889064"
"Yes","2002","higher education","544","0.177157854167355","0.163233086228757","0.191082622105952"
"No","2002","in school","453","0.945848402118382","0.925870906840103","0.965825897396661"
"No","2002","inadequately","276","0.993706954786612","0.984411186625538","1.00300272294768"
"No","2002","general elemantary","2706","0.964078318110106","0.957198892839245","0.970957743380968"
"No","2002","middle vocational","9366","0.892785173973017","0.886871677258074","0.898698670687961"
