"ple0098_v5","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Schleswig-Holstein","Full Time","5","","",""
"Yes","1999","Schleswig-Holstein","Part Time","6","","",""
"Yes","1999","Schleswig-Holstein","Not Working","4","","",""
"Yes","1999","Hamburg","Full Time","5","","",""
"Yes","1999","Hamburg","Part Time","","","",""
"Yes","1999","Hamburg","Not Working","3","","",""
"Yes","1999","Lower Saxony","Full Time","39","0.0995011007503931","0.0704914852387239","0.128510716262062"
"Yes","1999","Lower Saxony","Part Time","24","","",""
"Yes","1999","Lower Saxony","Not Working","30","0.0995772145154758","0.0690666351899623","0.130087793840989"
"Yes","1999","Bremen","Full Time","2","","",""
"Yes","1999","Bremen","Part Time","","","",""
"Yes","1999","Bremen","Not Working","3","","",""
"Yes","1999","North Rhine-Westphalia","Full Time","127","0.173089405159711","0.14895555484513","0.197223255474292"
"Yes","1999","North Rhine-Westphalia","Part Time","71","0.160031120138239","0.129050452417692","0.191011787858785"
"Yes","1999","North Rhine-Westphalia","Not Working","59","0.089984256174594","0.0712367160462861","0.108731796302902"
"Yes","1999","Hesse","Full Time","28","","",""
"Yes","1999","Hesse","Part Time","13","","",""
"Yes","1999","Hesse","Not Working","17","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","Full Time","18","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","Part Time","5","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","Not Working","11","","",""
"Yes","1999","Baden-Württemberg","Full Time","47","0.0905246794493709","0.0678290170549452","0.113220341843797"
"Yes","1999","Baden-Württemberg","Part Time","33","0.113407936737641","0.0815682161849286","0.145247657290353"
"Yes","1999","Baden-Württemberg","Not Working","37","0.0855974175987357","0.0626502498660542","0.108544585331417"
"Yes","1999","Bavaria","Full Time","97","0.17632213961194","0.147269909106777","0.205374370117104"
"Yes","1999","Bavaria","Part Time","44","0.129463091238933","0.0949754112561651","0.1639507712217"
"Yes","1999","Bavaria","Not Working","46","0.0928346213617701","0.068537432434069","0.117131810289471"
"Yes","1999","Berlin","Full Time","15","","",""
"Yes","1999","Berlin","Part Time","6","","",""
"Yes","1999","Berlin","Not Working","4","","",""
"Yes","1999","Brandenburg","Full Time","12","","",""
"Yes","1999","Brandenburg","Part Time","9","","",""
"Yes","1999","Brandenburg","Not Working","6","","",""
