"ple0098_v5","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1999","16-34 y.","no migration background","283","0.10045086458758","0.0898400038797825","0.111061725295378"
"Yes","1999","16-34 y.","direct migration background","10","","",""
"Yes","1999","16-34 y.","indirect migration background","19","","",""
"Yes","1999","35-65 y.","no migration background","490","0.113221860837657","0.104552693210954","0.121891028464359"
"Yes","1999","35-65 y.","direct migration background","33","0.0510561639858178","0.0389883943971259","0.0631239335745097"
"Yes","1999","35-65 y.","indirect migration background","5","","",""
"Yes","1999","66 and older","no migration background","95","0.077401431968287","0.0636088254495533","0.0911940384870206"
"Yes","1999","66 and older","direct migration background","10","","",""
"Yes","1999","66 and older","indirect migration background","2","","",""
"No","1999","16-34 y.","no migration background","2800","0.89954913541242","0.888938274704622","0.910159996120218"
"No","1999","16-34 y.","direct migration background","610","0.969160596919414","0.955552321127032","0.982768872711796"
"No","1999","16-34 y.","indirect migration background","500","0.940363031893171","0.919989329218397","0.960736734567946"
"No","1999","35-65 y.","no migration background","4642","0.886778139162343","0.878108971535641","0.895447306789046"
"No","1999","35-65 y.","direct migration background","1245","0.948943836014182","0.93687606642549","0.961011605602874"
"No","1999","35-65 y.","indirect migration background","45","0.922104065720435","0.847817470700926","0.996390660739944"
"No","1999","66 and older","no migration background","1347","0.922598568031713","0.908805961512979","0.936391174550447"
"No","1999","66 and older","direct migration background","231","0.942128024298041","0.912647942415219","0.971608106180863"
"No","1999","66 and older","indirect migration background","4","","",""
"Yes","2000","16-34 y.","no migration background","457","0.0983086606312486","0.0899051776126027","0.106712143649895"
"Yes","2000","16-34 y.","direct migration background","27","","",""
"Yes","2000","16-34 y.","indirect migration background","30","0.0632439471080492","0.0449091337198942","0.0815787604962042"
"Yes","2000","35-65 y.","no migration background","1055","0.120403963693725","0.113936698691067","0.126871228696383"
"Yes","2000","35-65 y.","direct migration background","75","0.0500071882667547","0.0401756047274716","0.0598387718060378"
"Yes","2000","35-65 y.","indirect migration background","12","","",""
"Yes","2000","66 and older","no migration background","213","0.0766949473176399","0.0671342931184575","0.0862556015168223"
"Yes","2000","66 and older","direct migration background","9","","",""
"Yes","2000","66 and older","indirect migration background","2","","",""
"No","2000","16-34 y.","no migration background","4365","0.901691339368751","0.893287856350105","0.910094822387397"
"No","2000","16-34 y.","direct migration background","919","0.967559851830587","0.956270139990732","0.978849563670441"
"No","2000","16-34 y.","indirect migration background","647","0.936756052891951","0.918421239503796","0.955090866280106"
"No","2000","35-65 y.","no migration background","8672","0.879596036306275","0.873128771303617","0.886063301308934"
"No","2000","35-65 y.","direct migration background","1813","0.949992811733245","0.940161228193962","0.959824395272528"
"No","2000","35-65 y.","indirect migration background","75","0.85267878108576","0.778203209624084","0.927154352547435"
"No","2000","66 and older","no migration background","2763","0.92330505268236","0.913744398483178","0.932865706881542"
"No","2000","66 and older","direct migration background","333","0.962703195692726","0.942620728986032","0.982785662399419"
"No","2000","66 and older","indirect migration background","14","","",""
"Yes","2001","16-34 y.","no migration background","414","0.101552157070145","0.0924847850147837","0.110619529125506"
"Yes","2001","16-34 y.","direct migration background","20","","",""
"Yes","2001","16-34 y.","indirect migration background","35","0.0808026831939734","0.0592284624030837","0.102376903984863"
"Yes","2001","35-65 y.","no migration background","992","0.124398142091465","0.117557974226175","0.131238309956754"
"Yes","2001","35-65 y.","direct migration background","48","0.0392805528256912","0.0299467522700164","0.048614353381366"
"Yes","2001","35-65 y.","indirect migration background","14","","",""
"Yes","2001","66 and older","no migration background","192","0.0729225468487241","0.0632918436487928","0.0825532500486554"
"Yes","2001","66 and older","direct migration background","9","","",""
"Yes","2001","66 and older","indirect migration background","3","","",""
"No","2001","16-34 y.","no migration background","3849","0.898447842929855","0.889380470874494","0.907515214985216"
"No","2001","16-34 y.","direct migration background","774","0.965268548467271","0.952532831916018","0.978004265018524"
"No","2001","16-34 y.","indirect migration background","578","0.919197316806027","0.897623096015137","0.940771537596916"
"No","2001","35-65 y.","no migration background","7951","0.875601857908535","0.868761690043246","0.882442025773825"
"No","2001","35-65 y.","direct migration background","1616","0.960719447174309","0.951385646618634","0.970053247729984"
"No","2001","35-65 y.","indirect migration background","84","0.836821526755018","0.763659975098179","0.909983078411858"
"No","2001","66 and older","no migration background","2608","0.927077453151276","0.917446749951345","0.936708156351207"
"No","2001","66 and older","direct migration background","314","0.962972500904796","0.942379674306105","0.983565327503488"
"No","2001","66 and older","indirect migration background","13","","",""
"Yes","2002","16-34 y.","no migration background","468","0.110119054003664","0.100619019427661","0.119619088579667"
"Yes","2002","16-34 y.","direct migration background","22","","",""
"Yes","2002","16-34 y.","indirect migration background","37","0.0730202941055406","0.0520978811062243","0.093942707104857"
"Yes","2002","35-65 y.","no migration background","1292","0.128972114460374","0.122127719452365","0.135816509468382"
"Yes","2002","35-65 y.","direct migration background","73","0.0530038835349291","0.0420123170282407","0.0639954500416175"
"Yes","2002","35-65 y.","indirect migration background","12","","",""
"Yes","2002","66 and older","no migration background","279","0.091162101222494","0.0807663514040437","0.101557851040944"
"Yes","2002","66 and older","direct migration background","10","","",""
"Yes","2002","66 and older","indirect migration background","3","","",""
"No","2002","16-34 y.","no migration background","3703","0.889880945996336","0.880380911420333","0.899380980572339"
"No","2002","16-34 y.","direct migration background","684","0.971563677018246","0.959302897164928","0.983824456871563"
"No","2002","16-34 y.","indirect migration background","557","0.926979705894459","0.906057292895143","0.947902118893776"
"No","2002","35-65 y.","no migration background","7920","0.871027885539626","0.864183490531618","0.877872280547635"
"No","2002","35-65 y.","direct migration background","1523","0.946996116465071","0.936004549958382","0.957987682971759"
"No","2002","35-65 y.","indirect migration background","100","0.94878845011097","0.907965185298671","0.98961171492327"
"No","2002","66 and older","no migration background","2666","0.908837898777506","0.898442148959055","0.919233648595956"
"No","2002","66 and older","direct migration background","321","0.963235943916406","0.942963218214589","0.983508669618223"
"No","2002","66 and older","indirect migration background","10","","",""
"Yes","2003","16-34 y.","no migration background","472","0.118869184241319","0.108802007949944","0.128936360532694"
