"ple0098_v5","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Schleswig-Holstein","Employed","170","0.94533458987159","0.91221706405848","0.978452115684701","2"
"No","1999","Hamburg","Employed","78","0.941917286942169","0.891597490489227","0.992237083395111","2"
"No","1999","Lower Saxony","Employed","603","0.889977209329904","0.866211994348944","0.913742424310864","2"
"No","1999","Schleswig-Holstein","Not Employed","94","0.942475645862699","0.896376168993263","0.988575122732135","2"
"No","1999","Hamburg","Not Employed","41","0.941865808380453","0.872725376598132","1.01100624016278","2"
"No","1999","Lower Saxony","Not Employed","340","0.900422785484524","0.869912206159011","0.930933364810038","2"
"No","1999","Bremen","Employed","38","0.944779064113631","0.873995063090945","1.01556306513632","2"
"No","1999","Bremen","Not Employed","40","0.954844397323986","0.892780936859608","1.01690785778836","2"
"No","1999","North Rhine-Westphalia","Not Employed","836","0.910015743825406","0.891268203697098","0.928763283953714","2"
"No","1999","North Rhine-Westphalia","Employed","1284","0.831682081653967","0.812633272210243","0.85073089109769","2"
"No","1999","Hesse","Not Employed","281","0.910600863552505","0.878206410645802","0.942995316459208","2"
"No","1999","Hesse","Employed","454","0.898028682352101","0.871370556672584","0.924686808031618","2"
"No","1999","Berlin","Employed","253","0.93407066255752","0.904687263643239","0.9634540614718","2"
"No","1999","Brandenburg","Not Employed","219","0.973869884419636","0.953026033161767","0.994713735677504","2"
"No","1999","Berlin","Not Employed","173","0.983813471792783","0.965222816654199","1.00240412693137","2"
"No","1999","Brandenburg","Employed","330","0.922142180705808","0.894110793238505","0.950173568173111","2"
"No","1999","Baden-Württemberg","Employed","915","0.901236629808939","0.882699012226381","0.919774247391496","2"
"No","1999","Rhineland-Palatinate,Saarland","Not Employed","253","0.957528238158701","0.933202162040755","0.981854314276647","2"
"No","1999","Rhineland-Palatinate,Saarland","Employed","394","0.947842402779679","0.926501788394694","0.969183017164665","2"
"No","1999","Baden-Württemberg","Not Employed","534","0.914402582401264","0.891455414668583","0.937349750133946","2"
"No","1999","Bavaria","Not Employed","502","0.90716537863823","0.882868189710529","0.931462567565931","2"
"No","1999","Bavaria","Employed","884","0.841613679278088","0.819262451399002","0.863964907157174","2"
"No","1999","Mecklenburg-Western Pomerania","Not Employed","128","0.971872493121414","0.94355970048271","1.00018528576012","2"
"No","1999","Mecklenburg-Western Pomerania","Employed","228","0.969718072845202","0.947855232184515","0.99158091350589","2"
"No","1999","Saxony","Not Employed","388","0.976561971081102","0.961735815870344","0.991388126291861","2"
"No","1999","Saxony","Employed","655","0.921673212360647","0.901811619784478","0.941534804936817","2"
"No","1999","Saxony-Anhalt","Not Employed","256","0.950955059650772","0.924953328942697","0.976956790358846","2"
"No","1999","Saxony-Anhalt","Employed","380","0.941314759425738","0.918339155108689","0.964290363742787","2"
"No","1999","Thuringia","Not Employed","257","0.988151658079414","0.975024569115867","1.00127874704296","2"
"No","1999","Thuringia","Employed","416","0.965413207940429","0.94816193225689","0.982664483623967","2"
"Yes","1999","Schleswig-Holstein","Not Employed","4","","","","1"
"Yes","1999","Schleswig-Holstein","Employed","11","","","","1"
"Yes","1999","Hamburg","Not Employed","3","","","","1"
"Yes","1999","Hamburg","Employed","5","","","","1"
"Yes","1999","Lower Saxony","Not Employed","30","0.0995772145154758","0.0690666351899623","0.130087793840989","1"
