"ple0098_v5","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Urban Area","East Germany","1156","0.957711614006857","0.946409690103148","0.969013537910566","2"
"No","1999","Rural Area","East Germany","2298","0.953756307843519","0.945341935925606","0.962170679761432","2"
"No","1999","Urban Area","West Germany","6172","0.889417322360368","0.881959472665762","0.896875172054974","2"
"No","1999","Rural Area","West Germany","1798","0.911272329915979","0.89870625798127","0.923838401850689","2"
"Yes","1999","Urban Area","West Germany","621","0.110582677639632","0.103124827945026","0.118040527334238","1"
"Yes","1999","Urban Area","East Germany","62","0.042288385993143","0.0309864620894343","0.0535903098968518","1"
"Yes","1999","Rural Area","West Germany","169","0.0887276700840205","0.0761615981493111","0.10129374201873","1"
"Yes","1999","Rural Area","East Germany","95","0.0462436921564813","0.0378293202385685","0.0546580640743942","1"
"No","2000","Urban Area","East Germany","1700","0.955129928978428","0.945526228954321","0.964733629002535","2"
"No","2000","Rural Area","East Germany","3612","0.959788966879569","0.9534970544096","0.966080879349539","2"
"No","2000","Urban Area","West Germany","10809","0.883595802337467","0.877893460826688","0.889298143848247","2"
"No","2000","Rural Area","West Germany","3481","0.913275484427353","0.904328617096507","0.922222351758199","2"
"Yes","2000","Urban Area","West Germany","1342","0.116404197662533","0.110701856151753","0.122106539173312","1"
"Yes","2000","Urban Area","East Germany","85","0.0448700710215722","0.0352663709974651","0.0544737710456793","1"
"Yes","2000","Rural Area","West Germany","320","0.0867245155726466","0.0777776482418005","0.0956713829034926","1"
"Yes","2000","Rural Area","East Germany","133","0.0402110331204307","0.033919120650461","0.0465029455904004","1"
"No","2001","Urban Area","East Germany","1604","0.946168368227145","0.93543701756458","0.956899718889709","2"
"No","2001","Rural Area","East Germany","3315","0.964102564257798","0.95789034450374","0.970314784011855","2"
"No","2001","Urban Area","West Germany","9777","0.883152586384923","0.877136295888999","0.889168876880846","2"
"No","2001","Rural Area","West Germany","3091","0.904177708166323","0.894309865042327","0.914045551290319","2"
"Yes","2001","Urban Area","East Germany","95","0.0538316317728551","0.0431002811102905","0.0645629824354197","1"
"Yes","2001","Rural Area","West Germany","327","0.095822291833677","0.085954448709681","0.105690134957673","1"
"Yes","2001","Rural Area","East Germany","130","0.0358974357422024","0.0296852159881449","0.0421096554962599","1"
"Yes","2001","Urban Area","West Germany","1175","0.116847413615077","0.110831123119154","0.122863704111001","1"
"No","2002","Rural Area","East Germany","3221","0.95429379594784","0.947257217381217","0.961330374514463","2"
"No","2002","Urban Area","West Germany","9695","0.87502462546427","0.868906533923825","0.881142717004716","2"
"No","2002","Urban Area","East Germany","1572","0.952562539376362","0.942376447570361","0.962748631182363","2"
"No","2002","Rural Area","West Germany","2996","0.900013386491731","0.889930054959988","0.910096718023473","2"
"Yes","2002","Urban Area","East Germany","101","0.047437460623638","0.0372513688176372","0.0576235524296388","1"
"Yes","2002","Rural Area","West Germany","404","0.0999866135082692","0.0899032819765269","0.110069945040012","1"
"Yes","2002","Rural Area","East Germany","163","0.0457062040521595","0.0386696254855366","0.0527427826187825","1"
"Yes","2002","Urban Area","West Germany","1528","0.12497537453573","0.118857282995284","0.131093466076175","1"
"No","2003","Rural Area","East Germany","3120","0.954278396964815","0.94714085930772","0.96141593462191","2"
"No","2003","Urban Area","West Germany","9317","0.875770309271047","0.869544927893861","0.881995690648232","2"
"No","2003","Urban Area","East Germany","1555","0.936765065269203","0.92508853517129","0.948441595367115","2"
"No","2003","Rural Area","West Germany","2815","0.889489168227755","0.87864319993264","0.900335136522871","2"
"Yes","2003","Urban Area","East Germany","114","0.0632349347307972","0.0515584046328845","0.0749114648287099","1"
"Yes","2003","Urban Area","West Germany","1467","0.124229690728953","0.118004309351768","0.130455072106139","1"
"Yes","2003","Rural Area","West Germany","395","0.110510831772245","0.0996648634771288","0.12135680006736","1"
"Yes","2003","Rural Area","East Germany","170","0.0457216030351849","0.0385840653780895","0.0528591406922803","1"
"No","2004","Urban Area","West Germany","8909","0.866977383562407","0.860459698304212","0.873495068820603","2"
"No","2004","Urban Area","East Germany","1526","0.931243533234319","0.91906361876758","0.943423447701058","2"
"No","2004","Rural Area","West Germany","2774","0.887275769646612","0.876282148229291","0.898269391063933","2"
"No","2004","Rural Area","East Germany","2987","0.946780433689618","0.938974950616616","0.95458591676262","2"
"Yes","2004","Urban Area","East Germany","132","0.0687564667656809","0.0565765522989418","0.0809363812324201","1"
"Yes","2004","Rural Area","East Germany","190","0.0532195663103821","0.0454140832373796","0.0610250493833845","1"
"Yes","2004","Urban Area","West Germany","1520","0.133022616437593","0.126504931179397","0.139540301695788","1"
"Yes","2004","Rural Area","West Germany","405","0.112724230353388","0.101730608936067","0.123717851770709","1"
"No","2005","Urban Area","West Germany","8398","0.852148292542826","0.845171781364509","0.859124803721144","2"
"No","2005","Urban Area","East Germany","1461","0.929144090286891","0.916548065513797","0.941740115059984","2"
"No","2005","Rural Area","West Germany","2598","0.876550670796916","0.864822406575891","0.888278935017941","2"
"No","2005","Rural Area","East Germany","2815","0.937632820702674","0.929035221557701","0.946230419847648","2"
"Yes","2005","Urban Area","East Germany","133","0.0708559097131094","0.058259884940016","0.0834519344862028","1"
"Yes","2005","Rural Area","East Germany","224","0.0623671792973258","0.0537695801523524","0.0709647784422993","1"
"Yes","2005","Urban Area","West Germany","1546","0.147851707457174","0.140875196278856","0.154828218635491","1"
"Yes","2005","Rural Area","West Germany","424","0.123449329203084","0.111721064982059","0.135177593424109","1"
"No","2006","Urban Area","West Germany","8586","0.836832935751426","0.829765730311715","0.843900141191138","2"
"No","2006","Urban Area","East Germany","1500","0.914501354703455","0.901037834383596","0.927964875023314","2"
"No","2006","Rural Area","West Germany","2786","0.854291635682948","0.84227777222641","0.866305499139486","2"
"No","2006","Rural Area","East Germany","2937","0.920005384827327","0.910625051101196","0.929385718553458","2"
"Yes","2006","Urban Area","East Germany","157","0.0854986452965453","0.0720351249766862","0.0989621656164045","1"
"Yes","2006","Rural Area","East Germany","276","0.0799946151726731","0.0706142814465423","0.089374948898804","1"
"Yes","2006","Urban Area","West Germany","1916","0.163167064248574","0.156099858808862","0.170234269688285","1"
"Yes","2006","Rural Area","West Germany","527","0.145708364317052","0.133694500860514","0.15772222777359","1"
"No","2007","Urban Area","East Germany","1391","0.902200017411918","0.887548661097739","0.916851373726097","2"
"No","2007","Rural Area","West Germany","2569","0.841694681693728","0.828820059622219","0.854569303765237","2"
"No","2007","Rural Area","East Germany","2734","0.915682745951947","0.905777625523826","0.925587866380069","2"
"No","2007","Urban Area","West Germany","7803","0.818950542580473","0.811299526368709","0.826601558792238","2"
"Yes","2007","Urban Area","East Germany","188","0.0977999825880818","0.0831486262739025","0.112451338902261","1"
"Yes","2007","Rural Area","East Germany","289","0.0843172540480526","0.0744121336199314","0.0942223744761738","1"
"Yes","2007","Urban Area","West Germany","1927","0.181049457419527","0.173398441207762","0.188700473631291","1"
"Yes","2007","Rural Area","West Germany","519","0.158305318306272","0.145430696234763","0.171179940377781","1"
"No","2008","Urban Area","East Germany","1299","0.856824093918633","0.839302455801362","0.874345732035905","2"
"No","2008","Rural Area","West Germany","2363","0.810820839357779","0.796622655962794","0.825019022752765","2"
"No","2008","Rural Area","East Germany","2571","0.899883278605691","0.888947612840912","0.91081894437047","2"
"No","2008","Urban Area","West Germany","7137","0.788662456866881","0.780327357746129","0.796997555987632","2"
"Yes","2008","Urban Area","West Germany","2079","0.211337543133119","0.203002444012368","0.219672642253871","1"
"Yes","2008","Urban Area","East Germany","236","0.143175906081367","0.125654267964095","0.160697544198638","1"
"Yes","2008","Rural Area","East Germany","323","0.100116721394309","0.0891810556295297","0.111052387159088","1"
"Yes","2008","Rural Area","West Germany","560","0.189179160642221","0.174980977247236","0.203377344037206","1"
"No","2009","Urban Area","East Germany","","","","","2"
"No","2009","Urban Area","West Germany","","","","","2"
"No","2009","Rural Area","West Germany","","","","","2"
"No","2009","Rural Area","East Germany","","","","","2"
"Yes","2009","Rural Area","East Germany","","","","","1"
"Yes","2009","Urban Area","West Germany","","","","","1"
"Yes","2009","Urban Area","East Germany","","","","","1"
"Yes","2009","Rural Area","West Germany","","","","","1"
