"ple0098_v5","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Schleswig-Holstein","lower secondary degree","4","","",""
"Yes","1999","Schleswig-Holstein","secondary school degree","3","","",""
"Yes","1999","Schleswig-Holstein","college entrance qualification","7","","",""
"Yes","1999","Schleswig-Holstein","Other degree","","","",""
"Yes","1999","Schleswig-Holstein","no degree/no degree yet","1","","",""
"Yes","1999","Hamburg","lower secondary degree","2","","",""
"Yes","1999","Hamburg","secondary school degree","5","","",""
"Yes","1999","Hamburg","college entrance qualification","1","","",""
"Yes","1999","Hamburg","Other degree","","","",""
"Yes","1999","Hamburg","no degree/no degree yet","","","",""
"Yes","1999","Lower Saxony","lower secondary degree","27","","",""
"Yes","1999","Lower Saxony","secondary school degree","35","0.119106162795776","0.0820804585024872","0.156131867089065"
"Yes","1999","Lower Saxony","college entrance qualification","24","","",""
"Yes","1999","Lower Saxony","Other degree","1","","",""
"Yes","1999","Lower Saxony","no degree/no degree yet","3","","",""
"Yes","1999","Bremen","lower secondary degree","2","","",""
"Yes","1999","Bremen","secondary school degree","2","","",""
"Yes","1999","Bremen","college entrance qualification","","","",""
"Yes","1999","Bremen","Other degree","","","",""
"Yes","1999","Bremen","no degree/no degree yet","1","","",""
"Yes","1999","North Rhine-Westphalia","lower secondary degree","90","0.0932663297949214","0.0754722011723821","0.111060458417461"
"Yes","1999","North Rhine-Westphalia","secondary school degree","68","0.184092998131888","0.149017759446057","0.219168236817719"
"Yes","1999","North Rhine-Westphalia","college entrance qualification","79","0.276239677843497","0.231044241540586","0.321435114146409"
"Yes","1999","North Rhine-Westphalia","Other degree","3","","",""
"Yes","1999","North Rhine-Westphalia","no degree/no degree yet","8","","",""
"Yes","1999","Hesse","lower secondary degree","15","","",""
"Yes","1999","Hesse","secondary school degree","17","","",""
"Yes","1999","Hesse","college entrance qualification","20","","",""
"Yes","1999","Hesse","Other degree","4","","",""
"Yes","1999","Hesse","no degree/no degree yet","1","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","lower secondary degree","15","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","secondary school degree","14","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","college entrance qualification","3","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","Other degree","1","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Yes","1999","Baden-Württemberg","lower secondary degree","49","0.0711227048454086","0.0521899082847734","0.0900555014060438"
"Yes","1999","Baden-Württemberg","secondary school degree","39","0.142674565458396","0.100406112754627","0.184943018162164"
"Yes","1999","Baden-Württemberg","college entrance qualification","21","","",""
"Yes","1999","Baden-Württemberg","Other degree","3","","",""
"Yes","1999","Baden-Württemberg","no degree/no degree yet","1","","",""
"Yes","1999","Bavaria","lower secondary degree","75","0.098252258946602","0.0772145363249459","0.119289981568258"
"Yes","1999","Bavaria","secondary school degree","61","0.190844981316838","0.149378729437177","0.232311233196499"
"Yes","1999","Bavaria","college entrance qualification","37","0.202874572742623","0.146140158280547","0.259608987204699"
"Yes","1999","Bavaria","Other degree","1","","",""
"Yes","1999","Bavaria","no degree/no degree yet","4","","",""
"Yes","1999","Berlin","lower secondary degree","3","","",""
"Yes","1999","Berlin","secondary school degree","7","","",""
"Yes","1999","Berlin","college entrance qualification","11","","",""
"Yes","1999","Berlin","Other degree","1","","",""
"Yes","1999","Berlin","no degree/no degree yet","2","","",""
"Yes","1999","Brandenburg","lower secondary degree","5","","",""
"Yes","1999","Brandenburg","secondary school degree","12","","",""
"Yes","1999","Brandenburg","college entrance qualification","7","","",""
"Yes","1999","Brandenburg","Other degree","","","",""
"Yes","1999","Brandenburg","no degree/no degree yet","1","","",""
"Yes","1999","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Yes","1999","Mecklenburg-Western Pomerania","secondary school degree","8","","",""
"Yes","1999","Mecklenburg-Western Pomerania","college entrance qualification","2","","",""
"Yes","1999","Mecklenburg-Western Pomerania","Other degree","","","",""
"Yes","1999","Mecklenburg-Western Pomerania","no degree/no degree yet","1","","",""
"Yes","1999","Saxony","lower secondary degree","11","","",""
"Yes","1999","Saxony","secondary school degree","31","0.0799330184223686","0.0562571644832762","0.103608872361461"
"Yes","1999","Saxony","college entrance qualification","13","","",""
"Yes","1999","Saxony","Other degree","","","",""
"Yes","1999","Saxony","no degree/no degree yet","2","","",""
"Yes","1999","Saxony-Anhalt","lower secondary degree","6","","",""
"Yes","1999","Saxony-Anhalt","secondary school degree","14","","",""
"Yes","1999","Saxony-Anhalt","college entrance qualification","6","","",""
"Yes","1999","Saxony-Anhalt","Other degree","","","",""
"Yes","1999","Saxony-Anhalt","no degree/no degree yet","3","","",""
"Yes","1999","Thuringia","lower secondary degree","4","","",""
"Yes","1999","Thuringia","secondary school degree","13","","",""
"Yes","1999","Thuringia","college entrance qualification","1","","",""
"Yes","1999","Thuringia","Other degree","","","",""
"Yes","1999","Thuringia","no degree/no degree yet","","","",""
"No","1999","Schleswig-Holstein","lower secondary degree","127","0.978299463488478","0.953348714535536","1.00325021244142"
"No","1999","Schleswig-Holstein","secondary school degree","75","0.924384133899276","0.865711782126373","0.983056485672179"
"No","1999","Schleswig-Holstein","college entrance qualification","35","0.835332521609104","0.723167599702752","0.947497443515457"
"No","1999","Schleswig-Holstein","Other degree","8","","",""
"No","1999","Schleswig-Holstein","no degree/no degree yet","14","","",""
"No","1999","Hamburg","lower secondary degree","52","0.96818510397243","0.921374347066279","1.01499586087858"
"No","1999","Hamburg","secondary school degree","23","","",""
"No","1999","Hamburg","college entrance qualification","20","","",""
"No","1999","Hamburg","Other degree","14","","",""
"No","1999","Hamburg","no degree/no degree yet","7","","",""
"No","1999","Lower Saxony","lower secondary degree","410","0.919734576407706","0.894260239962724","0.945208912852687"
"No","1999","Lower Saxony","secondary school degree","259","0.880893837204224","0.843868132910935","0.917919541497513"
"No","1999","Lower Saxony","college entrance qualification","109","0.811453874063358","0.74497816227585","0.877929585850866"
"No","1999","Lower Saxony","Other degree","85","0.977215166942448","0.945678420216073","1.00875191366882"
"No","1999","Lower Saxony","no degree/no degree yet","56","0.91397153026702","0.842421550046679","0.98552151048736"
"No","1999","Bremen","lower secondary degree","39","0.969377672363824","0.916639901582751","1.0221154431449"
"No","1999","Bremen","secondary school degree","15","","",""
"No","1999","Bremen","college entrance qualification","11","","",""
"No","1999","Bremen","Other degree","6","","",""
"No","1999","Bremen","no degree/no degree yet","4","","",""
"No","1999","North Rhine-Westphalia","lower secondary degree","936","0.906733670205079","0.888939541582539","0.924527798827618"
"No","1999","North Rhine-Westphalia","secondary school degree","401","0.815907001868112","0.780831763182281","0.850982240553943"
"No","1999","North Rhine-Westphalia","college entrance qualification","297","0.723760322156503","0.678564885853591","0.768955758459414"
"No","1999","North Rhine-Westphalia","Other degree","232","0.991074413112201","0.979049396558491","1.00309942966591"
"No","1999","North Rhine-Westphalia","no degree/no degree yet","178","0.946248435309459","0.913837634514196","0.978659236104723"
"No","1999","Hesse","lower secondary degree","313","0.95514768713492","0.932748159765634","0.977547214504205"
"No","1999","Hesse","secondary school degree","135","0.859395088714176","0.804133549644917","0.914656627783435"
"No","1999","Hesse","college entrance qualification","107","0.78465119361706","0.713159467178652","0.856142920055468"
"No","1999","Hesse","Other degree","84","0.929788810823694","0.876405921372114","0.983171700275274"
"No","1999","Hesse","no degree/no degree yet","69","0.98036219299604","0.947858040855052","1.01286634513703"
"No","1999","Rhineland-Palatinate,Saarland","lower secondary degree","366","0.959746366490701","0.940010037060634","0.979482695920767"
"No","1999","Rhineland-Palatinate,Saarland","secondary school degree","109","0.9092288061979","0.858458924408684","0.959998687987116"
"No","1999","Rhineland-Palatinate,Saarland","college entrance qualification","48","0.956820010756006","0.901034759609075","1.01260526190294"
