"ple0098_v5","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Not Employed","East Germany","1326","0.972788708932445","0.964148119458474","0.981429298406416","2"
"No","1999","Employed","East Germany","2128","0.9407223010053","0.930962751942308","0.950481850068293","2"
"No","1999","Not Employed","West Germany","3016","0.918310471280364","0.908862049076871","0.927758893483857","2"
"No","1999","Employed","West Germany","4954","0.877314694839932","0.868669376672622","0.885960013007241","2"
"Yes","1999","Not Employed","West Germany","212","0.0816895287196361","0.072241106516143","0.0911379509231292","1"
"Yes","1999","Not Employed","East Germany","36","0.0272112910675555","0.0185707015935844","0.0358518805415266","1"
"Yes","1999","Employed","West Germany","578","0.122685305160068","0.114039986992759","0.131330623327378","1"
"Yes","1999","Employed","East Germany","121","0.0592776989946997","0.0495181499317073","0.0690372480576922","1"
"No","2000","Not Employed","East Germany","2152","0.98320060648085","0.977819212695973","0.988582000265727","2"
"No","2000","Employed","East Germany","3159","0.937941427798154","0.929756899137566","0.946125956458743","2"
"No","2000","Not Employed","West Germany","5608","0.911916337572537","0.904807560893003","0.919025114252071","2"
"No","2000","Employed","West Germany","8682","0.875735682754","0.869219730141591","0.882251635366408","2"
"Yes","2000","Not Employed","West Germany","498","0.088083662427463","0.080974885747929","0.095192439106997","1"
"Yes","2000","Not Employed","East Germany","39","0.0167993935191503","0.0114179997342732","0.0221807873040274","1"
"Yes","2000","Employed","West Germany","1164","0.124264317246","0.117748364633592","0.130780269858409","1"
"Yes","2000","Employed","East Germany","179","0.0620585722018456","0.053874043541257","0.0702431008624342","1"
"No","2001","Not Employed","East Germany","2044","0.986315878989752","0.981323208672652","0.991308549306851","2"
"No","2001","Employed","East Germany","2875","0.93487917611642","0.926142597347142","0.943615754885698","2"
"No","2001","Not Employed","West Germany","4907","0.911910925476301","0.904312712381349","0.919509138571253","2"
"No","2001","Employed","West Germany","7961","0.872525028912107","0.865644435524983","0.879405622299231","2"
"Yes","2001","Not Employed","East Germany","36","0.0136841210102483","0.00869145069314895","0.0186767913273476","1"
"Yes","2001","Employed","West Germany","1064","0.127474971087893","0.120594377700769","0.134355564475017","1"
"Yes","2001","Employed","East Germany","189","0.0651208238835797","0.0563842451143014","0.073857402652858","1"
"Yes","2001","Not Employed","West Germany","438","0.088089074523699","0.0804908614287471","0.095687287618651","1"
"No","2002","Employed","East Germany","2758","0.924074467592832","0.914573877127739","0.933575058057925","2"
"No","2002","Not Employed","West Germany","4796","0.899553324893892","0.891524786721308","0.907581863066477","2"
"No","2002","Not Employed","East Germany","2035","0.988283422244618","0.983648961730484","0.992917882758752","2"
"No","2002","Employed","West Germany","7895","0.868388942326864","0.861495082572605","0.875282802081123","2"
"Yes","2002","Not Employed","East Germany","36","0.0117165777553817","0.00708211724124778","0.0163510382695157","1"
"Yes","2002","Employed","West Germany","1343","0.131611057673136","0.124717197918877","0.138504917427395","1"
"Yes","2002","Employed","East Germany","228","0.0759255324071677","0.0664249419420746","0.0854261228722607","1"
"Yes","2002","Not Employed","West Germany","589","0.100446675106108","0.0924181369335231","0.108475213278692","1"
"No","2003","Employed","East Germany","2641","0.919328043488187","0.909362996154496","0.929293090821878","2"
"No","2003","Not Employed","West Germany","4695","0.901325335100925","0.89327212875062","0.909378541451231","2"
"No","2003","Not Employed","East Germany","2034","0.980479890115882","0.974548787713659","0.986410992518104","2"
"No","2003","Employed","West Germany","7437","0.86330139508069","0.856093578122398","0.870509212038982","2"
"Yes","2003","Not Employed","East Germany","56","0.0195201098841185","0.0135890074818961","0.0254512122863409","1"
"Yes","2003","Not Employed","West Germany","573","0.0986746648990746","0.0906214585487687","0.10672787124938","1"
"Yes","2003","Employed","West Germany","1289","0.13669860491931","0.129490787961018","0.143906421877602","1"
"Yes","2003","Employed","East Germany","228","0.080671956511813","0.0707069091781222","0.0906370038455039","1"
"No","2004","Not Employed","West Germany","4624","0.899291868830582","0.891130355771495","0.907453381889668","2"
"No","2004","Not Employed","East Germany","2050","0.972973127058444","0.966058851794933","0.979887402321954","2"
"No","2004","Employed","West Germany","7059","0.852057646830198","0.844458281767513","0.859657011892883","2"
"No","2004","Employed","East Germany","2463","0.910809570324641","0.900102344773709","0.921516795875573","2"
"Yes","2004","Not Employed","East Germany","63","0.0270268729415563","0.0201125976780461","0.0339411482050666","1"
"Yes","2004","Employed","East Germany","259","0.0891904296753591","0.078483204124427","0.0998976552262911","1"
"Yes","2004","Not Employed","West Germany","599","0.100708131169419","0.0925466181103317","0.108869644228505","1"
"Yes","2004","Employed","West Germany","1326","0.147942353169802","0.140342988107117","0.155541718232487","1"
"No","2005","Not Employed","West Germany","4396","0.889850667129588","0.88117974209141","0.898521592167766","2"
"No","2005","Not Employed","East Germany","1968","0.973930358637799","0.967015799626316","0.980844917649282","2"
"No","2005","Employed","West Germany","6600","0.836231825965095","0.828101195496426","0.844362456433765","2"
"No","2005","Employed","East Germany","2308","0.898131243549813","0.886488985069431","0.909773502030194","2"
"Yes","2005","Not Employed","East Germany","72","0.0260696413622007","0.0191550823507176","0.0329842003736839","1"
"Yes","2005","Employed","East Germany","285","0.101868756450187","0.0902264979698056","0.113511014930569","1"
"Yes","2005","Not Employed","West Germany","612","0.110149332870412","0.101478407832234","0.11882025790859","1"
"Yes","2005","Employed","West Germany","1358","0.163768174034905","0.155637543566235","0.171898804503574","1"
"No","2006","Not Employed","West Germany","4689","0.878517346952684","0.869840906767409","0.887193787137959","2"
"No","2006","Not Employed","East Germany","2059","0.964372108616976","0.956556944761015","0.972187272472936","2"
"No","2006","Employed","West Germany","6683","0.814990092254549","0.806670827130072","0.823309357379025","2"
"No","2006","Employed","East Germany","2378","0.875341331227352","0.8629020997807","0.887780562674005","2"
"Yes","2006","Not Employed","East Germany","102","0.0356278913830245","0.027812727527064","0.043443055238985","1"
"Yes","2006","Employed","East Germany","331","0.124658668772648","0.112219437325995","0.1370979002193","1"
"Yes","2006","Not Employed","West Germany","757","0.121482653047316","0.112806212862041","0.130159093232591","1"
"Yes","2006","Employed","West Germany","1686","0.185009907745451","0.176690642620975","0.193329172869928","1"
"No","2007","Not Employed","East Germany","1906","0.947486615504396","0.937809450743896","0.957163780264896","2"
"No","2007","Employed","West Germany","6106","0.795648736396775","0.78670253206805","0.804594940725501","2"
"No","2007","Employed","East Germany","2219","0.878369419908926","0.865710306383481","0.891028533434371","2"
"No","2007","Not Employed","West Germany","4266","0.866307130121879","0.856887236602045","0.875727023641714","2"
"Yes","2007","Not Employed","East Germany","135","0.0525133844956039","0.0428362197351037","0.0621905492561041","1"
"Yes","2007","Employed","East Germany","342","0.121630580091074","0.108971466565629","0.134289693616519","1"
"Yes","2007","Not Employed","West Germany","748","0.133692869878121","0.124272976358286","0.143112763397955","1"
"Yes","2007","Employed","West Germany","1698","0.204351263603225","0.195405059274499","0.21329746793195","1"
"No","2008","Not Employed","East Germany","1779","0.929023585796971","0.917588124775857","0.940459046818085","2"
"No","2008","Employed","West Germany","5641","0.763905933278359","0.75426959473699","0.773542271819728","2"
"No","2008","Employed","East Germany","2091","0.847708913696118","0.833601912953639","0.861815914438597","2"
"No","2008","Not Employed","West Germany","3859","0.839973213423943","0.829466980065548","0.850479446782338","2"
"Yes","2008","Not Employed","West Germany","819","0.160026786576057","0.149520553217662","0.170533019934452","1"
"Yes","2008","Not Employed","East Germany","158","0.070976414203029","0.059540953181915","0.0824118752241429","1"
"Yes","2008","Employed","East Germany","401","0.152291086303882","0.138184085561403","0.166398087046361","1"
"Yes","2008","Employed","West Germany","1820","0.236094066721641","0.226457728180272","0.24573040526301","1"
"No","2009","Not Employed","East Germany","","","","","2"
"No","2009","Not Employed","West Germany","","","","","2"
"No","2009","Employed","West Germany","","","","","2"
"No","2009","Employed","East Germany","","","","","2"
"Yes","2009","Employed","East Germany","","","","","1"
"Yes","2009","Not Employed","West Germany","","","","","1"
"Yes","2009","Not Employed","East Germany","","","","","1"
"Yes","2009","Employed","West Germany","","","","","1"
"No","2010","Not Employed","East Germany","1853","0.931354879957882","0.920317518666165","0.942392241249599","2"
"No","2010","Employed","East Germany","2535","0.831861353107179","0.818573452744447","0.845149253469911","2"
"No","2010","Not Employed","West Germany","4592","0.836935811076858","0.827209678097559","0.846661944056157","2"
"No","2010","Employed","West Germany","7563","0.744993050278079","0.736520285351056","0.753465815205103","2"
"Yes","2010","Employed","East Germany","508","0.168138646892821","0.154850746530089","0.181426547255553","1"
"Yes","2010","Not Employed","West Germany","950","0.163064188923142","0.153338055943843","0.172790321902441","1"
"Yes","2010","Not Employed","East Germany","163","0.0686451200421182","0.0576077587504014","0.0796824813338351","1"
"Yes","2010","Employed","West Germany","2603","0.255006949721921","0.246534184794897","0.263479714648944","1"
"No","2011","Not Employed","East Germany","1772","0.919063502101542","0.906967497773191","0.931159506429892","2"
"No","2011","Employed","East Germany","2082","0.811386020888306","0.796273235367005","0.826498806409606","2"
"No","2011","Not Employed","West Germany","4153","0.81836916772391","0.80783747358567","0.828900861862151","2"
"No","2011","Employed","West Germany","5866","0.742132021283496","0.732583435490045","0.751680607076947","2"
"Yes","2011","Not Employed","West Germany","995","0.18163083227609","0.171099138137849","0.19216252641433","1"
"Yes","2011","Not Employed","East Germany","181","0.0809364978984582","0.0688404935701076","0.0930325022268088","1"
"Yes","2011","Employed","West Germany","2197","0.257867978716504","0.248319392923053","0.267416564509955","1"
"Yes","2011","Employed","East Germany","492","0.188613979111694","0.173501193590394","0.203726764632994","1"
"No","2012","Not Employed","East Germany","2101","0.911282201090339","0.899746885298769","0.922817516881908","2"
"No","2012","Employed","East Germany","2752","0.810671344499221","0.797475560424317","0.823867128574126","2"
"No","2012","Not Employed","West Germany","5144","0.818874551999638","0.80940886581377","0.828340238185507","2"
"No","2012","Employed","West Germany","8617","0.736166050187575","0.728245828163173","0.744086272211977","2"
"Yes","2012","Not Employed","West Germany","1215","0.181125448000362","0.171659761814493","0.19059113418623","1"
"Yes","2012","Not Employed","East Germany","233","0.0887177989096614","0.077182483118092","0.100253114701231","1"
"Yes","2012","Employed","West Germany","3277","0.263833949812425","0.255913727788023","0.271754171836827","1"
"Yes","2012","Employed","East Germany","634","0.189328655500779","0.176132871425874","0.202524439575683","1"
"No","2013","Not Employed","East Germany","1603","0.899370332974728","0.885545368049936","0.91319529789952","2"
"No","2013","Employed","East Germany","1832","0.797386332381081","0.781037537462927","0.813735127299236","2"
"No","2013","Not Employed","West Germany","3526","0.785391795256802","0.773501799686615","0.797281790826988","2"
"No","2013","Employed","West Germany","5204","0.705429258145994","0.695071085111836","0.715787431180152","2"
"Yes","2013","Not Employed","West Germany","1054","0.214608204743198","0.202718209173012","0.226498200313385","1"
"Yes","2013","Not Employed","East Germany","216","0.100629667025272","0.0868047021004796","0.114454631950064","1"
"Yes","2013","Employed","West Germany","2236","0.294570741854006","0.284212568819848","0.304928914888164","1"
"Yes","2013","Employed","East Germany","490","0.202613667618919","0.186264872700764","0.218962462537073","1"
"No","2014","Not Employed","West Germany","5025","0.791647067997234","0.78156787338023","0.801726262614239","2"
"No","2014","Not Employed","East Germany","1841","0.891104342083142","0.877755708485376","0.904452975680908","2"
"No","2014","Employed","East Germany","2504","0.791713946733374","0.777439740303287","0.80598815316346","2"
"No","2014","Employed","West Germany","9084","0.721502335233025","0.713611245958355","0.729393424507694","2"
"Yes","2014","Not Employed","East Germany","251","0.108895657916858","0.0955470243190919","0.122244291514624","1"
"Yes","2014","Employed","West Germany","3312","0.278497664766975","0.270606575492306","0.286388754041645","1"
"Yes","2014","Employed","East Germany","605","0.208286053266626","0.19401184683654","0.222560259696713","1"
"Yes","2014","Not Employed","West Germany","1212","0.208352932002766","0.198273737385761","0.21843212661977","1"
"No","2015","Employed","East Germany","","","","","2"
"No","2015","Not Employed","West Germany","","","","","2"
"No","2015","Not Employed","East Germany","","","","","2"
"No","2015","Employed","West Germany","","","","","2"
"Yes","2015","Not Employed","East Germany","","","","","1"
"Yes","2015","Employed","West Germany","","","","","1"
"Yes","2015","Employed","East Germany","","","","","1"
"Yes","2015","Not Employed","West Germany","","","","","1"
"No","2016","Employed","East Germany","2334","0.824580709043374","0.810629871046789","0.838531547039959","2"
"No","2016","Not Employed","West Germany","4403","0.822904663345918","0.812644547865467","0.833164778826369","2"
"No","2016","Not Employed","East Germany","1663","0.92352910404246","0.91136331613314","0.935694891951781","2"
"No","2016","Employed","West Germany","8579","0.740692602431499","0.732622505344472","0.748762699518526","2"
"Yes","2016","Not Employed","East Germany","170","0.0764708959575395","0.0643051080482193","0.0886366838668597","1"
"Yes","2016","Employed","East Germany","521","0.175419290956626","0.161468452960041","0.189370128953211","1"
"Yes","2016","Not Employed","West Germany","915","0.177095336654082","0.166835221173632","0.187355452134533","1"
"Yes","2016","Employed","West Germany","2750","0.259307397568501","0.251237300481474","0.267377494655528","1"
"No","2017","Not Employed","West Germany","","","","","2"
"No","2017","Not Employed","East Germany","","","","","2"
"No","2017","Employed","West Germany","","","","","2"
"No","2017","Employed","East Germany","","","","","2"
"Yes","2017","Not Employed","East Germany","","","","","1"
"Yes","2017","Employed","East Germany","","","","","1"
"Yes","2017","Not Employed","West Germany","","","","","1"
"Yes","2017","Employed","West Germany","","","","","1"
"No","2018","Not Employed","West Germany","4355","0.812369505522216","0.801834755968169","0.822904255076262","2"
"No","2018","Not Employed","East Germany","1711","0.909013210022304","0.896098791103705","0.921927628940903","2"
"No","2018","Employed","West Germany","9210","0.742716612024746","0.734963570053041","0.75046965399645","2"
"No","2018","Employed","East Germany","2552","0.792798957553007","0.778828110379365","0.806769804726648","2"
"Yes","2018","Not Employed","East Germany","194","0.090986789977696","0.0780723710590969","0.103901208896295","1"
"Yes","2018","Employed","East Germany","681","0.207201042446993","0.193230195273352","0.221171889620635","1"
"Yes","2018","Not Employed","West Germany","921","0.187630494477784","0.177095744923738","0.198165244031831","1"
"Yes","2018","Employed","West Germany","3002","0.257283387975254","0.24953034600355","0.265036429946959","1"
