"ple0098_v5","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1999","West Germany","7970","0.894324003622237","0.887886289943423","0.900761717301052","2"
"No","1999","East Germany","3454","0.955174071191974","0.948425058300413","0.961923084083534","2"
"Yes","1999","West Germany","790","0.105675996377763","0.0992382826989481","0.112113710056577","1"
"Yes","1999","East Germany","157","0.0448259288080266","0.0380769159164663","0.0515749416995868","1"
"No","2000","West Germany","14290","0.890420108279427","0.885572768830054","0.8952674477288","2"
"No","2000","East Germany","5312","0.958246590958398","0.952974654867568","0.963518527049228","2"
"Yes","2000","West Germany","1662","0.109579891720573","0.1047325522712","0.114427231169946","1"
"Yes","2000","East Germany","218","0.0417534090416021","0.0364814729507719","0.0470253451324322","1"
"No","2001","West Germany","12868","0.888070258544302","0.882915407502228","0.893225109586376","2"
"No","2001","East Germany","4919","0.957980081736687","0.952497268502596","0.963462894970779","2"
"Yes","2001","West Germany","1502","0.111929741455698","0.106774890413624","0.117084592497772","1"
"Yes","2001","East Germany","225","0.0420199182633126","0.0365371050292211","0.0475027314974042","1"
"No","2002","West Germany","12691","0.880889975380845","0.8756399084258","0.88614004233589","2"
"No","2002","East Germany","4793","0.953710337154787","0.947919359782728","0.959501314526846","2"
"Yes","2002","West Germany","1932","0.119110024619155","0.11385995766411","0.1243600915742","1"
"Yes","2002","East Germany","264","0.0462896628452126","0.0404986854731537","0.0520806402172714","1"
"No","2003","West Germany","12132","0.878944047163282","0.873539605342329","0.884348488984234","2"
"No","2003","East Germany","4675","0.948457987238896","0.942304224142548","0.954611750335244","2"
"Yes","2003","West Germany","1862","0.121055952836718","0.115651511015766","0.126460394657671","1"
"Yes","2003","East Germany","284","0.0515420127611042","0.0453882496647562","0.0576957758574522","1"
"No","2004","West Germany","11683","0.871753283824776","0.866135424453993","0.877371143195559","2"
"No","2004","East Germany","4513","0.941374712224727","0.934752949580215","0.947996474869239","2"
"Yes","2004","West Germany","1925","0.128246716175224","0.122628856804441","0.133864575546007","1"
"Yes","2004","East Germany","322","0.058625287775273","0.0520035251307614","0.0652470504197847","1"
"No","2005","West Germany","10996","0.857965524134066","0.851956874411963","0.863974173856168","2"
"No","2005","East Germany","4276","0.934623813364132","0.927506023629578","0.941741603098685","2"
"Yes","2005","West Germany","1970","0.142034475865934","0.136025826143831","0.148043125588037","1"
"Yes","2005","East Germany","357","0.0653761866358682","0.0582583969013147","0.0724939763704217","1"
"No","2006","West Germany","11372","0.841009536352248","0.834911940380875","0.847107132323622","2"
"No","2006","East Germany","4437","0.918067304805611","0.910364489376934","0.925770120234288","2"
