"ple0098_v5","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Couple + C. GT 16 ","West Germany","1461","0.937514330481976","0.92548055914103","0.949548101822922","2"
"No","1999","1-pers.-HH","West Germany","1002","0.896144924321054","0.878173716414386","0.914116132227721","2"
"No","1999","1-pers.-HH","East Germany","399","0.972073148502834","0.956163523463933","0.987982773541735","2"
"No","1999","(Married) couple without C. ","West Germany","2267","0.864715000428142","0.851494181066456","0.877935819789827","2"
"No","1999","(Married) couple without C. ","East Germany","1088","0.953837028909874","0.941623939707027","0.966050118112722","2"
"No","1999","Single parent ","West Germany","417","0.899606658914425","0.872053666313103","0.927159651515748","2"
"No","1999","Couple + C. GT 16 ","East Germany","680","0.954681771586591","0.939456877140017","0.969906666033164","2"
"No","1999","Single parent ","East Germany","188","0.930045501514864","0.894695208730671","0.965395794299057","2"
"No","1999","Couple + C. LE 16 ","West Germany","1855","0.896871852351871","0.883668025916519","0.910075678787223","2"
"No","1999","Couple + C. LE 16 ","East Germany","648","0.955929796799065","0.94042285757069","0.97143673602744","2"
"No","1999","Couple + C. LE and GT 16","West Germany","650","0.913032387409425","0.892112778187453","0.933951996631396","2"
"No","1999","Couple + C. LE and GT 16","East Germany","332","0.942732579009676","0.918424949781082","0.96704020823827","2"
"Yes","1999","1-pers.-HH","West Germany","105","0.103855075678946","0.0858838677722785","0.121826283585614","1"
"Yes","1999","1-pers.-HH","East Germany","13","","","","1"
"Yes","1999","(Married) couple without C. ","West Germany","304","0.135284999571858","0.122064180210172","0.148505818933544","1"
"Yes","1999","(Married) couple without C. ","East Germany","46","0.0461629710901258","0.0339498818872783","0.0583760602929733","1"
"Yes","1999","Single parent ","West Germany","40","0.100393341085575","0.0728403484842521","0.127946333686897","1"
"Yes","1999","Single parent ","East Germany","12","","","","1"
"Yes","1999","Couple + C. LE 16 ","West Germany","183","0.103128147648129","0.0899243212127769","0.116331974083481","1"
"Yes","1999","Couple + C. LE 16 ","East Germany","25","","","","1"
"Yes","1999","Couple + C. GT 16 ","West Germany","93","0.0624856695180239","0.050451898177078","0.0745194408589699","1"
"Yes","1999","Couple + C. GT 16 ","East Germany","37","0.0453182284134092","0.0300933339668358","0.0605431228599826","1"
"Yes","1999","Couple + C. LE and GT 16","West Germany","47","0.0869676125905754","0.0660480033686039","0.107887221812547","1"
"Yes","1999","Couple + C. LE and GT 16","East Germany","19","","","","1"
"No","2000","Couple + C. GT 16 ","West Germany","2236","0.907894704480527","0.896469806628253","0.919319602332801","2"
"No","2000","1-pers.-HH","West Germany","2000","0.889219488392295","0.876210355181988","0.902228621602603","2"
"No","2000","1-pers.-HH","East Germany","714","0.972163438088017","0.960254486140585","0.98407239003545","2"
"No","2000","(Married) couple without C. ","West Germany","4252","0.867934910536769","0.85843011186648","0.877439709207059","2"
"No","2000","Couple + C. GT 16 ","East Germany","1004","0.945742567847335","0.932054053747536","0.959431081947134","2"
"No","2000","(Married) couple without C. ","East Germany","1741","0.959340461236373","0.950229229501264","0.968451692971482","2"
"No","2000","Single parent ","West Germany","743","0.911909917657303","0.892355233706883","0.931464601607722","2"
"No","2000","Single parent ","East Germany","287","0.954929466750495","0.931608674784352","0.978250258716639","2"
"No","2000","Couple + C. LE 16 ","West Germany","3284","0.891806661219995","0.881759754450124","0.901853567989866","2"
"No","2000","Couple + C. LE 16 ","East Germany","909","0.950143203920369","0.936310262148529","0.963976145692209","2"
"No","2000","Couple + C. LE and GT 16","West Germany","1166","0.936727108518277","0.923198495129828","0.950255721906725","2"
"No","2000","Couple + C. LE and GT 16","East Germany","467","0.94918104561575","0.929793982576128","0.968568108655373","2"
"Yes","2000","1-pers.-HH","West Germany","236","0.110780511607705","0.0977713783973975","0.123789644818012","1"
"Yes","2000","1-pers.-HH","East Germany","19","","","","1"
"Yes","2000","(Married) couple without C. ","West Germany","622","0.132065089463231","0.122560290792941","0.14156988813352","1"
"Yes","2000","(Married) couple without C. ","East Germany","64","0.040659538763627","0.0315483070285175","0.0497707704987365","1"
"Yes","2000","Single parent ","West Germany","64","0.0880900823426972","0.0685353983922777","0.107644766293117","1"
"Yes","2000","Single parent ","East Germany","17","","","","1"
"Yes","2000","Couple + C. LE 16 ","West Germany","388","0.108193338780005","0.0981464320101338","0.118240245549876","1"
"Yes","2000","Couple + C. LE 16 ","East Germany","42","0.0498567960796307","0.0360238543077906","0.0636897378514708","1"
"Yes","2000","Couple + C. GT 16 ","West Germany","225","0.0921052955194731","0.0806803976671993","0.103530193371747","1"
"Yes","2000","Couple + C. GT 16 ","East Germany","48","0.054257432152665","0.040568918052866","0.0679459462524639","1"
"Yes","2000","Couple + C. LE and GT 16","West Germany","78","0.0632728914817235","0.0497442780932751","0.076801504870172","1"
"Yes","2000","Couple + C. LE and GT 16","East Germany","26","","","","1"
"No","2001","Couple + C. GT 16 ","West Germany","2007","0.892650869751589","0.879845857461477","0.905455882041701","2"
"No","2001","1-pers.-HH","West Germany","1767","0.887565744647121","0.873612512395725","0.901518976898517","2"
"No","2001","(Married) couple without C. ","West Germany","3838","0.871067558167157","0.86111325411149","0.881021862222824","2"
"No","2001","1-pers.-HH","East Germany","661","0.95755121731118","0.942486274114695","0.972616160507665","2"
"No","2001","Single parent ","West Germany","690","0.938866677718777","0.921605389950433","0.956127965487121","2"
"No","2001","(Married) couple without C. ","East Germany","1679","0.968461379070621","0.960235429414415","0.976687328726827","2"
"No","2001","Couple + C. GT 16 ","East Germany","905","0.944268243649219","0.929764321691901","0.958772165606538","2"
"No","2001","Single parent ","East Germany","282","0.960306856309673","0.938065308933094","0.982548403686252","2"
"No","2001","Couple + C. LE 16 ","West Germany","2942","0.870413457801452","0.859030432372579","0.881796483230326","2"
"No","2001","Couple + C. LE 16 ","East Germany","797","0.949430724353474","0.934630542470985","0.964230906235963","2"
"No","2001","Couple + C. LE and GT 16","West Germany","1048","0.954609865751408","0.942336585677707","0.966883145825108","2"
"No","2001","Couple + C. LE and GT 16","East Germany","458","0.949134106283839","0.929538818087711","0.968729394479967","2"
"Yes","2001","Single parent ","West Germany","50","0.0611333222812232","0.0438720345128793","0.0783946100495671","1"
"Yes","2001","Single parent ","East Germany","14","","","","1"
"Yes","2001","Couple + C. LE 16 ","West Germany","402","0.129586542198548","0.118203516769674","0.140969567627421","1"
"Yes","2001","Couple + C. LE 16 ","East Germany","45","0.0505692756465262","0.0357690937640374","0.0653694575290149","1"
"Yes","2001","Couple + C. GT 16 ","West Germany","238","0.107349130248411","0.0945441179582992","0.120154142538523","1"
"Yes","2001","Couple + C. GT 16 ","East Germany","56","0.0557317563507807","0.0412278343934623","0.0702356783080992","1"
"Yes","2001","Couple + C. LE and GT 16","West Germany","57","0.0453901342485921","0.0331168541748915","0.0576634143222927","1"
"Yes","2001","Couple + C. LE and GT 16","East Germany","25","","","","1"
"Yes","2001","1-pers.-HH","West Germany","202","0.112434255352879","0.0984810231014827","0.126387487604275","1"
"Yes","2001","1-pers.-HH","East Germany","27","","","","1"
"Yes","2001","(Married) couple without C. ","West Germany","516","0.128932441832843","0.118978137777176","0.13888674588851","1"
"Yes","2001","(Married) couple without C. ","East Germany","55","0.0315386209293791","0.0233126712731734","0.0397645705855848","1"
"No","2002","Couple + C. GT 16 ","West Germany","2044","0.898517299883294","0.886336962273345","0.910697637493243","2"
"No","2002","(Married) couple without C. ","West Germany","3834","0.861192991045058","0.851155691804175","0.871230290285942","2"
"No","2002","1-pers.-HH","West Germany","1737","0.883220608096758","0.868966223017633","0.897474993175883","2"
"No","2002","1-pers.-HH","East Germany","674","0.9558817056766","0.94065798051515","0.97110543083805","2"
"No","2002","Single parent ","West Germany","691","0.921936586186382","0.902762553407763","0.941110618965","2"
"No","2002","(Married) couple without C. ","East Germany","1648","0.967668973215192","0.959300184449269","0.976037761981115","2"
"No","2002","Couple + C. LE 16 ","West Germany","2761","0.866283717203455","0.854528182757075","0.878039251649835","2"
"No","2002","Single parent ","East Germany","266","0.97315068287748","0.954149424602242","0.992151941152718","2"
"No","2002","Couple + C. GT 16 ","East Germany","957","0.94164748402798","0.927297212237212","0.955997755818747","2"
"No","2002","Couple + C. LE 16 ","East Germany","711","0.933574309545035","0.915904644911429","0.951243974178642","2"
"No","2002","Couple + C. LE and GT 16","West Germany","1112","0.928354112080918","0.913911940044312","0.942796284117523","2"
"No","2002","Couple + C. LE and GT 16","East Germany","403","0.930337886730814","0.906359342163617","0.95431643129801","2"
"Yes","2002","Single parent ","West Germany","61","0.0780634138136182","0.0588893810349999","0.0972374465922366","1"
"Yes","2002","Single parent ","East Germany","12","","","","1"
"Yes","2002","Couple + C. LE 16 ","West Germany","459","0.133716282796545","0.121960748350165","0.145471817242925","1"
"Yes","2002","Couple + C. LE 16 ","East Germany","52","0.0664256904549645","0.0487560258213577","0.0840953550885714","1"
"Yes","2002","Couple + C. GT 16 ","West Germany","317","0.101482700116706","0.0893023625067567","0.113663037726655","1"
"Yes","2002","Couple + C. GT 16 ","East Germany","68","0.0583525159720202","0.0440022441812529","0.0727027877627875","1"
"Yes","2002","Couple + C. LE and GT 16","West Germany","113","0.0716458879190824","0.057203715882477","0.0860880599556878","1"
