"ple0098_v5","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2018","no degree/no degree yet","Female","33","0.101094247553788","0.0737242073983529","0.128464287709224"
"No","2018","lower secondary degree","Male","2233","0.832829674142445","0.818679270219257","0.846980078065633"
"No","2018","lower secondary degree","Female","2315","0.826055864790963","0.811929461266979","0.840182268314947"
"No","2018","secondary school degree","Male","1977","0.751210426130302","0.734580411222658","0.767840441037945"
"No","2018","secondary school degree","Female","2907","0.714654662683453","0.700667341013477","0.728641984353429"
"No","2018","college entrance qualification","Male","1863","0.704605682909068","0.687049211082039","0.722162154736098"
"No","2018","college entrance qualification","Female","2143","0.680518964194068","0.664289931765161","0.696747996622975"
"No","2018","Other degree","Male","1164","0.915557137308319","0.900124538562223","0.930989736054415"
"No","2018","Other degree","Female","1449","0.899460949226481","0.884665840046627","0.914256058406336"
"No","2018","no degree/no degree yet","Male","338","0.938194802020094","0.913215920091864","0.963173683948324"
"No","2018","no degree/no degree yet","Female","433","0.898905752446212","0.871535712290776","0.926275792601647"
