"ple0098_v5","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1999","1-pers.-HH","no migration background","110","0.0916048213349818","0.0759897734115714","0.107219869258392"
"Yes","1999","1-pers.-HH","direct migration background","6","","",""
"Yes","1999","1-pers.-HH","indirect migration background","2","","",""
"Yes","1999","(Married) couple without C. ","no migration background","319","0.121112008896053","0.109574877083877","0.132649140708229"
"Yes","1999","(Married) couple without C. ","direct migration background","21","","",""
"Yes","1999","(Married) couple without C. ","indirect migration background","10","","",""
"Yes","1999","Single parent ","no migration background","46","0.0983709555412083","0.0724985630180898","0.124243348064327"
"Yes","1999","Single parent ","direct migration background","2","","",""
"Yes","1999","Single parent ","indirect migration background","4","","",""
"Yes","1999","Couple + C. LE 16 ","no migration background","189","0.106116871255688","0.0928040799345734","0.119429662576803"
"Yes","1999","Couple + C. LE 16 ","direct migration background","17","","",""
"Yes","1999","Couple + C. LE 16 ","indirect migration background","2","","",""
"Yes","1999","Couple + C. GT 16 ","no migration background","122","0.0710597562857929","0.058722563869206","0.0833969487023797"
"Yes","1999","Couple + C. GT 16 ","direct migration background","4","","",""
"Yes","1999","Couple + C. GT 16 ","indirect migration background","4","","",""
"Yes","1999","Couple + C. LE and GT 16","no migration background","59","0.100058801400709","0.07835005345883","0.121767549342588"
"Yes","1999","Couple + C. LE and GT 16","direct migration background","3","","",""
"Yes","1999","Couple + C. LE and GT 16","indirect migration background","4","","",""
"No","1999","1-pers.-HH","no migration background","1201","0.908395178665018","0.892780130741608","0.924010226588429"
"No","1999","1-pers.-HH","direct migration background","151","0.938737503483394","0.901225721591563","0.976249285375225"
"No","1999","1-pers.-HH","indirect migration background","49","0.927619351063414","0.856504690875368","0.99873401125146"
"No","1999","(Married) couple without C. ","no migration background","2753","0.878887991103947","0.867350859291771","0.890425122916123"
"No","1999","(Married) couple without C. ","direct migration background","534","0.91784507157768","0.894999443598998","0.940690699556363"
"No","1999","(Married) couple without C. ","indirect migration background","68","0.847505959975894","0.767725119841871","0.927286800109917"
"No","1999","Single parent ","no migration background","463","0.901629044458792","0.875756651935673","0.92750143698191"
"No","1999","Single parent ","direct migration background","95","0.97325824590268","0.941153353751911","1.00536313805345"
"No","1999","Single parent ","indirect migration background","47","0.845334938188724","0.746097962086385","0.944571914291063"
"No","1999","Couple + C. LE 16 ","no migration background","1867","0.893883128744312","0.880570337423197","0.907195920065427"
"No","1999","Couple + C. LE 16 ","direct migration background","543","0.960795446567225","0.944720934417619","0.976869958716831"
"No","1999","Couple + C. LE 16 ","indirect migration background","93","0.985861205070159","0.962120130366917","1.0096022797734"
"No","1999","Couple + C. GT 16 ","no migration background","1544","0.928940243714207","0.91660305129762","0.941277436130794"
"No","1999","Couple + C. GT 16 ","direct migration background","420","0.989292515442853","0.979496008450888","0.999089022434819"
"No","1999","Couple + C. GT 16 ","indirect migration background","177","0.978455370841151","0.95730349805291","0.999607243629393"
"No","1999","Couple + C. LE and GT 16","no migration background","675","0.899941198599291","0.878232450657412","0.92164994654117"
"No","1999","Couple + C. LE and GT 16","direct migration background","213","0.98672426701263","0.971460969327596","1.00198756469766"
"No","1999","Couple + C. LE and GT 16","indirect migration background","94","0.918351415904216","0.864137118725346","0.972565713083086"
"Yes","2000","1-pers.-HH","no migration background","243","0.100445697805964","0.0889268621047528","0.111964533507174"
"Yes","2000","1-pers.-HH","direct migration background","9","","",""
"Yes","2000","1-pers.-HH","indirect migration background","3","","",""
"Yes","2000","(Married) couple without C. ","no migration background","636","0.117935938126526","0.10964680644255","0.126225069810502"
"Yes","2000","(Married) couple without C. ","direct migration background","36","0.0653345156451759","0.0477193539611895","0.0829496773291623"
"Yes","2000","(Married) couple without C. ","indirect migration background","14","","",""
"Yes","2000","Single parent ","no migration background","70","0.0819128105474676","0.0639265765560675","0.0998990445388677"
"Yes","2000","Single parent ","direct migration background","7","","",""
"Yes","2000","Single parent ","indirect migration background","4","","",""
"Yes","2000","Couple + C. LE 16 ","no migration background","385","0.112436924632858","0.102087377799604","0.122786471466112"
"Yes","2000","Couple + C. LE 16 ","direct migration background","35","0.044687053206382","0.0312257380627925","0.0581483683499714"
"Yes","2000","Couple + C. LE 16 ","indirect migration background","10","","",""
"Yes","2000","Couple + C. GT 16 ","no migration background","247","0.0936548592503399","0.0827617542490267","0.104547964251653"
"Yes","2000","Couple + C. GT 16 ","direct migration background","15","","",""
"Yes","2000","Couple + C. GT 16 ","indirect migration background","11","","",""
"Yes","2000","Couple + C. LE and GT 16","no migration background","95","0.0798030566083809","0.0647200679460455","0.0948860452707163"
"Yes","2000","Couple + C. LE and GT 16","direct migration background","7","","",""
"Yes","2000","Couple + C. LE and GT 16","indirect migration background","2","","",""
"No","2000","1-pers.-HH","no migration background","2373","0.899554302194036","0.888035466492826","0.911073137895247"
"No","2000","1-pers.-HH","direct migration background","264","0.96866401845636","0.94799713440925","0.989330902503469"
"No","2000","1-pers.-HH","indirect migration background","77","0.933289690207156","0.878612295816941","0.987967084597371"
"No","2000","(Married) couple without C. ","no migration background","5180","0.882064061873474","0.873774930189498","0.89035319355745"
"No","2000","(Married) couple without C. ","direct migration background","720","0.934665484354824","0.917050322670838","0.95228064603881"
"No","2000","(Married) couple without C. ","indirect migration background","93","0.838029182352322","0.768221348733664","0.907837015970979"
"No","2000","Single parent ","no migration background","823","0.918087189452532","0.900100955461132","0.936073423443933"
"No","2000","Single parent ","direct migration background","142","0.958021364610021","0.925821302282238","0.990221426937805"
"No","2000","Single parent ","indirect migration background","65","0.888419044215304","0.814129530762292","0.962708557668315"
"No","2000","Couple + C. LE 16 ","no migration background","3194","0.887563075367142","0.877213528533888","0.897912622200397"
"No","2000","Couple + C. LE 16 ","direct migration background","870","0.955312946793618","0.941851631650029","0.968774261937208"
"No","2000","Couple + C. LE 16 ","indirect migration background","129","0.917851293102147","0.872202718740932","0.963499867463363"
"No","2000","Couple + C. GT 16 ","no migration background","2501","0.90634514074966","0.895452035748347","0.917238245750973"
"No","2000","Couple + C. GT 16 ","direct migration background","523","0.963368708422261","0.947494965707832","0.979242451136689"
"No","2000","Couple + C. GT 16 ","indirect migration background","216","0.945778535350264","0.916319704179493","0.975237366521036"
"No","2000","Couple + C. LE and GT 16","no migration background","1145","0.920196943391619","0.905113954729284","0.935279932053954"
"No","2000","Couple + C. LE and GT 16","direct migration background","365","0.986280845789555","0.974460216719031","0.998101474860078"
"No","2000","Couple + C. LE and GT 16","indirect migration background","123","0.967028872733458","0.935726323815688","0.998331421651228"
"Yes","2001","1-pers.-HH","no migration background","215","0.102792980071279","0.0905041044956497","0.115081855646908"
"Yes","2001","1-pers.-HH","direct migration background","8","","",""
"Yes","2001","1-pers.-HH","indirect migration background","6","","",""
"Yes","2001","(Married) couple without C. ","no migration background","533","0.114630849831399","0.106031347096372","0.123230352566427"
"Yes","2001","(Married) couple without C. ","direct migration background","23","","",""
"Yes","2001","(Married) couple without C. ","indirect migration background","15","","",""
"Yes","2001","Single parent ","no migration background","56","0.0609504525810983","0.0447718439535498","0.0771290612086468"
"Yes","2001","Single parent ","direct migration background","5","","",""
"Yes","2001","Single parent ","indirect migration background","3","","",""
"Yes","2001","Couple + C. LE 16 ","no migration background","405","0.131881309773135","0.120250209888168","0.143512409658102"
"Yes","2001","Couple + C. LE 16 ","direct migration background","26","","",""
"Yes","2001","Couple + C. LE 16 ","indirect migration background","16","","",""
"Yes","2001","Couple + C. GT 16 ","no migration background","274","0.107889997330562","0.0958509351561529","0.119929059504971"
"Yes","2001","Couple + C. GT 16 ","direct migration background","11","","",""
"Yes","2001","Couple + C. GT 16 ","indirect migration background","9","","",""
"Yes","2001","Couple + C. LE and GT 16","no migration background","76","0.0624215979935378","0.0486475955954926","0.0761956003915831"
"Yes","2001","Couple + C. LE and GT 16","direct migration background","3","","",""
"Yes","2001","Couple + C. LE and GT 16","indirect migration background","3","","",""
"No","2001","1-pers.-HH","no migration background","2131","0.897207019928721","0.884918144353092","0.90949589550435"
"No","2001","1-pers.-HH","direct migration background","216","0.969548104631397","0.947046373703645","0.992049835559149"
"No","2001","1-pers.-HH","indirect migration background","81","0.868247794122759","0.797177312815626","0.939318275429892"
"No","2001","(Married) couple without C. ","no migration background","4739","0.885369150168601","0.876769647433574","0.893968652903628"
"No","2001","(Married) couple without C. ","direct migration background","693","0.948581878736024","0.932405284432149","0.964758473039898"
"No","2001","(Married) couple without C. ","indirect migration background","85","0.817131820392167","0.741367763187208","0.892895877597125"
"No","2001","Single parent ","no migration background","784","0.939049547418902","0.922870938791353","0.95522815604645"
"No","2001","Single parent ","direct migration background","135","0.971125181524807","0.943386787544745","0.998863575504868"
"No","2001","Single parent ","indirect migration background","53","0.942331328697359","0.881275677854182","1.00338697954054"
"No","2001","Couple + C. LE 16 ","no migration background","2846","0.868118690226865","0.856487590341898","0.879749790111832"
"No","2001","Couple + C. LE 16 ","direct migration background","752","0.947300899617167","0.931600747214929","0.963001052019405"
"No","2001","Couple + C. LE 16 ","indirect migration background","141","0.865990708987615","0.81270357828308","0.91927783969215"
"No","2001","Couple + C. GT 16 ","no migration background","2277","0.892110002669438","0.880070940495029","0.904149064843847"
"No","2001","Couple + C. GT 16 ","direct migration background","447","0.978307680647273","0.964966137092971","0.991649224201575"
"No","2001","Couple + C. GT 16 ","indirect migration background","188","0.895618012515508","0.852921817980967","0.938314207050049"
"No","2001","Couple + C. LE and GT 16","no migration background","1109","0.937578402006462","0.923804399608417","0.951352404404507"
"No","2001","Couple + C. LE and GT 16","direct migration background","298","0.99421447091526","0.985646530770975","1.00278241105954"
"No","2001","Couple + C. LE and GT 16","indirect migration background","99","0.986146722789757","0.963464007824438","1.00882943775508"
"Yes","2002","1-pers.-HH","no migration background","222","0.107474054595437","0.0949171967858634","0.120030912405011"
"Yes","2002","1-pers.-HH","direct migration background","9","","",""
"Yes","2002","1-pers.-HH","indirect migration background","7","","",""
"Yes","2002","(Married) couple without C. ","no migration background","757","0.126525988765381","0.117712900064344","0.135339077466417"
"Yes","2002","(Married) couple without C. ","direct migration background","26","","",""
"Yes","2002","(Married) couple without C. ","indirect migration background","9","","",""
"Yes","2002","Single parent ","no migration background","62","0.0665511731038072","0.0497559404496543","0.0833464057579602"
"Yes","2002","Single parent ","direct migration background","10","","",""
"Yes","2002","Single parent ","indirect migration background","1","","",""
"Yes","2002","Couple + C. LE 16 ","no migration background","458","0.140909246488352","0.128706674806669","0.153111818170034"
"Yes","2002","Couple + C. LE 16 ","direct migration background","37","0.0608351093287839","0.0431658437159287","0.078504374941639"
"Yes","2002","Couple + C. LE 16 ","indirect migration background","16","","",""
"Yes","2002","Couple + C. GT 16 ","no migration background","357","0.102814326388073","0.0915141667306275","0.114114486045518"
"Yes","2002","Couple + C. GT 16 ","direct migration background","13","","",""
"Yes","2002","Couple + C. GT 16 ","indirect migration background","15","","",""
"Yes","2002","Couple + C. LE and GT 16","no migration background","130","0.0923964256639275","0.0764067924081564","0.108386058919699"
"Yes","2002","Couple + C. LE and GT 16","direct migration background","9","","",""
"Yes","2002","Couple + C. LE and GT 16","indirect migration background","4","","",""
"No","2002","1-pers.-HH","no migration background","2115","0.892525945404563","0.879969087594989","0.905082803214137"
"No","2002","1-pers.-HH","direct migration background","216","0.962262396850851","0.937362889988396","0.987161903713306"
"No","2002","1-pers.-HH","indirect migration background","80","0.904225982833044","0.84238864167123","0.966063323994857"
"No","2002","(Married) couple without C. ","no migration background","4709","0.873474011234619","0.864660922533583","0.882287099935656"
"No","2002","(Married) couple without C. ","direct migration background","693","0.957893969757921","0.943214359864453","0.972573579651389"
"No","2002","(Married) couple without C. ","indirect migration background","80","0.896471571465563","0.833179230415209","0.959763912515917"
"No","2002","Single parent ","no migration background","784","0.933448826896193","0.91665359424204","0.950244059550346"
"No","2002","Single parent ","direct migration background","123","0.920371976765744","0.874363597862815","0.966380355668674"
"No","2002","Single parent ","indirect migration background","50","0.963752381149595","0.912456147804984","1.01504861449421"
"No","2002","Couple + C. LE 16 ","no migration background","2665","0.859090753511648","0.846888181829966","0.871293325193331"
"No","2002","Couple + C. LE 16 ","direct migration background","666","0.939164890671216","0.921495625058361","0.956834156284071"
"No","2002","Couple + C. LE 16 ","indirect migration background","141","0.912160817545793","0.867883825058402","0.956437810033184"
"No","2002","Couple + C. GT 16 ","no migration background","2418","0.897185673611927","0.885885513954482","0.908485833269372"
"No","2002","Couple + C. GT 16 ","direct migration background","413","0.973283534517513","0.957970809613604","0.988596259421421"
"No","2002","Couple + C. GT 16 ","indirect migration background","170","0.910909987863474","0.869859864379072","0.951960111347876"
"No","2002","Couple + C. LE and GT 16","no migration background","1130","0.907603574336073","0.891613941080301","0.923593207591844"
"No","2002","Couple + C. LE and GT 16","direct migration background","271","0.982031979549194","0.966472967852134","0.997590991246255"
"No","2002","Couple + C. LE and GT 16","indirect migration background","114","0.980872992889906","0.956159337558977","1.00558664822084"
"Yes","2003","1-pers.-HH","no migration background","220","0.105153540050444","0.0925898688808313","0.117717211220056"
"Yes","2003","1-pers.-HH","direct migration background","10","","",""
"Yes","2003","1-pers.-HH","indirect migration background","9","","",""
"Yes","2003","(Married) couple without C. ","no migration background","743","0.122551583782944","0.113802100981289","0.131301066584599"
"Yes","2003","(Married) couple without C. ","direct migration background","22","","",""
"Yes","2003","(Married) couple without C. ","indirect migration background","15","","",""
"Yes","2003","Single parent ","no migration background","64","0.0702061904143086","0.0527719855174794","0.0876403953111378"
"Yes","2003","Single parent ","direct migration background","8","","",""
"Yes","2003","Single parent ","indirect migration background","1","","",""
"Yes","2003","Couple + C. LE 16 ","no migration background","440","0.151770696808877","0.138643930838853","0.164897462778901"
"Yes","2003","Couple + C. LE 16 ","direct migration background","27","","",""
"Yes","2003","Couple + C. LE 16 ","indirect migration background","17","","",""
"Yes","2003","Couple + C. GT 16 ","no migration background","370","0.125882128569303","0.113486463459042","0.138277793679563"
"Yes","2003","Couple + C. GT 16 ","direct migration background","16","","",""
"Yes","2003","Couple + C. GT 16 ","indirect migration background","11","","",""
"Yes","2003","Couple + C. LE and GT 16","no migration background","115","0.10041303242961","0.0832863857784738","0.117539679080747"
"Yes","2003","Couple + C. LE and GT 16","direct migration background","9","","",""
"Yes","2003","Couple + C. LE and GT 16","indirect migration background","7","","",""
"No","2003","1-pers.-HH","no migration background","2070","0.894846459949557","0.882282788779944","0.907410131119169"
"No","2003","1-pers.-HH","direct migration background","212","0.969976728896693","0.947528542219806","0.99242491557358"
"No","2003","1-pers.-HH","indirect migration background","65","0.869270117706023","0.792463782837289","0.946076452574757"
"No","2003","(Married) couple without C. ","no migration background","4653","0.877448416217056","0.868698933415401","0.886197899018711"
"No","2003","(Married) couple without C. ","direct migration background","665","0.972489553566788","0.96025858038393","0.984720526749647"
"No","2003","(Married) couple without C. ","indirect migration background","98","0.781310045829412","0.705096004660153","0.857524086998671"
"No","2003","Single parent ","no migration background","761","0.929793809585691","0.912359604688862","0.94722801448252"
"No","2003","Single parent ","direct migration background","127","0.939631226680996","0.899455281483463","0.979807171878528"
"No","2003","Single parent ","indirect migration background","59","0.978752478745491","0.942263388171813","1.01524156931917"
"No","2003","Couple + C. LE 16 ","no migration background","2430","0.848229303191123","0.835102537221099","0.861356069161147"
"No","2003","Couple + C. LE 16 ","direct migration background","602","0.947110384067813","0.929619640442154","0.964601127693472"
"No","2003","Couple + C. LE 16 ","indirect migration background","145","0.922939189115116","0.88187210057084","0.964006277659392"
"No","2003","Couple + C. GT 16 ","no migration background","2381","0.874117871430698","0.861722206320437","0.886513536540958"
"No","2003","Couple + C. GT 16 ","direct migration background","394","0.94314087132269","0.920725571848556","0.965556170796824"
"No","2003","Couple + C. GT 16 ","indirect migration background","163","0.917324030009279","0.876405078073675","0.958242981944883"
"No","2003","Couple + C. LE and GT 16","no migration background","1068","0.89958696757039","0.882460320919253","0.916713614221526"
"No","2003","Couple + C. LE and GT 16","direct migration background","266","0.984238711879648","0.969518033661888","0.998959390097407"
"No","2003","Couple + C. LE and GT 16","indirect migration background","106","0.960490034068951","0.924572324998379","0.996407743139524"
"Yes","2004","1-pers.-HH","no migration background","241","0.114130933806399","0.10100125963009","0.127260607982708"
"Yes","2004","1-pers.-HH","direct migration background","11","","",""
"Yes","2004","1-pers.-HH","indirect migration background","6","","",""
"Yes","2004","(Married) couple without C. ","no migration background","777","0.129705566349889","0.120704324126506","0.138706808573273"
"Yes","2004","(Married) couple without C. ","direct migration background","28","","",""
"Yes","2004","(Married) couple without C. ","indirect migration background","9","","",""
"Yes","2004","Single parent ","no migration background","81","0.102871005890132","0.0817669709724159","0.123975040807848"
"Yes","2004","Single parent ","direct migration background","9","","",""
"Yes","2004","Single parent ","indirect migration background","1","","",""
"Yes","2004","Couple + C. LE 16 ","no migration background","415","0.147662339072802","0.134200763631556","0.161123914514049"
"Yes","2004","Couple + C. LE 16 ","direct migration background","21","","",""
"Yes","2004","Couple + C. LE 16 ","indirect migration background","18","","",""
"Yes","2004","Couple + C. GT 16 ","no migration background","391","0.130478358185484","0.117836382183004","0.143120334187963"
"Yes","2004","Couple + C. GT 16 ","direct migration background","19","","",""
"Yes","2004","Couple + C. GT 16 ","indirect migration background","16","","",""
"Yes","2004","Couple + C. LE and GT 16","no migration background","137","0.137080996841818","0.116857106346734","0.157304887336902"
"Yes","2004","Couple + C. LE and GT 16","direct migration background","11","","",""
"Yes","2004","Couple + C. LE and GT 16","indirect migration background","9","","",""
"No","2004","1-pers.-HH","no migration background","2012","0.885869066193601","0.872739392017292","0.89899874036991"
"No","2004","1-pers.-HH","direct migration background","196","0.963554808560384","0.938026546600769","0.989083070519999"
"No","2004","1-pers.-HH","indirect migration background","69","0.843293846032192","0.761022244642122","0.925565447422262"
"No","2004","(Married) couple without C. ","no migration background","4575","0.87029443365011","0.861293191426727","0.879295675873494"
"No","2004","(Married) couple without C. ","direct migration background","656","0.9693535068768","0.956436808278108","0.982270205475492"
"No","2004","(Married) couple without C. ","indirect migration background","91","0.894963281904588","0.834870643601192","0.955055920207985"
"No","2004","Single parent ","no migration background","715","0.897128994109868","0.876024959192152","0.918233029027584"
"No","2004","Single parent ","direct migration background","119","0.905063495536837","0.85428272937955","0.955844261694123"
"No","2004","Single parent ","indirect migration background","72","0.984653092889747","0.956453767561562","1.01285241821793"
"No","2004","Couple + C. LE 16 ","no migration background","2253","0.852337660927198","0.838876085485951","0.865799236368444"
"No","2004","Couple + C. LE 16 ","direct migration background","543","0.952045035954058","0.934410904645242","0.969679167262873"
"No","2004","Couple + C. LE 16 ","indirect migration background","151","0.852076389132464","0.79855064001944","0.905602138245488"
"No","2004","Couple + C. GT 16 ","no migration background","2336","0.869521641814516","0.856879665812036","0.882163617816996"
"No","2004","Couple + C. GT 16 ","direct migration background","383","0.958490444162351","0.938991863411773","0.977989024912929"
"No","2004","Couple + C. GT 16 ","indirect migration background","161","0.909995961448693","0.867834836641015","0.952157086256371"
"No","2004","Couple + C. LE and GT 16","no migration background","974","0.862919003158182","0.842695112663098","0.883142893653266"
"No","2004","Couple + C. LE and GT 16","direct migration background","278","0.94985578702843","0.924694177652678","0.975017396404181"
"No","2004","Couple + C. LE and GT 16","indirect migration background","115","0.933489819542064","0.889633103943881","0.977346535140247"
"Yes","2005","1-pers.-HH","no migration background","281","0.140704914910209","0.126413387102706","0.154996442717711"
"Yes","2005","1-pers.-HH","direct migration background","14","","",""
"Yes","2005","1-pers.-HH","indirect migration background","13","","",""
"Yes","2005","(Married) couple without C. ","no migration background","836","0.149292118476822","0.139569352555838","0.159014884397805"
"Yes","2005","(Married) couple without C. ","direct migration background","27","","",""
"Yes","2005","(Married) couple without C. ","indirect migration background","12","","",""
"Yes","2005","Single parent ","no migration background","79","0.0990006706269162","0.0784582613086577","0.119543079945175"
"Yes","2005","Single parent ","direct migration background","7","","",""
"Yes","2005","Single parent ","indirect migration background","1","","",""
"Yes","2005","Couple + C. LE 16 ","no migration background","438","0.157348375791445","0.142867677770763","0.171829073812127"
"Yes","2005","Couple + C. LE 16 ","direct migration background","35","0.0941734497919756","0.0683393038965629","0.120007595687388"
"Yes","2005","Couple + C. LE 16 ","indirect migration background","20","","",""
"Yes","2005","Couple + C. GT 16 ","no migration background","324","0.121968742942301","0.109194330603559","0.134743155281044"
"Yes","2005","Couple + C. GT 16 ","direct migration background","19","","",""
"Yes","2005","Couple + C. GT 16 ","indirect migration background","18","","",""
"Yes","2005","Couple + C. LE and GT 16","no migration background","140","0.144531838306562","0.123413634548898","0.165650042064226"
"Yes","2005","Couple + C. LE and GT 16","direct migration background","8","","",""
"Yes","2005","Couple + C. LE and GT 16","indirect migration background","6","","",""
"No","2005","1-pers.-HH","no migration background","1993","0.859295085089791","0.845003557282289","0.873586612897294"
"No","2005","1-pers.-HH","direct migration background","186","0.947440773334299","0.916514071176576","0.978367475492021"
