"ple0098_v5","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Not Employed","Male","76","0.0634679338054001","0.0515180862460251","0.0754177813647751"
"Yes","1999","Not Employed","Female","172","0.0733552855830464","0.0640117290626729","0.0826988421034199"
"Yes","1999","Employed","Male","346","0.100203734868652","0.0911129096451297","0.109294560092173"
"Yes","1999","Employed","Female","353","0.123002952788881","0.112259158090265","0.133746747487496"
"No","1999","Not Employed","Male","1523","0.9365320661946","0.924582218635225","0.948481913753975"
"No","1999","Not Employed","Female","2819","0.926644714416954","0.91730115789658","0.935988270937327"
"No","1999","Employed","Male","3845","0.899796265131348","0.890705439907826","0.90888709035487"
"No","1999","Employed","Female","3237","0.876997047211119","0.866253252512504","0.887740841909735"
"Yes","2000","Not Employed","Male","174","0.0655958155949027","0.0567099502664751","0.0744816809233304"
"Yes","2000","Not Employed","Female","363","0.0761412719251108","0.069010947288082","0.0832715965621396"
"Yes","2000","Employed","Male","662","0.104833400886754","0.0976447626742865","0.112022039099222"
"Yes","2000","Employed","Female","681","0.121269198663396","0.11314883618893","0.129389561137862"
"No","2000","Not Employed","Male","2808","0.934404184405097","0.92551831907667","0.943290049733525"
"No","2000","Not Employed","Female","4952","0.923858728074889","0.91672840343786","0.930989052711918"
"No","2000","Employed","Male","6314","0.895166599113246","0.887977960900778","0.902355237325713"
"No","2000","Employed","Female","5527","0.878730801336604","0.870610438862139","0.88685116381107"
"Yes","2001","Not Employed","Male","150","0.0634358290423659","0.0543258406448901","0.0725458174398417"
"Yes","2001","Not Employed","Female","324","0.0760951640077636","0.0684945367943726","0.0836957912211547"
"Yes","2001","Employed","Male","606","0.109921504050891","0.102177354537747","0.117665653564035"
"Yes","2001","Employed","Female","647","0.12256626788965","0.114142534078299","0.130990001701002"
"No","2001","Not Employed","Male","2600","0.936564170957634","0.927454182560158","0.94567415935511"
"No","2001","Not Employed","Female","4351","0.923904835992236","0.916304208778845","0.931505463205627"
"No","2001","Employed","Male","5661","0.890078495949109","0.882334346435965","0.897822645462253"
"No","2001","Employed","Female","5175","0.87743373211035","0.869009998298998","0.885857465921701"
"Yes","2002","Not Employed","Male","204","0.0665695721143093","0.0573855328258323","0.0757536114027864"
"Yes","2002","Not Employed","Female","421","0.0888851747530282","0.0806845583269433","0.0970857911791132"
"Yes","2002","Employed","Male","762","0.116641398777395","0.108686597869827","0.124596199684963"
"Yes","2002","Employed","Female","809","0.126627739357749","0.118191256557627","0.135064222157872"
"No","2002","Not Employed","Male","2626","0.933430427885691","0.924246388597214","0.942614467174168"
"No","2002","Not Employed","Female","4205","0.911114825246972","0.902914208820887","0.919315441673057"
"No","2002","Employed","Male","5493","0.883358601222605","0.875403800315037","0.891313402130173"
"No","2002","Employed","Female","5160","0.873372260642251","0.864935777842128","0.881808743442373"
"Yes","2003","Not Employed","Male","220","0.0661290788863832","0.0569749332109986","0.0752832245617678"
"Yes","2003","Not Employed","Female","409","0.0899011770854431","0.0815687828628029","0.0982335713080833"
"Yes","2003","Employed","Male","711","0.114506368009531","0.106382627746884","0.122630108272177"
"Yes","2003","Employed","Female","806","0.140196531676019","0.131177794512099","0.14921526883994"
"No","2003","Not Employed","Male","2611","0.933870921113617","0.924716775438232","0.943025066789001"
"No","2003","Not Employed","Female","4118","0.910098822914557","0.901766428691917","0.918431217137197"
"No","2003","Employed","Male","5191","0.885493631990469","0.877369891727823","0.893617372253116"
"No","2003","Employed","Female","4887","0.859803468323981","0.85078473116006","0.868822205487901"
"Yes","2004","Not Employed","Male","241","0.0734375923203625","0.0639140688640478","0.0829611157766772"
"Yes","2004","Not Employed","Female","421","0.0910301483825846","0.0825824120676715","0.0994778846974978"
"Yes","2004","Employed","Male","746","0.130722036134252","0.121882054505325","0.139562017763178"
"Yes","2004","Employed","Female","839","0.144944535939","0.135658351936215","0.154230719941785"
"No","2004","Not Employed","Male","2641","0.926562407679637","0.917038884223323","0.936085931135952"
"No","2004","Not Employed","Female","4033","0.908969851617415","0.900522115302502","0.917417587932329"
"No","2004","Employed","Male","4840","0.869277963865748","0.860437982236822","0.878117945494675"
"No","2004","Employed","Female","4682","0.855055464061","0.845769280058215","0.864341648063785"
"Yes","2005","Not Employed","Male","245","0.0763028174336945","0.0664869196407362","0.0861187152266527"
"Yes","2005","Not Employed","Female","439","0.100930875338244","0.0918615250414112","0.110000225635077"
"Yes","2005","Employed","Male","753","0.144141208029035","0.134630364676027","0.153652051382043"
"Yes","2005","Employed","Female","890","0.162411785096525","0.152493351119034","0.172330219074015"
"No","2005","Not Employed","Male","2565","0.923697182566306","0.913881284773347","0.933513080359264"
"No","2005","Not Employed","Female","3799","0.899069124661756","0.889999774364923","0.908138474958589"
"No","2005","Employed","Male","4486","0.855858791970965","0.846347948617957","0.865369635323973"
"No","2005","Employed","Female","4422","0.837588214903475","0.827669780925985","0.847506648880966"
"Yes","2006","Not Employed","Male","311","0.0901543865030883","0.0799499056962058","0.100358867309971"
"Yes","2006","Not Employed","Female","548","0.109705859586905","0.100655838003348","0.118755881170463"
"Yes","2006","Employed","Male","927","0.160571626037518","0.150849453991709","0.170293798083328"
"Yes","2006","Employed","Female","1090","0.189157247550891","0.178899927891733","0.19941456721005"
