"ple0098_v5","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1999","lower secondary degree","West Germany","281","0.0731739918652848","0.0650516361716935","0.081296347558876"
"Yes","1999","lower secondary degree","East Germany","27","","",""
"Yes","1999","secondary school degree","West Germany","248","0.147123837761322","0.130903127497798","0.163344548024845"
"Yes","1999","secondary school degree","East Germany","81","0.0611156435226383","0.0495784501764772","0.0726528368687995"
"Yes","1999","college entrance qualification","West Germany","200","0.203472086456716","0.180560315154712","0.22638385775872"
"Yes","1999","college entrance qualification","East Germany","32","0.0586430700985836","0.0378608061544876","0.0794253340426796"
"Yes","1999","Other degree","West Germany","14","","",""
"Yes","1999","Other degree","East Germany","","","",""
"Yes","1999","no degree/no degree yet","West Germany","19","","",""
"Yes","1999","no degree/no degree yet","East Germany","9","","",""
"No","1999","lower secondary degree","West Germany","3668","0.926826008134715","0.918703652441124","0.934948363828306"
"No","1999","lower secondary degree","East Germany","1220","0.979190282727424","0.971267431487342","0.987113133967506"
"No","1999","secondary school degree","West Germany","1584","0.852876162238678","0.836655451975155","0.869096872502201"
"No","1999","secondary school degree","East Germany","1575","0.938884356477362","0.927347163131201","0.950421549823523"
"No","1999","college entrance qualification","West Germany","986","0.796527913543284","0.77361614224128","0.819439684845288"
"No","1999","college entrance qualification","East Germany","459","0.941356929901416","0.92057466595732","0.962139193845512"
"No","1999","Other degree","West Germany","854","0.970440439434725","0.959173092729819","0.981707786139631"
"No","1999","Other degree","East Germany","41","1","1","1"
"No","1999","no degree/no degree yet","West Germany","595","0.955193420837565","0.93882976032796","0.97155708134717"
"No","1999","no degree/no degree yet","East Germany","99","0.909067044363949","0.854842635779475","0.963291452948423"
"Yes","2000","lower secondary degree","West Germany","551","0.0754011442877432","0.0694350605896918","0.0813672279857945"
"Yes","2000","lower secondary degree","East Germany","33","0.0184123827901256","0.0123256696994047","0.0244990958808465"
"Yes","2000","secondary school degree","West Germany","561","0.157160620737667","0.145480752266544","0.168840489208789"
"Yes","2000","secondary school degree","East Germany","127","0.0593364092316857","0.0501122749093036","0.0685605435540678"
"Yes","2000","college entrance qualification","West Germany","480","0.191217869801053","0.176090070352062","0.206345669250043"
"Yes","2000","college entrance qualification","East Germany","50","0.0555845799450176","0.04061582994676","0.0705533299432752"
"Yes","2000","Other degree","West Germany","38","0.0311830024141212","0.0220258617603057","0.0403401430679367"
"Yes","2000","Other degree","East Germany","","","",""
"Yes","2000","no degree/no degree yet","West Germany","30","0.0502924317307103","0.0338054000826045","0.0667794633788162"
"Yes","2000","no degree/no degree yet","East Germany","7","","",""
"No","2000","lower secondary degree","West Germany","6973","0.924598855712257","0.918632772014205","0.930564939410308"
"No","2000","lower secondary degree","East Germany","1841","0.981587617209874","0.975500904119153","0.987674330300595"
"No","2000","secondary school degree","West Germany","3169","0.842839379262334","0.831159510791211","0.854519247733456"
"No","2000","secondary school degree","East Germany","2393","0.940663590768314","0.931439456445932","0.949887725090696"
"No","2000","college entrance qualification","West Germany","2116","0.808782130198947","0.793654330749957","0.823909929647938"
"No","2000","college entrance qualification","East Germany","850","0.944415420054982","0.929446670056725","0.95938417005324"
"No","2000","Other degree","West Germany","1346","0.968816997585879","0.959659856932063","0.977974138239694"
"No","2000","Other degree","East Germany","78","1","1","1"
"No","2000","no degree/no degree yet","West Germany","645","0.94970756826929","0.933220536621184","0.966194599917396"
"No","2000","no degree/no degree yet","East Germany","147","0.960952729509175","0.930358883004901","0.991546576013449"
"Yes","2001","lower secondary degree","West Germany","503","0.078814797748559","0.0722983805963696","0.0853312149007485"
"Yes","2001","lower secondary degree","East Germany","29","","",""
"Yes","2001","secondary school degree","West Germany","498","0.157063458564029","0.144909588238146","0.169217328889912"
"Yes","2001","secondary school degree","East Germany","119","0.0563435738018165","0.0469587340204974","0.0657284135831357"
"Yes","2001","college entrance qualification","West Germany","449","0.195225444383385","0.179410241828253","0.211040646938518"
"Yes","2001","college entrance qualification","East Germany","63","0.0710232811499743","0.054042548098227","0.0880040142017217"
"Yes","2001","Other degree","West Germany","25","","",""
"Yes","2001","Other degree","East Germany","2","","",""
"Yes","2001","no degree/no degree yet","West Germany","25","","",""
"Yes","2001","no degree/no degree yet","East Germany","12","","",""
"No","2001","lower secondary degree","West Germany","6065","0.921185202251441","0.914668785099252","0.92770161940363"
"No","2001","lower secondary degree","East Germany","1679","0.985934892962813","0.98035019362508","0.991519592300546"
"No","2001","secondary school degree","West Germany","2945","0.842936541435971","0.830782671110088","0.855090411761854"
"No","2001","secondary school degree","East Germany","2200","0.943656426198183","0.934271586416864","0.953041265979503"
"No","2001","college entrance qualification","West Germany","1964","0.804774555616615","0.788959353061482","0.820589758171748"
"No","2001","college entrance qualification","East Germany","816","0.928976718850026","0.911995985798278","0.945957451901773"
"No","2001","Other degree","West Germany","1235","0.977829947753688","0.969700185527408","0.985959709979967"
"No","2001","Other degree","East Germany","50","0.976966411369356","0.936193939788631","1.01773888295008"
"No","2001","no degree/no degree yet","West Germany","580","0.944096556397808","0.9257903695464","0.962402743249216"
"No","2001","no degree/no degree yet","East Germany","152","0.948539310125866","0.914725692596403","0.982352927655329"
"Yes","2002","lower secondary degree","West Germany","565","0.0866757309796114","0.0797059010686133","0.0936455608906095"
"Yes","2002","lower secondary degree","East Germany","30","0.0158759362810358","0.00976081363330558","0.0219910589287659"
"Yes","2002","secondary school degree","West Germany","643","0.169908254103523","0.157645550074188","0.182170958132859"
"Yes","2002","secondary school degree","East Germany","139","0.0592791889465614","0.0495967115630671","0.0689616663300557"
"Yes","2002","college entrance qualification","West Germany","633","0.201543899921574","0.186685247421991","0.216402552421157"
"Yes","2002","college entrance qualification","East Germany","87","0.0850851311668504","0.0670168211601365","0.103153441173564"
"Yes","2002","Other degree","West Germany","46","0.0361207109250796","0.0255370626957556","0.0467043591544036"
"Yes","2002","Other degree","East Germany","1","","",""
"Yes","2002","no degree/no degree yet","West Germany","40","0.0380785899567006","0.0230742012334448","0.0530829786799565"
"Yes","2002","no degree/no degree yet","East Germany","6","","",""
"No","2002","lower secondary degree","West Germany","5695","0.913324269020389","0.90635443910939","0.920294098931387"
"No","2002","lower secondary degree","East Germany","1575","0.984124063718964","0.978008941071234","0.990239186366694"
"No","2002","secondary school degree","West Germany","2960","0.830091745896477","0.817829041867141","0.842354449925812"
"No","2002","secondary school degree","East Germany","2146","0.940720811053439","0.931038333669944","0.950403288436933"
"No","2002","college entrance qualification","West Germany","2167","0.798456100078426","0.783597447578843","0.813314752578009"
"No","2002","college entrance qualification","East Germany","829","0.91491486883315","0.896846558826436","0.932983178839863"
"No","2002","Other degree","West Germany","1148","0.96387928907492","0.953295640845596","0.974462937304244"
"No","2002","Other degree","East Germany","46","0.9938643607224","0.971539300955792","1.01618942048901"
"No","2002","no degree/no degree yet","West Germany","585","0.961921410043299","0.946917021320044","0.976925798766555"
"No","2002","no degree/no degree yet","East Germany","150","0.946305509307354","0.910932961700019","0.98167805691469"
"Yes","2003","lower secondary degree","West Germany","555","0.0866534037749488","0.0794870563612561","0.0938197511886415"
"Yes","2003","lower secondary degree","East Germany","34","0.0188854319166326","0.0120913742738928","0.0256794895593725"
"Yes","2003","secondary school degree","West Germany","602","0.173822306309","0.161188020107654","0.186456592510347"
"Yes","2003","secondary school degree","East Germany","142","0.0616115176371958","0.0516429762813552","0.0715800589930365"
"Yes","2003","college entrance qualification","West Germany","624","0.206190327107422","0.190958367382514","0.221422286832329"
"Yes","2003","college entrance qualification","East Germany","93","0.0976804121153374","0.0784125022460224","0.116948321984652"
"Yes","2003","Other degree","West Germany","33","0.0260413752322644","0.016739273018281","0.0353434774462478"
"Yes","2003","Other degree","East Germany","1","","",""
"Yes","2003","no degree/no degree yet","West Germany","36","0.0453483577107343","0.0286300293050386","0.06206668611643"
"Yes","2003","no degree/no degree yet","East Germany","13","","",""
"No","2003","lower secondary degree","West Germany","5365","0.913346596225051","0.906180248811359","0.920512943638744"
"No","2003","lower secondary degree","East Germany","1508","0.981114568083367","0.974320510440628","0.987908625726107"
"No","2003","secondary school degree","West Germany","2854","0.826177693690999","0.813543407489653","0.838811979892346"
"No","2003","secondary school degree","East Germany","2093","0.938388482362804","0.928419941006963","0.948357023718645"
"No","2003","college entrance qualification","West Germany","2086","0.793809672892578","0.778577713167671","0.809041632617486"
"No","2003","college entrance qualification","East Germany","819","0.902319587884662","0.883051678015347","0.921587497753978"
"No","2003","Other degree","West Germany","1093","0.973958624767736","0.964656522553752","0.983260726981719"
"No","2003","Other degree","East Germany","45","0.994027279239103","0.971760652340076","1.01629390613813"
"No","2003","no degree/no degree yet","West Germany","559","0.954651642289266","0.93793331388357","0.971369970694961"
"No","2003","no degree/no degree yet","East Germany","156","0.923236512692042","0.883100098226882","0.963372927157202"
"Yes","2004","lower secondary degree","West Germany","566","0.093257229851045","0.0856835295376859","0.100830930164404"
"Yes","2004","lower secondary degree","East Germany","45","0.028557127793587","0.020031094947546","0.0370831606396279"
