"ple0098_v5","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2004","secondary school degree","West Germany","609","0.179108282933375","0.166187231235136","0.192029334631614"
"Yes","2004","secondary school degree","East Germany","156","0.0708635170063226","0.0600423942570883","0.0816846397555569"
"Yes","2004","college entrance qualification","West Germany","664","0.227668706554976","0.21174535561083","0.243592057499123"
"Yes","2004","college entrance qualification","East Germany","108","0.0916205619176942","0.0730694324202448","0.110171691415144"
"Yes","2004","Other degree","West Germany","31","0.0237060125507349","0.0146160620621363","0.0327959630393336"
"Yes","2004","Other degree","East Germany","","","",""
"Yes","2004","no degree/no degree yet","West Germany","41","0.053328075902076","0.0352439113479374","0.0714122404562146"
"Yes","2004","no degree/no degree yet","East Germany","11","","",""
"No","2004","lower secondary degree","West Germany","5097","0.906742770148955","0.899169069835596","0.914316470462314"
"No","2004","lower secondary degree","East Germany","1421","0.971442872206413","0.962916839360372","0.979968905052454"
"No","2004","secondary school degree","West Germany","2774","0.820891717066625","0.807970665368386","0.833812768764864"
"No","2004","secondary school degree","East Germany","2004","0.929136482993677","0.918315360244443","0.939957605742912"
"No","2004","college entrance qualification","West Germany","2000","0.772331293445024","0.756407942500877","0.78825464438917"
"No","2004","college entrance qualification","East Germany","821","0.908379438082306","0.889828308584856","0.926930567579755"
"No","2004","Other degree","West Germany","1045","0.976293987449265","0.967204036960666","0.985383937937864"
"No","2004","Other degree","East Germany","51","1","1","1"
"No","2004","no degree/no degree yet","West Germany","552","0.946671924097924","0.928587759543785","0.964756088652063"
"No","2004","no degree/no degree yet","East Germany","152","0.91882514149866","0.876899328394037","0.960750954603282"
"Yes","2005","lower secondary degree","West Germany","578","0.108933936786072","0.100542996043177","0.117324877528967"
"Yes","2005","lower secondary degree","East Germany","49","0.0301478734259174","0.0211064704234965","0.0391892764283383"
"Yes","2005","secondary school degree","West Germany","641","0.194505840715756","0.180849129382252","0.208162552049261"
"Yes","2005","secondary school degree","East Germany","168","0.0776534298711345","0.0660796488442042","0.0892272108980648"
"Yes","2005","college entrance qualification","West Germany","650","0.233097716388284","0.216757732129984","0.249437700646584"
"Yes","2005","college entrance qualification","East Germany","129","0.112776192821134","0.0923805492623338","0.133171836379935"
"Yes","2005","Other degree","West Germany","39","0.0333425025065467","0.0222596071403259","0.0444253978727674"
"Yes","2005","Other degree","East Germany","","","",""
"Yes","2005","no degree/no degree yet","West Germany","37","0.062278894322031","0.042974457435848","0.0815833312082139"
"Yes","2005","no degree/no degree yet","East Germany","8","","",""
"No","2005","lower secondary degree","West Germany","4718","0.891066063213928","0.882675122471033","0.899457003956823"
"No","2005","lower secondary degree","East Germany","1325","0.969852126574083","0.960810723571662","0.978893529576504"
"No","2005","secondary school degree","West Germany","2586","0.805494159284244","0.79183744795074","0.819150870617748"
"No","2005","secondary school degree","East Germany","1886","0.922346570128865","0.910772789101935","0.933920351155796"
"No","2005","college entrance qualification","West Germany","1922","0.766902283611717","0.750562299353417","0.783242267870016"
"No","2005","college entrance qualification","East Germany","795","0.887223807178866","0.866828163620065","0.907619450737666"
"No","2005","Other degree","West Germany","969","0.966657497493453","0.955574602127233","0.977740392859674"
"No","2005","Other degree","East Germany","47","1","1","1"
"No","2005","no degree/no degree yet","West Germany","565","0.937721105677969","0.918416668791786","0.957025542564152"
"No","2005","no degree/no degree yet","East Germany","140","0.943083636897255","0.905757683559531","0.980409590234979"
"Yes","2006","lower secondary degree","West Germany","718","0.111065719888345","0.10289499587295","0.119236443903741"
"Yes","2006","lower secondary degree","East Germany","61","0.0312841935745909","0.0223576432369699","0.0402107439122119"
"Yes","2006","secondary school degree","West Germany","811","0.219509568639339","0.205777185964375","0.233241951314303"
"Yes","2006","secondary school degree","East Germany","219","0.103920469830548","0.0910988624316843","0.116742077229412"
"Yes","2006","college entrance qualification","West Germany","807","0.273886863713556","0.257407100274196","0.290366627152916"
"Yes","2006","college entrance qualification","East Germany","140","0.127623606778761","0.10689099525715","0.148356218300372"
"Yes","2006","Other degree","West Germany","51","0.03864729336927","0.0270271492086345","0.0502674375299056"
"Yes","2006","Other degree","East Germany","2","","",""
"Yes","2006","no degree/no degree yet","West Germany","29","","",""
"Yes","2006","no degree/no degree yet","East Germany","3","","",""
"No","2006","lower secondary degree","West Germany","4963","0.888934280111655","0.880763556096259","0.89710500412705"
"No","2006","lower secondary degree","East Germany","1400","0.968715806425409","0.959789256087788","0.97764235676303"
"No","2006","secondary school degree","West Germany","2679","0.780490431360661","0.766758048685697","0.794222814035625"
"No","2006","secondary school degree","East Germany","1957","0.896079530169452","0.883257922770588","0.908901137568316"
"No","2006","college entrance qualification","West Germany","2006","0.726113136286444","0.709633372847084","0.742592899725804"
"No","2006","college entrance qualification","East Germany","855","0.872376393221239","0.851643781699628","0.89310900474285"
"No","2006","Other degree","West Germany","1006","0.96135270663073","0.949732562470094","0.972972850791366"
"No","2006","Other degree","East Germany","66","0.973689178460374","0.935646506642802","1.01173185027795"
"No","2006","no degree/no degree yet","West Germany","425","0.920617130757284","0.895750148376684","0.945484113137884"
"No","2006","no degree/no degree yet","East Germany","77","0.934234150762111","0.879917725087445","0.988550576436777"
"Yes","2007","lower secondary degree","West Germany","705","0.126129127552961","0.117067150367864","0.135191104738058"
"Yes","2007","lower secondary degree","East Germany","78","0.0453626381811993","0.0342537265850572","0.0564715497773415"
"Yes","2007","secondary school degree","West Germany","814","0.237411411807784","0.222865391643414","0.251957431972153"
"Yes","2007","secondary school degree","East Germany","223","0.102962358639006","0.0897582083374113","0.116166508940601"
"Yes","2007","college entrance qualification","West Germany","819","0.295273621687566","0.278051315916968","0.312495927458164"
"Yes","2007","college entrance qualification","East Germany","159","0.141369491569202","0.119364766171248","0.163374216967155"
"Yes","2007","Other degree","West Germany","57","0.0444066318147283","0.0313825571404515","0.0574307064890052"
"Yes","2007","Other degree","East Germany","2","","",""
"Yes","2007","no degree/no degree yet","West Germany","23","","",""
"Yes","2007","no degree/no degree yet","East Germany","7","","",""
"No","2007","lower secondary degree","West Germany","4451","0.873870872447039","0.864808895261942","0.882932849632136"
"No","2007","lower secondary degree","East Germany","1270","0.954637361818801","0.943528450222659","0.965746273414943"
"No","2007","secondary school degree","West Germany","2473","0.762588588192216","0.748042568027847","0.777134608356586"
"No","2007","secondary school degree","East Germany","1812","0.897037641360994","0.8838334910594","0.910241791662589"
"No","2007","college entrance qualification","West Germany","1876","0.704726378312434","0.687504072541835","0.721948684083032"
"No","2007","college entrance qualification","East Germany","804","0.858630508430798","0.836625783032845","0.880635233828752"
"No","2007","Other degree","West Germany","904","0.955593368185272","0.942569293510995","0.968617442859548"
"No","2007","Other degree","East Germany","55","0.974366272928271","0.93333852651598","1.01539401934056"
"No","2007","no degree/no degree yet","West Germany","361","0.95277738814323","0.931561891556087","0.973992884730374"
"No","2007","no degree/no degree yet","East Germany","82","0.933173130667109","0.881291961037802","0.985054300296416"
"Yes","2008","lower secondary degree","West Germany","786","0.1517143857945","0.141616017212021","0.16181275437698"
"Yes","2008","lower secondary degree","East Germany","91","0.0677832846819227","0.0539745578842734","0.081592011479572"
"Yes","2008","secondary school degree","West Germany","878","0.274125211093825","0.258512964225156","0.289737457962494"
"Yes","2008","secondary school degree","East Germany","259","0.127458108117771","0.112728129701185","0.142188086534357"
"Yes","2008","college entrance qualification","West Germany","850","0.331375377936531","0.313184070665337","0.349566685207725"
"Yes","2008","college entrance qualification","East Germany","186","0.175421115329824","0.15095127465678","0.199890956002867"
"Yes","2008","Other degree","West Germany","57","0.0635388748904026","0.0471979796590098","0.0798797701217953"
"Yes","2008","Other degree","East Germany","1","","",""
"Yes","2008","no degree/no degree yet","West Germany","31","0.0939567378113624","0.0645824789096259","0.123330996713099"
"Yes","2008","no degree/no degree yet","East Germany","10","","",""
"No","2008","lower secondary degree","West Germany","4062","0.8482856142055","0.83818724562302","0.858383982787979"
"No","2008","lower secondary degree","East Germany","1182","0.932216715318077","0.918407988520428","0.946025442115727"
"No","2008","secondary school degree","West Germany","2258","0.725874788906175","0.710262542037506","0.741487035774844"
"No","2008","secondary school degree","East Germany","1710","0.872541891882229","0.857811913465643","0.887271870298815"
"No","2008","college entrance qualification","West Germany","1722","0.668624622063469","0.650433314792275","0.686815929334663"
"No","2008","college entrance qualification","East Germany","742","0.824578884670176","0.800109043997133","0.84904872534322"
"No","2008","Other degree","West Germany","799","0.936461125109597","0.920120229878205","0.95280202034099"
"No","2008","Other degree","East Germany","51","0.981906184070447","0.945678005414642","1.01813436272625"
"No","2008","no degree/no degree yet","West Germany","348","0.906043262188638","0.876669003286901","0.935417521090374"
"No","2008","no degree/no degree yet","East Germany","78","0.893430394227899","0.828960969338623","0.957899819117175"
"Yes","2009","lower secondary degree","West Germany","","","",""
"Yes","2009","lower secondary degree","East Germany","","","",""
"Yes","2009","secondary school degree","West Germany","","","",""
"Yes","2009","secondary school degree","East Germany","","","",""
"Yes","2009","college entrance qualification","West Germany","","","",""
"Yes","2009","college entrance qualification","East Germany","","","",""
"Yes","2009","Other degree","West Germany","","","",""
"Yes","2009","Other degree","East Germany","","","",""
"Yes","2009","no degree/no degree yet","West Germany","","","",""
"Yes","2009","no degree/no degree yet","East Germany","","","",""
"No","2009","lower secondary degree","West Germany","","","",""
"No","2009","lower secondary degree","East Germany","","","",""
"No","2009","secondary school degree","West Germany","","","",""
"No","2009","secondary school degree","East Germany","","","",""
"No","2009","college entrance qualification","West Germany","","","",""
"No","2009","college entrance qualification","East Germany","","","",""
"No","2009","Other degree","West Germany","","","",""
"No","2009","Other degree","East Germany","","","",""
"No","2009","no degree/no degree yet","West Germany","","","",""
"No","2009","no degree/no degree yet","East Germany","","","",""
"Yes","2010","lower secondary degree","West Germany","870","0.153115746814866","0.143432965121665","0.162798528508068"
"Yes","2010","lower secondary degree","East Germany","88","0.0722710941423771","0.0576813302092475","0.0868608580755068"
"Yes","2010","secondary school degree","West Germany","1204","0.286950195631379","0.273475545634668","0.300424845628091"
"Yes","2010","secondary school degree","East Germany","325","0.141073045578947","0.12714362331364","0.155002467844255"
"Yes","2010","college entrance qualification","West Germany","1258","0.360658878830978","0.345133791472411","0.376183966189545"
"Yes","2010","college entrance qualification","East Germany","237","0.177979027156371","0.156005616904752","0.199952437407989"
"Yes","2010","Other degree","West Germany","120","0.0869049067998949","0.0721858088332376","0.101624004766552"
"Yes","2010","Other degree","East Germany","1","","",""
"Yes","2010","no degree/no degree yet","West Germany","58","0.0745601666835654","0.0537488331540447","0.0953715002130862"
"Yes","2010","no degree/no degree yet","East Germany","7","","",""
"No","2010","lower secondary degree","West Germany","4443","0.846884253185134","0.837201471491932","0.856567034878335"
"No","2010","lower secondary degree","East Germany","1122","0.927728905857623","0.913139141924493","0.942318669790753"
"No","2010","secondary school degree","West Germany","3125","0.713049804368621","0.699575154371909","0.726524454365332"
"No","2010","secondary school degree","East Germany","2074","0.858926954421053","0.844997532155745","0.87285637668636"
"No","2010","college entrance qualification","West Germany","2417","0.639341121169022","0.623816033810455","0.654866208527589"
"No","2010","college entrance qualification","East Germany","927","0.822020972843629","0.800047562592011","0.843994383095248"
"No","2010","Other degree","West Germany","1287","0.913095093200105","0.898375995233448","0.927814191166762"
"No","2010","Other degree","East Germany","97","0.982955227919534","0.957328242562462","1.00858221327661"
"No","2010","no degree/no degree yet","West Germany","554","0.925439833316435","0.904628499786914","0.946251166845955"
"No","2010","no degree/no degree yet","East Germany","70","0.942121901647866","0.889964805359192","0.99427899793654"
"Yes","2011","lower secondary degree","West Germany","928","0.175279773479447","0.164806960407588","0.185752586551306"
"Yes","2011","lower secondary degree","East Germany","78","0.0592843800850938","0.0461717928956957","0.0723969672744919"
"Yes","2011","secondary school degree","West Germany","1050","0.293908287565199","0.278598074017514","0.309218501112883"
"Yes","2011","secondary school degree","East Germany","354","0.170448135662113","0.154229812024501","0.186666459299725"
"Yes","2011","college entrance qualification","West Germany","1029","0.341693545925772","0.324499973290625","0.358887118560919"
"Yes","2011","college entrance qualification","East Germany","217","0.199092405737159","0.174193046457961","0.223991765016357"
"Yes","2011","Other degree","West Germany","87","0.0827627901689293","0.0656603174662209","0.0998652628716376"
"Yes","2011","Other degree","East Germany","7","","",""
"Yes","2011","no degree/no degree yet","West Germany","49","0.0820133937909795","0.0559576271653354","0.108069160416624"
"Yes","2011","no degree/no degree yet","East Germany","6","","",""
"No","2011","lower secondary degree","West Germany","4135","0.824720226520553","0.814247413448694","0.835193039592412"
"No","2011","lower secondary degree","East Germany","1168","0.940715619914906","0.927603032725508","0.953828207104304"
"No","2011","secondary school degree","West Germany","2351","0.706091712434801","0.690781498887117","0.721401925982486"
"No","2011","secondary school degree","East Germany","1711","0.829551864337887","0.813333540700275","0.845770187975499"
"No","2011","college entrance qualification","West Germany","1894","0.658306454074228","0.641112881439081","0.675500026709375"
"No","2011","college entrance qualification","East Germany","771","0.800907594262841","0.776008234983643","0.825806953542039"
"No","2011","Other degree","West Germany","910","0.917237209831071","0.900134737128363","0.934339682533779"
"No","2011","Other degree","East Germany","66","0.900918003287408","0.8323807542321","0.969455252342717"
"No","2011","no degree/no degree yet","West Germany","377","0.91798660620902","0.891930839583376","0.944042372834665"
"No","2011","no degree/no degree yet","East Germany","57","0.931225532465231","0.868734331347854","0.993716733582607"
"Yes","2012","lower secondary degree","West Germany","1157","0.184227818002941","0.174504113754903","0.193951522250979"
"Yes","2012","lower secondary degree","East Germany","102","0.0656810867708918","0.0527462685531683","0.0786159049886152"
"Yes","2012","secondary school degree","West Germany","1511","0.305670333571889","0.292840428788356","0.318500238355422"
"Yes","2012","secondary school degree","East Germany","434","0.167882461230969","0.153676064979617","0.182088857482322"
"Yes","2012","college entrance qualification","West Germany","1536","0.34163517136889","0.327541697293861","0.355728645443919"
"Yes","2012","college entrance qualification","East Germany","313","0.231072590641461","0.208079261419271","0.254065919863651"
"Yes","2012","Other degree","West Germany","145","0.0839149775952259","0.0704385291817234","0.0973914260087284"
"Yes","2012","Other degree","East Germany","5","","",""
"Yes","2012","no degree/no degree yet","West Germany","61","0.0744424343918608","0.0550937970254913","0.0937910717582303"
"Yes","2012","no degree/no degree yet","East Germany","4","","",""
"No","2012","lower secondary degree","West Germany","4949","0.815772181997059","0.806048477749021","0.825495886245097"
"No","2012","lower secondary degree","East Germany","1307","0.934318913229108","0.921384095011385","0.947253731446832"
"No","2012","secondary school degree","West Germany","3442","0.694329666428111","0.681499761644578","0.707159571211644"
"No","2012","secondary school degree","East Germany","2225","0.832117538769031","0.817911142517678","0.846323935020383"
"No","2012","college entrance qualification","West Germany","2814","0.65836482863111","0.644271354556081","0.672458302706139"
"No","2012","college entrance qualification","East Germany","978","0.768927409358539","0.745934080136349","0.791920738580729"
"No","2012","Other degree","West Germany","1481","0.916085022404774","0.902608573991272","0.929561470818277"
"No","2012","Other degree","East Germany","129","0.948552638974762","0.911149507701976","0.985955770247549"
"No","2012","no degree/no degree yet","West Germany","646","0.925557565608139","0.90620892824177","0.944906202974509"
"No","2012","no degree/no degree yet","East Germany","96","0.974363102738838","0.943385968529238","1.00534023694844"
"Yes","2013","lower secondary degree","West Germany","933","0.201652014127718","0.189811325486864","0.213492702768572"
"Yes","2013","lower secondary degree","East Germany","91","0.0750151411958307","0.0595674605749381","0.0904628218167232"
"Yes","2013","secondary school degree","West Germany","1084","0.34256274730154","0.325905345695325","0.359220148907754"
"Yes","2013","secondary school degree","East Germany","352","0.179252779006262","0.161978665744265","0.196526892268259"
"Yes","2013","college entrance qualification","West Germany","1053","0.358308860474817","0.34072926918105","0.375888451768584"
"Yes","2013","college entrance qualification","East Germany","241","0.247174686555829","0.218961052726371","0.275388320385287"
"Yes","2013","Other degree","West Germany","94","0.0965054367455804","0.0770949747386098","0.115915898752551"
"Yes","2013","Other degree","East Germany","5","","",""
"Yes","2013","no degree/no degree yet","West Germany","56","0.145056565163895","0.109125317850684","0.180987812477107"
"Yes","2013","no degree/no degree yet","East Germany","5","","",""
"No","2013","lower secondary degree","West Germany","3478","0.798347985872282","0.786507297231428","0.810188674513136"
"No","2013","lower secondary degree","East Germany","1026","0.924984858804169","0.909537178183277","0.940432539425062"
"No","2013","secondary school degree","West Germany","2034","0.65743725269846","0.640779851092246","0.674094654304675"
"No","2013","secondary school degree","East Germany","1542","0.820747220993738","0.803473107731741","0.838021334255735"
"No","2013","college entrance qualification","West Germany","1805","0.641691139525183","0.624111548231416","0.65927073081895"
"No","2013","college entrance qualification","East Germany","657","0.752825313444171","0.724611679614713","0.781038947273629"
"No","2013","Other degree","West Germany","795","0.90349456325442","0.884084101247449","0.92290502526139"
"No","2013","Other degree","East Germany","68","0.917419468769974","0.854278757012748","0.9805601805272"
"No","2013","no degree/no degree yet","West Germany","313","0.854943434836105","0.819012187522893","0.890874682149316"
"No","2013","no degree/no degree yet","East Germany","59","0.961128813888447","0.913774145569087","1.00848348220781"
"Yes","2014","lower secondary degree","West Germany","1120","0.202529892233661","0.19176899438579","0.213290790081532"
"Yes","2014","lower secondary degree","East Germany","96","0.0763473614120077","0.0613037408954366","0.0913909819285789"
"Yes","2014","secondary school degree","West Germany","1453","0.335851479806735","0.322092157182577","0.349610802430894"
"Yes","2014","secondary school degree","East Germany","425","0.190777022153149","0.174778413690962","0.206775630615337"
"Yes","2014","college entrance qualification","West Germany","1540","0.353313098754044","0.339037722730269","0.367588474777819"
"Yes","2014","college entrance qualification","East Germany","289","0.249938469013598","0.224881335867519","0.274995602159678"
"Yes","2014","Other degree","West Germany","236","0.0869964951834921","0.0767320397621699","0.0972609506048144"
"Yes","2014","Other degree","East Germany","16","","",""
"Yes","2014","no degree/no degree yet","West Germany","68","0.0924506161857395","0.0728271645095149","0.112074067861964"
"Yes","2014","no degree/no degree yet","East Germany","9","","",""
"No","2014","lower secondary degree","West Germany","4238","0.797470107766339","0.786709209918468","0.80823100561421"
"No","2014","lower secondary degree","East Germany","1101","0.923652638587992","0.908609018071421","0.938696259104563"
"No","2014","secondary school degree","West Germany","3073","0.664148520193265","0.650389197569106","0.677907842817423"
"No","2014","secondary school degree","East Germany","1892","0.809222977846851","0.793224369384663","0.825221586309038"
"No","2014","college entrance qualification","West Germany","2767","0.646686901245956","0.632411525222181","0.660962277269731"
"No","2014","college entrance qualification","East Germany","858","0.750061530986402","0.725004397840322","0.775118664132481"
"No","2014","Other degree","West Germany","2660","0.913003504816508","0.902739049395186","0.92326796023783"
"No","2014","Other degree","East Germany","271","0.904772525713093","0.870813284507762","0.938731766918424"
"No","2014","no degree/no degree yet","West Germany","769","0.907549383814261","0.887925932138036","0.927172835490485"
"No","2014","no degree/no degree yet","East Germany","94","0.953673510441786","0.913081175383022","0.99426584550055"
"Yes","2015","lower secondary degree","West Germany","","","",""
"Yes","2015","lower secondary degree","East Germany","","","",""
"Yes","2015","secondary school degree","West Germany","","","",""
