"ple0098_v5","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1999","(0) in school","West Germany","13","","",""
"Yes","1999","(0) in school","East Germany","9","","",""
"Yes","1999","(1a) inadequately completed","West Germany","6","","",""
"Yes","1999","(1a) inadequately completed","East Germany","2","","",""
"Yes","1999","(1b) general elementary school","West Germany","52","0.0350958547887431","0.026259348501639","0.0439323610758472"
"Yes","1999","(1b) general elementary school","East Germany","3","","",""
"Yes","1999","(1c) basic vocational qualification","West Germany","235","0.0864651222550315","0.0762414335019855","0.0966888110080775"
"Yes","1999","(1c) basic vocational qualification","East Germany","19","","",""
"Yes","1999","(2b) intermediate general qualification","West Germany","37","0.114160864201675","0.080986944140555","0.147334784262796"
"Yes","1999","(2b) intermediate general qualification","East Germany","6","","",""
"Yes","1999","(2a) intermediate vocational","West Germany","205","0.158113563200741","0.138940308329005","0.177286818072478"
"Yes","1999","(2a) intermediate vocational","East Germany","57","0.0638156430518714","0.0498458910904166","0.0777853950133263"
"Yes","1999","(2c_gen) general maturity certificate","West Germany","23","","",""
"Yes","1999","(2c_gen) general maturity certificate","East Germany","5","","",""
"Yes","1999","(2c_voc) vocational maturity certificate","West Germany","64","0.166834547612905","0.133516144865581","0.200152950360228"
"Yes","1999","(2c_voc) vocational maturity certificate","East Germany","7","","",""
"Yes","1999","(3a) lower tertiary education","West Germany","45","0.197868963288183","0.152252062037262","0.243485864539103"
"Yes","1999","(3a) lower tertiary education","East Germany","28","","",""
"Yes","1999","(3b) higher tertiary education","West Germany","84","0.221794676042285","0.1832808214119","0.260308530672671"
"Yes","1999","(3b) higher tertiary education","East Germany","15","","",""
"No","1999","(0) in school","West Germany","163","0.915249370395242","0.874102866233738","0.956395874556745"
"No","1999","(0) in school","East Germany","86","0.894097851653815","0.832220573863461","0.95597512944417"
"No","1999","(1a) inadequately completed","West Germany","437","0.978164665121591","0.964555479376695","0.991773850866487"
"No","1999","(1a) inadequately completed","East Germany","19","","",""
"No","1999","(1b) general elementary school","West Germany","1614","0.964904145211257","0.956067638924153","0.973740651498361"
"No","1999","(1b) general elementary school","East Germany","221","0.993580064360011","0.98312104773053","1.00403908098949"
"No","1999","(1c) basic vocational qualification","West Germany","2668","0.913534877744969","0.903311188991923","0.923758566498015"
"No","1999","(1c) basic vocational qualification","East Germany","913","0.97798774575051","0.968568001719094","0.987407489781926"
"No","1999","(2b) intermediate general qualification","West Germany","316","0.885839135798325","0.852665215737204","0.919013055859445"
"No","1999","(2b) intermediate general qualification","East Germany","146","0.968317338792485","0.940472418570909","0.996162259014062"
"No","1999","(2a) intermediate vocational","West Germany","1186","0.841886436799259","0.822713181927522","0.861059691670995"
"No","1999","(2a) intermediate vocational","East Germany","1119","0.936184356948129","0.922214604986674","0.950154108909584"
"No","1999","(2c_gen) general maturity certificate","West Germany","296","0.912756848791018","0.881790074292109","0.943723623289927"
"No","1999","(2c_gen) general maturity certificate","East Germany","78","0.926457901041487","0.870302711174577","0.982613090908396"
"No","1999","(2c_voc) vocational maturity certificate","West Germany","417","0.833165452387095","0.799847049639772","0.866483855134419"
"No","1999","(2c_voc) vocational maturity certificate","East Germany","79","0.951732843872497","0.906434507809107","0.997031179935887"
"No","1999","(3a) lower tertiary education","West Germany","248","0.802131036711817","0.756514135460897","0.847747937962738"
"No","1999","(3a) lower tertiary education","East Germany","485","0.944185842301201","0.924320761400881","0.96405092320152"
"No","1999","(3b) higher tertiary education","West Germany","363","0.778205323957715","0.739691469327329","0.8167191785881"
"No","1999","(3b) higher tertiary education","East Germany","256","0.954096918326978","0.929180786876059","0.979013049777898"
"Yes","2000","(0) in school","West Germany","19","","",""
"Yes","2000","(0) in school","East Germany","7","","",""
"Yes","2000","(1a) inadequately completed","West Germany","11","","",""
"Yes","2000","(1a) inadequately completed","East Germany","","","",""
"Yes","2000","(1b) general elementary school","West Germany","71","0.0333794221681543","0.0263084805254889","0.0404503638108198"
"Yes","2000","(1b) general elementary school","East Germany","3","","",""
"Yes","2000","(1c) basic vocational qualification","West Germany","479","0.0837076295923752","0.0766336508975025","0.0907816082872478"
"Yes","2000","(1c) basic vocational qualification","East Germany","23","","",""
"Yes","2000","(2b) intermediate general qualification","West Germany","41","0.100606599221255","0.07426650580565","0.126946692636859"
"Yes","2000","(2b) intermediate general qualification","East Germany","8","","",""
"Yes","2000","(2a) intermediate vocational","West Germany","467","0.159161721825828","0.146107950893952","0.172215492757704"
"Yes","2000","(2a) intermediate vocational","East Germany","92","0.0572546034736895","0.0469375417078908","0.0675716652394882"
"Yes","2000","(2c_gen) general maturity certificate","West Germany","58","0.0982024166187179","0.0730795420732724","0.123325291164163"
"Yes","2000","(2c_gen) general maturity certificate","East Germany","13","","",""
"Yes","2000","(2c_voc) vocational maturity certificate","West Germany","158","0.136688182243546","0.117154271556778","0.156222092930313"
"Yes","2000","(2c_voc) vocational maturity certificate","East Germany","5","","",""
"Yes","2000","(3a) lower tertiary education","West Germany","160","0.244022002058847","0.211692254387586","0.276351749730108"
"Yes","2000","(3a) lower tertiary education","East Germany","43","0.0635979262958893","0.0452962697874532","0.0818995828043255"
"Yes","2000","(3b) higher tertiary education","West Germany","196","0.224897793500726","0.198278025224749","0.251517561776702"
"Yes","2000","(3b) higher tertiary education","East Germany","23","","",""
"No","2000","(0) in school","West Germany","260","0.924189114081732","0.893129775744789","0.955248452418675"
"No","2000","(0) in school","East Germany","128","0.954280436248967","0.919045762393323","0.989515110104612"
"No","2000","(1a) inadequately completed","West Germany","385","0.965980548656862","0.948126021989029","0.983835075324696"
"No","2000","(1a) inadequately completed","East Germany","19","","",""
"No","2000","(1b) general elementary school","West Germany","2408","0.966620577831846","0.95954963618918","0.973691519474511"
"No","2000","(1b) general elementary school","East Germany","324","0.993553650353744","0.98487950280717","1.00222779790032"
"No","2000","(1c) basic vocational qualification","West Germany","5409","0.916292370407625","0.909218391712752","0.923366349102497"
"No","2000","(1c) basic vocational qualification","East Germany","1421","0.98186433687733","0.974981666715333","0.988747007039327"
"No","2000","(2b) intermediate general qualification","West Germany","460","0.899393400778746","0.873053307363141","0.92573349419435"
"No","2000","(2b) intermediate general qualification","East Germany","178","0.952252192726992","0.921608272315796","0.982896113138189"
"No","2000","(2a) intermediate vocational","West Germany","2550","0.840838278174172","0.827784507242296","0.853892049106048"
"No","2000","(2a) intermediate vocational","East Germany","1856","0.942745396526311","0.932428334760512","0.953062458292109"
"No","2000","(2c_gen) general maturity certificate","West Germany","481","0.901797583381282","0.876674708835837","0.926920457926728"
"No","2000","(2c_gen) general maturity certificate","East Germany","152","0.925101397914387","0.884937334551209","0.965265461277565"
"No","2000","(2c_voc) vocational maturity certificate","West Germany","1030","0.863311817756454","0.843777907069686","0.882845728443222"
"No","2000","(2c_voc) vocational maturity certificate","East Germany","155","0.942689740930045","0.906674304992593","0.978705176867497"
"No","2000","(3a) lower tertiary education","West Germany","518","0.755977997941153","0.723648250269892","0.788307745612414"
"No","2000","(3a) lower tertiary education","East Germany","640","0.936402073704111","0.918100417195674","0.954703730212547"
"No","2000","(3b) higher tertiary education","West Germany","749","0.775102206499274","0.748482438223298","0.801721974775251"
"No","2000","(3b) higher tertiary education","East Germany","438","0.957550472070092","0.939146358773008","0.975954585367176"
"Yes","2001","(0) in school","West Germany","18","","",""
"Yes","2001","(0) in school","East Germany","12","","",""
"Yes","2001","(1a) inadequately completed","West Germany","7","","",""
"Yes","2001","(1a) inadequately completed","East Germany","","","",""
"Yes","2001","(1b) general elementary school","West Germany","62","0.0269628467035893","0.0200938224517566","0.033831870955422"
"Yes","2001","(1b) general elementary school","East Germany","5","","",""
"Yes","2001","(1c) basic vocational qualification","West Germany","441","0.090406639073116","0.082610213529818","0.098203064616414"
"Yes","2001","(1c) basic vocational qualification","East Germany","22","","",""
"Yes","2001","(2b) intermediate general qualification","West Germany","24","","",""
"Yes","2001","(2b) intermediate general qualification","East Germany","9","","",""
"Yes","2001","(2a) intermediate vocational","West Germany","432","0.164845207925237","0.151089630144457","0.178600785706018"
"Yes","2001","(2a) intermediate vocational","East Germany","81","0.0486020806890651","0.0386293086146689","0.0585748527634613"
"Yes","2001","(2c_gen) general maturity certificate","West Germany","47","0.0888424018974673","0.0641010668171954","0.113583736977739"
"Yes","2001","(2c_gen) general maturity certificate","East Germany","15","","",""
"Yes","2001","(2c_voc) vocational maturity certificate","West Germany","158","0.150242312128167","0.129212954904966","0.171271669351368"
"Yes","2001","(2c_voc) vocational maturity certificate","East Germany","9","","",""
"Yes","2001","(3a) lower tertiary education","West Germany","153","0.258867034381506","0.22490575037206","0.292828318390953"
"Yes","2001","(3a) lower tertiary education","East Germany","40","0.0706357205168936","0.0508473362531844","0.0904241047806028"
"Yes","2001","(3b) higher tertiary education","West Germany","158","0.197654242355745","0.170803667570002","0.224504817141489"
"Yes","2001","(3b) higher tertiary education","East Germany","32","0.0635513181139865","0.0408854499584451","0.0862171862695279"
"No","2001","(0) in school","West Germany","287","0.929576161691394","0.900861711423705","0.958290611959084"
"No","2001","(0) in school","East Germany","134","0.939033774906271","0.900222588182541","0.977844961630001"
"No","2001","(1a) inadequately completed","West Germany","293","0.957447328192936","0.934606685163757","0.980287971222115"
"No","2001","(1a) inadequately completed","East Germany","18","","",""
"No","2001","(1b) general elementary school","West Germany","2074","0.973037153296411","0.966168129044578","0.979906177548243"
"No","2001","(1b) general elementary school","East Germany","289","0.99143475116303","0.980901159305867","1.00196834302019"
"No","2001","(1c) basic vocational qualification","West Germany","4756","0.909593360926884","0.901796935383586","0.917389786470182"
"No","2001","(1c) basic vocational qualification","East Germany","1285","0.985211786511381","0.978667942286888","0.991755630735874"
"No","2001","(2b) intermediate general qualification","West Germany","432","0.941150161051347","0.919549463827341","0.962750858275353"
"No","2001","(2b) intermediate general qualification","East Germany","152","0.934683320734964","0.896517074502012","0.972849566967916"
"No","2001","(2a) intermediate vocational","West Germany","2363","0.835154792074763","0.821399214293982","0.848910369855543"
"No","2001","(2a) intermediate vocational","East Germany","1705","0.951397919310935","0.941425147236539","0.961370691385331"
"No","2001","(2c_gen) general maturity certificate","West Germany","461","0.911157598102533","0.886416263022261","0.935898933182805"
"No","2001","(2c_gen) general maturity certificate","East Germany","155","0.904975612546734","0.860893783331964","0.949057441761504"
"No","2001","(2c_voc) vocational maturity certificate","West Germany","951","0.849757687871833","0.828728330648632","0.870787045095034"
"No","2001","(2c_voc) vocational maturity certificate","East Germany","143","0.942059788784455","0.904918619908147","0.979200957660763"
