"ple0098_v5","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1999","no migration background","Urban Area","613","0.116010163429648","0.107715589652066","0.12430473720723"
"Yes","1999","no migration background","Rural Area","255","0.0752786533577113","0.0670308569622246","0.083526449753198"
"Yes","1999","direct migration background","Urban Area","48","0.0519693608999751","0.0417010091037404","0.0622377126962099"
"Yes","1999","direct migration background","Rural Area","5","","",""
"Yes","1999","indirect migration background","Urban Area","22","","",""
"Yes","1999","indirect migration background","Rural Area","4","","",""
"No","1999","no migration background","Urban Area","5113","0.883989836570352","0.87569526279277","0.892284410347934"
"No","1999","no migration background","Rural Area","3676","0.924721346642289","0.916473550246802","0.932969143037775"
"No","1999","direct migration background","Urban Area","1747","0.948030639100025","0.93776228730379","0.95829899089626"
"No","1999","direct migration background","Rural Area","339","0.978906878877709","0.963722047165534","0.994091710589884"
"No","1999","indirect migration background","Urban Area","468","0.925791143223932","0.902583318681828","0.948998967766036"
"No","1999","indirect migration background","Rural Area","81","0.963406015604387","0.923489910793157","1.00332212041562"
"Yes","2000","no migration background","Urban Area","1288","0.124072591046528","0.117805091630368","0.130340090462688"
"Yes","2000","no migration background","Rural Area","437","0.0703955494906548","0.0643587299342045","0.0764323690471052"
"Yes","2000","direct migration background","Urban Area","100","0.0470326690249839","0.0389446164182094","0.0551207216317583"
"Yes","2000","direct migration background","Rural Area","11","","",""
"Yes","2000","indirect migration background","Urban Area","39","0.0769317690985674","0.0568434080729505","0.0970201301241842"
"Yes","2000","indirect migration background","Rural Area","5","","",""
"No","2000","no migration background","Urban Area","9340","0.875927408953472","0.869659909537312","0.882194908369632"
"No","2000","no migration background","Rural Area","6461","0.929604450509345","0.923567630952895","0.935641270065795"
"No","2000","direct migration background","Urban Area","2532","0.952967330975016","0.944879278368242","0.96105538358179"
"No","2000","direct migration background","Rural Area","533","0.976797930730054","0.964147236287872","0.989448625172236"
"No","2000","indirect migration background","Urban Area","637","0.923068230901433","0.902979869875816","0.943156591927049"
"No","2000","indirect migration background","Rural Area","99","0.936901139198604","0.890171861930523","0.983630416466685"
"Yes","2001","no migration background","Urban Area","1161","0.125281234795088","0.118700568720096","0.131861900870079"
"Yes","2001","no migration background","Rural Area","437","0.0739060185051097","0.0674381246491025","0.080373912361117"
"Yes","2001","direct migration background","Urban Area","62","0.0379774265283905","0.0301607346898009","0.0457941183669801"
"Yes","2001","direct migration background","Rural Area","15","","",""
"Yes","2001","indirect migration background","Urban Area","47","0.109863210117872","0.0855018936334341","0.134224526602309"
"Yes","2001","indirect migration background","Rural Area","5","","",""
"No","2001","no migration background","Urban Area","8560","0.874718765204912","0.868138099129921","0.881299431279904"
"No","2001","no migration background","Rural Area","5848","0.92609398149489","0.919626087638883","0.932561875350898"
"No","2001","direct migration background","Urban Area","2235","0.962022573471609","0.95420588163302","0.969839265310199"
"No","2001","direct migration background","Rural Area","469","0.964029102884261","0.947439113149426","0.980619092619097"
"No","2001","indirect migration background","Urban Area","586","0.890136789882128","0.865775473397691","0.914498106366566"
"No","2001","indirect migration background","Rural Area","89","0.947231677861282","0.902035790915705","0.992427564806859"
"Yes","2002","no migration background","Urban Area","1496","0.134812923421896","0.128145798385156","0.141480048458635"
"Yes","2002","no migration background","Rural Area","543","0.0807092777478943","0.073955204758954","0.0874633507368346"
"Yes","2002","direct migration background","Urban Area","89","0.0444286461988974","0.035789208616993","0.0530680837808017"
"Yes","2002","direct migration background","Rural Area","16","","",""
"Yes","2002","indirect migration background","Urban Area","44","0.0740893218009613","0.0536533277577211","0.0945253158442016"
"Yes","2002","indirect migration background","Rural Area","8","","",""
"No","2002","no migration background","Urban Area","8584","0.865187076578104","0.858519951541365","0.871854201614844"
"No","2002","no migration background","Rural Area","5705","0.919290722252106","0.912536649263165","0.926044795241046"
"No","2002","direct migration background","Urban Area","2096","0.955571353801103","0.946931916219198","0.964210791383007"
"No","2002","direct migration background","Rural Area","432","0.96080233508356","0.942831998687832","0.978772671479288"
"No","2002","indirect migration background","Urban Area","587","0.925910678199039","0.905474684155798","0.946346672242279"
