"ple0098_v5","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Yes","1999","16-34 y.","Not Employed","59","0.0664355833427043","0.0517250996514746","0.081146067033934"
"Yes","1999","16-34 y.","Employed","253","0.0949646048517934","0.0846793543963377","0.105249855307249"
"Yes","1999","35-65 y.","Not Employed","98","0.0736501296307897","0.0617988143549404","0.0855014449066391"
"Yes","1999","35-65 y.","Employed","430","0.115621320960448","0.106374537426896","0.124868104494001"
"Yes","1999","66 and older","Not Employed","91","0.0681997799207292","0.0559355093832897","0.0804640504581686"
"Yes","1999","66 and older","Employed","16","","",""
"No","1999","16-34 y.","Not Employed","1042","0.933564416657296","0.918853932966066","0.948274900348525"
"No","1999","16-34 y.","Employed","2868","0.905035395148207","0.894750144692751","0.915320645603662"
"No","1999","35-65 y.","Not Employed","1768","0.92634987036921","0.914498555093361","0.93820118564506"
"No","1999","35-65 y.","Employed","4164","0.884378679039551","0.875131895505999","0.893625462573104"
"No","1999","66 and older","Not Employed","1532","0.931800220079271","0.919535949541831","0.94406449061671"
"No","1999","66 and older","Employed","50","0.705476700426505","0.595505924486615","0.815447476366395"
"Yes","2000","16-34 y.","Not Employed","93","0.0611309047424384","0.0495326792572838","0.0727291302275929"
"Yes","2000","16-34 y.","Employed","421","0.0930182414303716","0.0848064190643476","0.101230063796396"
"Yes","2000","35-65 y.","Not Employed","247","0.0848643990007031","0.0755544317476487","0.0941743662537575"
"Yes","2000","35-65 y.","Employed","895","0.120416419627424","0.113397997603397","0.12743484165145"
"Yes","2000","66 and older","Not Employed","197","0.0665769875551381","0.0579612711937397","0.0751927039165365"
"Yes","2000","66 and older","Employed","27","","",""
"No","2000","16-34 y.","Not Employed","1546","0.938869095257562","0.927270869772407","0.950467320742716"
"No","2000","16-34 y.","Employed","4385","0.906981758569628","0.898769936203604","0.915193580935652"
"No","2000","35-65 y.","Not Employed","3195","0.915135600999297","0.905825633746242","0.924445568252351"
"No","2000","35-65 y.","Employed","7365","0.879583580372576","0.87256515834855","0.886602002396603"
"No","2000","66 and older","Not Employed","3019","0.933423012444862","0.924807296083464","0.94203872880626"
"No","2000","66 and older","Employed","91","0.762472512771801","0.685687560165779","0.839257465377823"
"Yes","2001","16-34 y.","Not Employed","91","0.0675449336300315","0.0545329855185195","0.0805568817415435"
"Yes","2001","16-34 y.","Employed","378","0.0962750492322972","0.0873975842908007","0.105152514173794"
"Yes","2001","35-65 y.","Not Employed","195","0.0777892199400367","0.0681776070794544","0.087400832800619"
"Yes","2001","35-65 y.","Employed","859","0.125628190976494","0.118235972075991","0.133020409876997"
"Yes","2001","66 and older","Not Employed","188","0.0681193936674178","0.059123091195014","0.0771156961398215"
"Yes","2001","66 and older","Employed","16","","",""
"No","2001","16-34 y.","Not Employed","1338","0.932455066369969","0.919443118258456","0.945467014481481"
"No","2001","16-34 y.","Employed","3863","0.903724950767703","0.894847485826206","0.912602415709199"
"No","2001","35-65 y.","Not Employed","2788","0.922210780059963","0.912599167199381","0.931822392920546"
"No","2001","35-65 y.","Employed","6863","0.874371809023506","0.866979590123003","0.881764027924009"
"No","2001","66 and older","Not Employed","2825","0.931880606332582","0.922884303860179","0.940876908804986"
"No","2001","66 and older","Employed","110","0.865908797538062","0.806411253771021","0.925406341305103"
"Yes","2002","16-34 y.","Not Employed","94","0.0583136466877504","0.0461765497387271","0.0704507436367736"
"Yes","2002","16-34 y.","Employed","433","0.105674428295457","0.0961936510598427","0.115155205531071"
"Yes","2002","35-65 y.","Not Employed","273","0.0873916552748922","0.0770972503820179","0.0976860601677666"
"Yes","2002","35-65 y.","Employed","1104","0.127943523627125","0.120637201403753","0.135249845850496"
"Yes","2002","66 and older","Not Employed","258","0.082412837625009","0.0727836645677434","0.0920420106822745"
"Yes","2002","66 and older","Employed","34","0.171606553913777","0.112440711279614","0.23077239654794"
"No","2002","16-34 y.","Not Employed","1338","0.94168635331225","0.929549256363226","0.953823450261273"
"No","2002","16-34 y.","Employed","3606","0.894325571704543","0.884844794468929","0.903806348940157"
"No","2002","35-65 y.","Not Employed","2618","0.912608344725108","0.902313939832234","0.922902749617982"
