"ple0098_v5","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Bavaria","direct migration background","293","0.91676505460484","0.885661598320481","0.9478685108892","2"
"No","1999","Schleswig-Holstein","indirect migration background","6","","","","2"
"No","1999","Baden-Württemberg","direct migration background","529","0.958497943703608","0.941706855302461","0.975289032104756","2"
"No","1999","Berlin","direct migration background","46","0.996511202606117","0.979654286347568","1.01336811886467","2"
"No","1999","Berlin","no migration background","360","0.948663103636499","0.926590514036717","0.970735693236281","2"
"No","1999","Bavaria","indirect migration background","76","0.92670682053471","0.869951243669494","0.983462397399927","2"
"No","1999","Schleswig-Holstein","no migration background","232","0.939792661320746","0.910127934425034","0.969457388216459","2"
"No","1999","Schleswig-Holstein","direct migration background","26","","","","2"
"No","1999","Hamburg","no migration background","90","0.93516733703577","0.886417109374192","0.983917564697348","2"
"No","1999","Hamburg","direct migration background","20","","","","2"
"No","1999","Baden-Württemberg","indirect migration background","150","0.966119342450577","0.937451587771677","0.994787097129477","2"
"No","1999","Bavaria","no migration background","1017","0.855995980184395","0.836039665938316","0.875952294430473","2"
"No","1999","Berlin","indirect migration background","20","","","","2"
"No","1999","Brandenburg","direct migration background","14","","","","2"
"No","1999","Brandenburg","indirect migration background","2","","","","2"
"No","1999","Hamburg","indirect migration background","9","","","","2"
"No","1999","Lower Saxony","no migration background","728","0.88755690187676","0.865868188423556","0.909245615329965","2"
"No","1999","Lower Saxony","direct migration background","170","0.967313385542334","0.940739660529164","0.993887110555503","2"
"No","1999","Brandenburg","no migration background","533","0.945951965185321","0.927190986620262","0.964712943750379","2"
"No","1999","Lower Saxony","indirect migration background","45","0.803283768251617","0.691981338548144","0.91458619795509","2"
"No","1999","Bremen","direct migration background","13","","","","2"
"No","1999","Bremen","indirect migration background","4","","","","2"
"No","1999","North Rhine-Westphalia","no migration background","1447","0.848356185515405","0.831179389791626","0.865532981239184","2"
"No","1999","Hesse","direct migration background","213","0.970965558643285","0.948677179133493","0.993253938153076","2"
"No","1999","Hesse","indirect migration background","56","0.983675498652628","0.950778479150178","1.01657251815508","2"
"No","1999","Rhineland-Palatinate,Saarland","direct migration background","145","0.976658499200716","0.952250893494445","1.00106610490699","2"
"No","1999","Rhineland-Palatinate,Saarland","indirect migration background","18","","","","2"
"No","1999","Baden-Württemberg","no migration background","770","0.885117490213048","0.863940392901816","0.90629458752428","2"
"No","1999","Bremen","no migration background","61","0.93532882833853","0.87599345928028","0.994664197396779","2"
"No","1999","North Rhine-Westphalia","direct migration background","526","0.930104020864226","0.908678050561528","0.951529991166924","2"
"No","1999","North Rhine-Westphalia","indirect migration background","147","0.897019626184922","0.849628421115236","0.944410831254608","2"
"No","1999","Hesse","no migration background","466","0.878419241467467","0.850276489987344","0.90656199294759","2"
"No","1999","Rhineland-Palatinate,Saarland","no migration background","484","0.946458687993333","0.927035586663039","0.965881789323627","2"
"No","1999","Mecklenburg-Western Pomerania","no migration background","347","0.969977115776118","0.952299913658438","0.987654317893799","2"
"No","1999","Mecklenburg-Western Pomerania","direct migration background","8","","","","2"
"No","1999","Mecklenburg-Western Pomerania","indirect migration background","1","","","","2"
"No","1999","Saxony","no migration background","1005","0.943965629894686","0.93014643903257","0.957784820756801","2"
"No","1999","Saxony","direct migration background","32","0.981589449724412","0.935723599690784","1.02745529975804","2"
"No","1999","Saxony","indirect migration background","6","","","","2"
"No","1999","Saxony-Anhalt","no migration background","602","0.942185016995175","0.924003315052551","0.9603667189378","2"
"No","1999","Saxony-Anhalt","direct migration background","28","","","","2"
"No","1999","Thuringia","direct migration background","23","","","","2"
"No","1999","Thuringia","indirect migration background","3","","","","2"
"No","1999","Saxony-Anhalt","indirect migration background","6","","","","2"
"No","1999","Thuringia","no migration background","647","0.97540439544764","0.963632175343977","0.987176615551302","2"
"Yes","1999","Schleswig-Holstein","no migration background","15","","","","1"
"Yes","1999","Schleswig-Holstein","direct migration background","","","","","1"
"Yes","1999","Schleswig-Holstein","indirect migration background","","","","","1"
"Yes","1999","Hamburg","no migration background","8","","","","1"
"Yes","1999","Hamburg","direct migration background","","","","","1"
"Yes","1999","Hamburg","indirect migration background","","","","","1"
"Yes","1999","Lower Saxony","no migration background","87","0.11244309812324","0.0907543846700349","0.134131811576444","1"
"Yes","1999","Lower Saxony","direct migration background","2","","","","1"
"Yes","1999","Lower Saxony","indirect migration background","4","","","","1"
"Yes","1999","Bremen","no migration background","5","","","","1"
"Yes","1999","Bremen","direct migration background","","","","","1"
"Yes","1999","Bremen","indirect migration background","","","","","1"
"Yes","1999","North Rhine-Westphalia","no migration background","228","0.151643814484595","0.134467018760816","0.168820610208373","1"
"Yes","1999","North Rhine-Westphalia","direct migration background","18","","","","1"
"Yes","1999","North Rhine-Westphalia","indirect migration background","11","","","","1"
"Yes","1999","Hesse","no migration background","52","0.121580758532533","0.0934380070524098","0.149723510012656","1"
"Yes","1999","Hesse","direct migration background","5","","","","1"
"Yes","1999","Hesse","indirect migration background","1","","","","1"
"Yes","1999","Rhineland-Palatinate,Saarland","no migration background","32","0.0535413120066668","0.0341182106763731","0.0729644133369605","1"
"Yes","1999","Rhineland-Palatinate,Saarland","direct migration background","2","","","","1"
"Yes","1999","Rhineland-Palatinate,Saarland","indirect migration background","","","","","1"
"Yes","1999","Baden-Württemberg","no migration background","101","0.114882509786952","0.0937054124757204","0.136059607098184","1"
"Yes","1999","Baden-Württemberg","direct migration background","13","","","","1"
"Yes","1999","Baden-Württemberg","indirect migration background","3","","","","1"
