"ple0098_v5","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Couple + C. GT 16 ","Urban Area","1352","0.948158239645219","0.936651067500753","0.959665411789685","2"
"No","1999","1-pers.-HH","Urban Area","968","0.892911799971406","0.874357653877285","0.911465946065527","2"
"No","1999","1-pers.-HH","Rural Area","433","0.961089497982676","0.943261843581418","0.978917152383935","2"
"No","1999","(Married) couple without C. ","Urban Area","2175","0.874301683171766","0.861139870212635","0.887463496130897","2"
"No","1999","(Married) couple without C. ","Rural Area","1180","0.905720731625496","0.889636744365618","0.921804718885373","2"
"No","1999","Single parent ","Urban Area","383","0.89935258228182","0.870544961533605","0.928160203030036","2"
"No","1999","Couple + C. GT 16 ","Rural Area","789","0.92598637639772","0.908335028744244","0.943637724051195","2"
"No","1999","Single parent ","Rural Area","222","0.920972523155497","0.886697953760473","0.955247092550522","2"
"No","1999","Couple + C. LE 16 ","Urban Area","1601","0.892692913905514","0.878233289846206","0.907152537964823","2"
"No","1999","Couple + C. LE 16 ","Rural Area","902","0.940276582359127","0.925215438089209","0.955337726629045","2"
"No","1999","Couple + C. LE and GT 16","Urban Area","574","0.913105883065666","0.890825653416804","0.935386112714528","2"
"No","1999","Couple + C. LE and GT 16","Rural Area","408","0.929198051648384","0.905066792924732","0.953329310372036","2"
"Yes","1999","1-pers.-HH","Urban Area","99","0.107088200028594","0.0885340539344731","0.125642346122715","1"
"Yes","1999","1-pers.-HH","Rural Area","19","","","","1"
"Yes","1999","(Married) couple without C. ","Urban Area","262","0.125698316828234","0.112536503869103","0.138860129787365","1"
"Yes","1999","(Married) couple without C. ","Rural Area","88","0.0942792683745041","0.0781952811146266","0.110363255634382","1"
"Yes","1999","Single parent ","Urban Area","36","0.10064741771818","0.0718397969699645","0.129455038466395","1"
"Yes","1999","Single parent ","Rural Area","16","","","","1"
"Yes","1999","Couple + C. LE 16 ","Urban Area","159","0.107307086094486","0.0928474620351773","0.121766710153794","1"
"Yes","1999","Couple + C. LE 16 ","Rural Area","49","0.0597234176408729","0.0446622733709544","0.0747845619107913","1"
"Yes","1999","Couple + C. GT 16 ","Urban Area","74","0.0518417603547811","0.0403345882103153","0.0633489324992469","1"
"Yes","1999","Couple + C. GT 16 ","Rural Area","56","0.0740136236022803","0.056362275948805","0.0916649712557556","1"
"Yes","1999","Couple + C. LE and GT 16","Urban Area","40","0.0868941169343341","0.0646138872854722","0.109174346583196","1"
"Yes","1999","Couple + C. LE and GT 16","Rural Area","26","","","","1"
"No","2000","Couple + C. GT 16 ","Urban Area","1936","0.905360299427458","0.89292931016443","0.917791288690485","2"
"No","2000","1-pers.-HH","Urban Area","1861","0.889968723775455","0.876481633291165","0.903455814259745","2"
"No","2000","1-pers.-HH","Rural Area","853","0.947462550078813","0.932894507019084","0.962030593138542","2"
"No","2000","(Married) couple without C. ","Urban Area","3896","0.873693459882201","0.8639101071353","0.883476812629102","2"
"No","2000","Couple + C. GT 16 ","Rural Area","1304","0.9353696143028","0.922411344931835","0.948327883673765","2"
"No","2000","(Married) couple without C. ","Rural Area","2097","0.918193160752802","0.90686867042022","0.929517651085385","2"
"No","2000","Single parent ","Urban Area","680","0.914380913400364","0.894248538476893","0.934513288323835","2"
"No","2000","Single parent ","Rural Area","350","0.937701620307767","0.913040907995185","0.962362332620348","2"
"No","2000","Couple + C. LE 16 ","Urban Area","2697","0.88629860438841","0.8749917164996","0.897605492277221","2"
"No","2000","Couple + C. LE 16 ","Rural Area","1496","0.934643451771108","0.92251416442657","0.946772739115646","2"
"No","2000","Couple + C. LE and GT 16","Urban Area","950","0.933261421122368","0.91793063813632","0.948592204108416","2"
"No","2000","Couple + C. LE and GT 16","Rural Area","683","0.949539397062595","0.933539530603961","0.96553926352123","2"
"Yes","2000","1-pers.-HH","Urban Area","207","0.110031276224545","0.096544185740255","0.123518366708835","1"
"Yes","2000","1-pers.-HH","Rural Area","48","0.0525374499211873","0.0379694068614585","0.0671054929809161","1"
"Yes","2000","(Married) couple without C. ","Urban Area","533","0.126306540117799","0.116523187370898","0.1360898928647","1"
"Yes","2000","(Married) couple without C. ","Rural Area","153","0.0818068392471977","0.0704823489146155","0.0931313295797798","1"
"Yes","2000","Single parent ","Urban Area","62","0.085619086599636","0.0654867116761648","0.105751461523107","1"
"Yes","2000","Single parent ","Rural Area","19","","","","1"
"Yes","2000","Couple + C. LE 16 ","Urban Area","331","0.11370139561159","0.102394507722779","0.1250082835004","1"
"Yes","2000","Couple + C. LE 16 ","Rural Area","99","0.0653565482288916","0.0532272608843536","0.0774858355734296","1"
"Yes","2000","Couple + C. GT 16 ","Urban Area","194","0.0946397005725425","0.0822087113095146","0.10707068983557","1"
"Yes","2000","Couple + C. GT 16 ","Rural Area","79","0.0646303856971999","0.0516721163262347","0.0775886550681651","1"
"Yes","2000","Couple + C. LE and GT 16","Urban Area","68","0.0667385788776321","0.0514077958915843","0.0820693618636798","1"
"Yes","2000","Couple + C. LE and GT 16","Rural Area","36","0.0504606029374044","0.0344607364787702","0.0664604693960387","1"
"No","2001","Couple + C. GT 16 ","Urban Area","1734","0.898088602123885","0.88453874631933","0.911638457928441","2"
"No","2001","1-pers.-HH","Urban Area","1674","0.887730913549847","0.873387726217862","0.902074100881832","2"
"No","2001","(Married) couple without C. ","Urban Area","3568","0.877505698394927","0.867349335465764","0.887662061324091","2"
"No","2001","1-pers.-HH","Rural Area","754","0.940351638620452","0.92389898484094","0.956804292399964","2"
"No","2001","Single parent ","Urban Area","613","0.933863618765173","0.914917977765975","0.95280925976437","2"
"No","2001","(Married) couple without C. ","Rural Area","1949","0.923014246145239","0.911572180189875","0.934456312100603","2"
"No","2001","Couple + C. GT 16 ","Rural Area","1178","0.913106405117362","0.897741158086478","0.928471652148247","2"
"No","2001","Single parent ","Rural Area","359","0.963702446806155","0.944772795541242","0.982632098071069","2"
"No","2001","Couple + C. LE 16 ","Urban Area","2428","0.867684538654649","0.855052736970132","0.880316340339165","2"
"No","2001","Couple + C. LE 16 ","Rural Area","1311","0.917351732228129","0.903040299505423","0.931663164950834","2"
"No","2001","Couple + C. LE and GT 16","Urban Area","894","0.946799896704723","0.932558281663369","0.961041511746076","2"
"No","2001","Couple + C. LE and GT 16","Rural Area","612","0.966161447567211","0.952086907809103","0.980235987325318","2"
