"ple0098_v5","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Not Employed","1-pers.-HH","43","0.0605341993283742","0.0438731782570859","0.0771952203996625"
"Yes","1999","Not Employed","(Married) couple without C. ","112","0.0860363790996434","0.0728756373311732","0.0991971208681137"
"Yes","1999","Not Employed","Single parent ","10","","",""
"Yes","1999","Not Employed","Couple + C. LE 16 ","30","0.0561178864736628","0.0378689727840534","0.0743668001632723"
"Yes","1999","Not Employed","Couple + C. GT 16 ","28","","",""
"Yes","1999","Not Employed","Couple + C. LE and GT 16","15","","",""
"Yes","1999","Employed","1-pers.-HH","75","0.126554348949069","0.102469216947192","0.150639480950946"
"Yes","1999","Employed","(Married) couple without C. ","238","0.148987199361356","0.133227358828982","0.164747039893731"
"Yes","1999","Employed","Single parent ","42","0.116890640058599","0.0862727668975453","0.147508513219653"
"Yes","1999","Employed","Couple + C. LE 16 ","178","0.101925565025076","0.0889855084729953","0.114865621577157"
"Yes","1999","Employed","Couple + C. GT 16 ","102","0.0624912212946593","0.0505298517668363","0.0744525908224822"
"Yes","1999","Employed","Couple + C. LE and GT 16","51","0.0856857182763701","0.0658122997846284","0.105559136768112"
"No","1999","Not Employed","1-pers.-HH","744","0.939465800671626","0.922804779600338","0.956126821742914"
"No","1999","Not Employed","(Married) couple without C. ","1632","0.913963620900357","0.900802879131886","0.927124362668827"
"No","1999","Not Employed","Single parent ","224","0.950364345917211","0.922536338889342","0.97819235294508"
"No","1999","Not Employed","Couple + C. LE 16 ","581","0.943882113526337","0.925633199836728","0.962131027215947"
"No","1999","Not Employed","Couple + C. GT 16 ","670","0.948636301636207","0.932260657458394","0.965011945814021"
"No","1999","Not Employed","Couple + C. LE and GT 16","271","0.928436871101755","0.898563383717669","0.958310358485841"
"No","1999","Employed","1-pers.-HH","657","0.873445651050931","0.849360519049054","0.897530783052808"
"No","1999","Employed","(Married) couple without C. ","1723","0.851012800638644","0.835252960106269","0.866772641171018"
"No","1999","Employed","Single parent ","381","0.883109359941401","0.852491486780347","0.913727233102455"
"No","1999","Employed","Couple + C. LE 16 ","1922","0.898074434974924","0.885134378422843","0.911014491527005"
"No","1999","Employed","Couple + C. GT 16 ","1471","0.937508778705341","0.925547409177518","0.949470148233164"
"No","1999","Employed","Couple + C. LE and GT 16","711","0.91431428172363","0.894440863231888","0.934187700215372"
"Yes","2000","Not Employed","1-pers.-HH","96","0.0683472963491901","0.0555517013240493","0.0811428913743309"
