"ple0098_v5","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1999","(0) in school","Male","10","","",""
"Yes","1999","(0) in school","Female","12","","",""
"Yes","1999","(1a) inadequately completed","Male","2","","",""
"Yes","1999","(1a) inadequately completed","Female","6","","",""
"Yes","1999","(1b) general elementary school","Male","15","","",""
"Yes","1999","(1b) general elementary school","Female","40","0.0367580359129219","0.0261906323540517","0.0473254394717921"
"Yes","1999","(1c) basic vocational qualification","Male","133","0.0669194434214746","0.0562064539537121","0.0776324328892371"
"Yes","1999","(1c) basic vocational qualification","Female","121","0.0850721974312119","0.0719822587146697","0.098162136147754"
"Yes","1999","(2b) intermediate general qualification","Male","16","","",""
"Yes","1999","(2b) intermediate general qualification","Female","27","","",""
"Yes","1999","(2a) intermediate vocational","Male","93","0.102015779674608","0.0843057335741417","0.119725825775074"
"Yes","1999","(2a) intermediate vocational","Female","169","0.146211105855838","0.127993990891735","0.164428220819942"
"Yes","1999","(2c_gen) general maturity certificate","Male","10","","",""
"Yes","1999","(2c_gen) general maturity certificate","Female","18","","",""
"Yes","1999","(2c_voc) vocational maturity certificate","Male","29","","",""
"Yes","1999","(2c_voc) vocational maturity certificate","Female","42","0.157725742502912","0.117346889684581","0.198104595321243"
"Yes","1999","(3a) lower tertiary education","Male","38","0.143553331793381","0.108252471739009","0.178854191847754"
"Yes","1999","(3a) lower tertiary education","Female","35","0.111387493504694","0.0815468228254263","0.141228164183963"
"Yes","1999","(3b) higher tertiary education","Male","59","0.179705522162682","0.142541580645003","0.216869463680361"
"Yes","1999","(3b) higher tertiary education","Female","40","0.177722917906019","0.13503022560294","0.220415610209098"
"No","1999","(0) in school","Male","120","0.899183504922452","0.847426828751567","0.950940181093337"
"No","1999","(0) in school","Female","129","0.92042550059721","0.875755103465602","0.965095897728818"
"No","1999","(1a) inadequately completed","Male","191","0.992135645251572","0.979673680719065","1.00459760978408"
"No","1999","(1a) inadequately completed","Female","265","0.965177832988376","0.943350784553989","0.987004881422764"
"No","1999","(1b) general elementary school","Male","657","0.977585413360762","0.966393452621957","0.988777374099567"
"No","1999","(1b) general elementary school","Female","1178","0.963241964087078","0.952674560528208","0.973809367645948"
"No","1999","(1c) basic vocational qualification","Male","1957","0.933080556578525","0.922367567110763","0.943793546046288"
"No","1999","(1c) basic vocational qualification","Female","1624","0.914927802568788","0.901837863852246","0.92801774128533"
"No","1999","(2b) intermediate general qualification","Male","183","0.919808928254712","0.882074882465008","0.957542974044416"
"No","1999","(2b) intermediate general qualification","Female","279","0.887387982660272","0.851968964460379","0.922807000860165"
"No","1999","(2a) intermediate vocational","Male","1029","0.897984220325392","0.880274174224926","0.915694266425858"
"No","1999","(2a) intermediate vocational","Female","1276","0.853788894144162","0.835571779180058","0.872006009108266"
"No","1999","(2c_gen) general maturity certificate","Male","178","0.929868181177475","0.893364437101451","0.966371925253499"
"No","1999","(2c_gen) general maturity certificate","Female","196","0.897876363229482","0.857305653058559","0.938447073400406"
"No","1999","(2c_voc) vocational maturity certificate","Male","225","0.84480943261953","0.800280398974562","0.889338466264497"
"No","1999","(2c_voc) vocational maturity certificate","Female","271","0.842274257497088","0.801895404678757","0.882653110315419"
"No","1999","(3a) lower tertiary education","Male","341","0.856446668206619","0.821145808152246","0.891747528260991"
"No","1999","(3a) lower tertiary education","Female","392","0.888612506495306","0.858771835816037","0.918453177174574"
