"ple0098_v5","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1999","in school","Female","129","0.916676221305798","0.871219680831087","0.962132761780508","2"
"No","1999","inadequately","Male","170","0.99116839859918","0.977186140294739","1.00515065690362","2"
"No","1999","higher vocational","Male","374","0.929343837671716","0.904509666433973","0.954178008909458","2"
"No","1999","higher vocational","Female","251","0.862498249474747","0.822725549705436","0.902270949244059","2"
"No","1999","in school","Male","119","0.898958848995467","0.846950593784107","0.950967104206826","2"
"No","1999","inadequately","Female","247","0.985850670973225","0.971180948137652","1.0005203938088","2"
"No","1999","general elemantary","Male","817","0.964117945610377","0.951592011603739","0.976643879617015","2"
"No","1999","higher education","Male","692","0.837996371537047","0.812286907125504","0.86370583594859","2"
"No","1999","higher education","Female","660","0.85611973031887","0.830746702474229","0.881492758163512","2"
"No","1999","general elemantary","Female","1448","0.950338313993416","0.939395349183301","0.961281278803532","2"
"No","1999","middle vocational","Female","2976","0.89292409375913","0.882313021722599","0.903535165795661","2"
"No","1999","vocational + Abi","Male","187","0.84133844511676","0.791686342551067","0.890990547682454","2"
"No","1999","vocational + Abi","Female","219","0.834483598497379","0.788688684168211","0.880278512826547","2"
"No","1999","middle vocational","Male","2907","0.919153741426919","0.909588524211243","0.928718958642595","2"
"Yes","1999","in school","Male","10","","","","1"
"Yes","1999","in school","Female","13","","","","1"
"Yes","1999","inadequately","Male","2","","","","1"
"Yes","1999","inadequately","Female","2","","","","1"
"Yes","1999","general elemantary","Male","30","0.0358820543896227","0.0233561203829849","0.0484079883962605","1"
"Yes","1999","general elemantary","Female","66","0.0496616860065836","0.0387187211964683","0.0606046508166989","1"
"Yes","1999","middle vocational","Male","213","0.080846258573081","0.0712810413574051","0.0904114757887569","1"
"Yes","1999","middle vocational","Female","286","0.10707590624087","0.0964648342043394","0.117686978277401","1"
"Yes","1999","vocational + Abi","Male","21","","","","1"
"Yes","1999","vocational + Abi","Female","34","0.165516401502621","0.119721487173453","0.211311315831789","1"
"Yes","1999","higher vocational","Male","35","0.0706561623282844","0.045821991090542","0.0954903335660268","1"
"Yes","1999","higher vocational","Female","37","0.137501750525253","0.0977290507559415","0.177274450294565","1"
"Yes","1999","higher education","Male","97","0.162003628462953","0.13629416405141","0.187713092874496","1"
"Yes","1999","higher education","Female","75","0.143880269681129","0.118507241836488","0.169253297525771","1"
"No","2000","in school","Female","202","0.946614263986261","0.916565403970954","0.976663124001567","2"
"No","2000","inadequately","Male","163","0.977216163692712","0.95458543166037","0.999846895725054","2"
"No","2000","inadequately","Female","230","0.993064805962629","0.982386012123222","1.00374359980204","2"
"No","2000","higher vocational","Male","821","0.899367826519086","0.879864347242297","0.918871305795875","2"
"No","2000","higher vocational","Female","656","0.890515882810705","0.868003458425932","0.913028307195478","2"
"No","2000","in school","Male","185","0.917979094394497","0.879758787373742","0.956199401415251","2"
"No","2000","general elemantary","Male","1079","0.962133692064089","0.950935183501064","0.973332200627114","2"
"No","2000","general elemantary","Female","2245","0.956851962023584","0.948603369384625","0.965100554662542","2"
"No","2000","higher education","Male","1246","0.820056715913012","0.80051896222285","0.839594469603174","2"
"No","2000","higher education","Female","1099","0.830480281892667","0.809941302843054","0.851019260942281","2"
"No","2000","middle vocational","Male","5222","0.924182084622617","0.917262086275558","0.931102082969676","2"
"No","2000","middle vocational","Female","5528","0.89167574972131","0.883896936535581","0.89945456290704","2"
"No","2000","vocational + Abi","Male","397","0.852637194158452","0.819776978650814","0.88549740966609","2"
"No","2000","vocational + Abi","Female","498","0.880270483138514","0.853619124839212","0.906921841437816","2"
"Yes","2000","in school","Male","13","","","","1"
"Yes","2000","in school","Female","13","","","","1"
"Yes","2000","inadequately","Male","4","","","","1"
"Yes","2000","inadequately","Female","2","","","","1"
"Yes","2000","general elemantary","Male","37","0.0378663079359114","0.0266677993728862","0.0490648164989365","1"
"Yes","2000","general elemantary","Female","86","0.0431480379764164","0.0348994453374583","0.0513966306153746","1"
"Yes","2000","middle vocational","Male","399","0.0758179153773828","0.0688979170303243","0.0827379137244414","1"
"Yes","2000","middle vocational","Female","604","0.10832425027869","0.10054543709296","0.116103063464419","1"
"Yes","2000","vocational + Abi","Male","50","0.147362805841548","0.114502590333909","0.180223021349186","1"
"Yes","2000","vocational + Abi","Female","72","0.119729516861486","0.093078158562184","0.146380875160788","1"
"Yes","2000","higher vocational","Male","93","0.100632173480914","0.0811286942041252","0.120135652757703","1"
"Yes","2000","higher vocational","Female","83","0.109484117189295","0.0869716928045224","0.131996541574068","1"
"Yes","2000","higher education","Male","239","0.179943284086988","0.160405530396826","0.19948103777715","1"
"Yes","2000","higher education","Female","183","0.169519718107333","0.148980739057719","0.190058697156946","1"
"No","2001","in school","Female","218","0.937666374467417","0.906756337478826","0.968576411456007","2"
"No","2001","higher education","Female","1032","0.839745239724494","0.818954892342636","0.860535587106352","2"
"No","2001","higher vocational","Male","726","0.884841805631437","0.862966623420549","0.906716987842324","2"
"No","2001","higher vocational","Female","585","0.882191360937207","0.857464927938576","0.906917793935839","2"
"No","2001","higher education","Male","1158","0.816384428226746","0.795934902894474","0.836833953559018","2"
"No","2001","inadequately","Male","127","0.984402724331018","0.963019951929183","1.00578549673285","2"
"No","2001","inadequately","Female","176","0.989507170278763","0.97453813281803","1.0044762077395","2"
"No","2001","middle vocational","Female","5028","0.887292308859269","0.879004574615167","0.895580043103371","2"
"No","2001","vocational + Abi","Male","380","0.85781874139068","0.824537704411955","0.891099778369405","2"
"No","2001","vocational + Abi","Female","465","0.855184701641402","0.825800799101694","0.884568604181111","2"
"No","2001","in school","Male","203","0.926870336393467","0.892150514001688","0.961590158785245","2"
"No","2001","general elemantary","Male","940","0.968401761232868","0.957387752258134","0.979415770207602","2"
"No","2001","general elemantary","Female","1973","0.968918288166296","0.961391386131321","0.976445190201271","2"
"No","2001","middle vocational","Male","4689","0.921929545621473","0.914527245520854","0.929331845722091","2"
"Yes","2001","in school","Male","13","","","","1"
"Yes","2001","in school","Female","17","","","","1"
"Yes","2001","inadequately","Male","2","","","","1"
"Yes","2001","inadequately","Female","2","","","","1"
"Yes","2001","general elemantary","Male","29","","","","1"
"Yes","2001","general elemantary","Female","69","0.0310817118337037","0.0235548097987287","0.0386086138686787","1"
"Yes","2001","middle vocational","Male","357","0.0780704543785274","0.070668154277909","0.0854727544791459","1"
"Yes","2001","middle vocational","Female","565","0.112707691140731","0.104419956896629","0.120995425384833","1"
"Yes","2001","vocational + Abi","Male","43","0.14218125860932","0.108900221630595","0.175462295588045","1"
"Yes","2001","vocational + Abi","Female","86","0.144815298358598","0.115431395818889","0.174199200898306","1"
"Yes","2001","higher vocational","Male","92","0.115158194368563","0.0932830121576756","0.137033376579451","1"
"Yes","2001","higher vocational","Female","68","0.117808639062793","0.0930822060641614","0.142535072061424","1"
"Yes","2001","higher education","Male","219","0.183615571773254","0.163166046440983","0.204065097105526","1"
"Yes","2001","higher education","Female","164","0.160254760275506","0.139464412893647","0.181045107657364","1"
"No","2002","higher vocational","Male","724","0.878863614966192","0.856665960235139","0.901061269697244","2"
"No","2002","in school","Female","236","0.948743217238367","0.921834793894327","0.975651640582407","2"
"No","2002","inadequately","Male","114","1","1","1","2"
"No","2002","higher vocational","Female","568","0.856346993573592","0.829548067378735","0.883145919768448","2"
