"ple0098_v5","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","1999","16-34 y.","lower secondary degree","57","0.0588470647750228","0.0449586448844377","0.0727354846656078"
"Yes","1999","16-34 y.","secondary school degree","113","0.0768920094757718","0.0633779742167023","0.0904060447348412"
"Yes","1999","16-34 y.","college entrance qualification","90","0.133308667248565","0.109958106807523","0.156659227689607"
"Yes","1999","16-34 y.","Other degree","4","","",""
"Yes","1999","16-34 y.","no degree/no degree yet","25","","",""
"Yes","1999","35-65 y.","lower secondary degree","194","0.0757281757676861","0.0659946428921868","0.0854617086431854"
"Yes","1999","35-65 y.","secondary school degree","190","0.147412229639523","0.131011915324264","0.163812543954781"
"Yes","1999","35-65 y.","college entrance qualification","122","0.196373438696129","0.168277988545892","0.224468888846366"
"Yes","1999","35-65 y.","Other degree","9","","",""
"Yes","1999","35-65 y.","no degree/no degree yet","3","","",""
"Yes","1999","66 and older","lower secondary degree","57","0.0474181421560318","0.0356597037576835","0.05917658055438"
"Yes","1999","66 and older","secondary school degree","26","","",""
"Yes","1999","66 and older","college entrance qualification","20","","",""
"Yes","1999","66 and older","Other degree","1","","",""
"Yes","1999","66 and older","no degree/no degree yet","","","",""
"No","1999","16-34 y.","lower secondary degree","1046","0.941152935224977","0.927264515334392","0.955041355115562"
"No","1999","16-34 y.","secondary school degree","1380","0.923107990524228","0.909593955265159","0.936622025783298"
"No","1999","16-34 y.","college entrance qualification","724","0.866691332751435","0.843340772310393","0.890041893192477"
"No","1999","16-34 y.","Other degree","186","0.92698684876164","0.88999477968133","0.96397891784195"
"No","1999","16-34 y.","no degree/no degree yet","318","0.912321281767711","0.882390226419522","0.9422523371159"
"No","1999","35-65 y.","lower secondary degree","2644","0.924271824232314","0.914538291356815","0.934005357107813"
"No","1999","35-65 y.","secondary school degree","1605","0.852587770360477","0.836187456045218","0.868988084675736"
"No","1999","35-65 y.","college entrance qualification","646","0.803626561303871","0.775531111153634","0.831722011454108"
"No","1999","35-65 y.","Other degree","649","0.988498365835926","0.980351268651303","0.996645463020548"
"No","1999","35-65 y.","no degree/no degree yet","313","0.986632597918118","0.973970496561634","0.999294699274602"
"No","1999","66 and older","lower secondary degree","1198","0.952581857843968","0.94082341944562","0.964340296242317"
"No","1999","66 and older","secondary school degree","174","0.873124827791509","0.826997363167959","0.919252292415059"
"No","1999","66 and older","college entrance qualification","75","0.697227834969025","0.604836419655404","0.789619250282646"
"No","1999","66 and older","Other degree","60","0.946978427214898","0.890746946543996","1.0032099078858"
"No","1999","66 and older","no degree/no degree yet","63","1","1","1"
"Yes","2000","16-34 y.","lower secondary degree","85","0.0569701468647052","0.0458065456325594","0.0681337480968511"
"Yes","2000","16-34 y.","secondary school degree","202","0.089210312555673","0.0778861945377692","0.100534430573577"
"Yes","2000","16-34 y.","college entrance qualification","191","0.127112695559177","0.110529974529247","0.143695416589106"
"Yes","2000","16-34 y.","Other degree","7","","",""
"Yes","2000","16-34 y.","no degree/no degree yet","28","","",""
"Yes","2000","35-65 y.","lower secondary degree","405","0.0815247642526727","0.0741661242121052","0.0888834042932402"
"Yes","2000","35-65 y.","secondary school degree","411","0.142525940763541","0.13075959383075","0.154292287696332"
"Yes","2000","35-65 y.","college entrance qualification","288","0.192117098021232","0.173411546691986","0.210822649350477"
"Yes","2000","35-65 y.","Other degree","28","","",""
"Yes","2000","35-65 y.","no degree/no degree yet","8","","",""
"Yes","2000","66 and older","lower secondary degree","94","0.0437181913481325","0.0355885947721689","0.051847787924096"
"Yes","2000","66 and older","secondary school degree","75","0.168249857831533","0.132684480489344","0.203815235173721"
"Yes","2000","66 and older","college entrance qualification","51","0.207843441608579","0.156614752438949","0.259072130778208"
"Yes","2000","66 and older","Other degree","3","","",""
"Yes","2000","66 and older","no degree/no degree yet","1","","",""
"No","2000","16-34 y.","lower secondary degree","1571","0.943029853135295","0.931866251903149","0.954193454367441"
"No","2000","16-34 y.","secondary school degree","2232","0.910789687444327","0.899465569426423","0.922113805462231"
"No","2000","16-34 y.","college entrance qualification","1359","0.872887304440823","0.856304583410894","0.889470025470753"
"No","2000","16-34 y.","Other degree","311","0.975851426395898","0.958979210528593","0.992723642263203"
"No","2000","16-34 y.","no degree/no degree yet","450","0.938344923563974","0.916782388563424","0.959907458564524"
"No","2000","35-65 y.","lower secondary degree","4907","0.918475235747327","0.91111659570676","0.925833875787895"
"No","2000","35-65 y.","secondary school degree","2980","0.857474059236459","0.845707712303668","0.86924040616925"
"No","2000","35-65 y.","college entrance qualification","1416","0.807882901978768","0.789177350649523","0.826588453308013"
"No","2000","35-65 y.","Other degree","969","0.967799636010475","0.956841829448962","0.978757442571988"
"No","2000","35-65 y.","no degree/no degree yet","265","0.966009350817223","0.944514365031311","0.987504336603135"
"No","2000","66 and older","lower secondary degree","2336","0.956281808651868","0.948152212075904","0.964411405227831"
"No","2000","66 and older","secondary school degree","350","0.831750142168467","0.796184764826279","0.867315519510656"
"No","2000","66 and older","college entrance qualification","190","0.792156558391421","0.740927869221792","0.843385247561051"
"No","2000","66 and older","Other degree","144","0.974038114685732","0.948331463010628","0.999744766360836"
"No","2000","66 and older","no degree/no degree yet","77","0.969318398146853","0.931047114184653","1.00758968210905"
"Yes","2001","16-34 y.","lower secondary degree","82","0.0618955843577664","0.049126479122957","0.0746646895925757"
"Yes","2001","16-34 y.","secondary school degree","171","0.0900009999122499","0.0777081705487061","0.102293829275794"
"Yes","2001","16-34 y.","college entrance qualification","174","0.133704801532573","0.115819717644253","0.151589885420893"
"Yes","2001","16-34 y.","Other degree","9","","",""
"Yes","2001","16-34 y.","no degree/no degree yet","32","0.0686495356834191","0.046617825885958","0.0906812454808801"
"Yes","2001","35-65 y.","lower secondary degree","363","0.0857994024211779","0.077766009005147","0.0938327958372087"
"Yes","2001","35-65 y.","secondary school degree","382","0.142023566163011","0.130031597612704","0.154015534713318"
"Yes","2001","35-65 y.","college entrance qualification","288","0.194968209140057","0.175840722638589","0.214095695641526"
"Yes","2001","35-65 y.","Other degree","16","","",""
"Yes","2001","35-65 y.","no degree/no degree yet","4","","",""
"Yes","2001","66 and older","lower secondary degree","87","0.0414059016835388","0.0331537055220224","0.0496580978450552"
"Yes","2001","66 and older","secondary school degree","64","0.153986753494635","0.119671762523441","0.188301744465829"
"Yes","2001","66 and older","college entrance qualification","50","0.206634196696832","0.15674279942879","0.256525593964873"
"Yes","2001","66 and older","Other degree","2","","",""
"Yes","2001","66 and older","no degree/no degree yet","1","","",""
"No","2001","16-34 y.","lower secondary degree","1286","0.938104415642234","0.925335310407424","0.950873520877043"
"No","2001","16-34 y.","secondary school degree","1911","0.90999900008775","0.897706170724206","0.922291829451294"
"No","2001","16-34 y.","college entrance qualification","1217","0.866295198467427","0.848410114579107","0.884180282355747"
"No","2001","16-34 y.","Other degree","247","0.963278491899858","0.940239456371956","0.98631752742776"
"No","2001","16-34 y.","no degree/no degree yet","474","0.931350464316581","0.90931875451912","0.953382174114042"
"No","2001","35-65 y.","lower secondary degree","4306","0.914200597578822","0.906167204162791","0.922233990994853"
"No","2001","35-65 y.","secondary school degree","2873","0.857976433836989","0.845984465286681","0.869968402387296"
"No","2001","35-65 y.","college entrance qualification","1360","0.805031790859943","0.785904304358474","0.824159277361412"
"No","2001","35-65 y.","Other degree","896","0.981171152595377","0.97234980520396","0.989992499986794"
"No","2001","35-65 y.","no degree/no degree yet","194","0.967129240077523","0.94229432810042","0.991964152054626"
"No","2001","66 and older","lower secondary degree","2152","0.958594098316461","0.950341902154945","0.966846294477978"
"No","2001","66 and older","secondary school degree","361","0.846013246505365","0.811698255534171","0.880328237476559"
"No","2001","66 and older","college entrance qualification","203","0.793365803303168","0.743474406035127","0.84325720057121"
"No","2001","66 and older","Other degree","142","0.984139899687197","0.963734353224886","1.00454544614951"
"No","2001","66 and older","no degree/no degree yet","64","0.966110516234961","0.922122204503361","1.01009882796656"
"Yes","2002","16-34 y.","lower secondary degree","80","0.064800574601001","0.0508722457477706","0.0787289034542315"
"Yes","2002","16-34 y.","secondary school degree","194","0.103288783885895","0.089808636819122","0.116768930952668"
"Yes","2002","16-34 y.","college entrance qualification","201","0.142562022578996","0.124338737548232","0.16078530760976"
"Yes","2002","16-34 y.","Other degree","7","","",""
"Yes","2002","16-34 y.","no degree/no degree yet","41","0.0480549634110408","0.0300652916792607","0.066044635142821"
"Yes","2002","35-65 y.","lower secondary degree","408","0.0926363080924742","0.084036524096024","0.101236092088924"
"Yes","2002","35-65 y.","secondary school degree","501","0.141695938042912","0.130105960714514","0.153285915371311"
"Yes","2002","35-65 y.","college entrance qualification","429","0.197947936868078","0.180441477393188","0.215454396342968"
"Yes","2002","35-65 y.","Other degree","33","0.0345989528534758","0.02255797338332","0.0466399323236317"
"Yes","2002","35-65 y.","no degree/no degree yet","4","","",""
"Yes","2002","66 and older","lower secondary degree","107","0.0518753946268035","0.0428098892291242","0.0609409000244828"
"Yes","2002","66 and older","secondary school degree","87","0.185335174866283","0.149513384975164","0.221156964757403"
"Yes","2002","66 and older","college entrance qualification","90","0.234541121032097","0.187525603090409","0.281556638973785"
"Yes","2002","66 and older","Other degree","7","","",""
"Yes","2002","66 and older","no degree/no degree yet","1","","",""
"No","2002","16-34 y.","lower secondary degree","1120","0.935199425398999","0.921271096545768","0.949127754252229"
"No","2002","16-34 y.","secondary school degree","1764","0.896711216114105","0.883231069047332","0.910191363180878"
"No","2002","16-34 y.","college entrance qualification","1213","0.857437977421004","0.83921469239024","0.875661262451768"
"No","2002","16-34 y.","Other degree","202","0.967579461794051","0.943567459360009","0.991591464228092"
"No","2002","16-34 y.","no degree/no degree yet","502","0.951945036588959","0.933955364857179","0.969934708320739"
"No","2002","35-65 y.","lower secondary degree","3958","0.907363691907526","0.898763907911076","0.915963475903976"
"No","2002","35-65 y.","secondary school degree","2977","0.858304061957088","0.846714084628689","0.869894039285486"
"No","2002","35-65 y.","college entrance qualification","1561","0.802052063131922","0.784545603657032","0.819558522606812"
"No","2002","35-65 y.","Other degree","852","0.965401047146524","0.953360067676368","0.97744202661668"
"No","2002","35-65 y.","no degree/no degree yet","168","0.977155241067694","0.954826772351985","0.999483709783404"
"No","2002","66 and older","lower secondary degree","2192","0.948124605373197","0.939059099975517","0.957190110770876"
"No","2002","66 and older","secondary school degree","365","0.814664825133717","0.778843035242597","0.850486615024836"
"No","2002","66 and older","college entrance qualification","222","0.765458878967903","0.718443361026215","0.812474396909591"
"No","2002","66 and older","Other degree","140","0.958902182954915","0.926810983148905","0.990993382760926"
"No","2002","66 and older","no degree/no degree yet","65","0.96501948750327","0.920693619482976","1.00934535552356"
"Yes","2003","16-34 y.","lower secondary degree","92","0.0855072545008716","0.0691303923634465","0.101884116638297"
"Yes","2003","16-34 y.","secondary school degree","175","0.103624898624105","0.0894902728262604","0.11775952442195"
"Yes","2003","16-34 y.","college entrance qualification","204","0.148332296051219","0.129379496672376","0.167285095430063"
"Yes","2003","16-34 y.","Other degree","4","","",""
"Yes","2003","16-34 y.","no degree/no degree yet","44","0.0647484688234339","0.0439931133255717","0.0855038243212961"
"Yes","2003","35-65 y.","lower secondary degree","388","0.0930472668990981","0.0840750159169667","0.102019517881229"
"Yes","2003","35-65 y.","secondary school degree","475","0.142363994250542","0.130707598539632","0.154020389961453"
"Yes","2003","35-65 y.","college entrance qualification","422","0.200252262577246","0.18249009303091","0.218014432123582"
"Yes","2003","35-65 y.","Other degree","25","","",""
"Yes","2003","35-65 y.","no degree/no degree yet","4","","",""
"Yes","2003","66 and older","lower secondary degree","109","0.0467051909078747","0.038109737644547","0.0553006441712025"
"Yes","2003","66 and older","secondary school degree","94","0.204841432471226","0.167676378873507","0.242006486068945"
"Yes","2003","66 and older","college entrance qualification","91","0.246178827268098","0.199053422900867","0.293304231635329"
"Yes","2003","66 and older","Other degree","5","","",""
"Yes","2003","66 and older","no degree/no degree yet","1","","",""
"No","2003","16-34 y.","lower secondary degree","1028","0.914492745499128","0.898115883361703","0.930869607636553"
"No","2003","16-34 y.","secondary school degree","1611","0.896375101375895","0.88224047557805","0.91050972717374"
"No","2003","16-34 y.","college entrance qualification","1147","0.851667703948781","0.832714904569937","0.870620503327624"
"No","2003","16-34 y.","Other degree","199","0.98790802177882","0.972872898058107","1.00294314549953"
"No","2003","16-34 y.","no degree/no degree yet","496","0.935251531176566","0.914496175678704","0.956006886674428"
"No","2003","35-65 y.","lower secondary degree","3639","0.906952733100902","0.897980482118771","0.915924984083033"
"No","2003","35-65 y.","secondary school degree","2977","0.857636005749458","0.845979610038547","0.869292401460368"
"No","2003","35-65 y.","college entrance qualification","1528","0.799747737422754","0.781985567876418","0.81750990696909"
"No","2003","35-65 y.","Other degree","781","0.976281724004089","0.965776393768885","0.986787054239292"
"No","2003","35-65 y.","no degree/no degree yet","158","0.97763165371948","0.954859969654088","1.00040333778487"
"No","2003","66 and older","lower secondary degree","2206","0.953294809092125","0.944699355828797","0.961890262355453"
"No","2003","66 and older","secondary school degree","359","0.795158567528774","0.757993513931055","0.832323621126493"
"No","2003","66 and older","college entrance qualification","230","0.753821172731902","0.706695768364671","0.800946577099133"
