"ple0098_v5","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1999","no migration background","Male","4046","0.900565145334336","0.89175714879177","0.909373141876903","2"
"No","1999","indirect migration background","Male","276","0.94537336268991","0.919082123464465","0.971664601915354","2"
"No","1999","no migration background","Female","4743","0.895628231946671","0.887336533756723","0.903919930136619","2"
"No","1999","indirect migration background","Female","273","0.914592830419329","0.882314362858144","0.946871297980514","2"
"No","1999","direct migration background","Male","1046","0.963088325380409","0.951785834325111","0.974390816435707","2"
"No","1999","direct migration background","Female","1040","0.943068473020318","0.929184804644177","0.95695214139646","2"
"Yes","1999","no migration background","Male","388","0.0994348546656635","0.0906268581230972","0.10824285120823","1"
"Yes","1999","no migration background","Female","480","0.104371768053329","0.0960800698633811","0.112663466243277","1"
"Yes","1999","direct migration background","Male","23","","","","1"
"Yes","1999","direct migration background","Female","30","0.0569315269796819","0.0430478586035404","0.0708151953558234","1"
"Yes","1999","indirect migration background","Male","11","","","","1"
"Yes","1999","indirect migration background","Female","15","","","","1"
"No","2000","no migration background","Male","7261","0.898529378422675","0.891923847034099","0.905134909811251","2"
"No","2000","no migration background","Female","8540","0.891594790667218","0.88534280484389","0.897846776490546","2"
"No","2000","indirect migration background","Male","360","0.917558913413291","0.889978216081656","0.945139610744926","2"
"No","2000","indirect migration background","Female","376","0.93160270035171","0.906803287290113","0.956402113413307","2"
"No","2000","direct migration background","Male","1502","0.957064705789482","0.946973103794503","0.967156307784462","2"
"No","2000","direct migration background","Female","1563","0.956858690265866","0.946983206349096","0.966734174182636","2"
"Yes","2000","no migration background","Male","766","0.101470621577325","0.094865090188749","0.108076152965901","1"
"Yes","2000","no migration background","Female","959","0.108405209332782","0.102153223509454","0.11465719515611","1"
"Yes","2000","direct migration background","Male","48","0.0429352942105177","0.032843692215538","0.0530268962054975","1"
"Yes","2000","direct migration background","Female","63","0.0431413097341343","0.0332658258173644","0.0530167936509043","1"
"Yes","2000","indirect migration background","Male","22","","","","1"
"Yes","2000","indirect migration background","Female","22","","","","1"
"No","2001","no migration background","Male","6618","0.892839472958979","0.885756931801768","0.89992201411619","2"
"No","2001","no migration background","Female","7790","0.892592858595118","0.886078726967986","0.89910699022225","2"
"No","2001","indirect migration background","Male","327","0.917838340346072","0.888903056904312","0.946773623787833","2"
"No","2001","indirect migration background","Female","348","0.875939934876116","0.842839113632402","0.90904075611983","2"
"No","2001","direct migration background","Male","1316","0.973511119955652","0.964925914096656","0.982096325814649","2"
"No","2001","direct migration background","Female","1388","0.951945699280819","0.940887308678522","0.963004089883116","2"
"Yes","2001","no migration background","Male","709","0.107160527041021","0.10007798588381","0.114243068198232","1"
"Yes","2001","no migration background","Female","889","0.107407141404882","0.10089300977775","0.113921273032014","1"
"Yes","2001","direct migration background","Male","28","","","","1"
"Yes","2001","direct migration background","Female","49","0.0480543007191811","0.036995910116884","0.0591126913214783","1"
"Yes","2001","indirect migration background","Male","19","","","","1"
"Yes","2001","indirect migration background","Female","33","0.124060065123884","0.0909592438801705","0.157160886367598","1"
"No","2002","no migration background","Male","6582","0.886321022513138","0.879132447869647","0.893509597156629","2"
"No","2002","no migration background","Female","7707","0.882557256876972","0.875845199955874","0.88926931379807","2"
"No","2002","indirect migration background","Male","313","0.955519599909162","0.93337692333044","0.977662276487883","2"
"No","2002","indirect migration background","Female","354","0.903359384947103","0.873883655489025","0.932835114405182","2"
"No","2002","direct migration background","Male","1224","0.967931584830624","0.958211288763607","0.977651880897641","2"
"No","2002","direct migration background","Female","1304","0.945819955412578","0.933837294243376","0.95780261658178","2"
"Yes","2002","no migration background","Male","908","0.113678977486862","0.106490402843371","0.120867552130353","1"
"Yes","2002","no migration background","Female","1131","0.117442743123028","0.110730686201931","0.124154800044126","1"
"Yes","2002","direct migration background","Male","38","0.0320684151693762","0.0223481191023593","0.0417887112363932","1"
"Yes","2002","direct migration background","Female","67","0.0541800445874221","0.0421973834182201","0.066162705756624","1"
"Yes","2002","indirect migration background","Male","20","","","","1"
"Yes","2002","indirect migration background","Female","32","0.0966406150528967","0.067164885594818","0.126116344510975","1"
"No","2003","no migration background","Male","6344","0.887631059976515","0.880348256182513","0.894913863770517","2"
"No","2003","no migration background","Female","7420","0.875598490311827","0.868595838291864","0.882601142331789","2"
"No","2003","indirect migration background","Male","312","0.954005403691373","0.931438970684216","0.976571836698529","2"
"No","2003","indirect migration background","Female","350","0.865174317588531","0.831321265035616","0.899027370141446","2"
"No","2003","direct migration background","Male","1146","0.973765018876201","0.964637706623201","0.982892331129202","2"
"No","2003","direct migration background","Female","1235","0.946012992437247","0.933709206443782","0.958316778430712","2"
"Yes","2003","no migration background","Male","880","0.112368940023485","0.105086136229483","0.119651743817487","1"
"Yes","2003","no migration background","Female","1113","0.124401509688173","0.117398857668211","0.131404161708136","1"
"Yes","2003","direct migration background","Male","32","0.0262349811237985","0.0171076688707978","0.0353622933767993","1"
"Yes","2003","direct migration background","Female","61","0.0539870075627528","0.0416832215692878","0.0662907935562178","1"
"Yes","2003","indirect migration background","Male","19","","","","1"
"Yes","2003","indirect migration background","Female","41","0.134825682411469","0.100972629858554","0.168678734964384","1"
"No","2004","no migration background","Male","6067","0.874919516454798","0.867164954540555","0.882674078369041","2"
"No","2004","no migration background","Female","7161","0.870633864832764","0.863422982483725","0.877844747181803","2"
"No","2004","indirect migration background","Male","321","0.901369025950459","0.870087109360828","0.93265094254009","2"
"No","2004","indirect migration background","Female","359","0.903526996764794","0.874263031118219","0.932790962411369","2"
"No","2004","direct migration background","Male","1093","0.974902775291121","0.965774535415389","0.984031015166854","2"
"No","2004","direct migration background","Female","1195","0.941059118702735","0.928070493591455","0.954047743814015","2"
