"ple0098_v5","year","n","percent","lower_confidence","upper_confidence","value"
"No","1999","11424","0.906670543682014","0.901544529437219","0.911796557926809","2"
"Yes","1999","947","0.0933294563179858","0.088203442073191","0.0984554705627807","1"
"No","2000","19602","0.904211281771354","0.900275754949991","0.908146808592717","2"
"Yes","2000","1880","0.0957887182286459","0.0918531914072832","0.0997242450500085","1"
"No","2001","17787","0.902162812858913","0.89799441292361","0.906331212794215","2"
"Yes","2001","1727","0.0978371871410874","0.0936687872057846","0.10200558707639","1"
"No","2002","17484","0.895535419690199","0.89126213861372","0.899808700766677","2"
"Yes","2002","2196","0.104464580309801","0.100191299233323","0.10873786138628","1"
"No","2003","16807","0.892840329504788","0.888436690659906","0.89724396834967","2"
"Yes","2003","2146","0.107159670495212","0.10275603165033","0.111563309340094","1"
"No","2004","16196","0.885552819659295","0.880958279079243","0.890147360239346","2"
"Yes","2004","2247","0.114447180340705","0.109852639760654","0.119041720920757","1"
"No","2005","15272","0.87299091343805","0.868071352399507","0.877910474476593","2"
"Yes","2005","2327","0.12700908656195","0.122089525523407","0.131928647600493","1"
"No","2006","15809","0.856351247064092","0.851322284100451","0.861380210027734","2"
"Yes","2006","2876","0.143648752935907","0.138619789972266","0.148677715899549","1"
"No","2007","14497","0.841662413427609","0.836241343707793","0.847083483147426","2"
"Yes","2007","2923","0.158337586572391","0.152916516852574","0.163758656292207","1"
"No","2008","13370","0.811809813342096","0.805858145535129","0.817761481149063","2"
"Yes","2008","3198","0.188190186657904","0.182238518850937","0.194141854464871","1"
"No","2009","","","","","2"
"Yes","2009","","","","","1"
"No","2010","16543","0.798636978583022","0.793182844922738","0.804091112243305","2"
"Yes","2010","4224","0.201363021416978","0.195908887756695","0.206817155077262","1"
"No","2011","13873","0.788734113780892","0.782726862950072","0.794741364611712","2"
"Yes","2011","3865","0.211265886219108","0.205258635388288","0.217273137049928","1"
"No","2012","18614","0.783690923037682","0.778479015785231","0.788902830290132","2"
"Yes","2012","5359","0.216309076962318","0.211097169709868","0.221520984214769","1"
"No","2013","12165","0.759037818963997","0.75244425647933","0.765631381448665","2"
"Yes","2013","3996","0.240962181036003","0.234368618551335","0.24755574352067","1"
"No","2014","18454","0.764099604676343","0.758709602440329","0.769489606912357","2"
"Yes","2014","5380","0.235900395323657","0.230510393087643","0.241290397559671","1"
"No","2015","","","","","2"
"Yes","2015","","","","","1"
"No","2016","16979","0.787534192049163","0.782045346615004","0.793023037483322","2"
"Yes","2016","4356","0.212465807950837","0.206976962516678","0.217954653384996","1"
"No","2017","","","","","2"
"Yes","2017","","","","","1"
"No","2018","17828","0.779016781109373","0.773610517054976","0.78442304516377","2"
"Yes","2018","4798","0.220983218890627","0.21557695483623","0.226389482945024","1"
