"ple0098_v5","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","1999","Mecklenburg-Western Pomerania","higher vocational","20","","",""
"No","1999","Mecklenburg-Western Pomerania","higher education","82","1","1","1"
"No","1999","Saxony","in school","26","","",""
"No","1999","Saxony","inadequately","5","","",""
"No","1999","Saxony","general elemantary","116","0.985195373240965","0.963496632865385","1.00689411361655"
"No","1999","Saxony","middle vocational","596","0.952339548116837","0.935569773182336","0.969109323051337"
"No","1999","Saxony","vocational + Abi","21","","",""
"No","1999","Saxony","higher vocational","63","0.953436995189261","0.903721697462202","1.00315229291632"
"No","1999","Saxony","higher education","207","0.91370245545741","0.877011548483606","0.950393362431213"
"No","1999","Saxony-Anhalt","in school","15","","",""
"No","1999","Saxony-Anhalt","inadequately","4","","",""
"No","1999","Saxony-Anhalt","general elemantary","79","0.99442796683516","0.978116365115956","1.01073956855436"
"No","1999","Saxony-Anhalt","middle vocational","338","0.935146478009189","0.909456286443487","0.960836669574891"
"No","1999","Saxony-Anhalt","vocational + Abi","13","","",""
"No","1999","Saxony-Anhalt","higher vocational","49","0.939936280975746","0.874725662476581","1.00514689947491"
"No","1999","Saxony-Anhalt","higher education","129","0.952472909645192","0.916974779477434","0.987971039812951"
"No","1999","Thuringia","in school","13","","",""
"No","1999","Thuringia","inadequately","2","","",""
"No","1999","Thuringia","general elemantary","68","0.99248150144192","0.972099336280739","1.0128636666031"
"No","1999","Thuringia","middle vocational","422","0.980772121716074","0.967822533572881","0.993721709859268"
"No","1999","Thuringia","vocational + Abi","11","","",""
"No","1999","Thuringia","higher vocational","35","0.945118268803348","0.871733790833334","1.01850274677336"
"No","1999","Thuringia","higher education","117","0.96432287741128","0.931273631758728","0.997372123063832"
"Yes","2000","Schleswig-Holstein","in school","","","",""
"Yes","2000","Schleswig-Holstein","inadequately","","","",""
"Yes","2000","Schleswig-Holstein","general elemantary","3","","",""
"Yes","2000","Schleswig-Holstein","middle vocational","29","","",""
"Yes","2000","Schleswig-Holstein","vocational + Abi","2","","",""
"Yes","2000","Schleswig-Holstein","higher vocational","4","","",""
"Yes","2000","Schleswig-Holstein","higher education","9","","",""
"Yes","2000","Hamburg","in school","","","",""
"Yes","2000","Hamburg","inadequately","","","",""
"Yes","2000","Hamburg","general elemantary","","","",""
"Yes","2000","Hamburg","middle vocational","10","","",""
"Yes","2000","Hamburg","vocational + Abi","1","","",""
"Yes","2000","Hamburg","higher vocational","2","","",""
"Yes","2000","Hamburg","higher education","6","","",""
"Yes","2000","Lower Saxony","in school","3","","",""
"Yes","2000","Lower Saxony","inadequately","","","",""
"Yes","2000","Lower Saxony","general elemantary","12","","",""
"Yes","2000","Lower Saxony","middle vocational","103","0.105762527324028","0.0870898507862696","0.124435203861786"
"Yes","2000","Lower Saxony","vocational + Abi","14","","",""
"Yes","2000","Lower Saxony","higher vocational","11","","",""
"Yes","2000","Lower Saxony","higher education","25","","",""
"Yes","2000","Bremen","in school","","","",""
"Yes","2000","Bremen","inadequately","","","",""
"Yes","2000","Bremen","general elemantary","2","","",""
"Yes","2000","Bremen","middle vocational","6","","",""
"Yes","2000","Bremen","vocational + Abi","1","","",""
"Yes","2000","Bremen","higher vocational","","","",""
"Yes","2000","Bremen","higher education","1","","",""
"Yes","2000","North Rhine-Westphalia","in school","9","","",""
"Yes","2000","North Rhine-Westphalia","inadequately","5","","",""
"Yes","2000","North Rhine-Westphalia","general elemantary","34","0.0502969812659643","0.0348094483355178","0.0657845141964108"
"Yes","2000","North Rhine-Westphalia","middle vocational","297","0.124549637994297","0.111313987177368","0.137785288811225"
"Yes","2000","North Rhine-Westphalia","vocational + Abi","51","0.17549583524079","0.133151328504332","0.217840341977247"
"Yes","2000","North Rhine-Westphalia","higher vocational","56","0.158876943459665","0.120133765183302","0.197620121736028"
"Yes","2000","North Rhine-Westphalia","higher education","137","0.354554273996135","0.310453105076545","0.398655442915725"
"Yes","2000","Hesse","in school","","","",""
"Yes","2000","Hesse","inadequately","","","",""
"Yes","2000","Hesse","general elemantary","2","","",""
"Yes","2000","Hesse","middle vocational","58","0.0897736040685971","0.0694371024194147","0.11011010571778"
"Yes","2000","Hesse","vocational + Abi","15","","",""
"Yes","2000","Hesse","higher vocational","10","","",""
"Yes","2000","Hesse","higher education","37","0.207954894858519","0.15099222768453","0.264917562032508"
"Yes","2000","Rhineland-Palatinate,Saarland","in school","1","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","inadequately","","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","general elemantary","7","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","middle vocational","52","0.0739176280422895","0.0546996844615487","0.0931355716230303"
"Yes","2000","Rhineland-Palatinate,Saarland","vocational + Abi","3","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","higher vocational","12","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","higher education","6","","",""
"Yes","2000","Baden-Württemberg","in school","1","","",""
"Yes","2000","Baden-Württemberg","inadequately","","","",""
"Yes","2000","Baden-Württemberg","general elemantary","22","","",""
"Yes","2000","Baden-Württemberg","middle vocational","149","0.124316399550958","0.10629051282722","0.142342286274695"
"Yes","2000","Baden-Württemberg","vocational + Abi","11","","",""
"Yes","2000","Baden-Württemberg","higher vocational","21","","",""
"Yes","2000","Baden-Württemberg","higher education","61","0.250317944595683","0.198062604644994","0.302573284546373"
"Yes","2000","Bavaria","in school","5","","",""
"Yes","2000","Bavaria","inadequately","1","","",""
"Yes","2000","Bavaria","general elemantary","25","","",""
"Yes","2000","Bavaria","middle vocational","184","0.116862155686608","0.101568389929127","0.132155921444088"
"Yes","2000","Bavaria","vocational + Abi","20","","",""
"Yes","2000","Bavaria","higher vocational","34","0.160575112078671","0.110919483802575","0.210230740354766"
"Yes","2000","Bavaria","higher education","64","0.209537379211699","0.161867890026818","0.257206868396579"
"Yes","2000","Berlin","in school","3","","",""
"Yes","2000","Berlin","inadequately","","","",""
"Yes","2000","Berlin","general elemantary","5","","",""
"Yes","2000","Berlin","middle vocational","15","","",""
"Yes","2000","Berlin","vocational + Abi","1","","",""
"Yes","2000","Berlin","higher vocational","5","","",""
"Yes","2000","Berlin","higher education","21","","",""
"Yes","2000","Brandenburg","in school","","","",""
"Yes","2000","Brandenburg","inadequately","","","",""
"Yes","2000","Brandenburg","general elemantary","2","","",""
"Yes","2000","Brandenburg","middle vocational","19","","",""
"Yes","2000","Brandenburg","vocational + Abi","","","",""
"Yes","2000","Brandenburg","higher vocational","4","","",""
"Yes","2000","Brandenburg","higher education","19","","",""
"Yes","2000","Mecklenburg-Western Pomerania","in school","","","",""
"Yes","2000","Mecklenburg-Western Pomerania","inadequately","","","",""
"Yes","2000","Mecklenburg-Western Pomerania","general elemantary","","","",""
"Yes","2000","Mecklenburg-Western Pomerania","middle vocational","8","","",""
"Yes","2000","Mecklenburg-Western Pomerania","vocational + Abi","1","","",""
"Yes","2000","Mecklenburg-Western Pomerania","higher vocational","2","","",""
"Yes","2000","Mecklenburg-Western Pomerania","higher education","1","","",""
"Yes","2000","Saxony","in school","2","","",""
"Yes","2000","Saxony","inadequately","","","",""
"Yes","2000","Saxony","general elemantary","7","","",""
"Yes","2000","Saxony","middle vocational","30","0.0423838371935913","0.0297121528422385","0.0550555215449441"
"Yes","2000","Saxony","vocational + Abi","1","","",""
"Yes","2000","Saxony","higher vocational","5","","",""
"Yes","2000","Saxony","higher education","21","","",""
"Yes","2000","Saxony-Anhalt","in school","1","","",""
"Yes","2000","Saxony-Anhalt","inadequately","","","",""
"Yes","2000","Saxony-Anhalt","general elemantary","1","","",""
"Yes","2000","Saxony-Anhalt","middle vocational","16","","",""
"Yes","2000","Saxony-Anhalt","vocational + Abi","","","",""
"Yes","2000","Saxony-Anhalt","higher vocational","3","","",""
"Yes","2000","Saxony-Anhalt","higher education","7","","",""
"Yes","2000","Thuringia","in school","1","","",""
"Yes","2000","Thuringia","inadequately","","","",""
"Yes","2000","Thuringia","general elemantary","1","","",""
"Yes","2000","Thuringia","middle vocational","27","","",""
"Yes","2000","Thuringia","vocational + Abi","1","","",""
"Yes","2000","Thuringia","higher vocational","7","","",""
"Yes","2000","Thuringia","higher education","7","","",""
"No","2000","Schleswig-Holstein","in school","16","","",""
"No","2000","Schleswig-Holstein","inadequately","7","","",""
"No","2000","Schleswig-Holstein","general elemantary","89","0.957258995605792","0.915926534352701","0.998591456858882"
"No","2000","Schleswig-Holstein","middle vocational","308","0.927737185942763","0.900093047595247","0.955381324290278"
"No","2000","Schleswig-Holstein","vocational + Abi","27","","",""
"No","2000","Schleswig-Holstein","higher vocational","48","0.959037089327982","0.905165532667592","1.01290864598837"
"No","2000","Schleswig-Holstein","higher education","47","0.813038645235492","0.710924573169585","0.915152717301399"
"No","2000","Hamburg","in school","4","","",""
"No","2000","Hamburg","inadequately","3","","",""
"No","2000","Hamburg","general elemantary","33","1","1","1"
"No","2000","Hamburg","middle vocational","132","0.949229430992153","0.913122087974036","0.985336774010269"
"No","2000","Hamburg","vocational + Abi","16","","",""
"No","2000","Hamburg","higher vocational","16","","",""
"No","2000","Hamburg","higher education","34","0.845575000970998","0.733591777049627","0.957558224892369"
"No","2000","Lower Saxony","in school","29","","",""
"No","2000","Lower Saxony","inadequately","30","1","1","1"
"No","2000","Lower Saxony","general elemantary","302","0.958847644208066","0.936876361076712","0.98081892733942"
"No","2000","Lower Saxony","middle vocational","939","0.894237472675972","0.875564796138214","0.91291014921373"
"No","2000","Lower Saxony","vocational + Abi","100","0.86022012138424","0.796566547383349","0.92387369538513"
"No","2000","Lower Saxony","higher vocational","111","0.929025907261937","0.883460840277469","0.974590974246405"
"No","2000","Lower Saxony","higher education","125","0.839746832461027","0.781041174499347","0.898452490422707"
"No","2000","Bremen","in school","4","","",""
"No","2000","Bremen","inadequately","","","",""
"No","2000","Bremen","general elemantary","30","0.96065418548954","0.893293590962892","1.02801478001619"
"No","2000","Bremen","middle vocational","77","0.912105795526089","0.851192545441988","0.97301904561019"
"No","2000","Bremen","vocational + Abi","15","","",""
"No","2000","Bremen","higher vocational","12","","",""
"No","2000","Bremen","higher education","27","","",""
"No","2000","North Rhine-Westphalia","in school","69","0.896424716831287","0.82880306650031","0.964046367162265"
"No","2000","North Rhine-Westphalia","inadequately","147","0.966777707846407","0.938286923367486","0.995268492325329"
"No","2000","North Rhine-Westphalia","general elemantary","731","0.949703018734036","0.934215485803589","0.965190551664482"
"No","2000","North Rhine-Westphalia","middle vocational","2094","0.875450362005703","0.862214711188775","0.888686012822632"
"No","2000","North Rhine-Westphalia","vocational + Abi","259","0.82450416475921","0.782159658022753","0.866848671495668"
"No","2000","North Rhine-Westphalia","higher vocational","286","0.841123056540335","0.802379878263972","0.879866234816699"
"No","2000","North Rhine-Westphalia","higher education","315","0.645445726003865","0.601344557084275","0.689546894923455"
"No","2000","Hesse","in school","28","","",""
"No","2000","Hesse","inadequately","36","1","1","1"
"No","2000","Hesse","general elemantary","274","0.993623348854571","0.984232588166215","1.00301410954293"
"No","2000","Hesse","middle vocational","701","0.910226395931403","0.88988989428222","0.930562897580585"
"No","2000","Hesse","vocational + Abi","83","0.829480429591152","0.755020050996644","0.903940808185659"
"No","2000","Hesse","higher vocational","75","0.869383000974632","0.797744902277345","0.941021099671919"
"No","2000","Hesse","higher education","158","0.792045105141481","0.735082437967492","0.84900777231547"
"No","2000","Rhineland-Palatinate,Saarland","in school","17","","",""
"No","2000","Rhineland-Palatinate,Saarland","inadequately","28","","",""
"No","2000","Rhineland-Palatinate,Saarland","general elemantary","278","0.964360539967293","0.942837137111727","0.985883942822859"
"No","2000","Rhineland-Palatinate,Saarland","middle vocational","660","0.926082371957711","0.90686442837697","0.945300315538451"
"No","2000","Rhineland-Palatinate,Saarland","vocational + Abi","52","0.939158935047823","0.875985470179556","1.00233239991609"
"No","2000","Rhineland-Palatinate,Saarland","higher vocational","83","0.865813130311881","0.797271665254296","0.934354595369465"
"No","2000","Rhineland-Palatinate,Saarland","higher education","78","0.919503352258097","0.861323313827924","0.97768339068827"
"No","2000","Baden-Württemberg","in school","48","0.974170526282337","0.929755970523113","1.01858508204156"
"No","2000","Baden-Württemberg","inadequately","79","1","1","1"
"No","2000","Baden-Württemberg","general elemantary","578","0.946575451695554","0.928581750097627","0.96456915329348"
"No","2000","Baden-Württemberg","middle vocational","1138","0.875683600449042","0.857657713725305","0.89370948717278"
"No","2000","Baden-Württemberg","vocational + Abi","101","0.907865436717864","0.854302903117129","0.961427970318599"
"No","2000","Baden-Württemberg","higher vocational","184","0.905385296687328","0.865320107750531","0.945450485624124"
"No","2000","Baden-Württemberg","higher education","203","0.749682055404317","0.697426715453627","0.801937395355006"
"No","2000","Bavaria","in school","32","0.864768358635499","0.754579855357787","0.974956861913211"
"No","2000","Bavaria","inadequately","36","0.982258352382609","0.939722311106577","1.02479439365864"
"No","2000","Bavaria","general elemantary","471","0.950209998955021","0.931067963401162","0.969352034508881"
"No","2000","Bavaria","middle vocational","1511","0.883137844313392","0.867844078555912","0.898431610070873"
"No","2000","Bavaria","vocational + Abi","107","0.856687074788236","0.79574741600892","0.917626733567552"
"No","2000","Bavaria","higher vocational","176","0.839424887921329","0.789769259645234","0.889080516197425"
"No","2000","Bavaria","higher education","216","0.790462620788301","0.742793131603421","0.838132109973182"
"No","2000","Berlin","in school","24","","",""
"No","2000","Berlin","inadequately","9","","",""
"No","2000","Berlin","general elemantary","68","0.896508628122466","0.826634569523254","0.966382686721678"
"No","2000","Berlin","middle vocational","312","0.964003866005023","0.943813623635001","0.984194108375044"
"No","2000","Berlin","vocational + Abi","30","0.952610456431436","0.877816556466294","1.02740435639658"
"No","2000","Berlin","higher vocational","60","0.915618398085892","0.848045499149367","0.983191297022417"
"No","2000","Berlin","higher education","166","0.911091019463116","0.870298457120874","0.951883581805358"
"No","2000","Brandenburg","in school","22","","",""
"No","2000","Brandenburg","inadequately","4","","",""
"No","2000","Brandenburg","general elemantary","107","0.986260590309858","0.964407406495511","1.00811377412421"
"No","2000","Brandenburg","middle vocational","480","0.963584665259232","0.94714908992299","0.980020240595475"
"No","2000","Brandenburg","vocational + Abi","21","","",""
"No","2000","Brandenburg","higher vocational","75","0.963364503627638","0.92193774961754","1.00479125763774"
"No","2000","Brandenburg","higher education","214","0.92881169320615","0.895794640777835","0.961828745634465"
"No","2000","Mecklenburg-Western Pomerania","in school","17","","",""
"No","2000","Mecklenburg-Western Pomerania","inadequately","3","","",""
"No","2000","Mecklenburg-Western Pomerania","general elemantary","43","1","1","1"
"No","2000","Mecklenburg-Western Pomerania","middle vocational","308","0.966393687533363","0.946523954936685","0.986263420130041"
"No","2000","Mecklenburg-Western Pomerania","vocational + Abi","5","","",""
"No","2000","Mecklenburg-Western Pomerania","higher vocational","37","0.930217355321597","0.850255710535516","1.01017900010768"
"No","2000","Mecklenburg-Western Pomerania","higher education","99","0.985472130085556","0.962020597181464","1.00892366298965"
"No","2000","Saxony","in school","31","0.974452482602986","0.920619826794092","1.02828513841188"
"No","2000","Saxony","inadequately","4","","",""
"No","2000","Saxony","general elemantary","151","0.959254584021967","0.928427966985676","0.990081201058257"
"No","2000","Saxony","middle vocational","941","0.957616162806409","0.944944478455056","0.970287847157762"
"No","2000","Saxony","vocational + Abi","40","0.915831864221928","0.830847722715582","1.00081600572827"
"No","2000","Saxony","higher vocational","134","0.97372118712903","0.947128582784273","1.00031379147379"
"No","2000","Saxony","higher education","305","0.932926475931965","0.905772179006355","0.960080772857576"
"No","2000","Saxony-Anhalt","in school","21","","",""
"No","2000","Saxony-Anhalt","inadequately","5","","",""
