"ple0098_v5","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Full Time","(0) in school","","","",""
"Yes","1999","Full Time","(1a) inadequately completed","5","","",""
"Yes","1999","Full Time","(1b) general elementary school","20","","",""
"Yes","1999","Full Time","(1c) basic vocational qualification","125","0.0956585901922746","0.0807343621558592","0.11058281822869"
"Yes","1999","Full Time","(2b) intermediate general qualification","16","","",""
"Yes","1999","Full Time","(2a) intermediate vocational","126","0.10671498157612","0.0905013516958681","0.122928611456372"
"Yes","1999","Full Time","(2c_gen) general maturity certificate","5","","",""
"Yes","1999","Full Time","(2c_voc) vocational maturity certificate","41","0.158513055564639","0.11739022628447","0.199635884844808"
"Yes","1999","Full Time","(3a) lower tertiary education","48","0.143612013313214","0.111064985862189","0.176159040764239"
"Yes","1999","Full Time","(3b) higher tertiary education","66","0.211329413501729","0.171764134467211","0.250894692536247"
"Yes","1999","Part Time","(0) in school","6","","",""
"Yes","1999","Part Time","(1a) inadequately completed","2","","",""
"Yes","1999","Part Time","(1b) general elementary school","9","","",""
"Yes","1999","Part Time","(1c) basic vocational qualification","48","0.0739206049448357","0.0550438743804423","0.092797335509229"
"Yes","1999","Part Time","(2b) intermediate general qualification","12","","",""
"Yes","1999","Part Time","(2a) intermediate vocational","83","0.1589865084609","0.131152680143655","0.186820336778144"
"Yes","1999","Part Time","(2c_gen) general maturity certificate","10","","",""
"Yes","1999","Part Time","(2c_voc) vocational maturity certificate","17","","",""
"Yes","1999","Part Time","(3a) lower tertiary education","13","","",""
"Yes","1999","Part Time","(3b) higher tertiary education","21","","",""
"Yes","1999","Not Working","(0) in school","16","","",""
"Yes","1999","Not Working","(1a) inadequately completed","1","","",""
"Yes","1999","Not Working","(1b) general elementary school","26","","",""
"Yes","1999","Not Working","(1c) basic vocational qualification","81","0.0606547655590112","0.0489771101664516","0.0723324209515708"
"Yes","1999","Not Working","(2b) intermediate general qualification","15","","",""
"Yes","1999","Not Working","(2a) intermediate vocational","53","0.134086895333983","0.104542985807997","0.163630804859969"
"Yes","1999","Not Working","(2c_gen) general maturity certificate","13","","",""
"Yes","1999","Not Working","(2c_voc) vocational maturity certificate","13","","",""
"Yes","1999","Not Working","(3a) lower tertiary education","12","","",""
"Yes","1999","Not Working","(3b) higher tertiary education","12","","",""
"No","1999","Full Time","(0) in school","1","","",""
"No","1999","Full Time","(1a) inadequately completed","131","0.973544645003176","0.946572631417127","1.00051665858922"
"No","1999","Full Time","(1b) general elementary school","452","0.948213655411656","0.928222503341137","0.968204807482175"
"No","1999","Full Time","(1c) basic vocational qualification","1367","0.904341409807725","0.88941718177131","0.919265637844141"
"No","1999","Full Time","(2b) intermediate general qualification","178","0.882949094352159","0.837711193135218","0.928186995569101"
"No","1999","Full Time","(2a) intermediate vocational","1267","0.89328501842388","0.877071388543628","0.909498648304132"
"No","1999","Full Time","(2c_gen) general maturity certificate","84","0.975757197620143","0.943803922400257","1.00771047284003"
"No","1999","Full Time","(2c_voc) vocational maturity certificate","262","0.841486944435361","0.800364115155192","0.88260977371553"
"No","1999","Full Time","(3a) lower tertiary education","398","0.856387986686786","0.823840959235761","0.888935014137811"
"No","1999","Full Time","(3b) higher tertiary education","343","0.788670586498271","0.749105307463753","0.828235865532788"
"No","1999","Part Time","(0) in school","25","","",""
"No","1999","Part Time","(1a) inadequately completed","88","0.961644661318613","0.921966909214959","1.00132241342227"
