"ple0098_v5","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Full Time","Male","3006","0.89287897317395","0.882312797884283","0.903445148463617","2"
"No","1999","Not Working","Male","1523","0.9365320661946","0.924582218635225","0.948481913753975","2"
"No","1999","Full Time","Female","1597","0.877805284165313","0.862586308406223","0.893024259924402","2"
"No","1999","Not Working","Female","2819","0.926644714416954","0.91730115789658","0.935988270937327","2"
"No","1999","Part Time","Male","839","0.923482649236167","0.90611579460844","0.940849503863894","2"
"No","1999","Part Time","Female","1640","0.876261222422946","0.861095658181938","0.891426786663955","2"
"Yes","1999","Full Time","Male","285","0.10712102682605","0.0965548515363833","0.117687202115717","1"
"Yes","1999","Full Time","Female","182","0.122194715834688","0.106975740075598","0.137413691593777","1"
"Yes","1999","Part Time","Male","61","0.0765173507638326","0.0591504961361055","0.0938842053915598","1"
"Yes","1999","Part Time","Female","171","0.123738777577054","0.108573213336045","0.138904341818062","1"
"Yes","1999","Not Working","Male","76","0.0634679338054001","0.0515180862460251","0.0754177813647751","1"
"Yes","1999","Not Working","Female","172","0.0733552855830464","0.0640117290626729","0.0826988421034199","1"
"No","2000","Full Time","Male","5002","0.88938201736416","0.881140416665583","0.897623618062737","2"
"No","2000","Full Time","Female","2647","0.878131677791196","0.866370551142881","0.88989280443951","2"
"No","2000","Not Working","Male","2808","0.934404184405097","0.92551831907667","0.943290049733525","2"
"No","2000","Not Working","Female","4952","0.923858728074889","0.91672840343786","0.930989052711918","2"
"No","2000","Part Time","Male","1312","0.917063565932498","0.902678788663152","0.931448343201845","2"
"No","2000","Part Time","Female","2880","0.879275739887356","0.868050292567631","0.89050118720708","2"
"Yes","2000","Full Time","Male","562","0.11061798263584","0.102376381937263","0.118859583334417","1"
"Yes","2000","Full Time","Female","325","0.121868322208804","0.11010719556049","0.133629448857119","1"
"Yes","2000","Part Time","Male","100","0.0829364340675018","0.0685516567981552","0.0973212113368485","1"
"Yes","2000","Part Time","Female","356","0.120724260112644","0.10949881279292","0.131949707432369","1"
"Yes","2000","Not Working","Male","174","0.0655958155949027","0.0567099502664751","0.0744816809233304","1"
"Yes","2000","Not Working","Female","363","0.0761412719251108","0.069010947288082","0.0832715965621396","1"
"No","2001","Full Time","Male","4474","0.882324056544483","0.873383681803743","0.891264431285222","2"
"No","2001","Full Time","Female","2382","0.871777192520863","0.859138013912095","0.884416371129631","2"
"No","2001","Not Working","Male","2600","0.936564170957634","0.927454182560158","0.94567415935511","2"
"No","2001","Not Working","Female","4351","0.923904835992236","0.916304208778845","0.931505463205627","2"
"No","2001","Part Time","Male","1187","0.918657982538073","0.903665034398256","0.933650930677891","2"
"No","2001","Part Time","Female","2793","0.882301322166623","0.871019146641365","0.893583497691881","2"
"Yes","2001","Full Time","Male","516","0.117675943455518","0.108735568714778","0.126616318196257","1"
"Yes","2001","Full Time","Female","306","0.128222807479137","0.115583628870368","0.140861986087905","1"
"Yes","2001","Part Time","Male","90","0.0813420174619265","0.0663490693221095","0.0963349656017436","1"
"Yes","2001","Part Time","Female","341","0.117698677833377","0.106416502308119","0.128980853358635","1"
"Yes","2001","Not Working","Male","150","0.0634358290423659","0.0543258406448901","0.0725458174398417","1"
"Yes","2001","Not Working","Female","324","0.0760951640077636","0.0684945367943726","0.0836957912211547","1"
"No","2002","Full Time","Male","4290","0.871538215509015","0.862199938559858","0.880876492458173","2"
"No","2002","Full Time","Female","2311","0.872454975798918","0.859813741814065","0.885096209783772","2"
"No","2002","Not Working","Male","2626","0.933430427885691","0.924246388597214","0.942614467174168","2"
"No","2002","Not Working","Female","4205","0.911114825246972","0.902914208820887","0.919315441673057","2"
"No","2002","Part Time","Male","1203","0.925296355634522","0.91112930359143","0.939463407677615","2"
"No","2002","Part Time","Female","2849","0.874091008016925","0.862761971063441","0.885420044970408","2"
"Yes","2002","Full Time","Male","642","0.128461784490985","0.119123507541827","0.137800061440142","1"
"Yes","2002","Full Time","Female","364","0.127545024201082","0.114903790216228","0.140186258185935","1"
"Yes","2002","Part Time","Male","120","0.0747036443654776","0.0605365923223854","0.0888706964085698","1"
"Yes","2002","Part Time","Female","445","0.125908991983075","0.114579955029591","0.137238028936559","1"
"Yes","2002","Not Working","Male","204","0.0665695721143093","0.0573855328258323","0.0757536114027864","1"
"Yes","2002","Not Working","Female","421","0.0888851747530282","0.0806845583269433","0.0970857911791132","1"
"No","2003","Full Time","Male","3982","0.876921881359622","0.867391756775276","0.886452005943969","2"
"No","2003","Full Time","Female","2148","0.85460046323198","0.840788115234046","0.868412811229914","2"
"No","2003","Not Working","Male","2611","0.933870921113617","0.924716775438232","0.943025066789001","2"
"No","2003","Not Working","Female","4118","0.910098822914557","0.901766428691917","0.918431217137197","2"
"No","2003","Part Time","Male","1209","0.912452739671007","0.897302871382738","0.927602607959276","2"
"No","2003","Part Time","Female","2739","0.863921440625109","0.852025010267754","0.875817870982464","2"
"Yes","2003","Full Time","Male","583","0.123078118640378","0.113547994056031","0.132608243224724","1"
"Yes","2003","Full Time","Female","354","0.14539953676802","0.131587188770086","0.159211884765954","1"
"Yes","2003","Part Time","Male","128","0.0875472603289933","0.0723973920407244","0.102697128617262","1"
"Yes","2003","Part Time","Female","452","0.136078559374891","0.124182129017536","0.147974989732246","1"
"Yes","2003","Not Working","Male","220","0.0661290788863832","0.0569749332109986","0.0752832245617678","1"
"Yes","2003","Not Working","Female","409","0.0899011770854431","0.0815687828628029","0.0982335713080833","1"
"No","2004","Full Time","Male","3680","0.856446578621076","0.845963911409253","0.866929245832899","2"
"No","2004","Full Time","Female","2022","0.854093727900744","0.839955822247721","0.868231633553767","2"
"No","2004","Not Working","Male","2641","0.926562407679637","0.917038884223323","0.936085931135952","2"
"No","2004","Not Working","Female","4033","0.908969851617415","0.900522115302502","0.917417587932329","2"
"No","2004","Part Time","Male","1160","0.909153524857835","0.893458470882564","0.924848578833107","2"
"No","2004","Part Time","Female","2660","0.855791512612733","0.843476552700726","0.86810647252474","2"
"Yes","2004","Full Time","Male","618","0.143553421378924","0.133070754167101","0.154036088590747","1"
"Yes","2004","Full Time","Female","373","0.145906272099256","0.131768366446233","0.160044177752279","1"
"Yes","2004","Part Time","Male","128","0.0908464751421648","0.0751514211668932","0.106541529117436","1"
"Yes","2004","Part Time","Female","466","0.144208487387267","0.13189352747526","0.156523447299274","1"
"Yes","2004","Not Working","Male","241","0.0734375923203625","0.0639140688640478","0.0829611157766772","1"
"Yes","2004","Not Working","Female","421","0.0910301483825846","0.0825824120676715","0.0994778846974978","1"
"No","2005","Not Working","Male","2565","0.923697182566306","0.913881284773347","0.933513080359264","2"
"No","2005","Full Time","Male","3440","0.843736338475934","0.832556236938581","0.854916440013287","2"
"No","2005","Full Time","Female","1858","0.821909289839579","0.806139337263425","0.837679242415733","2"
"No","2005","Not Working","Female","3799","0.899069124661756","0.889999774364923","0.908138474958589","2"
"No","2005","Part Time","Male","1046","0.892652619403205","0.875042605485512","0.910262633320898","2"
"No","2005","Part Time","Female","2564","0.849398392375517","0.836707343739515","0.862089441011518","2"
"Yes","2005","Full Time","Male","612","0.156263661524066","0.145083559986713","0.167443763061419","1"
"Yes","2005","Full Time","Female","403","0.178090710160421","0.162320757584267","0.193860662736575","1"
"Yes","2005","Part Time","Male","141","0.107347380596795","0.0897373666791016","0.124957394514488","1"
"Yes","2005","Part Time","Female","487","0.150601607624483","0.137910558988482","0.163292656260485","1"
"Yes","2005","Not Working","Male","245","0.0763028174336945","0.0664869196407362","0.0861187152266527","1"
"Yes","2005","Not Working","Female","439","0.100930875338244","0.0918615250414112","0.110000225635077","1"
"No","2006","Not Working","Male","2715","0.909845613496912","0.899641132690029","0.920050094303794","2"
"No","2006","Full Time","Male","3501","0.826486424043034","0.815126652277136","0.837846195808932","2"
"No","2006","Not Working","Female","4033","0.890294140413095","0.881244118829537","0.899344161996652","2"
"No","2006","Full Time","Female","1908","0.79356943281759","0.777396836438573","0.809742029196608","2"
"No","2006","Part Time","Male","1050","0.881477674003001","0.863257996644422","0.899697351361581","2"
"No","2006","Part Time","Female","2602","0.824254940018269","0.811055576869343","0.837454303167195","2"
"Yes","2006","Part Time","Male","159","0.118522325996998","0.100302648638419","0.136742003355578","1"
"Yes","2006","Part Time","Female","592","0.175745059981731","0.162545696832805","0.188944423130657","1"
"Yes","2006","Full Time","Male","768","0.173513575956966","0.162153804191068","0.184873347722864","1"
"Yes","2006","Full Time","Female","498","0.20643056718241","0.190257970803392","0.222603163561427","1"
"Yes","2006","Not Working","Male","311","0.0901543865030883","0.0799499056962058","0.100358867309971","1"
"Yes","2006","Not Working","Female","548","0.109705859586905","0.100655838003348","0.118755881170463","1"
"No","2007","Full Time","Male","3226","0.813613583503698","0.801542592653199","0.825684574354196","2"
"No","2007","Not Working","Male","2516","0.905925487339037","0.895169826451685","0.916681148226388","2"
"No","2007","Not Working","Female","3656","0.870827567382464","0.860714433934529","0.8809407008304","2"
"No","2007","Full Time","Female","1710","0.770995613921861","0.753504676001752","0.788486551841969","2"
"No","2007","Part Time","Male","956","0.883811445804567","0.864891548344356","0.902731343264778","2"
"No","2007","Part Time","Female","2433","0.804513092421454","0.790434280540476","0.818591904302431","2"
"Yes","2007","Part Time","Male","146","0.116188554195433","0.0972686567352219","0.135108451655644","1"
"Yes","2007","Part Time","Female","615","0.195486907578546","0.181408095697569","0.209565719459524","1"
"Yes","2007","Full Time","Male","772","0.186386416496303","0.174315425645804","0.198457407346801","1"
