"ple0098_v5","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Schleswig-Holstein","Urban Area","3","","",""
"Yes","1999","Schleswig-Holstein","Rural Area","12","","",""
"Yes","1999","Hamburg","Urban Area","8","","",""
"Yes","1999","Hamburg","Rural Area","","","",""
"Yes","1999","Lower Saxony","Urban Area","47","0.0978488523448109","0.0728358416473863","0.122861863042236"
"Yes","1999","Lower Saxony","Rural Area","46","0.115243817430686","0.0870855948531605","0.143402040008211"
"Yes","1999","Bremen","Urban Area","5","","",""
"Yes","1999","Bremen","Rural Area","","","",""
"Yes","1999","North Rhine-Westphalia","Urban Area","251","0.138112275497225","0.124079018740112","0.152145532254338"
"Yes","1999","North Rhine-Westphalia","Rural Area","6","","",""
"Yes","1999","Hesse","Urban Area","51","0.104522114173919","0.0813045476005474","0.12773968074729"
"Yes","1999","Hesse","Rural Area","7","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","Urban Area","33","0.0607504659322468","0.0402391024846865","0.081261829379807"
"Yes","1999","Rhineland-Palatinate,Saarland","Rural Area","1","","",""
"Yes","1999","Baden-Württemberg","Urban Area","108","0.0977416954064855","0.0821525581036576","0.113330832709313"
"Yes","1999","Baden-Württemberg","Rural Area","9","","",""
"Yes","1999","Bavaria","Urban Area","99","0.157504372826123","0.13152044802058","0.183488297631666"
"Yes","1999","Bavaria","Rural Area","88","0.105415475368635","0.0843711835494626","0.126459767187807"
"Yes","1999","Berlin","Urban Area","25","","",""
"Yes","1999","Berlin","Rural Area","","","",""
"Yes","1999","Brandenburg","Urban Area","1","","",""
"Yes","1999","Brandenburg","Rural Area","26","","",""
"Yes","1999","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Yes","1999","Mecklenburg-Western Pomerania","Rural Area","11","","",""
"Yes","1999","Saxony","Urban Area","34","0.051843758213426","0.0329504309447172","0.0707370854821349"
"Yes","1999","Saxony","Rural Area","26","","",""
"Yes","1999","Saxony-Anhalt","Urban Area","10","","",""
"Yes","1999","Saxony-Anhalt","Rural Area","21","","",""
"Yes","1999","Thuringia","Urban Area","8","","",""
"Yes","1999","Thuringia","Rural Area","11","","",""
"No","1999","Schleswig-Holstein","Urban Area","134","0.979330452607869","0.955506274866873","1.00315463034887"
"No","1999","Schleswig-Holstein","Rural Area","130","0.919671781878477","0.87496695512738","0.964376608629575"
"No","1999","Hamburg","Urban Area","119","0.941897587829462","0.901211572881748","0.982583602777176"
"No","1999","Hamburg","Rural Area","","","",""
"No","1999","Lower Saxony","Urban Area","495","0.902151147655189","0.877138136957764","0.927164158352614"
"No","1999","Lower Saxony","Rural Area","448","0.884756182569314","0.856597959991789","0.91291440514684"
"No","1999","Bremen","Urban Area","78","0.950516293247223","0.903858957057724","0.997173629436721"
"No","1999","Bremen","Rural Area","","","",""
"No","1999","North Rhine-Westphalia","Urban Area","2071","0.861887724502775","0.847854467745662","0.875920981259888"
"No","1999","North Rhine-Westphalia","Rural Area","49","0.928336390692821","0.860170239650208","0.996502541735434"
"No","1999","Hesse","Urban Area","616","0.895477885826081","0.87226031925271","0.918695452399453"
"No","1999","Hesse","Rural Area","119","0.946770912051764","0.907573284309247","0.98596853979428"
"No","1999","Rhineland-Palatinate,Saarland","Urban Area","488","0.939249534067753","0.918738170620193","0.959760897515313"
"No","1999","Rhineland-Palatinate,Saarland","Rural Area","159","0.992924241865996","0.979936529966146","1.00591195376585"
"No","1999","Baden-Württemberg","Urban Area","1286","0.902258304593515","0.886669167290687","0.917847441896342"
"No","1999","Baden-Württemberg","Rural Area","163","0.938024664929227","0.90199166354679","0.974057666311664"
"No","1999","Bavaria","Urban Area","656","0.842495627173877","0.816511702368334","0.86847955197942"
"No","1999","Bavaria","Rural Area","730","0.894584524631365","0.873540232812193","0.915628816450537"
"No","1999","Berlin","Urban Area","426","0.956316928642185","0.937453643706784","0.975180213577586"
"No","1999","Berlin","Rural Area","","","",""
"No","1999","Brandenburg","Urban Area","30","0.956489881074511","0.88467696385338","1.02830279829564"
"No","1999","Brandenburg","Rural Area","519","0.94407938523459","0.924789037087058","0.963369733382122"
"No","1999","Mecklenburg-Western Pomerania","Urban Area","49","1","1","1"
"No","1999","Mecklenburg-Western Pomerania","Rural Area","307","0.966501720151915","0.946725326423037","0.986278113880792"
"No","1999","Saxony","Urban Area","495","0.948156241786574","0.929262914517865","0.967049569055283"
"No","1999","Saxony","Rural Area","548","0.943307358726875","0.92438905901404","0.96222565843971"
"No","1999","Saxony-Anhalt","Urban Area","176","0.942921236575063","0.909581159048906","0.976261314101221"
"No","1999","Saxony-Anhalt","Rural Area","460","0.947451870285973","0.927511520916866","0.96739221965508"
