"ple0098_v5","year","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Male","422","0.088537450830687","0.0812203046674767","0.0958545969938974"
"Yes","1999","Female","525","0.0975116416950007","0.090344414293904","0.104678869096097"
"No","1999","Male","5368","0.911462549169313","0.904145403006103","0.918779695332523"
"No","1999","Female","6056","0.902488358304999","0.895321130903903","0.909655585706096"
"Yes","2000","Male","836","0.0924229624668871","0.0867348009866996","0.0981111239470746"
"Yes","2000","Female","1044","0.0987085308983981","0.0932625603996096","0.104154501397186"
"No","2000","Male","9123","0.907577037533113","0.901888876052925","0.9132651990133"
"No","2000","Female","10479","0.901291469101602","0.895845498602814","0.90673743960039"
"Yes","2001","Male","756","0.0951381512427853","0.0890821556712409","0.10119414681433"
"Yes","2001","Female","971","0.100179799208002","0.0944362090816739","0.10592338933433"
"No","2001","Male","8261","0.904861848757215","0.89880585318567","0.910917844328759"
"No","2001","Female","9526","0.899820200791998","0.89407661066567","0.905563790918326"
"Yes","2002","Male","966","0.0999910171711673","0.0938223755418634","0.106159658800471"
"Yes","2002","Female","1230","0.108369146232337","0.102450219275149","0.114288073189525"
"No","2002","Male","8119","0.900008982828833","0.893840341199529","0.906177624458137"
"No","2002","Female","9365","0.891630853767663","0.885711926810475","0.897549780724851"
"Yes","2003","Male","931","0.0978890288935293","0.0916565135939638","0.104121544193095"
"Yes","2003","Female","1215","0.115286359350591","0.109094615704416","0.121478102996765"
"No","2003","Male","7802","0.902110971106471","0.895878455806905","0.908343486406036"
"No","2003","Female","9005","0.884713640649409","0.878521897003235","0.890905384295584"
"Yes","2004","Male","987","0.109793874189315","0.103135134910681","0.116452613467949"
"Yes","2004","Female","1260","0.118525310529241","0.112182202425359","0.124868418633123"
"No","2004","Male","7481","0.890206125810685","0.883547386532051","0.896864865089319"
"No","2004","Female","8715","0.881474689470759","0.875131581366877","0.887817797574641"
"Yes","2005","Male","998","0.120150995899273","0.11304794563116","0.127254046167385"
"Yes","2005","Female","1329","0.132997829537978","0.126187333033767","0.139808326042189"
"No","2005","Male","7051","0.879849004100727","0.872745953832615","0.88695205436884"
"No","2005","Female","8221","0.867002170462022","0.860191673957811","0.873812666966233"
"Yes","2006","Male","1238","0.135761821634647","0.128481643307608","0.143041999961686"
"Yes","2006","Female","1638","0.150549720949576","0.14360328826612","0.157496153633032"
"No","2006","Male","7266","0.864238178365353","0.856958000038314","0.871518356692392"
"No","2006","Female","8543","0.849450279050424","0.842503846366968","0.85639671173388"
"Yes","2007","Male","1232","0.143478090311598","0.135762422356052","0.151193758267144"
"Yes","2007","Female","1691","0.171227099656996","0.163647975771575","0.178806223542417"
"No","2007","Male","6698","0.856521909688402","0.848806241732856","0.864237577643948"
"No","2007","Female","7799","0.828772900343004","0.821193776457583","0.836352024228425"
"Yes","2008","Male","1336","0.172532849558929","0.1640161809171","0.181049518200758"
"Yes","2008","Female","1862","0.20185864507522","0.193569273767269","0.210148016383171"
"No","2008","Male","6225","0.827467150441071","0.818950481799242","0.835983819082901"
"No","2008","Female","7145","0.79814135492478","0.789851983616829","0.806430726232731"
"Yes","2009","Male","","","",""
"Yes","2009","Female","","","",""
"No","2009","Male","","","",""
"No","2009","Female","","","",""
"Yes","2010","Male","1706","0.189371013352422","0.181269673215674","0.19747235348917"
"Yes","2010","Female","2518","0.211907160560934","0.204528116752482","0.219286204369385"
