"ple0098_v5","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1999","16-34 y.","Male","1898","0.919894885638855","0.908103674157522","0.931686097120187","2"
"No","1999","66 and older","Male","640","0.920821864206108","0.900616044166409","0.941027684245807","2"
"No","1999","16-34 y.","Female","2012","0.904796067150329","0.892492648304068","0.917099485996589","2"
"No","1999","66 and older","Female","942","0.925596927415453","0.909356254791647","0.941837600039259","2"
"No","1999","35-65 y.","Male","2830","0.903848538299673","0.893417052077318","0.914280024522028","2"
"No","1999","35-65 y.","Female","3102","0.890361906553836","0.879847513887051","0.900876299220621","2"
"Yes","1999","16-34 y.","Male","138","0.0801051143611455","0.0683139028798128","0.0918963258424782","1"
"Yes","1999","16-34 y.","Female","174","0.0952039328496714","0.0829005140034108","0.107507351695932","1"
"Yes","1999","35-65 y.","Male","238","0.0961514617003273","0.0857199754779725","0.106582947922682","1"
"Yes","1999","35-65 y.","Female","290","0.109638093446164","0.0991237007793793","0.120152486112949","1"
"Yes","1999","66 and older","Male","46","0.0791781357938921","0.0589723157541934","0.0993839558335909","1"
"Yes","1999","66 and older","Female","61","0.0744030725845466","0.0581623999607406","0.0906437452083527","1"
"No","2000","16-34 y.","Male","2827","0.916152956878122","0.906328054556569","0.925977859199675","2"
"No","2000","16-34 y.","Female","3104","0.913101372426463","0.903616262974762","0.922586481878164","2"
"No","2000","66 and older","Male","1285","0.923931341499808","0.909974433868303","0.937888249131313","2"
"No","2000","66 and older","Female","1825","0.929006737110614","0.917602358811866","0.940411115409362","2"
"No","2000","35-65 y.","Male","5010","0.89780421234431","0.889809871705341","0.905798552983279","2"
"No","2000","35-65 y.","Female","5550","0.882549263006267","0.874526843200627","0.890571682811906","2"
"Yes","2000","16-34 y.","Male","230","0.0838470431218777","0.0740221408003245","0.0936719454434309","1"
"Yes","2000","16-34 y.","Female","284","0.0868986275735368","0.0774135181218358","0.0963837370252377","1"
"Yes","2000","35-65 y.","Male","505","0.10219578765569","0.094201447016721","0.110190128294659","1"
"Yes","2000","35-65 y.","Female","637","0.117450736993733","0.109428317188094","0.125473156799373","1"
"Yes","2000","66 and older","Male","101","0.0760686585001921","0.0621117508686871","0.0900255661316971","1"
"Yes","2000","66 and older","Female","123","0.0709932628893858","0.0595888845906379","0.0823976411881338","1"
"No","2001","16-34 y.","Male","2487","0.925568286139652","0.915606898848385","0.935529673430919","2"
"No","2001","16-34 y.","Female","2714","0.895291479677273","0.884340734783407","0.906242224571138","2"
"No","2001","66 and older","Male","1230","0.923357482349256","0.909039027754158","0.937675936944355","2"
"No","2001","66 and older","Female","1705","0.932608487873909","0.921068603125978","0.944148372621841","2"
"No","2001","35-65 y.","Male","4544","0.88831073701382","0.879600871606503","0.897020602421137","2"
"No","2001","35-65 y.","Female","5107","0.886683471110614","0.878440825382154","0.894926116839074","2"
"Yes","2001","16-34 y.","Male","180","0.0744317138603481","0.0644703265690808","0.0843931011516153","1"
"Yes","2001","16-34 y.","Female","289","0.104708520322727","0.0937577754288616","0.115659265216593","1"
"Yes","2001","35-65 y.","Male","480","0.11168926298618","0.102979397578863","0.120399128393497","1"
"Yes","2001","35-65 y.","Female","574","0.113316528889386","0.105073883160926","0.121559174617846","1"
"Yes","2001","66 and older","Male","96","0.0766425176507438","0.0623240630556453","0.0909609722458423","1"
"Yes","2001","66 and older","Female","108","0.0673915121260908","0.0558516273781594","0.0789313968740223","1"
"No","2002","16-34 y.","Male","2372","0.91825553558526","0.9076960008128","0.92881507035772","2"
"No","2002","16-34 y.","Female","2572","0.89364846027732","0.88239903257539","0.904897887979251","2"
"No","2002","66 and older","Male","1291","0.915468509516036","0.901040216432953","0.929896802599119","2"
"No","2002","66 and older","Female","1706","0.912412897240338","0.899569181277539","0.925256613203137","2"
"No","2002","35-65 y.","Male","4456","0.88564197668146","0.876882791621488","0.894401161741432","2"
"No","2002","35-65 y.","Female","5087","0.880715973348467","0.872409505996428","0.889022440700506","2"
"Yes","2002","16-34 y.","Male","214","0.0817444644147399","0.0711849296422798","0.0923039991872","1"
"Yes","2002","16-34 y.","Female","313","0.10635153972268","0.0951021120207488","0.11760096742461","1"
"Yes","2002","35-65 y.","Male","615","0.11435802331854","0.105598838258568","0.123117208378512","1"
"Yes","2002","35-65 y.","Female","762","0.119284026651533","0.110977559299494","0.127590494003572","1"
"Yes","2002","66 and older","Male","137","0.0845314904839641","0.0701031974008809","0.0989597835670472","1"
"Yes","2002","66 and older","Female","155","0.0875871027596622","0.0747433867968635","0.100430818722461","1"
"No","2003","16-34 y.","Male","2232","0.91915102909675","0.908374278337096","0.929927779856404","2"
"No","2003","16-34 y.","Female","2441","0.877952277903432","0.865708988407458","0.890195567399405","2"
"No","2003","66 and older","Male","1317","0.914173584267897","0.899790794347489","0.928556374188305","2"
"No","2003","66 and older","Female","1705","0.910835777383442","0.897902040331403","0.923769514435481","2"
"No","2003","35-65 y.","Male","4253","0.889408042562821","0.880552259039393","0.898263826086249","2"
"No","2003","35-65 y.","Female","4859","0.875063062451394","0.866409987306502","0.883716137596286","2"
"Yes","2003","16-34 y.","Male","226","0.0808489709032504","0.0700722201435965","0.0916257216629043","1"
"Yes","2003","16-34 y.","Female","305","0.122047722096568","0.109804432600595","0.134291011592542","1"
"Yes","2003","35-65 y.","Male","565","0.110591957437179","0.101736173913751","0.119447740960606","1"
"Yes","2003","35-65 y.","Female","750","0.124936937548606","0.116283862403714","0.133590012693498","1"
"Yes","2003","66 and older","Male","140","0.0858264157321032","0.0714436258116952","0.100209205652511","1"
"Yes","2003","66 and older","Female","160","0.0891642226165578","0.0762304855645186","0.102097959668597","1"
"No","2004","16-34 y.","Male","2100","0.90197082814038","0.889938269140568","0.914003387140192","2"
"No","2004","16-34 y.","Female","2323","0.888171578972957","0.876129202522224","0.90021395542369","2"
"No","2004","66 and older","Male","1347","0.906563422478002","0.891878859421166","0.921247985534838","2"
"No","2004","66 and older","Female","1747","0.908551727140678","0.895661903019855","0.921441551261502","2"
"No","2004","35-65 y.","Male","4034","0.878105044984066","0.868663947856026","0.887546142112106","2"
"No","2004","35-65 y.","Female","4645","0.864647211942509","0.855542182289874","0.873752241595144","2"
"Yes","2004","16-34 y.","Male","246","0.0980291718596197","0.0859966128598078","0.110061730859432","1"
"Yes","2004","16-34 y.","Female","308","0.111828421027043","0.0997860445763098","0.123870797477776","1"
"Yes","2004","35-65 y.","Male","579","0.121894955015934","0.112453857887894","0.131336052143974","1"
"Yes","2004","35-65 y.","Female","778","0.135352788057491","0.126247758404856","0.144457817710126","1"
"Yes","2004","66 and older","Male","162","0.0934365775219982","0.0787520144651619","0.108121140578835","1"
"Yes","2004","66 and older","Female","174","0.0914482728593216","0.078558448738498","0.104338096980145","1"
"No","2005","66 and older","Male","1343","0.898776332499982","0.883572991256752","0.913979673743213","2"
