"ple0098_v5","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1999","lower secondary degree","(0) in school","","","",""
"Yes","1999","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","1999","lower secondary degree","(1b) general elementary school","51","0.0353977086650805","0.0260309525058715","0.0447644648242896"
"Yes","1999","lower secondary degree","(1c) basic vocational qualification","248","0.0769494149080141","0.0681626252461687","0.0857362045698594"
"Yes","1999","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","1999","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes","1999","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"Yes","1999","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1999","lower secondary degree","(3a) lower tertiary education","4","","",""
"Yes","1999","lower secondary degree","(3b) higher tertiary education","4","","",""
"Yes","1999","secondary school degree","(0) in school","","","",""
"Yes","1999","secondary school degree","(1a) inadequately completed","","","",""
"Yes","1999","secondary school degree","(1b) general elementary school","","","",""
"Yes","1999","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","1999","secondary school degree","(2b) intermediate general qualification","43","0.100834633759089","0.07452052009024","0.127148747427937"
"Yes","1999","secondary school degree","(2a) intermediate vocational","262","0.128369649316625","0.115355984053216","0.141383314580033"
"Yes","1999","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","1999","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1999","secondary school degree","(3a) lower tertiary education","24","","",""
"Yes","1999","secondary school degree","(3b) higher tertiary education","","","",""
"Yes","1999","college entrance qualification","(0) in school","","","",""
"Yes","1999","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","1999","college entrance qualification","(1b) general elementary school","","","",""
"Yes","1999","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","1999","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","1999","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","1999","college entrance qualification","(2c_gen) general maturity certificate","26","","",""
"Yes","1999","college entrance qualification","(2c_voc) vocational maturity certificate","69","0.179399942702657","0.144563640116465","0.214236245288849"
"Yes","1999","college entrance qualification","(3a) lower tertiary education","45","0.201900940241092","0.156997824844209","0.246804055637975"
"Yes","1999","college entrance qualification","(3b) higher tertiary education","92","0.213442526917331","0.179597130800012","0.24728792303465"
"Yes","1999","Other degree","(0) in school","","","",""
"Yes","1999","Other degree","(1a) inadequately completed","","","",""
"Yes","1999","Other degree","(1b) general elementary school","4","","",""
"Yes","1999","Other degree","(1c) basic vocational qualification","6","","",""
"Yes","1999","Other degree","(2b) intermediate general qualification","","","",""
"Yes","1999","Other degree","(2a) intermediate vocational","","","",""
"Yes","1999","Other degree","(2c_gen) general maturity certificate","1","","",""
"Yes","1999","Other degree","(2c_voc) vocational maturity certificate","2","","",""
"Yes","1999","Other degree","(3a) lower tertiary education","","","",""
"Yes","1999","Other degree","(3b) higher tertiary education","1","","",""
"Yes","1999","no degree/no degree yet","(0) in school","22","","",""
"Yes","1999","no degree/no degree yet","(1a) inadequately completed","6","","",""
"Yes","1999","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","1999","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","1999","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","1999","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","1999","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","1999","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","1999","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","1999","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","1999","lower secondary degree","(0) in school","","","",""
"No","1999","lower secondary degree","(1a) inadequately completed","","","",""
"No","1999","lower secondary degree","(1b) general elementary school","1444","0.964602291334919","0.95523553517571","0.973969047494128"
"No","1999","lower secondary degree","(1c) basic vocational qualification","3286","0.923050585091986","0.914263795430141","0.931837374753831"
"No","1999","lower secondary degree","(2b) intermediate general qualification","2","","",""
"No","1999","lower secondary degree","(2a) intermediate vocational","29","","",""
"No","1999","lower secondary degree","(2c_gen) general maturity certificate","5","","",""
"No","1999","lower secondary degree","(2c_voc) vocational maturity certificate","12","","",""
"No","1999","lower secondary degree","(3a) lower tertiary education","91","0.965090354713301","0.928180444052954","1.00200026537365"
"No","1999","lower secondary degree","(3b) higher tertiary education","19","","",""
"No","1999","secondary school degree","(0) in school","","","",""
"No","1999","secondary school degree","(1a) inadequately completed","","","",""
"No","1999","secondary school degree","(1b) general elementary school","","","",""
"No","1999","secondary school degree","(1c) basic vocational qualification","","","",""
"No","1999","secondary school degree","(2b) intermediate general qualification","460","0.899165366240912","0.872851252572063","0.92547947990976"
"No","1999","secondary school degree","(2a) intermediate vocational","2276","0.871630350683375","0.858616685419967","0.884644015946784"
"No","1999","secondary school degree","(2c_gen) general maturity certificate","6","","",""
"No","1999","secondary school degree","(2c_voc) vocational maturity certificate","5","","",""
"No","1999","secondary school degree","(3a) lower tertiary education","363","0.919353915810267","0.892225426129505","0.946482405491029"
"No","1999","secondary school degree","(3b) higher tertiary education","49","1","1","1"
"No","1999","college entrance qualification","(0) in school","","","",""
"No","1999","college entrance qualification","(1a) inadequately completed","","","",""
"No","1999","college entrance qualification","(1b) general elementary school","","","",""
"No","1999","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","1999","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","1999","college entrance qualification","(2a) intermediate vocational","","","",""
"No","1999","college entrance qualification","(2c_gen) general maturity certificate","315","0.904002077214675","0.872735054176633","0.935269100252717"
"No","1999","college entrance qualification","(2c_voc) vocational maturity certificate","397","0.820600057297343","0.785763754711151","0.855436359883535"
"No","1999","college entrance qualification","(3a) lower tertiary education","262","0.798099059758908","0.753195944362025","0.843002175155791"
"No","1999","college entrance qualification","(3b) higher tertiary education","471","0.786557473082669","0.75271207696535","0.820402869199988"
"No","1999","Other degree","(0) in school","","","",""
"No","1999","Other degree","(1a) inadequately completed","","","",""
"No","1999","Other degree","(1b) general elementary school","391","0.988669108635571","0.978231354483014","0.999106862788128"
