"ple0098_v5","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Not Employed","inadequately","222","0.989716778125991","0.976475932291426","1.00295762396056","2"
"No","1999","Not Employed","general elemantary","1182","0.963382806494773","0.952852173891284","0.973913439098262","2"
"No","1999","Employed","middle vocational","3858","0.897548666591087","0.888397370358834","0.90669996282334","2"
"No","1999","Employed","vocational + Abi","320","0.845669195549379","0.808556374735961","0.882782016362798","2"
"No","1999","Not Employed","in school","223","0.924430632877899","0.890921808044743","0.957939457711054","2"
"No","1999","Not Employed","middle vocational","2025","0.918724815427112","0.90721174480699","0.930237886047234","2"
"No","1999","Not Employed","vocational + Abi","86","0.809172328698456","0.730972930554971","0.887371726841941","2"
"No","1999","Employed","higher vocational","458","0.879392736781197","0.851374385201252","0.907411088361142","2"
"No","1999","Employed","higher education","1009","0.827847431905894","0.806094724544466","0.849600139267323","2"
"No","1999","Not Employed","higher vocational","167","0.942607515011612","0.908438610630537","0.976776419392687","2"
"No","1999","Employed","in school","25","","","","2"
"No","1999","Employed","inadequately","195","0.9866327122627","0.970636583202236","1.00262884132316","2"
"No","1999","Employed","general elemantary","1083","0.940667296562754","0.926947384738521","0.954387208386987","2"
"No","1999","Not Employed","higher education","343","0.893748731599228","0.862221209429588","0.925276253768869","2"
"Yes","1999","Not Employed","in school","16","","","","1"
"Yes","1999","Not Employed","inadequately","1","","","","1"
"Yes","1999","Not Employed","general elemantary","40","0.0366171935052268","0.0260865609017378","0.0471478261087158","1"
"Yes","1999","Not Employed","middle vocational","139","0.0812751845728882","0.069762113952766","0.0927882551930104","1"
"Yes","1999","Not Employed","vocational + Abi","11","","","","1"
"Yes","1999","Not Employed","higher vocational","11","","","","1"
"Yes","1999","Not Employed","higher education","24","","","","1"
"Yes","1999","Employed","in school","7","","","","1"
"Yes","1999","Employed","inadequately","3","","","","1"
"Yes","1999","Employed","general elemantary","56","0.0593327034372458","0.0456127916130126","0.0730526152614789","1"
"Yes","1999","Employed","middle vocational","360","0.102451333408913","0.0933000371766605","0.111602629641166","1"
"Yes","1999","Employed","vocational + Abi","44","0.15433080445062","0.117217983637202","0.191443625264039","1"
"Yes","1999","Employed","higher vocational","61","0.120607263218803","0.0925889116388582","0.148625614798748","1"
"Yes","1999","Employed","higher education","148","0.172152568094106","0.150399860732677","0.193905275455534","1"
"No","2000","Not Employed","inadequately","237","0.99628207954669","0.988549919789367","1.00401423930401","2"
"No","2000","Not Employed","general elemantary","1863","0.966944155567502","0.958934719324114","0.974953591810889","2"
"No","2000","Not Employed","middle vocational","4053","0.923483189665269","0.915584655965639","0.931381723364899","2"
"No","2000","Employed","middle vocational","6697","0.896453997987171","0.889513282816713","0.903394713157629","2"
"No","2000","Employed","vocational + Abi","670","0.872679841705304","0.848950289367886","0.896409394042723","2"
"No","2000","Not Employed","in school","325","0.9404323200556","0.915347894854206","0.965516745256994","2"
"No","2000","Not Employed","vocational + Abi","225","0.852055160283528","0.808815529660498","0.895294790906559","2"
"No","2000","Not Employed","higher vocational","436","0.926740989213778","0.903259413761732","0.950222564665824","2"
"No","2000","Employed","higher vocational","1041","0.880239292264149","0.861714018285699","0.898764566242598","2"
"No","2000","Employed","higher education","1745","0.816649396984123","0.799975894450136","0.83332289951811","2"
"No","2000","Not Employed","higher education","599","0.845544867056117","0.818716069802143","0.872373664310091","2"
