"ple0098_v5","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1999","16-34 y.","West Germany","2880","0.905006498101282","0.894737927058098","0.915275069144467","2"
"No","1999","66 and older","West Germany","1098","0.90705394746121","0.890598316660306","0.923509578262115","2"
"No","1999","16-34 y.","East Germany","1030","0.942286393330653","0.92844227159031","0.956130515070997","2"
"No","1999","66 and older","East Germany","484","0.988342193304801","0.978867029550916","0.997817357058685","2"
"No","1999","35-65 y.","West Germany","3992","0.883477260615222","0.87403118873231","0.892923332498135","2"
"No","1999","35-65 y.","East Germany","1940","0.948666744047803","0.93906234138149","0.958271146714117","2"
"Yes","1999","16-34 y.","West Germany","252","0.0949935018987177","0.084724930855533","0.105262072941902","1"
"Yes","1999","16-34 y.","East Germany","60","0.0577136066693465","0.0438694849290028","0.0715577284096903","1"
"Yes","1999","35-65 y.","West Germany","440","0.116522739384778","0.107076667501865","0.12596881126769","1"
"Yes","1999","35-65 y.","East Germany","88","0.0513332559521965","0.0417288532858828","0.0609376586185102","1"
"Yes","1999","66 and older","West Germany","98","0.0929460525387896","0.0764904217378855","0.109401683339694","1"
"Yes","1999","66 and older","East Germany","9","","","","1"
"No","2000","16-34 y.","West Germany","4452","0.906554123929981","0.898396370014611","0.914711877845352","2"
"No","2000","16-34 y.","East Germany","1479","0.948539150181741","0.937557970404191","0.95952032995929","2"
"No","2000","66 and older","West Germany","2236","0.908009897081435","0.896577476679651","0.91944231748322","2"
"No","2000","66 and older","East Germany","874","0.994540506553247","0.989669249293082","0.999411763813412","2"
"No","2000","35-65 y.","West Germany","7602","0.875237555411337","0.868256403320432","0.882218707502243","2"
"No","2000","35-65 y.","East Germany","2958","0.947444967505916","0.939583530921444","0.955306404090387","2"
"Yes","2000","16-34 y.","West Germany","438","0.0934458760700185","0.085288122154648","0.101603629985389","1"
"Yes","2000","16-34 y.","East Germany","76","0.0514608498182592","0.0404796700407098","0.0624420295958086","1"
"Yes","2000","35-65 y.","West Germany","1005","0.124762444588663","0.117781292497757","0.131743596679569","1"
"Yes","2000","35-65 y.","East Germany","137","0.0525550324940844","0.0446935959096131","0.0604164690785557","1"
"Yes","2000","66 and older","West Germany","219","0.0919901029185648","0.0805576825167802","0.103422523320349","1"
