"ple0098_v5","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Urban Area","7328","0.896606767677101","0.889939440184185","0.903274095170017","2"
"No","1999","Rural Area","4096","0.929162014425953","0.921546773091111","0.936777255760795","2"
"Yes","1999","Urban Area","683","0.103393232322899","0.0967259048299827","0.110060559815815","1"
"Yes","1999","Rural Area","264","0.070837985574047","0.0632227442392049","0.0784532269088891","1"
"No","2000","Urban Area","12509","0.890668548147988","0.885487595320142","0.895849500975833","2"
"No","2000","Rural Area","7093","0.93309599207237","0.927458591175884","0.938733392968857","2"
"Yes","2000","Urban Area","1427","0.109331451852012","0.104150499024167","0.114512404679858","1"
"Yes","2000","Rural Area","453","0.0669040079276298","0.0612666070311432","0.0725414088241165","1"
"No","2001","Urban Area","11381","0.889525311636888","0.884062751753139","0.894987871520638","2"
"No","2001","Rural Area","6406","0.929077979148418","0.92300491699508","0.935151041301756","2"
"Yes","2001","Urban Area","1270","0.110474688363112","0.105012128479362","0.115937248246861","1"
"Yes","2001","Rural Area","457","0.0709220208515819","0.064848958698244","0.0769950830049198","1"
"No","2002","Urban Area","11267","0.88276296316569","0.87721063601731","0.888315290314071","2"
"No","2002","Rural Area","6217","0.922570994672417","0.916210997688072","0.928930991656761","2"
"Yes","2002","Urban Area","1629","0.11723703683431","0.111684709685929","0.122789363982691","1"
"Yes","2002","Rural Area","567","0.0774290053275832","0.0710690083432387","0.0837890023119278","1"
"No","2003","Urban Area","10872","0.881717047542078","0.876045040073381","0.887389055010775","2"
"No","2003","Rural Area","5935","0.91663401222826","0.909913786718887","0.923354237737634","2"
"Yes","2003","Urban Area","1581","0.118282952457922","0.112610944989225","0.123954959926619","1"
"Yes","2003","Rural Area","565","0.0833659877717397","0.0766457622623662","0.0900862132811133","1"
"No","2004","Urban Area","10435","0.873474821271151","0.867548263734946","0.879401378807355","2"
"No","2004","Rural Area","5761","0.911468447189929","0.904484901046106","0.918451993333751","2"
"Yes","2004","Urban Area","1652","0.12652517872885","0.120598621192645","0.132451736265054","1"
"Yes","2004","Rural Area","595","0.0885315528100715","0.0815480066662486","0.0955150989538944","1"
"No","2005","Urban Area","9859","0.859994331624109","0.853662878035974","0.866325785212244","2"
"No","2005","Rural Area","5413","0.900839742777029","0.893315400548126","0.908364085005932","2"
"Yes","2005","Urban Area","1679","0.140005668375891","0.133674214787756","0.146337121964026","1"
"Yes","2005","Rural Area","648","0.0991602572229708","0.0916359149940678","0.106684599451874","1"
"No","2006","Urban Area","10086","0.844847118249838","0.838411827867743","0.851282408631932","2"
"No","2006","Rural Area","5723","0.880731633403357","0.872868258362177","0.888595008444537","2"
"Yes","2006","Urban Area","2073","0.155152881750163","0.148717591368068","0.161588172132257","1"
"Yes","2006","Rural Area","803","0.119268366596643","0.111404991555463","0.127131741637823","1"
"No","2007","Urban Area","9194","0.827551840324082","0.820589377722377","0.834514302925786","2"
"No","2007","Rural Area","5303","0.87150658878608","0.863116477603332","0.879896699968829","2"
"Yes","2007","Urban Area","2115","0.172448159675919","0.165485697074214","0.179410622277623","1"
"Yes","2007","Rural Area","808","0.12849341121392","0.120103300031171","0.136883522396669","1"
"No","2008","Urban Area","8436","0.795684724910524","0.788063152346366","0.803306297474682","2"
"No","2008","Rural Area","4934","0.845888533397201","0.836610143794116","0.855166923000287","2"
