"ple0098_v5","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Full Time","West Germany","379","0.125909911909363","0.114922432405683","0.136897391413043"
"Yes","1999","Full Time","East Germany","88","0.0598598779744874","0.0481179538655456","0.0716018020834292"
"Yes","1999","Part Time","West Germany","199","0.11723727338042","0.103242852843548","0.131231693917293"
"Yes","1999","Part Time","East Germany","33","0.0579776255159394","0.0404252720325138","0.075529978999365"
"Yes","1999","Not Working","West Germany","212","0.0816895287196361","0.072241106516143","0.0911379509231292"
"Yes","1999","Not Working","East Germany","36","0.0272112910675555","0.0185707015935844","0.0358518805415266"
"No","1999","Full Time","West Germany","3123","0.874090088090637","0.863102608586957","0.885077567594317"
"No","1999","Full Time","East Germany","1480","0.940140122025513","0.928398197916571","0.951882046134454"
"No","1999","Part Time","West Germany","1831","0.88276272661958","0.868768306082707","0.896757147156452"
"No","1999","Part Time","East Germany","648","0.942022374484061","0.924470021000635","0.959574727967486"
"No","1999","Not Working","West Germany","3016","0.918310471280364","0.908862049076871","0.927758893483857"
"No","1999","Not Working","East Germany","1326","0.972788708932445","0.964148119458474","0.981429298406416"
"Yes","2000","Full Time","West Germany","753","0.127216676856207","0.118945732384011","0.135487621328404"
"Yes","2000","Full Time","East Germany","134","0.063494510739056","0.0535309852568731","0.073458036221239"
"Yes","2000","Part Time","West Germany","411","0.119027889801819","0.108466044702883","0.129589734900755"
"Yes","2000","Part Time","East Germany","45","0.0590173391659671","0.0446743610474864","0.0733603172844477"
"Yes","2000","Not Working","West Germany","498","0.088083662427463","0.080974885747929","0.095192439106997"
"Yes","2000","Not Working","East Germany","39","0.0167993935191503","0.0114179997342732","0.0221807873040274"
"No","2000","Full Time","West Germany","5482","0.872783323143793","0.864512378671596","0.881054267615989"
"No","2000","Full Time","East Germany","2167","0.936505489260944","0.926541963778761","0.946469014743127"
"No","2000","Part Time","West Germany","3200","0.880972110198181","0.870410265099245","0.891533955297117"
"No","2000","Part Time","East Germany","992","0.940982660834033","0.926639682715552","0.955325638952514"
"No","2000","Not Working","West Germany","5608","0.911916337572537","0.904807560893003","0.919025114252071"
"No","2000","Not Working","East Germany","2152","0.98320060648085","0.977819212695973","0.988582000265727"
"Yes","2001","Full Time","West Germany","683","0.133436698723518","0.124512164493949","0.142361232953087"
"Yes","2001","Full Time","East Germany","139","0.0721442449846527","0.0610811626619515","0.0832073273073539"
"Yes","2001","Part Time","West Germany","381","0.117493380992284","0.106745319344394","0.128241442640173"
"Yes","2001","Part Time","East Germany","50","0.0505027932535191","0.036672241925749","0.0643333445812893"
"Yes","2001","Not Working","West Germany","438","0.088089074523699","0.0804908614287471","0.095687287618651"
"Yes","2001","Not Working","East Germany","36","0.0136841210102483","0.00869145069314895","0.0186767913273476"
"No","2001","Full Time","West Germany","4894","0.866563301276482","0.857638767046913","0.875487835506051"
"No","2001","Full Time","East Germany","1962","0.927855755015347","0.916792672692646","0.938918837338049"
"No","2001","Part Time","West Germany","3067","0.882506619007716","0.871758557359827","0.893254680655606"
"No","2001","Part Time","East Germany","913","0.949497206746481","0.935666655418711","0.963327758074251"
"No","2001","Not Working","West Germany","4907","0.911910925476301","0.904312712381349","0.919509138571253"
"No","2001","Not Working","East Germany","2044","0.986315878989752","0.981323208672652","0.991308549306851"
"Yes","2002","Full Time","West Germany","841","0.139194934365503","0.130130500992701","0.148259367738306"
"Yes","2002","Full Time","East Germany","165","0.0823251455163472","0.070294149808139","0.0943561412245554"
"Yes","2002","Part Time","West Germany","502","0.119610238045929","0.109062536738016","0.130157939353843"
"Yes","2002","Part Time","East Germany","63","0.0639347962596607","0.0486262031188035","0.0792433894005179"
"Yes","2002","Not Working","West Germany","589","0.100446675106108","0.0924181369335231","0.108475213278692"
"Yes","2002","Not Working","East Germany","36","0.0117165777553817","0.00708211724124778","0.0163510382695157"
"No","2002","Full Time","West Germany","4761","0.860805065634497","0.851740632261694","0.869869499007299"
