"ple0098_v5","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","1999","lower secondary degree","308","0.0642592737219859","0.0575918325575797","0.0709267148863921"
"Yes","1999","secondary school degree","329","0.118153945707176","0.10744170419253","0.128866187221821"
"Yes","1999","college entrance qualification","232","0.178603074673053","0.160271382257833","0.196934767088274"
"Yes","1999","Other degree","14","","",""
"Yes","1999","no degree/no degree yet","28","","",""
"No","1999","lower secondary degree","4888","0.935740726278014","0.929073285113608","0.94240816744242"
"No","1999","secondary school degree","3159","0.881846054292824","0.871133812778179","0.89255829580747"
"No","1999","college entrance qualification","1445","0.821396925326947","0.803065232911726","0.839728617742167"
"No","1999","Other degree","895","0.9717346718746","0.960960918877503","0.982508424871698"
"No","1999","no degree/no degree yet","694","0.950066387471396","0.934178982627579","0.965953792315213"
"Yes","2000","lower secondary degree","584","0.0658618021401515","0.0608470122550001","0.070876592025303"
"Yes","2000","secondary school degree","688","0.125776240508031","0.117555353297468","0.133997127718593"
"Yes","2000","college entrance qualification","530","0.166400224560518","0.154054456104612","0.178745993016423"
"Yes","2000","Other degree","38","0.0296754679674813","0.0209772217158263","0.0383737142191364"
"Yes","2000","no degree/no degree yet","37","0.0486323619364827","0.0339901161009813","0.0632746077719842"
"No","2000","lower secondary degree","8814","0.934138197859849","0.929123407974697","0.939152987745"
"No","2000","secondary school degree","5562","0.874223759491969","0.866002872281407","0.882444646702532"
"No","2000","college entrance qualification","2966","0.833599775439482","0.821254006983577","0.845945543895388"
"No","2000","Other degree","1424","0.970324532032519","0.961626285780864","0.979022778284174"
"No","2000","no degree/no degree yet","792","0.951367638063517","0.936725392228016","0.966009883899019"
"Yes","2001","lower secondary degree","532","0.0680554416849301","0.0626296349926419","0.0734812483772183"
"Yes","2001","secondary school degree","617","0.125650464911824","0.117092193492613","0.134208736331036"
"Yes","2001","college entrance qualification","512","0.171559149882455","0.15868092889125","0.184437370873661"
"Yes","2001","Other degree","27","","",""
"Yes","2001","no degree/no degree yet","37","0.0552026689690563","0.0390615258658004","0.0713438120723121"
"No","2001","lower secondary degree","7744","0.93194455831507","0.926518751622782","0.937370365007358"
"No","2001","secondary school degree","5145","0.874349535088176","0.865791263668964","0.882907806507387"
"No","2001","college entrance qualification","2780","0.828440850117545","0.815562629126339","0.841319071108751"
"No","2001","Other degree","1285","0.977798610366878","0.969826084064219","0.985771136669536"
"No","2001","no degree/no degree yet","732","0.944797331030944","0.928656187927688","0.9609384741342"
"Yes","2002","lower secondary degree","595","0.0751785209860581","0.0693511244683474","0.0810059175037687"
"Yes","2002","secondary school degree","782","0.134561387179823","0.125844878797573","0.143277895562072"
"Yes","2002","college entrance qualification","720","0.179845695757946","0.167497370887792","0.192194020628101"
"Yes","2002","Other degree","47","0.0350379440526239","0.0248076851234444","0.0452682029818034"
"Yes","2002","no degree/no degree yet","46","0.0404021713057483","0.0265929383750233","0.0542114042364734"
"No","2002","lower secondary degree","7270","0.924821479013942","0.918994082496231","0.930648875531653"
"No","2002","secondary school degree","5106","0.865438612820177","0.856722104437928","0.874155121202427"
"No","2002","college entrance qualification","2996","0.820154304242054","0.807805979371899","0.832502629112208"
"No","2002","Other degree","1194","0.964962055947376","0.954731797018197","0.975192314876556"
"No","2002","no degree/no degree yet","735","0.959597828694252","0.945788595763527","0.973407061624977"
"Yes","2003","lower secondary degree","589","0.075840139453558","0.0698333337984327","0.0818469451086834"
"Yes","2003","secondary school degree","744","0.137856948545682","0.128900047113716","0.146813849977648"
"Yes","2003","college entrance qualification","717","0.186000163606091","0.173328235801957","0.198672091410226"
"Yes","2003","Other degree","34","0.025413443811029","0.0164034134637962","0.0344234741582619"
"Yes","2003","no degree/no degree yet","49","0.0504409746619382","0.0349223178281593","0.0659596314957172"
"No","2003","lower secondary degree","6873","0.924159860546442","0.918153054891317","0.930166666201567"
"No","2003","secondary school degree","4947","0.862143051454318","0.853186150022352","0.871099952886284"
"No","2003","college entrance qualification","2905","0.813999836393909","0.801327908589774","0.826671764198043"
"No","2003","Other degree","1138","0.974586556188971","0.965576525841738","0.983596586536204"
"No","2003","no degree/no degree yet","715","0.949559025338062","0.934040368504283","0.965077682171841"
"Yes","2004","lower secondary degree","611","0.0830408847370979","0.0766353593982196","0.0894464100759763"
"Yes","2004","secondary school degree","765","0.144715311039287","0.135453663666847","0.153976958411727"
"Yes","2004","college entrance qualification","772","0.201637601185891","0.188518463781976","0.214756738589806"
"Yes","2004","Other degree","31","0.022895753348402","0.0141633446749306","0.0316281620218733"
"Yes","2004","no degree/no degree yet","52","0.0572710959295748","0.0407077393504746","0.0738344525086749"
"No","2004","lower secondary degree","6518","0.916959115262902","0.910553589924024","0.92336464060178"
"No","2004","secondary school degree","4778","0.855284688960713","0.846023041588273","0.864546336333153"
"No","2004","college entrance qualification","2821","0.798362398814109","0.785243261410194","0.811481536218024"
"No","2004","Other degree","1096","0.977104246651598","0.968371837978127","0.985836655325069"
"No","2004","no degree/no degree yet","704","0.942728904070425","0.926165547491325","0.959292260649525"
"Yes","2005","lower secondary degree","627","0.0967927925961041","0.089697008686345","0.103888576505863"
"Yes","2005","secondary school degree","809","0.158050156385498","0.148211618041959","0.167888694729038"
"Yes","2005","college entrance qualification","779","0.209954538781271","0.196454001450642","0.2234550761119"
"Yes","2005","Other degree","39","0.0319029005719036","0.0212982489511264","0.0425075521926808"
"Yes","2005","no degree/no degree yet","45","0.0615134176155161","0.0443178537473452","0.078708981483687"
"No","2005","lower secondary degree","6043","0.903207207403896","0.896111423494137","0.910302991313655"
"No","2005","secondary school degree","4472","0.841949843614502","0.832111305270962","0.851788381958041"
"No","2005","college entrance qualification","2717","0.79004546121873","0.776544923888101","0.803545998549358"
"No","2005","Other degree","1016","0.968097099428096","0.957492447807319","0.978701751048874"
"No","2005","no degree/no degree yet","705","0.938486582384484","0.921291018516313","0.955682146252655"
"Yes","2006","lower secondary degree","779","0.0984808583613023","0.0915704842941615","0.105391232428443"
"Yes","2006","secondary school degree","1030","0.183339782070101","0.173264461771104","0.193415102369097"
"Yes","2006","college entrance qualification","947","0.245472342716818","0.231803287853915","0.259141397579721"
"Yes","2006","Other degree","53","0.0378918077662655","0.0267345761506892","0.0490490393818417"
"Yes","2006","no degree/no degree yet","32","0.0779580431931667","0.0552184197294573","0.100697666656876"
"No","2006","lower secondary degree","6363","0.901519141638698","0.894608767571557","0.908429515705839"
"No","2006","secondary school degree","4636","0.816660217929899","0.806584897630903","0.826735538228896"
"No","2006","college entrance qualification","2861","0.754527657283182","0.740858602420279","0.768196712146085"
"No","2006","Other degree","1072","0.962108192233735","0.950950960618158","0.973265423849311"
"No","2006","no degree/no degree yet","502","0.922041956806833","0.899302333343124","0.944781580270543"
"Yes","2007","lower secondary degree","783","0.113412828587838","0.105706462480179","0.121119194695497"
"Yes","2007","secondary school degree","1037","0.196219491762838","0.185549834614796","0.20688914891088"
"Yes","2007","college entrance qualification","978","0.265198203374174","0.25089291444032","0.279503492308027"
"Yes","2007","Other degree","59","0.0433128627587853","0.0308083258111357","0.055817399706435"
"Yes","2007","no degree/no degree yet","30","0.0496278945784769","0.0300562515244915","0.0691995376324623"
"No","2007","lower secondary degree","5721","0.886587171412162","0.878880805304503","0.894293537519821"
"No","2007","secondary school degree","4285","0.803780508237162","0.79311085108912","0.814450165385204"
