"ple0098_v5","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Part Time","indirect migration background","163","0.972123215275836","0.947155899537627","0.997090531014044","2"
"No","1999","Not Working","indirect migration background","171","0.894952106395485","0.85015959529661","0.939744617494361","2"
"No","1999","Full Time","no migration background","3609","0.879352474800073","0.869304942284767","0.889400007315378","2"
"No","1999","Not Working","direct migration background","870","0.969349460747608","0.957986769528637","0.980712151966579","2"
"No","1999","Not Working","no migration background","3301","0.924474607672871","0.9157529120643","0.933196303281442","2"
"No","1999","Full Time","direct migration background","779","0.928947911998078","0.911200531734391","0.946695292261766","2"
"No","1999","Full Time","indirect migration background","215","0.932381871613731","0.899790011261917","0.964973731965544","2"
"No","1999","Part Time","no migration background","1879","0.876510189690058","0.86241880086047","0.890601578519646","2"
"No","1999","Part Time","direct migration background","437","0.961701455575116","0.943969644106933","0.979433267043299","2"
"Yes","1999","Full Time","no migration background","428","0.120647525199927","0.110599992684622","0.130695057715233","1"
"Yes","1999","Full Time","direct migration background","26","","","","1"
"Yes","1999","Full Time","indirect migration background","13","","","","1"
"Yes","1999","Part Time","no migration background","215","0.123489810309942","0.109398421480354","0.13758119913953","1"
"Yes","1999","Part Time","direct migration background","13","","","","1"
"Yes","1999","Part Time","indirect migration background","4","","","","1"
"Yes","1999","Not Working","no migration background","225","0.0755253923271286","0.0668036967185578","0.0842470879356995","1"
"Yes","1999","Not Working","direct migration background","14","","","","1"
"Yes","1999","Not Working","indirect migration background","9","","","","1"
"No","2000","Full Time","no migration background","6241","0.875670179561294","0.867970768345872","0.883369590776717","2"
"No","2000","Not Working","no migration background","6259","0.9211884242807","0.91475962605262","0.92761722250878","2"
"No","2000","Not Working","direct migration background","1280","0.963125952054861","0.952955795367976","0.973296108741746","2"
"No","2000","Not Working","indirect migration background","221","0.947389418275691","0.918536815960095","0.976242020591288","2"
"No","2000","Part Time","indirect migration background","223","0.918395022988876","0.883467710185945","0.953322335791807","2"
"No","2000","Full Time","direct migration background","1116","0.942189004409938","0.928798809364636","0.95557919945524","2"
"No","2000","Full Time","indirect migration background","292","0.911143121146844","0.879671284056278","0.94261495823741","2"
"No","2000","Part Time","no migration background","3300","0.876219187194557","0.865639009757113","0.886799364632","2"
"No","2000","Part Time","direct migration background","669","0.97021390812007","0.957529679648209","0.982898136591931","2"
"Yes","2000","Full Time","no migration background","814","0.124329820438706","0.116630409223283","0.132029231654128","1"
"Yes","2000","Full Time","direct migration background","51","0.057810995590062","0.0444208005447602","0.0712011906353637","1"
"Yes","2000","Full Time","indirect migration background","22","","","","1"
"Yes","2000","Part Time","no migration background","422","0.123780812805443","0.113200635368","0.134360990242886","1"
"Yes","2000","Part Time","direct migration background","21","","","","1"
"Yes","2000","Part Time","indirect migration background","13","","","","1"
"Yes","2000","Not Working","no migration background","489","0.0788115757193003","0.0723827774912201","0.0852403739473804","1"
"Yes","2000","Not Working","direct migration background","39","0.0368740479451391","0.0267038912582543","0.047044204632024","1"
"Yes","2000","Not Working","indirect migration background","9","","","","1"
"No","2001","Not Working","direct migration background","1081","0.970604424186322","0.960645118303498","0.980563730069147","2"
"No","2001","Not Working","indirect migration background","203","0.904010643161001","0.864635044143567","0.943386242178436","2"
"No","2001","Not Working","no migration background","5667","0.922477039934459","0.915768960245462","0.929185119623456","2"
"No","2001","Full Time","no migration background","5599","0.86651168050608","0.858157119831802","0.874866241180358","2"
"No","2001","Part Time","indirect migration background","197","0.875577667389256","0.831560942742476","0.919594392036036","2"
"No","2001","Full Time","direct migration background","982","0.9548336924585","0.942064236389833","0.967603148527166","2"
"No","2001","Full Time","indirect migration background","275","0.905671230118902","0.872373885040549","0.938968575197255","2"
"No","2001","Part Time","no migration background","3142","0.882089232449449","0.871457932399063","0.892720532499834","2"
"No","2001","Part Time","direct migration background","641","0.959620132676905","0.944602266069953","0.974637999283856","2"
"Yes","2001","Full Time","no migration background","767","0.13348831949392","0.125133758819642","0.141842880168198","1"
"Yes","2001","Full Time","direct migration background","34","0.0451663075415005","0.0323968514728338","0.0579357636101672","1"
"Yes","2001","Full Time","indirect migration background","21","","","","1"
"Yes","2001","Part Time","no migration background","393","0.117910767550551","0.107279467500166","0.128542067600937","1"
"Yes","2001","Part Time","direct migration background","19","","","","1"
"Yes","2001","Part Time","indirect migration background","19","","","","1"
"Yes","2001","Not Working","no migration background","438","0.077522960065541","0.0708148803765443","0.0842310397545376","1"
"Yes","2001","Not Working","direct migration background","24","","","","1"
"Yes","2001","Not Working","indirect migration background","12","","","","1"
"No","2002","Not Working","no migration background","5592","0.911386679348895","0.904298569260889","0.918474789436901","2"
"No","2002","Not Working","direct migration background","1022","0.964387437787295","0.953209967741821","0.975564907832769","2"
"No","2002","Not Working","indirect migration background","217","0.951279969588506","0.923150290124636","0.979409649052376","2"
"No","2002","Full Time","no migration background","5426","0.858086715740471","0.849511829376572","0.86666160210437","2"
"No","2002","Part Time","indirect migration background","180","0.917328117316991","0.879066544421569","0.955589690212412","2"
"No","2002","Full Time","direct migration background","905","0.945789487673171","0.931390721287554","0.960188254058789","2"
