"ple0098_v5","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1999","1-pers.-HH","inadequately","26","","","","2"
"No","1999","1-pers.-HH","general elemantary","369","0.962828375510577","0.94385709609093","0.981799654930225","2"
"No","1999","1-pers.-HH","vocational + Abi","53","0.741693096967233","0.635285769040802","0.848100424893663","2"
"No","1999","Couple + C. GT 16 ","in school","114","0.945113353533356","0.904698270664885","0.985528436401827","2"
"No","1999","(Married) couple without C. ","vocational + Abi","109","0.796348550186007","0.727386876502954","0.86531022386906","2"
"No","1999","Couple + C. GT 16 ","vocational + Abi","59","0.922578823174521","0.856584065074318","0.988573581274724","2"
"No","1999","Couple + C. GT 16 ","inadequately","125","0.972890114982121","0.944645089965304","1.00113513999894","2"
"No","1999","(Married) couple without C. ","higher vocational","212","0.895079387055464","0.85589840228391","0.934260371827018","2"
"No","1999","(Married) couple without C. ","higher education","452","0.823021920671012","0.789996006453732","0.856047834888293","2"
"No","1999","1-pers.-HH","middle vocational","737","0.922681914451036","0.904068484923922","0.94129534397815","2"
"No","1999","1-pers.-HH","higher vocational","63","0.914732766955024","0.849308739675849","0.9801567942342","2"
"No","1999","Couple + C. GT 16 ","middle vocational","1010","0.933162407619451","0.918254121238151","0.94807069400075","2"
"No","1999","1-pers.-HH","in school","","","","","2"
"No","1999","Couple + C. GT 16 ","general elemantary","461","0.974222041106727","0.959955714607375","0.98848836760608","2"
"No","1999","(Married) couple without C. ","middle vocational","1866","0.884502093427999","0.870719865710282","0.898284321145716","2"
"No","1999","Couple + C. GT 16 ","higher vocational","96","0.935945204020203","0.888659428473914","0.983230979566491","2"
"No","1999","Couple + C. GT 16 ","higher education","220","0.897762412734973","0.859748796757214","0.935776028712733","2"
"No","1999","Couple + C. LE and GT 16","in school","95","0.871464505762241","0.807448314878733","0.935480696645748","2"
"No","1999","Couple + C. LE and GT 16","inadequately","50","0.98828951590163","0.958764338112639","1.01781469369062","2"
"No","1999","Couple + C. LE and GT 16","general elemantary","236","0.951746607711332","0.924966943235505","0.978526272187159","2"
"No","1999","Couple + C. LE and GT 16","middle vocational","401","0.909057967205235","0.881944545108828","0.936171389301643","2"
"No","1999","Couple + C. LE and GT 16","vocational + Abi","29","","","","2"
"No","1999","Couple + C. LE and GT 16","higher vocational","49","0.961888784033028","0.90934131098819","1.01443625707787","2"
"No","1999","Couple + C. LE and GT 16","higher education","94","0.870610920561377","0.805476752280195","0.935745088842559","2"
"No","1999","1-pers.-HH","higher education","140","0.797763296495385","0.737205264484143","0.858321328506626","2"
"No","1999","(Married) couple without C. ","in school","2","","","","2"
"No","1999","(Married) couple without C. ","inadequately","92","1","1","1","2"
"No","1999","(Married) couple without C. ","general elemantary","592","0.934696104427102","0.915403867930917","0.953988340923287","2"
"No","1999","Single parent ","higher vocational","12","","","","2"
"No","1999","Single parent ","higher education","48","0.810070813974779","0.709124273387337","0.911017354562222","2"
"No","1999","Couple + C. LE 16 ","in school","2","","","","2"
"No","1999","Couple + C. LE 16 ","inadequately","58","0.976420444143397","0.937702853171175","1.01513803511562","2"
"No","1999","Couple + C. LE 16 ","general elemantary","332","0.945282542200295","0.921353400134663","0.969211684265928","2"
"No","1999","Couple + C. LE 16 ","middle vocational","1377","0.911210485926625","0.896724076488405","0.925696895364846","2"
"No","1999","Couple + C. LE 16 ","vocational + Abi","135","0.888865603710004","0.838568293661288","0.939162913758719","2"
"No","1999","Couple + C. LE 16 ","higher vocational","177","0.884577194073821","0.840729506929362","0.92842488121828","2"
"No","1999","Couple + C. LE 16 ","higher education","356","0.887971201524606","0.856788330715523","0.919154072333689","2"
"No","1999","Single parent ","in school","29","","","","2"
"No","1999","Single parent ","inadequately","23","","","","2"
"No","1999","Single parent ","general elemantary","165","0.953854419550126","0.922409090721768","0.985299748378484","2"
