"ple0098_v5","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1999","in school","East Germany","86","0.885667430481616","0.822012390742726","0.949322470220507","2"
"No","1999","inadequately","West Germany","402","0.987645084566096","0.976900109399474","0.998390059732718","2"
"No","1999","higher vocational","West Germany","408","0.882263209526293","0.853032131525364","0.911494287527222","2"
"No","1999","higher vocational","East Germany","217","0.95980001789288","0.934414415137293","0.985185620648466","2"
"No","1999","in school","West Germany","162","0.915134477832413","0.873845211172256","0.956423744492569","2"
"No","1999","inadequately","East Germany","15","","","","2"
"No","1999","general elemantary","West Germany","1905","0.950957867766434","0.94147436590156","0.960441369631309","2"
"No","1999","higher education","West Germany","611","0.787877776831719","0.758423067481312","0.817332486182126","2"
"No","1999","higher education","East Germany","741","0.947518898285936","0.931909524812763","0.963128271759109","2"
"No","1999","general elemantary","East Germany","360","0.985616590980123","0.973468170201123","0.997765011759123","2"
"No","1999","middle vocational","East Germany","1938","0.955218141319829","0.946174143246679","0.964262139392979","2"
"No","1999","vocational + Abi","West Germany","346","0.8264150067191","0.789063792102338","0.863766221335861","2"
"No","1999","vocational + Abi","East Germany","60","0.951924227314341","0.90031344408415","1.00353501054453","2"
"No","1999","middle vocational","West Germany","3945","0.892192882725321","0.883000852447433","0.901384913003208","2"
"Yes","1999","in school","West Germany","13","","","","1"
"Yes","1999","in school","East Germany","10","","","","1"
"Yes","1999","inadequately","West Germany","4","","","","1"
"Yes","1999","inadequately","East Germany","","","","","1"
"Yes","1999","general elemantary","West Germany","87","0.0490421322335656","0.0395586303686914","0.0585256340984397","1"
"Yes","1999","general elemantary","East Germany","9","","","","1"
"Yes","1999","middle vocational","West Germany","428","0.107807117274679","0.0986150869967917","0.116999147552567","1"
"Yes","1999","middle vocational","East Germany","71","0.0447818586801712","0.0357378606070212","0.0538258567533212","1"
"Yes","1999","vocational + Abi","West Germany","49","0.173584993280901","0.136233778664139","0.210936207897662","1"
"Yes","1999","vocational + Abi","East Germany","6","","","","1"
"Yes","1999","higher vocational","West Germany","59","0.117736790473707","0.0885057124727779","0.146967868474636","1"
"Yes","1999","higher vocational","East Germany","13","","","","1"
"Yes","1999","higher education","West Germany","129","0.212122223168281","0.182667513817874","0.241576932518688","1"
"Yes","1999","higher education","East Germany","43","0.0524811017140637","0.0368717282408908","0.0680904751872366","1"
"No","2000","in school","East Germany","128","0.954280436248967","0.919045762393323","0.989515110104612","2"
"No","2000","inadequately","West Germany","374","0.985560387678909","0.973566066355955","0.997554709001863","2"
"No","2000","inadequately","East Germany","19","","","","2"
"No","2000","higher vocational","West Germany","1023","0.876203312369646","0.857395754645627","0.895010870093665","2"
"No","2000","higher vocational","East Germany","454","0.958658267624676","0.940755196671439","0.976561338577914","2"
"No","2000","in school","West Germany","259","0.923894851616425","0.892724336090058","0.955065367142793","2"
"No","2000","general elemantary","West Germany","2830","0.955311423354422","0.947845259729491","0.962777586979352","2"
"No","2000","general elemantary","East Germany","494","0.981846705082463","0.970202710972045","0.993490699192881","2"
"No","2000","higher education","West Germany","1267","0.767087081780923","0.746523064790676","0.78765109877117","2"
"No","2000","higher education","East Germany","1078","0.944982326553479","0.931769430069399","0.958195223037558","2"
"No","2000","middle vocational","West Germany","7722","0.893284674613299","0.886765335322452","0.899804013904146","2"
"No","2000","middle vocational","East Germany","3028","0.959255014426462","0.952336785085009","0.966173243767915","2"
"No","2000","vocational + Abi","West Germany","784","0.859803948053841","0.837158974116268","0.882448921991415","2"
"No","2000","vocational + Abi","East Germany","111","0.954429319238328","0.916145936123013","0.992712702353643","2"
"Yes","2000","in school","West Germany","19","","","","1"
"Yes","2000","in school","East Germany","7","","","","1"
"Yes","2000","inadequately","West Germany","6","","","","1"
"Yes","2000","inadequately","East Germany","","","","","1"
"Yes","2000","general elemantary","West Germany","112","0.0446885766455783","0.0372224130206479","0.0521547402705087","1"
"Yes","2000","general elemantary","East Germany","11","","","","1"
"Yes","2000","middle vocational","West Germany","894","0.106715325386701","0.100195986095854","0.113234664677548","1"
"Yes","2000","middle vocational","East Germany","109","0.0407449855735379","0.0338267562320851","0.0476632149149906","1"
