"ple0098_v5","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Schleswig-Holstein","15","","",""
"Yes","1999","Hamburg","8","","",""
"Yes","1999","Lower Saxony","93","0.105661854693726","0.0869430460152193","0.124380663372233"
"Yes","1999","Bremen","5","","",""
"Yes","1999","North Rhine-Westphalia","257","0.13666956687291","0.122860703444313","0.150478430301506"
"Yes","1999","Hesse","58","0.0964837674906762","0.0759340146034962","0.117033520377856"
"Yes","1999","Rhineland-Palatinate,Saarland","34","0.0478944869571205","0.031856131379582","0.0639328425346589"
"Yes","1999","Baden-Württemberg","117","0.09333312979181","0.0789254515751","0.10774080800852"
"Yes","1999","Bavaria","187","0.131821783380294","0.115103881825822","0.148539684934765"
"Yes","1999","Berlin","25","","",""
"Yes","1999","Brandenburg","27","","",""
"Yes","1999","Mecklenburg-Western Pomerania","11","","",""
"Yes","1999","Saxony","60","0.0544354024811912","0.0410464482870724","0.0678243566753099"
"Yes","1999","Saxony-Anhalt","31","0.0540506245697905","0.0368905377884962","0.0712107113510848"
"Yes","1999","Thuringia","19","","",""
"No","1999","Schleswig-Holstein","264","0.94423890570756","0.917314099953479","0.971163711461641"
"No","1999","Hamburg","119","0.941897587829462","0.901211572881748","0.982583602777176"
"No","1999","Lower Saxony","943","0.894338145306274","0.875619336627767","0.913056953984781"
"No","1999","Bremen","78","0.950516293247223","0.903858957057724","0.997173629436721"
"No","1999","North Rhine-Westphalia","2120","0.86333043312709","0.849521569698494","0.877139296555687"
"No","1999","Hesse","735","0.903516232509324","0.882966479622144","0.924065985396504"
"No","1999","Rhineland-Palatinate,Saarland","647","0.95210551304288","0.936067157465341","0.968143868620418"
"No","1999","Baden-Württemberg","1449","0.90666687020819","0.89225919199148","0.9210745484249"
"No","1999","Bavaria","1386","0.868178216619706","0.851460315065235","0.884896118174178"
"No","1999","Berlin","426","0.956316928642185","0.937453643706784","0.975180213577586"
"No","1999","Brandenburg","549","0.94488117286509","0.926244197508245","0.963518148221934"
"No","1999","Mecklenburg-Western Pomerania","356","0.97068505208278","0.953426721116949","0.987943383048611"
"No","1999","Saxony","1043","0.945564597518809","0.93217564332469","0.958953551712928"
