"ple0098_v5","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1999","in school","Urban Area","12","","",""
"Yes","1999","in school","Rural Area","11","","",""
"Yes","1999","inadequately","Urban Area","3","","",""
"Yes","1999","inadequately","Rural Area","1","","",""
"Yes","1999","general elemantary","Urban Area","68","0.0479185831854499","0.0375716229531216","0.0582655434177783"
"Yes","1999","general elemantary","Rural Area","28","","",""
"Yes","1999","middle vocational","Urban Area","348","0.100993011128385","0.0915939015352244","0.110392120721546"
"Yes","1999","middle vocational","Rural Area","151","0.079945528178379","0.0691711637126111","0.090719892644147"
"Yes","1999","vocational + Abi","Urban Area","44","0.180877994352241","0.140667082385239","0.221088906319243"
"Yes","1999","vocational + Abi","Rural Area","11","","",""
"Yes","1999","higher vocational","Urban Area","50","0.121837899607773","0.090555360761562","0.153120438453984"
"Yes","1999","higher vocational","Rural Area","22","","",""
"Yes","1999","higher education","Urban Area","136","0.185805983518018","0.160994319317138","0.210617647718899"
"Yes","1999","higher education","Rural Area","36","0.0818380810629404","0.0595295255156596","0.104146636610221"
"No","1999","in school","Urban Area","159","0.914123953590738","0.872129822319129","0.956118084862347"
"No","1999","in school","Rural Area","89","0.893756039210851","0.833359825643354","0.954152252778347"
"No","1999","inadequately","Urban Area","349","0.991375629391196","0.981716019578423","1.00103523920397"
"No","1999","inadequately","Rural Area","68","0.972369805134926","0.933694722374243","1.01104488789561"
"No","1999","general elemantary","Urban Area","1569","0.95208141681455","0.941734456582222","0.962428377046878"
"No","1999","general elemantary","Rural Area","696","0.960548296726814","0.946368458046207","0.97472813540742"
"No","1999","middle vocational","Urban Area","3600","0.899006988871615","0.889607879278454","0.908406098464776"
"No","1999","middle vocational","Rural Area","2283","0.920054471821621","0.909280107355853","0.930828836287389"
"No","1999","vocational + Abi","Urban Area","308","0.819122005647759","0.778911093680757","0.859332917614761"
"No","1999","vocational + Abi","Rural Area","98","0.911761440306263","0.858513273839231","0.965009606773295"
"No","1999","higher vocational","Urban Area","370","0.878162100392227","0.846879561546016","0.909444639238438"
"No","1999","higher vocational","Rural Area","255","0.942082741116438","0.91457488589167","0.969590596341207"
"No","1999","higher education","Urban Area","808","0.814194016481982","0.789382352281101","0.839005680682862"
"No","1999","higher education","Rural Area","544","0.91816191893706","0.895853363389779","0.94047047448434"
"Yes","2000","in school","Urban Area","20","","",""
"Yes","2000","in school","Rural Area","6","","",""
"Yes","2000","inadequately","Urban Area","5","","",""
"Yes","2000","inadequately","Rural Area","1","","",""
"Yes","2000","general elemantary","Urban Area","94","0.0470005995236296","0.0384016002565577","0.0555995987907014"
"Yes","2000","general elemantary","Rural Area","29","","",""
"Yes","2000","middle vocational","Urban Area","728","0.104464378569775","0.0974595184314805","0.111469238708069"
"Yes","2000","middle vocational","Rural Area","275","0.0700594074499736","0.062542207824085","0.0775766070758623"
"Yes","2000","vocational + Abi","Urban Area","97","0.129738972011236","0.106188223847321","0.15328972017515"
"Yes","2000","vocational + Abi","Rural Area","25","","",""
"Yes","2000","higher vocational","Urban Area","133","0.126623928910727","0.10640310468196","0.146844753139493"
"Yes","2000","higher vocational","Rural Area","43","0.0601466770946869","0.0413405327327347","0.078952821456639"
"Yes","2000","higher education","Urban Area","349","0.20621597009231","0.187814417574491","0.224617522610128"
"Yes","2000","higher education","Rural Area","73","0.0962342990372063","0.0770732065938269","0.115395391480586"
"No","2000","in school","Urban Area","236","0.913720902286703","0.879326506406782","0.948115298166624"
"No","2000","in school","Rural Area","151","0.965028491208638","0.936292543982074","0.993764438435203"
"No","2000","inadequately","Urban Area","318","0.984987780135883","0.971726522596391","0.998249037675376"
"No","2000","inadequately","Rural Area","75","0.99071810824549","0.96915881125998","1.012277405231"
"No","2000","general elemantary","Urban Area","2233","0.952999400476371","0.944400401209299","0.961598399743442"
"No","2000","general elemantary","Rural Area","1091","0.970387762934852","0.960460092672685","0.98031543319702"
