"ple0098_v5","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1999","1-pers.-HH","(0) in school","","","",""
"Yes","1999","1-pers.-HH","(1a) inadequately completed","1","","",""
"Yes","1999","1-pers.-HH","(1b) general elementary school","7","","",""
"Yes","1999","1-pers.-HH","(1c) basic vocational qualification","31","0.0650191822878377","0.0428462368506115","0.0871921277250639"
"Yes","1999","1-pers.-HH","(2b) intermediate general qualification","6","","",""
"Yes","1999","1-pers.-HH","(2a) intermediate vocational","24","","",""
"Yes","1999","1-pers.-HH","(2c_gen) general maturity certificate","2","","",""
"Yes","1999","1-pers.-HH","(2c_voc) vocational maturity certificate","15","","",""
"Yes","1999","1-pers.-HH","(3a) lower tertiary education","10","","",""
"Yes","1999","1-pers.-HH","(3b) higher tertiary education","19","","",""
"Yes","1999","(Married) couple without C. ","(0) in school","","","",""
"Yes","1999","(Married) couple without C. ","(1a) inadequately completed","2","","",""
"Yes","1999","(Married) couple without C. ","(1b) general elementary school","25","","",""
"Yes","1999","(Married) couple without C. ","(1c) basic vocational qualification","116","0.0872853014906385","0.0730300893228219","0.101540513658455"
"Yes","1999","(Married) couple without C. ","(2b) intermediate general qualification","13","","",""
"Yes","1999","(Married) couple without C. ","(2a) intermediate vocational","92","0.187257457618028","0.157312731099275","0.217202184136782"
"Yes","1999","(Married) couple without C. ","(2c_gen) general maturity certificate","8","","",""
"Yes","1999","(Married) couple without C. ","(2c_voc) vocational maturity certificate","23","","",""
"Yes","1999","(Married) couple without C. ","(3a) lower tertiary education","28","","",""
"Yes","1999","(Married) couple without C. ","(3b) higher tertiary education","33","0.183620117442434","0.134636737642621","0.232603497242248"
"Yes","1999","Single parent ","(0) in school","3","","",""
"Yes","1999","Single parent ","(1a) inadequately completed","","","",""
"Yes","1999","Single parent ","(1b) general elementary school","4","","",""
"Yes","1999","Single parent ","(1c) basic vocational qualification","9","","",""
"Yes","1999","Single parent ","(2b) intermediate general qualification","2","","",""
"Yes","1999","Single parent ","(2a) intermediate vocational","19","","",""
"Yes","1999","Single parent ","(2c_gen) general maturity certificate","2","","",""
"Yes","1999","Single parent ","(2c_voc) vocational maturity certificate","1","","",""
"Yes","1999","Single parent ","(3a) lower tertiary education","2","","",""
"Yes","1999","Single parent ","(3b) higher tertiary education","8","","",""
"Yes","1999","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1999","Couple + C. LE 16 ","(1a) inadequately completed","3","","",""
"Yes","1999","Couple + C. LE 16 ","(1b) general elementary school","7","","",""
"Yes","1999","Couple + C. LE 16 ","(1c) basic vocational qualification","49","0.0797306692246329","0.0599586675869002","0.0995026708623657"
"Yes","1999","Couple + C. LE 16 ","(2b) intermediate general qualification","8","","",""
"Yes","1999","Couple + C. LE 16 ","(2a) intermediate vocational","68","0.0950531666236601","0.0752430572913333","0.114863275955987"
"Yes","1999","Couple + C. LE 16 ","(2c_gen) general maturity certificate","4","","",""
"Yes","1999","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","22","","",""
"Yes","1999","Couple + C. LE 16 ","(3a) lower tertiary education","15","","",""
"Yes","1999","Couple + C. LE 16 ","(3b) higher tertiary education","22","","",""
"Yes","1999","Couple + C. GT 16 ","(0) in school","8","","",""
"Yes","1999","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Yes","1999","Couple + C. GT 16 ","(1b) general elementary school","6","","",""
"Yes","1999","Couple + C. GT 16 ","(1c) basic vocational qualification","30","0.047586463758588","0.0306505652878273","0.0645223622293488"
"Yes","1999","Couple + C. GT 16 ","(2b) intermediate general qualification","9","","",""
"Yes","1999","Couple + C. GT 16 ","(2a) intermediate vocational","36","0.116415958213898","0.0846260039797437","0.148205912448053"
"Yes","1999","Couple + C. GT 16 ","(2c_gen) general maturity certificate","7","","",""
"Yes","1999","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","6","","",""
"Yes","1999","Couple + C. GT 16 ","(3a) lower tertiary education","12","","",""
"Yes","1999","Couple + C. GT 16 ","(3b) higher tertiary education","12","","",""
"Yes","1999","Couple + C. LE and GT 16","(0) in school","10","","",""
"Yes","1999","Couple + C. LE and GT 16","(1a) inadequately completed","2","","",""
"Yes","1999","Couple + C. LE and GT 16","(1b) general elementary school","5","","",""
"Yes","1999","Couple + C. LE and GT 16","(1c) basic vocational qualification","9","","",""
"Yes","1999","Couple + C. LE and GT 16","(2b) intermediate general qualification","5","","",""
"Yes","1999","Couple + C. LE and GT 16","(2a) intermediate vocational","20","","",""
"Yes","1999","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","2","","",""
"Yes","1999","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","2","","",""
"Yes","1999","Couple + C. LE and GT 16","(3a) lower tertiary education","5","","",""
"Yes","1999","Couple + C. LE and GT 16","(3b) higher tertiary education","3","","",""
"No","1999","1-pers.-HH","(0) in school","","","",""
"No","1999","1-pers.-HH","(1a) inadequately completed","28","","",""
"No","1999","1-pers.-HH","(1b) general elementary school","328","0.979500923723994","0.964327092185687","0.994674755262301"
"No","1999","1-pers.-HH","(1c) basic vocational qualification","444","0.934980817712162","0.912807872274936","0.957153763149389"
"No","1999","1-pers.-HH","(2b) intermediate general qualification","46","0.844002440466521","0.74537967587469","0.942625205058352"
"No","1999","1-pers.-HH","(2a) intermediate vocational","270","0.903292819570269","0.869508275263472","0.937077363877066"
"No","1999","1-pers.-HH","(2c_gen) general maturity certificate","59","0.91827518751798","0.849529325086225","0.987021049949735"
"No","1999","1-pers.-HH","(2c_voc) vocational maturity certificate","64","0.746129774522946","0.650157096123778","0.842102452922115"
"No","1999","1-pers.-HH","(3a) lower tertiary education","77","0.900994377443956","0.83823488327029","0.963753871617622"
