"ple0098_v5","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1999","no migration background","(0) in school","20","","",""
"Yes","1999","no migration background","(1a) inadequately completed","7","","",""
"Yes","1999","no migration background","(1b) general elementary school","49","0.0381952822461537","0.0273418276119933","0.0490487368803142"
"Yes","1999","no migration background","(1c) basic vocational qualification","231","0.0779651621485754","0.0686493234142998","0.087281000882851"
"Yes","1999","no migration background","(2b) intermediate general qualification","36","0.104918899987747","0.0746211851558272","0.135216614819666"
"Yes","1999","no migration background","(2a) intermediate vocational","245","0.125539015916807","0.112362702631734","0.13871532920188"
"Yes","1999","no migration background","(2c_gen) general maturity certificate","27","","",""
"Yes","1999","no migration background","(2c_voc) vocational maturity certificate","64","0.174037274433092","0.137293158894877","0.210781389971307"
"Yes","1999","no migration background","(3a) lower tertiary education","69","0.130489526494264","0.106446581963434","0.154532471025094"
"Yes","1999","no migration background","(3b) higher tertiary education","94","0.205214075863822","0.172626598551119","0.237801553176525"
"Yes","1999","direct migration background","(0) in school","","","",""
"Yes","1999","direct migration background","(1a) inadequately completed","1","","",""
"Yes","1999","direct migration background","(1b) general elementary school","5","","",""
"Yes","1999","direct migration background","(1c) basic vocational qualification","17","","",""
"Yes","1999","direct migration background","(2b) intermediate general qualification","3","","",""
"Yes","1999","direct migration background","(2a) intermediate vocational","9","","",""
"Yes","1999","direct migration background","(2c_gen) general maturity certificate","1","","",""
"Yes","1999","direct migration background","(2c_voc) vocational maturity certificate","6","","",""
"Yes","1999","direct migration background","(3a) lower tertiary education","4","","",""
"Yes","1999","direct migration background","(3b) higher tertiary education","4","","",""
"Yes","1999","indirect migration background","(0) in school","2","","",""
"Yes","1999","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1999","indirect migration background","(1b) general elementary school","1","","",""
"Yes","1999","indirect migration background","(1c) basic vocational qualification","6","","",""
"Yes","1999","indirect migration background","(2b) intermediate general qualification","4","","",""
"Yes","1999","indirect migration background","(2a) intermediate vocational","8","","",""
"Yes","1999","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1999","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Yes","1999","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1999","indirect migration background","(3b) higher tertiary education","1","","",""
"No","1999","no migration background","(0) in school","165","0.895635771968502","0.851579902685417","0.939691641251587"
"No","1999","no migration background","(1a) inadequately completed","66","0.920847774635158","0.858916196445157","0.982779352825159"
"No","1999","no migration background","(1b) general elementary school","1149","0.961804717753846","0.950951263119686","0.972658172388007"
"No","1999","no migration background","(1c) basic vocational qualification","2951","0.922034837851425","0.912718999117149","0.9313506765857"
"No","1999","no migration background","(2b) intermediate general qualification","357","0.895081100012253","0.864783385180334","0.925378814844173"
"No","1999","no migration background","(2a) intermediate vocational","2184","0.874460984083193","0.86128467079812","0.887637297368266"
"No","1999","no migration background","(2c_gen) general maturity certificate","233","0.876075758706794","0.83602503361592","0.916126483797668"
"No","1999","no migration background","(2c_voc) vocational maturity certificate","345","0.825962725566908","0.789218610028693","0.862706841105123"
"No","1999","no migration background","(3a) lower tertiary education","685","0.869510473505736","0.845467528974906","0.893553418036566"
"No","1999","no migration background","(3b) higher tertiary education","496","0.794785924136178","0.762198446823475","0.827373401448881"
"No","1999","direct migration background","(0) in school","24","","",""
"No","1999","direct migration background","(1a) inadequately completed","378","0.998127705708214","0.993775508179301","1.00247990323713"
"No","1999","direct migration background","(1b) general elementary school","561","0.98541975175916","0.97554484585377","0.99529465766455"
"No","1999","direct migration background","(1c) basic vocational qualification","541","0.948707093477481","0.930403948487468","0.967010238467494"
"No","1999","direct migration background","(2b) intermediate general qualification","38","0.91828196830759","0.834431954280503","1.00213198233468"
"No","1999","direct migration background","(2a) intermediate vocational","71","0.855344066853827","0.778264077370978","0.932424056336676"
"No","1999","direct migration background","(2c_gen) general maturity certificate","95","0.996814615902991","0.985542626368321","1.00808660543766"
"No","1999","direct migration background","(2c_voc) vocational maturity certificate","128","0.892638721565931","0.840223504334397","0.945053938797466"
