"ple0098_v5","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Schleswig-Holstein","Male","8","","",""
"Yes","1999","Schleswig-Holstein","Female","7","","",""
"Yes","1999","Hamburg","Male","2","","",""
"Yes","1999","Hamburg","Female","6","","",""
"Yes","1999","Lower Saxony","Male","38","0.111863084992771","0.0841520176582406","0.139574152327301"
"Yes","1999","Lower Saxony","Female","55","0.100192431043015","0.0748442974923625","0.125540564593668"
"Yes","1999","Bremen","Male","1","","",""
"Yes","1999","Bremen","Female","4","","",""
"Yes","1999","North Rhine-Westphalia","Male","111","0.123308027850496","0.103983233178452","0.14263282252254"
"Yes","1999","North Rhine-Westphalia","Female","146","0.148561673350967","0.128962722792698","0.168160623909236"
"Yes","1999","Hesse","Male","28","","",""
"Yes","1999","Hesse","Female","30","0.0858335691371431","0.059044065531347","0.112623072742939"
"Yes","1999","Rhineland-Palatinate,Saarland","Male","17","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","Female","17","","",""
"Yes","1999","Baden-Württemberg","Male","51","0.0930373091584098","0.0721220972713467","0.113952521045473"
"Yes","1999","Baden-Württemberg","Female","66","0.0935811423479829","0.0737073954738908","0.113454889222075"
"Yes","1999","Bavaria","Male","76","0.100236773138395","0.0784215298944404","0.12205201638235"
"Yes","1999","Bavaria","Female","111","0.157882350755854","0.133297197870956","0.182467503640752"
"Yes","1999","Berlin","Male","11","","",""
"Yes","1999","Berlin","Female","14","","",""
"Yes","1999","Brandenburg","Male","15","","",""
"Yes","1999","Brandenburg","Female","12","","",""
"Yes","1999","Mecklenburg-Western Pomerania","Male","5","","",""
"Yes","1999","Mecklenburg-Western Pomerania","Female","6","","",""
"Yes","1999","Saxony","Male","37","0.0676689490695156","0.046059474749636","0.0892784233893953"
"Yes","1999","Saxony","Female","23","","",""
"Yes","1999","Saxony-Anhalt","Male","13","","",""
"Yes","1999","Saxony-Anhalt","Female","18","","",""
"Yes","1999","Thuringia","Male","9","","",""
"Yes","1999","Thuringia","Female","10","","",""
"No","1999","Schleswig-Holstein","Male","113","0.931167450296731","0.886058135777657","0.976276764815805"
"No","1999","Schleswig-Holstein","Female","151","0.954625287348253","0.922173175914039","0.987077398782467"
"No","1999","Hamburg","Male","55","0.964763725694329","0.916898937960853","1.01262851342781"
"No","1999","Hamburg","Female","64","0.92627468587348","0.865056947000267","0.987492424746694"
"No","1999","Lower Saxony","Male","459","0.888136915007229","0.860425847672699","0.915847982341759"
"No","1999","Lower Saxony","Female","484","0.899807568956985","0.874459435406332","0.925155702507638"
"No","1999","Bremen","Male","34","0.98544638823949","0.945771477117661","1.02512129936132"
"No","1999","Bremen","Female","44","0.921904036098396","0.84599654710489","0.997811525091901"
"No","1999","North Rhine-Westphalia","Male","1001","0.876691972149504","0.85736717747746","0.896016766821548"
"No","1999","North Rhine-Westphalia","Female","1119","0.851438326649033","0.831839376090764","0.871037277207302"
"No","1999","Hesse","Male","345","0.892318619808975","0.860861137609191","0.923776102008758"
"No","1999","Hesse","Female","390","0.914166430862857","0.887376927257061","0.940955934468653"
"No","1999","Rhineland-Palatinate,Saarland","Male","300","0.943239915674293","0.917768618587792","0.968711212760795"
"No","1999","Rhineland-Palatinate,Saarland","Female","347","0.960045179387996","0.939925186290558","0.980165172485434"
"No","1999","Baden-Württemberg","Male","690","0.90696269084159","0.886047478954527","0.927877902728653"
"No","1999","Baden-Württemberg","Female","759","0.906418857652017","0.886545110777925","0.926292604526109"
"No","1999","Bavaria","Male","652","0.899763226861605","0.87794798361765","0.92157847010556"
"No","1999","Bavaria","Female","734","0.842117649244146","0.817532496359248","0.866702802129044"
"No","1999","Berlin","Male","192","0.955539308313999","0.927185430845776","0.983893185782223"
"No","1999","Berlin","Female","234","0.95695524822654","0.931695549363325","0.982214947089755"
"No","1999","Brandenburg","Male","252","0.936531953514505","0.907288320463621","0.965775586565389"
"No","1999","Brandenburg","Female","297","0.952723412522597","0.929060111383683","0.976386713661511"
"No","1999","Mecklenburg-Western Pomerania","Male","172","0.984767176023837","0.966723772915034","1.00281057913264"
"No","1999","Mecklenburg-Western Pomerania","Female","184","0.956893452312143","0.928014947539638","0.985771957084647"
"No","1999","Saxony","Male","482","0.932331050930484","0.910721576610605","0.953940525250364"
"No","1999","Saxony","Female","561","0.957797156932523","0.94149108725699","0.974103226608056"
"No","1999","Saxony-Anhalt","Male","300","0.952830404489598","0.929344093796281","0.976316715182915"
"No","1999","Saxony-Anhalt","Female","336","0.939906843029097","0.91514965153965","0.964664034518545"
"No","1999","Thuringia","Male","321","0.971531928718095","0.953588778940252","0.989475078495939"
"No","1999","Thuringia","Female","352","0.979982476357445","0.965554409843746","0.994410542871144"
"Yes","2000","Schleswig-Holstein","Male","20","","",""
"Yes","2000","Schleswig-Holstein","Female","27","","",""
"Yes","2000","Hamburg","Male","8","","",""
"Yes","2000","Hamburg","Female","11","","",""
"Yes","2000","Lower Saxony","Male","73","0.094406785284521","0.0747502571288189","0.114063313440223"
