"ple0098_v5","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Not Employed","no migration background","225","0.0755253923271286","0.0668036967185578","0.0842470879356995"
"Yes","1999","Not Employed","direct migration background","14","","",""
"Yes","1999","Not Employed","indirect migration background","9","","",""
"Yes","1999","Employed","no migration background","643","0.121658437137037","0.113475951221018","0.129840923053055"
"Yes","1999","Employed","direct migration background","39","0.0591468266348652","0.046095553473735","0.0721980997959954"
"Yes","1999","Employed","indirect migration background","17","","",""
"No","1999","Not Employed","no migration background","3301","0.924474607672871","0.9157529120643","0.933196303281442"
"No","1999","Not Employed","direct migration background","870","0.969349460747608","0.957986769528637","0.980712151966579"
"No","1999","Not Employed","indirect migration background","171","0.894952106395485","0.85015959529661","0.939744617494361"
"No","1999","Employed","no migration background","5488","0.878341562862963","0.870159076946945","0.886524048778982"
"No","1999","Employed","direct migration background","1216","0.940853173365135","0.927801900204005","0.953904446526265"
"No","1999","Employed","indirect migration background","378","0.950022875767608","0.928534568479931","0.971511183055284"
"Yes","2000","Not Employed","no migration background","489","0.0788115757193003","0.0723827774912201","0.0852403739473804"
"Yes","2000","Not Employed","direct migration background","39","0.0368740479451391","0.0267038912582543","0.047044204632024"
"Yes","2000","Not Employed","indirect migration background","9","","",""
"Yes","2000","Employed","no migration background","1236","0.124139353791039","0.11791389451701","0.130364813065067"
"Yes","2000","Employed","direct migration background","72","0.0474799910032994","0.0378075852468515","0.0571523967597472"
"Yes","2000","Employed","indirect migration background","35","0.0856879755685473","0.0622956228816852","0.10908032825541"
"No","2000","Not Employed","no migration background","6259","0.9211884242807","0.91475962605262","0.92761722250878"
"No","2000","Not Employed","direct migration background","1280","0.963125952054861","0.952955795367976","0.973296108741746"
"No","2000","Not Employed","indirect migration background","221","0.947389418275691","0.918536815960095","0.976242020591288"
"No","2000","Employed","no migration background","9541","0.875860646208961","0.869635186934932","0.88208610548299"
"No","2000","Employed","direct migration background","1785","0.952520008996701","0.942847603240253","0.962192414753148"
"No","2000","Employed","indirect migration background","515","0.914312024431453","0.890919671744591","0.937704377118315"
"Yes","2001","Not Employed","no migration background","438","0.077522960065541","0.0708148803765443","0.0842310397545376"
"Yes","2001","Not Employed","direct migration background","24","","",""
"Yes","2001","Not Employed","indirect migration background","12","","",""
"Yes","2001","Employed","no migration background","1160","0.127964925555541","0.121384999523406","0.134544851587676"
"Yes","2001","Employed","direct migration background","53","0.0431931721738629","0.0334605297662223","0.0529258145815034"
"Yes","2001","Employed","indirect migration background","40","0.10707709650323","0.0802935313650273","0.133860661641432"
"No","2001","Not Employed","no migration background","5667","0.922477039934459","0.915768960245462","0.929185119623456"
"No","2001","Not Employed","direct migration background","1081","0.970604424186322","0.960645118303498","0.980563730069147"
"No","2001","Not Employed","indirect migration background","203","0.904010643161001","0.864635044143567","0.943386242178436"
"No","2001","Employed","no migration background","8741","0.872035074444459","0.865455148412324","0.878615000476594"
"No","2001","Employed","direct migration background","1623","0.956806827826137","0.947074185418496","0.966539470233778"
"No","2001","Employed","indirect migration background","472","0.89292290349677","0.866139338358567","0.919706468634973"
"Yes","2002","Not Employed","no migration background","583","0.088613320651105","0.0815252105630986","0.0957014307391113"
"Yes","2002","Not Employed","direct migration background","34","0.0356125622127049","0.0244350921672313","0.0467900322581785"
"Yes","2002","Not Employed","indirect migration background","8","","",""
"Yes","2002","Employed","no migration background","1456","0.135129058977826","0.128479376215464","0.141778741740187"
"Yes","2002","Employed","direct migration background","71","0.0490251930765951","0.0383684031043169","0.0596819830488734"
"Yes","2002","Employed","indirect migration background","44","0.0820713174376108","0.0578674486852173","0.106275186190004"
"No","2002","Not Employed","no migration background","5592","0.911386679348895","0.904298569260889","0.918474789436901"
"No","2002","Not Employed","direct migration background","1022","0.964387437787295","0.953209967741821","0.975564907832769"
"No","2002","Not Employed","indirect migration background","217","0.951279969588506","0.923150290124636","0.979409649052376"
"No","2002","Employed","no migration background","8697","0.864870941022174","0.858221258259813","0.871520623784536"
"No","2002","Employed","direct migration background","1506","0.950974806923405","0.940318016951126","0.961631596895683"
"No","2002","Employed","indirect migration background","450","0.917928682562389","0.893724813809996","0.942132551314783"
"Yes","2003","Not Employed","no migration background","588","0.0883725313576327","0.0812596396013777","0.0954854231138878"
"Yes","2003","Not Employed","direct migration background","28","","",""
"Yes","2003","Not Employed","indirect migration background","13","","",""
"Yes","2003","Employed","no migration background","1405","0.141622233865475","0.134662149173597","0.148582318557352"
"Yes","2003","Employed","direct migration background","65","0.0415681975901094","0.0313402820560565","0.0517961131241624"
"Yes","2003","Employed","indirect migration background","47","0.108329805181891","0.0808672055367321","0.13579240482705"
"No","2003","Not Employed","no migration background","5529","0.911627468642367","0.904514576886112","0.918740360398622"
"No","2003","Not Employed","direct migration background","983","0.960731055908908","0.948758192171607","0.972703919646208"
"No","2003","Not Employed","indirect migration background","217","0.939647927678258","0.908871879955747","0.970423975400769"
"No","2003","Employed","no migration background","8235","0.858377766134525","0.851417681442648","0.865337850826403"
"No","2003","Employed","direct migration background","1398","0.958431802409891","0.948203886875838","0.968659717943944"
"No","2003","Employed","indirect migration background","445","0.891670194818109","0.86420759517295","0.919132794463268"
"Yes","2004","Not Employed","no migration background","605","0.0904928786236554","0.0832715923740961","0.0977141648732148"
"Yes","2004","Not Employed","direct migration background","39","0.0476169153568405","0.0346243560441835","0.0606094746694974"
"Yes","2004","Not Employed","indirect migration background","18","","",""
"Yes","2004","Employed","no migration background","1479","0.155685560717606","0.14829670855594","0.163074412879272"
"Yes","2004","Employed","direct migration background","64","0.0391493865374445","0.028837721925347","0.049461051149542"
"Yes","2004","Employed","indirect migration background","42","0.107080535187545","0.0799499457131251","0.134211124661965"
"No","2004","Not Employed","no migration background","5458","0.909507121376345","0.902285835126785","0.916728407625904"
"No","2004","Not Employed","direct migration background","993","0.95238308464316","0.939390525330503","0.965375643955816"
"No","2004","Not Employed","indirect migration background","223","0.920115878981578","0.885887127122201","0.954344630840955"
"No","2004","Employed","no migration background","7770","0.844314439282394","0.836925587120728","0.85170329144406"
"No","2004","Employed","direct migration background","1295","0.960850613462556","0.950538948850458","0.971162278074653"
"No","2004","Employed","indirect migration background","457","0.892919464812455","0.865788875338035","0.920050054286875"
"Yes","2005","Not Employed","no migration background","638","0.102574113568533","0.0947799866412906","0.110368240495776"
"Yes","2005","Not Employed","direct migration background","31","0.0299153857207533","0.0191615923899402","0.0406691790515665"
"Yes","2005","Not Employed","indirect migration background","15","","",""
"Yes","2005","Employed","no migration background","1505","0.169310553909353","0.161478143164829","0.177142964653878"
"Yes","2005","Employed","direct migration background","83","0.0693414084546489","0.0552474715409692","0.0834353453683286"
"Yes","2005","Employed","indirect migration background","55","0.114181423490457","0.0861930686642395","0.142169778316675"
"No","2005","Not Employed","no migration background","5183","0.897425886431467","0.889631759504224","0.905220013358709"
"No","2005","Not Employed","direct migration background","933","0.970084614279247","0.959330820948433","0.98083840761006"
"No","2005","Not Employed","indirect migration background","248","0.92784719940621","0.896576683685976","0.959117715126443"
"No","2005","Employed","no migration background","7302","0.830689446090647","0.822857035346122","0.838521856835172"
"No","2005","Employed","direct migration background","1165","0.930658591545351","0.916564654631672","0.944752528459031"
"No","2005","Employed","indirect migration background","441","0.885818576509543","0.857830221683325","0.913806931335761"
"Yes","2006","Not Employed","no migration background","802","0.113109978207302","0.105349091978995","0.12087086443561"
"Yes","2006","Not Employed","direct migration background","37","0.0420842807089752","0.0294684667701771","0.0547000946477733"
"Yes","2006","Not Employed","indirect migration background","20","","",""
"Yes","2006","Employed","no migration background","1849","0.192912061754064","0.184902040628727","0.200922082879401"
"Yes","2006","Employed","direct migration background","102","0.0781946714227923","0.0632874309746585","0.0931019118709261"
"Yes","2006","Employed","indirect migration background","66","0.133706179341352","0.104168841475529","0.163243517207176"
"No","2006","Not Employed","no migration background","5596","0.886890021792698","0.87912913556439","0.894650908021005"
"No","2006","Not Employed","direct migration background","936","0.957915719291025","0.945299905352227","0.970531533229823"
"No","2006","Not Employed","indirect migration background","216","0.90371818658772","0.866084156194263","0.941352216981177"
"No","2006","Employed","no migration background","7473","0.807087938245936","0.7990779171206","0.815097959371273"
"No","2006","Employed","direct migration background","1144","0.921805328577208","0.906898088129074","0.936712569025341"
"No","2006","Employed","indirect migration background","444","0.866293820658648","0.836756482792824","0.895831158524471"
"Yes","2007","Not Employed","no migration background","830","0.128693813196114","0.120222940542537","0.137164685849691"
"Yes","2007","Not Employed","direct migration background","38","0.0411386536437177","0.0277235204716438","0.0545537868157915"
"Yes","2007","Not Employed","indirect migration background","15","","",""
"Yes","2007","Employed","no migration background","1868","0.209708649150948","0.201161109993202","0.218256188308695"
"Yes","2007","Employed","direct migration background","105","0.0915079100880537","0.0748507744278724","0.108165045748235"
"Yes","2007","Employed","indirect migration background","67","0.129526092285991","0.100094104173854","0.158958080398129"
"No","2007","Not Employed","no migration background","5173","0.871306186803886","0.862835314150309","0.879777059457463"
"No","2007","Not Employed","direct migration background","804","0.958861346356282","0.945446213184208","0.972276479528356"
"No","2007","Not Employed","indirect migration background","195","0.891129542556488","0.849002217061342","0.933256868051634"
"No","2007","Employed","no migration background","6846","0.790291350849052","0.781743811691305","0.798838890006798"
"No","2007","Employed","direct migration background","1046","0.908492089911946","0.891834954251765","0.925149225572128"
"No","2007","Employed","indirect migration background","433","0.870473907714009","0.841041919601871","0.899905895826146"
"Yes","2008","Not Employed","no migration background","909","0.153007960761617","0.143624417367895","0.16239150415534"
"Yes","2008","Not Employed","direct migration background","51","0.0798246640423508","0.0606818150983678","0.0989675129863339"
"Yes","2008","Not Employed","indirect migration background","17","","",""
"Yes","2008","Employed","no migration background","2027","0.241617020337612","0.232461267392592","0.250772773282633"
"Yes","2008","Employed","direct migration background","107","0.115431240068661","0.0959733523634374","0.134889127773884"
"Yes","2008","Employed","indirect migration background","87","0.17612966783079","0.143388655057558","0.208870680604021"
"No","2008","Not Employed","no migration background","4745","0.846992039238383","0.83760849584466","0.856375582632105"
"No","2008","Not Employed","direct migration background","719","0.920175335957649","0.901032487013666","0.939318184901632"
"No","2008","Not Employed","indirect migration background","174","0.904802309218435","0.863180451100078","0.946424167336792"
"No","2008","Employed","no migration background","6370","0.758382979662388","0.749227226717367","0.767538732607408"
"No","2008","Employed","direct migration background","929","0.884568759931339","0.865110872226116","0.904026647636563"
"No","2008","Employed","indirect migration background","433","0.82387033216921","0.791129319395979","0.856611344942442"
"Yes","2009","Not Employed","no migration background","","","",""
"Yes","2009","Not Employed","direct migration background","","","",""
"Yes","2009","Not Employed","indirect migration background","","","",""
"Yes","2009","Employed","no migration background","","","",""
"Yes","2009","Employed","direct migration background","","","",""
"Yes","2009","Employed","indirect migration background","","","",""
"No","2009","Not Employed","no migration background","","","",""
"No","2009","Not Employed","direct migration background","","","",""
"No","2009","Not Employed","indirect migration background","","","",""
"No","2009","Employed","no migration background","","","",""
"No","2009","Employed","direct migration background","","","",""
"No","2009","Employed","indirect migration background","","","",""
