"ple0098_v5","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Full Time","Urban Area","2904","0.876330074856955","0.864991053428115","0.887669096285794","2"
"No","1999","Not Working","Urban Area","2802","0.922070866163385","0.912452955111416","0.931688777215354","2"
"No","1999","Full Time","Rural Area","1699","0.914258182376238","0.901437352802661","0.927079011949816","2"
"No","1999","Not Working","Rural Area","1540","0.947212760334062","0.936276632783938","0.958148887884187","2"
"No","1999","Part Time","Urban Area","1622","0.882314863827096","0.867382948256702","0.897246779397491","2"
"No","1999","Part Time","Rural Area","857","0.916814635571067","0.89898892457863","0.934640346563504","2"
"Yes","1999","Full Time","Urban Area","334","0.123669925143045","0.112330903714206","0.135008946571885","1"
"Yes","1999","Full Time","Rural Area","133","0.0857418176237618","0.0729209880501844","0.0985626471973392","1"
"Yes","1999","Part Time","Urban Area","167","0.117685136172904","0.102753220602509","0.132617051743298","1"
"Yes","1999","Part Time","Rural Area","65","0.0831853644289333","0.0653596534364963","0.10101107542137","1"
"Yes","1999","Not Working","Urban Area","182","0.0779291338366148","0.0683112227846457","0.087547044888584","1"
"Yes","1999","Not Working","Rural Area","66","0.0527872396659375","0.0418511121158134","0.0637233672160616","1"
"No","2000","Full Time","Urban Area","4795","0.873353716672384","0.864511938237591","0.882195495107177","2"
"No","2000","Full Time","Rural Area","2854","0.911236252405868","0.901226334460316","0.92124617035142","2"
"No","2000","Not Working","Urban Area","4982","0.911990820072042","0.904447060974201","0.919534579169883","2"
"No","2000","Not Working","Rural Area","2778","0.960511638713409","0.953397650682656","0.967625626744163","2"
"No","2000","Part Time","Urban Area","2732","0.87980006626466","0.868321029734568","0.891279102794752","2"
"No","2000","Part Time","Rural Area","1460","0.917628021698373","0.904006864599132","0.931249178797615","2"
"Yes","2000","Full Time","Urban Area","640","0.126646283327616","0.117804504892823","0.135488061762409","1"
"Yes","2000","Full Time","Rural Area","247","0.088763747594132","0.0787538296485803","0.0987736655396837","1"
"Yes","2000","Part Time","Urban Area","351","0.12019993373534","0.108720897205248","0.131678970265432","1"
"Yes","2000","Part Time","Rural Area","105","0.0823719783016268","0.0687508212023854","0.0959931354008681","1"
"Yes","2000","Not Working","Urban Area","436","0.0880091799279579","0.0804654208301171","0.0955529390257986","1"
"Yes","2000","Not Working","Rural Area","101","0.0394883612865906","0.0323743732558372","0.0466023493173441","1"
"No","2001","Full Time","Urban Area","4341","0.867112206713868","0.85762219988863","0.876602213539107","2"
"No","2001","Full Time","Rural Area","2515","0.903350787300439","0.892333237491478","0.9143683371094","2"
"No","2001","Not Working","Urban Area","4433","0.916558947075045","0.908730616358615","0.924387277791475","2"
"No","2001","Not Working","Rural Area","2518","0.953134397347695","0.94505848044754","0.961210314247849","2"
"No","2001","Part Time","Urban Area","2607","0.878706027591756","0.866909120221113","0.890502934962399","2"
"No","2001","Part Time","Rural Area","1373","0.927959780119432","0.91473801966259","0.941181540576273","2"
"Yes","2001","Full Time","Urban Area","574","0.132887793286132","0.123397786460893","0.14237780011137","1"
"Yes","2001","Full Time","Rural Area","248","0.0966492126995607","0.0856316628905997","0.107666762508522","1"
"Yes","2001","Part Time","Urban Area","335","0.121293972408244","0.109497065037601","0.133090879778887","1"
"Yes","2001","Part Time","Rural Area","96","0.0720402198805681","0.0588184594237266","0.0852619803374096","1"
"Yes","2001","Not Working","Urban Area","361","0.0834410529249553","0.0756127222085254","0.0912693836413851","1"
"Yes","2001","Not Working","Rural Area","113","0.0468656026523054","0.0387896857521512","0.0549415195524596","1"
"No","2002","Full Time","Urban Area","4229","0.866108567099072","0.856605690379819","0.875611443818325","2"
"No","2002","Full Time","Rural Area","2372","0.883768039787704","0.87162019270042","0.895915886874988","2"
"No","2002","Not Working","Urban Area","4354","0.902135866193176","0.893765811368742","0.91050592101761","2"
"No","2002","Not Working","Rural Area","2477","0.955509581076964","0.947607108179428","0.963412053974499","2"
"No","2002","Part Time","Urban Area","2684","0.874264661298786","0.862634605946681","0.885894716650891","2"
"No","2002","Part Time","Rural Area","1368","0.924903881868782","0.91154455611521","0.938263207622354","2"
"Yes","2002","Full Time","Urban Area","704","0.133891432900928","0.124388556181675","0.143394309620181","1"
"Yes","2002","Full Time","Rural Area","302","0.116231960212296","0.104084113125012","0.12837980729958","1"
"Yes","2002","Part Time","Urban Area","438","0.125735338701214","0.114105283349108","0.137365394053319","1"
"Yes","2002","Part Time","Rural Area","127","0.075096118131218","0.0617367923776458","0.0884554438847902","1"
"Yes","2002","Not Working","Urban Area","487","0.0978641338068239","0.0894940789823898","0.106234188631258","1"
"Yes","2002","Not Working","Rural Area","138","0.0444904189230362","0.0365879460255006","0.0523928918205717","1"
"No","2003","Full Time","Urban Area","3919","0.863393125107309","0.853440432702065","0.873345817512554","2"
"No","2003","Full Time","Rural Area","2211","0.882004410369428","0.869340867714152","0.894667953024704","2"
"No","2003","Not Working","Urban Area","4302","0.903831338512614","0.895484829628303","0.912177847396924","2"
"No","2003","Not Working","Rural Area","2427","0.951330902022338","0.943003743027245","0.959658061017432","2"
"No","2003","Part Time","Urban Area","2651","0.868799586879281","0.85688778300306","0.880711390755501","2"
"No","2003","Part Time","Rural Area","1297","0.904855288494857","0.889711053077223","0.919999523912491","2"
"Yes","2003","Full Time","Urban Area","655","0.136606874892691","0.126654182487446","0.146559567297935","1"
