"ple0098_v5","year","e11102","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Not Employed","248","0.0698891115224733","0.0625132310164986","0.077264992028448"
"Yes","1999","Employed","699","0.110454812423736","0.10349004350297","0.117419581344502"
"No","1999","Not Employed","4342","0.930110888477527","0.922735007971552","0.937486768983501"
"No","1999","Employed","7082","0.889545187576264","0.882580418655498","0.89650995649703"
"Yes","2000","Not Employed","537","0.0724064453670011","0.0668300312141386","0.0779828595198636"
"Yes","2000","Employed","1343","0.112350816706151","0.106960264087828","0.117741369324473"
"No","2000","Not Employed","7760","0.927593554632999","0.922017140480136","0.933169968785861"
"No","2000","Employed","11841","0.887649183293849","0.882258630675527","0.893039735912172"
"Yes","2001","Not Employed","474","0.0714838006274233","0.0656237897522236","0.0773438115026229"
"Yes","2001","Employed","1253","0.115824461923121","0.11011990004189","0.121529023804352"
"No","2001","Not Employed","6951","0.928516199372577","0.922656188497377","0.934376210247777"
"No","2001","Employed","10836","0.884175538076879","0.878470976195648","0.88988009995811"
"Yes","2002","Not Employed","625","0.0805172718733071","0.0743412126062919","0.0866933311403223"
"Yes","2002","Employed","1571","0.121333106513429","0.115544910755906","0.127121302270952"
"No","2002","Not Employed","6831","0.919482728126693","0.913306668859678","0.925658787393708"
"No","2002","Employed","10653","0.878666893486571","0.872878697729048","0.884455089244094"
"Yes","2003","Not Employed","629","0.0809130906963484","0.0746821174756356","0.0871440639170611"
"Yes","2003","Employed","1517","0.12650986782963","0.120459191564548","0.132560544094711"
"No","2003","Not Employed","6729","0.919086909303652","0.912855936082939","0.925317882524364"
"No","2003","Employed","10078","0.87349013217037","0.867439455905289","0.879540808435452"
"Yes","2004","Not Employed","662","0.0840778288540147","0.0777276134112085","0.0904280442968209"
"Yes","2004","Employed","1585","0.137524901672511","0.13111998241798","0.143929820927042"
"No","2004","Not Employed","6674","0.915922171145985","0.909571955703179","0.922272386588792"
"No","2004","Employed","9522","0.862475098327489","0.856070179072958","0.86888001758202"
"Yes","2005","Not Employed","684","0.0912699805889964","0.0845464627748465","0.0979934984031462"
