"ple0098_v5","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1999","1-pers.-HH","1401","0.911460482554744","0.897174612302099","0.925746352807389","2"
"No","1999","Couple + C. GT 16 ","2141","0.940934967291182","0.931239147111136","0.950630787471227","2"
"No","1999","(Married) couple without C. ","3355","0.883894436429591","0.873579164044683","0.894209708814499","2"
"No","1999","Couple + C. LE and GT 16","982","0.91850092904522","0.901936228899795","0.935065629190646","2"
"No","1999","Single parent ","605","0.906207446257488","0.883914708876712","0.928500183638264","2"
"No","1999","Couple + C. LE 16 ","2503","0.908077350430669","0.897201680440657","0.91895302042068","2"
"Yes","1999","1-pers.-HH","118","0.088539517445256","0.0742536471926114","0.102825387697901","1"
"Yes","1999","(Married) couple without C. ","350","0.116105563570409","0.105790291185501","0.126420835955317","1"
"Yes","1999","Single parent ","52","0.0937925537425119","0.0714998163617358","0.116085291123288","1"
"Yes","1999","Couple + C. LE 16 ","208","0.0919226495693312","0.0810469795793197","0.102798319559343","1"
"Yes","1999","Couple + C. GT 16 ","130","0.0590650327088183","0.049369212528773","0.0687608528888637","1"
"Yes","1999","Couple + C. LE and GT 16","66","0.0814990709547798","0.0649343708093541","0.0980637711002054","1"
"No","2000","1-pers.-HH","2714","0.906145634731989","0.89565578584378","0.916635483620197","2"
"No","2000","(Married) couple without C. ","5993","0.887537557866811","0.879960693825646","0.895114421907975","2"
"No","2000","Couple + C. GT 16 ","3240","0.916418611277597","0.907266721988676","0.925570500566518","2"
"No","2000","Couple + C. LE and GT 16","1633","0.939202558962811","0.92796503927799","0.950440078647632","2"
"No","2000","Single parent ","1030","0.921540939787756","0.905729554218962","0.937352325356549","2"
"No","2000","Couple + C. LE 16 ","4193","0.901758387408101","0.893178551521465","0.910338223294737","2"
"Yes","2000","1-pers.-HH","255","0.0938543652680113","0.0833645163798029","0.10434421415622","1"
"Yes","2000","(Married) couple without C. ","686","0.11246244213319","0.104885578092025","0.120039306174354","1"
"Yes","2000","Single parent ","81","0.0784590602122442","0.0626476746434506","0.0942704457810378","1"
"Yes","2000","Couple + C. LE 16 ","430","0.0982416125918988","0.0896617767052627","0.106821448478535","1"
"Yes","2000","Couple + C. GT 16 ","273","0.0835813887224027","0.0744294994334815","0.0927332780113239","1"
"Yes","2000","Couple + C. LE and GT 16","104","0.0607974410371892","0.0495599213523681","0.0720349607220102","1"
"No","2001","1-pers.-HH","2428","0.902381857248509","0.891096566261527","0.913667148235491","2"
"No","2001","(Married) couple without C. ","5517","0.891820383111921","0.884018091362171","0.899622674861671","2"
"No","2001","Couple + C. GT 16 ","2912","0.903805122666576","0.893598555359546","0.914011689973605","2"
"No","2001","Couple + C. LE and GT 16","1506","0.953489227911348","0.943131666620271","0.963846789202426","2"
"No","2001","Single parent ","972","0.943641977018079","0.929599306241925","0.957684647794233","2"
"No","2001","Couple + C. LE 16 ","3739","0.883393022698768","0.87367030378823","0.893115741609306","2"
"Yes","2001","1-pers.-HH","229","0.0976181427514909","0.0863328517645086","0.108903433738473","1"
"Yes","2001","(Married) couple without C. ","571","0.108179616888079","0.100377325138329","0.115981908637829","1"
"Yes","2001","Single parent ","64","0.0563580229819209","0.0423153522057665","0.0704006937580753","1"
"Yes","2001","Couple + C. LE 16 ","447","0.116606977301232","0.106884258390694","0.12632969621177","1"
"Yes","2001","Couple + C. GT 16 ","294","0.0961948773334243","0.0859883100263946","0.106401444640454","1"
"Yes","2001","Couple + C. LE and GT 16","82","0.0465107720886515","0.0361532107975743","0.0568683333797287","1"
"No","2002","1-pers.-HH","2411","0.898770388892674","0.887283953507237","0.910256824278111","2"
"No","2002","(Married) couple without C. ","5482","0.883555410655989","0.875618483653733","0.891492337658245","2"
"No","2002","Couple + C. GT 16 ","3001","0.908660746249474","0.898957116277899","0.91836437622105","2"
"No","2002","Couple + C. LE and GT 16","1515","0.928724593171142","0.916340359057678","0.941108827284606","2"
