"ple0098_v5","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Schleswig-Holstein","(0) in school","1","","",""
"Yes","1999","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Yes","1999","Schleswig-Holstein","(1b) general elementary school","","","",""
"Yes","1999","Schleswig-Holstein","(1c) basic vocational qualification","4","","",""
"Yes","1999","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Yes","1999","Schleswig-Holstein","(2a) intermediate vocational","3","","",""
"Yes","1999","Schleswig-Holstein","(2c_gen) general maturity certificate","2","","",""
"Yes","1999","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Yes","1999","Schleswig-Holstein","(3a) lower tertiary education","1","","",""
"Yes","1999","Schleswig-Holstein","(3b) higher tertiary education","4","","",""
"Yes","1999","Hamburg","(0) in school","","","",""
"Yes","1999","Hamburg","(1a) inadequately completed","","","",""
"Yes","1999","Hamburg","(1b) general elementary school","","","",""
"Yes","1999","Hamburg","(1c) basic vocational qualification","2","","",""
"Yes","1999","Hamburg","(2b) intermediate general qualification","","","",""
"Yes","1999","Hamburg","(2a) intermediate vocational","5","","",""
"Yes","1999","Hamburg","(2c_gen) general maturity certificate","","","",""
"Yes","1999","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Yes","1999","Hamburg","(3a) lower tertiary education","","","",""
"Yes","1999","Hamburg","(3b) higher tertiary education","1","","",""
"Yes","1999","Lower Saxony","(0) in school","3","","",""
"Yes","1999","Lower Saxony","(1a) inadequately completed","","","",""
"Yes","1999","Lower Saxony","(1b) general elementary school","5","","",""
"Yes","1999","Lower Saxony","(1c) basic vocational qualification","23","","",""
"Yes","1999","Lower Saxony","(2b) intermediate general qualification","5","","",""
"Yes","1999","Lower Saxony","(2a) intermediate vocational","29","","",""
"Yes","1999","Lower Saxony","(2c_gen) general maturity certificate","2","","",""
"Yes","1999","Lower Saxony","(2c_voc) vocational maturity certificate","9","","",""
"Yes","1999","Lower Saxony","(3a) lower tertiary education","4","","",""
"Yes","1999","Lower Saxony","(3b) higher tertiary education","10","","",""
"Yes","1999","Bremen","(0) in school","1","","",""
"Yes","1999","Bremen","(1a) inadequately completed","","","",""
"Yes","1999","Bremen","(1b) general elementary school","1","","",""
"Yes","1999","Bremen","(1c) basic vocational qualification","1","","",""
"Yes","1999","Bremen","(2b) intermediate general qualification","","","",""
"Yes","1999","Bremen","(2a) intermediate vocational","2","","",""
"Yes","1999","Bremen","(2c_gen) general maturity certificate","","","",""
"Yes","1999","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Yes","1999","Bremen","(3a) lower tertiary education","","","",""
"Yes","1999","Bremen","(3b) higher tertiary education","","","",""
"Yes","1999","North Rhine-Westphalia","(0) in school","4","","",""
"Yes","1999","North Rhine-Westphalia","(1a) inadequately completed","4","","",""
