"ple0098_v5","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Not Employed","Urban Area","182","0.0779291338366148","0.0683112227846457","0.087547044888584"
"Yes","1999","Not Employed","Rural Area","66","0.0527872396659375","0.0418511121158134","0.0637233672160616"
"Yes","1999","Employed","Urban Area","501","0.121506042449686","0.11247449899947","0.130537585899903"
"Yes","1999","Employed","Rural Area","198","0.0848328367427471","0.0744264890469209","0.0952391844385734"
"No","1999","Not Employed","Urban Area","2802","0.922070866163385","0.912452955111416","0.931688777215354"
"No","1999","Not Employed","Rural Area","1540","0.947212760334062","0.936276632783938","0.958148887884187"
"No","1999","Employed","Urban Area","4526","0.878493957550314","0.869462414100097","0.887525501000531"
"No","1999","Employed","Rural Area","2556","0.915167163257253","0.904760815561427","0.925573510953079"
"Yes","2000","Not Employed","Urban Area","436","0.0880091799279579","0.0804654208301171","0.0955529390257986"
"Yes","2000","Not Employed","Rural Area","101","0.0394883612865906","0.0323743732558372","0.0466023493173441"
"Yes","2000","Employed","Urban Area","991","0.124336733220585","0.117329483975971","0.1313439824652"
"Yes","2000","Employed","Rural Area","352","0.0865816783556517","0.0785126064948471","0.0946507502164563"
"No","2000","Not Employed","Urban Area","4982","0.911990820072042","0.904447060974201","0.919534579169883"
"No","2000","Not Employed","Rural Area","2778","0.960511638713409","0.953397650682656","0.967625626744163"
"No","2000","Employed","Urban Area","7527","0.875663266779415","0.8686560175348","0.882670516024029"
"No","2000","Employed","Rural Area","4314","0.913418321644348","0.905349249783544","0.921487393505153"
"Yes","2001","Not Employed","Urban Area","361","0.0834410529249553","0.0756127222085254","0.0912693836413851"
"Yes","2001","Not Employed","Rural Area","113","0.0468656026523054","0.0387896857521512","0.0549415195524596"
"Yes","2001","Employed","Urban Area","909","0.1285907182466","0.121188947728859","0.13599248876434"
"Yes","2001","Employed","Rural Area","344","0.0879924810877825","0.0794576043632227","0.0965273578123423"
"No","2001","Not Employed","Urban Area","4433","0.916558947075045","0.908730616358615","0.924387277791475"
"No","2001","Not Employed","Rural Area","2518","0.953134397347695","0.94505848044754","0.961210314247849"
"No","2001","Employed","Urban Area","6948","0.8714092817534","0.86400751123566","0.878811052271141"
"No","2001","Employed","Rural Area","3888","0.912007518912218","0.903472642187658","0.920542395636777"
"Yes","2002","Not Employed","Urban Area","487","0.0978641338068239","0.0894940789823898","0.106234188631258"
"Yes","2002","Not Employed","Rural Area","138","0.0444904189230362","0.0365879460255006","0.0523928918205717"
"Yes","2002","Employed","Urban Area","1142","0.130741612938557","0.123379598197186","0.138103627679928"
"Yes","2002","Employed","Rural Area","429","0.101147997140953","0.0919951779646207","0.110300816317285"
"No","2002","Not Employed","Urban Area","4354","0.902135866193176","0.893765811368742","0.91050592101761"
"No","2002","Not Employed","Rural Area","2477","0.955509581076964","0.947607108179428","0.963412053974499"
"No","2002","Employed","Urban Area","6913","0.869258387061443","0.861896372320073","0.876620401802814"
"No","2002","Employed","Rural Area","3740","0.898852002859047","0.889699183682715","0.908004822035379"
"Yes","2003","Not Employed","Urban Area","491","0.0961686614873866","0.0878221526030759","0.104515170371697"
"Yes","2003","Not Employed","Rural Area","138","0.0486690979776616","0.0403419389825679","0.0569962569727554"
"Yes","2003","Employed","Urban Area","1090","0.13447849680115","0.12683839649914","0.142118597103161"
"Yes","2003","Employed","Rural Area","427","0.109312312117243","0.0995630221537037","0.119061602080781"
"No","2003","Not Employed","Urban Area","4302","0.903831338512614","0.895484829628303","0.912177847396924"
"No","2003","Not Employed","Rural Area","2427","0.951330902022338","0.943003743027245","0.959658061017432"
"No","2003","Employed","Urban Area","6570","0.86552150319885","0.857881402896839","0.87316160350086"
"No","2003","Employed","Rural Area","3508","0.890687687882757","0.880938397919219","0.900436977846296"
"Yes","2004","Not Employed","Urban Area","513","0.100343695044842","0.0918323198379816","0.108855070251702"
"Yes","2004","Not Employed","Rural Area","149","0.0494079078372436","0.0409947603199505","0.0578210553545366"
"Yes","2004","Employed","Urban Area","1139","0.146346464304969","0.138238373573514","0.154454555036424"
"Yes","2004","Employed","Rural Area","446","0.118500371795567","0.108233749712728","0.128766993878407"
"No","2004","Not Employed","Urban Area","4274","0.899656304955158","0.891144929748298","0.908167680162018"
"No","2004","Not Employed","Rural Area","2400","0.950592092162756","0.942178944645463","0.959005239680049"
"No","2004","Employed","Urban Area","6161","0.853653535695031","0.845545444963576","0.861761626426486"
"No","2004","Employed","Rural Area","3361","0.881499628204433","0.871233006121593","0.891766250287272"
"Yes","2005","Not Employed","Urban Area","525","0.106934882123652","0.0979967162053588","0.115873048041945"
"Yes","2005","Not Employed","Rural Area","159","0.0575526804432417","0.0483419254720369","0.0667634354144466"
"Yes","2005","Employed","Urban Area","1154","0.164037381478455","0.155328837600188","0.172745925356723"
"Yes","2005","Employed","Rural Area","489","0.129162636440551","0.118214695794452","0.140110577086649"
"No","2005","Not Employed","Urban Area","4067","0.893065117876348","0.884126951958055","0.902003283794641"
"No","2005","Not Employed","Rural Area","2297","0.942447319556758","0.933236564585553","0.951658074527963"
"No","2005","Employed","Urban Area","5792","0.835962618521545","0.827254074643277","0.844671162399812"
"No","2005","Employed","Rural Area","3116","0.870837363559449","0.859889422913351","0.881785304205548"
"Yes","2006","Not Employed","Urban Area","637","0.112656428347951","0.103811883920269","0.121500972775633"
"Yes","2006","Not Employed","Rural Area","222","0.0799005528329843","0.0696695219564243","0.0901315837095444"
"Yes","2006","Employed","Urban Area","1436","0.186287437018837","0.177325407250601","0.195249466787073"
"Yes","2006","Employed","Rural Area","581","0.148382490603023","0.137121522049359","0.159643459156687"
"No","2006","Not Employed","Urban Area","4272","0.887343571652049","0.878499027224367","0.896188116079731"
"No","2006","Not Employed","Rural Area","2476","0.920099447167016","0.909868416290456","0.930330478043576"
"No","2006","Employed","Urban Area","5814","0.813712562981163","0.804750533212927","0.822674592749399"
"No","2006","Employed","Rural Area","3247","0.851617509396977","0.840356540843313","0.862878477950641"
"Yes","2007","Not Employed","Urban Area","654","0.127190587125547","0.117510441964078","0.136870732287015"
"Yes","2007","Not Employed","Rural Area","229","0.090895162437252","0.0796359426174833","0.102154382257021"
"Yes","2007","Employed","Urban Area","1461","0.205110530822603","0.195483633311583","0.214737428333623"
"Yes","2007","Employed","Rural Area","579","0.155811287578088","0.143975579401818","0.167646995754357"
"No","2007","Not Employed","Urban Area","3897","0.872809412874453","0.863129267712985","0.882489558035922"
"No","2007","Not Employed","Rural Area","2275","0.909104837562748","0.897845617742979","0.920364057382517"
"No","2007","Employed","Urban Area","5297","0.794889469177397","0.785262571666377","0.804516366688417"
"No","2007","Employed","Rural Area","3028","0.844188712421912","0.832353004245643","0.856024420598182"
"Yes","2008","Not Employed","Urban Area","736","0.156926530283673","0.145997560972162","0.167855499595184"
"Yes","2008","Not Employed","Rural Area","241","0.105738081185552","0.0933318414062949","0.118144320964809"
"Yes","2008","Employed","Urban Area","1579","0.237005446081475","0.226664388300531","0.247346503862419"
"Yes","2008","Employed","Rural Area","642","0.187061641993166","0.17406235355495","0.200060930431382"
"No","2008","Not Employed","Urban Area","3519","0.843073469716327","0.832144500404816","0.854002439027838"
"No","2008","Not Employed","Rural Area","2119","0.894261918814448","0.881855679035191","0.906668158593705"
"No","2008","Employed","Urban Area","4917","0.762994553918525","0.752653496137581","0.773335611699469"
"No","2008","Employed","Rural Area","2815","0.812938358006834","0.799939069568618","0.82593764644505"
"Yes","2009","Not Employed","Urban Area","","","",""
"Yes","2009","Not Employed","Rural Area","","","",""
"Yes","2009","Employed","Urban Area","","","",""
"Yes","2009","Employed","Rural Area","","","",""
"No","2009","Not Employed","Urban Area","","","",""
"No","2009","Not Employed","Rural Area","","","",""
"No","2009","Employed","Urban Area","","","",""
"No","2009","Employed","Rural Area","","","",""
"Yes","2010","Not Employed","Urban Area","833","0.163924383850704","0.153554546485497","0.174294221215911"
"Yes","2010","Not Employed","Rural Area","280","0.0977329307287474","0.086452333840757","0.109013527616738"
"Yes","2010","Employed","Urban Area","2141","0.25641737200671","0.247137344319407","0.265697399694012"
"Yes","2010","Employed","Rural Area","970","0.20212070044705","0.190644756173817","0.213596644720284"
"No","2010","Not Employed","Urban Area","4063","0.836075616149296","0.825705778784088","0.846445453514503"
"No","2010","Not Employed","Rural Area","2382","0.902267069271253","0.890986472383262","0.913547666159243"
"No","2010","Employed","Urban Area","6364","0.74358262799329","0.734302600305988","0.752862655680593"
"No","2010","Employed","Rural Area","3734","0.79787929955295","0.786403355279716","0.809355243826183"
"Yes","2011","Not Employed","Urban Area","869","0.183175260098743","0.171927279136096","0.194423241061389"
"Yes","2011","Not Employed","Rural Area","307","0.111483777672876","0.0992872462241753","0.123680309121576"
"Yes","2011","Employed","Urban Area","1853","0.261828345685623","0.251391474744203","0.272265216627044"
"Yes","2011","Employed","Rural Area","836","0.210122866072502","0.197205439516505","0.223040292628499"
"No","2011","Not Employed","Urban Area","3674","0.816824739901257","0.805576758938611","0.828072720863904"
"No","2011","Not Employed","Rural Area","2251","0.888516222327124","0.876319690878424","0.900712753775825"
"No","2011","Employed","Urban Area","4963","0.738171654314377","0.727734783372956","0.748608525255797"
"No","2011","Employed","Rural Area","2985","0.789877133927498","0.776959707371501","0.802794560483496"
"Yes","2012","Not Employed","Urban Area","1017","0.183727205684106","0.173441983722209","0.194012427646002"
"Yes","2012","Not Employed","Rural Area","431","0.116335771169988","0.105307505474556","0.12736403686542"
"Yes","2012","Employed","Urban Area","2651","0.269207842181872","0.260350404539887","0.278065279823858"
"Yes","2012","Employed","Rural Area","1260","0.212776491570259","0.202101930005713","0.223451053134805"
"No","2012","Not Employed","Urban Area","4429","0.816272794315894","0.805987572353998","0.826558016277791"
"No","2012","Not Employed","Rural Area","2816","0.883664228830012","0.87263596313458","0.894692494525444"
"No","2012","Employed","Urban Area","6982","0.730792157818127","0.721934720176142","0.739649595460113"
"No","2012","Employed","Rural Area","4387","0.787223508429741","0.776548946865195","0.797898069994287"
"Yes","2013","Not Employed","Urban Area","930","0.21600896889937","0.20332405103574","0.228693886763001"
"Yes","2013","Not Employed","Rural Area","340","0.13622258750764","0.122371434325811","0.150073740689469"
"Yes","2013","Employed","Urban Area","1857","0.295935978582147","0.284610390655163","0.307261566509131"
"Yes","2013","Employed","Rural Area","869","0.238839568213776","0.224758206459164","0.252920929968387"
"No","2013","Not Employed","Urban Area","3113","0.78399103110063","0.771306113236999","0.79667594896426"
"No","2013","Not Employed","Rural Area","2016","0.86377741249236","0.849926259310531","0.87762856567419"
"No","2013","Employed","Urban Area","4383","0.704064021417853","0.692738433490869","0.715389609344837"
"No","2013","Employed","Rural Area","2653","0.761160431786224","0.747079070031613","0.775241793540836"
"Yes","2014","Not Employed","Urban Area","1020","0.205719250866748","0.194879466708268","0.216559035025227"
"Yes","2014","Not Employed","Rural Area","443","0.151108999708119","0.138264960881549","0.163953038534689"
"Yes","2014","Employed","Urban Area","2627","0.271994402107251","0.263339633332945","0.280649170881557"
"Yes","2014","Employed","Rural Area","1290","0.252496727296878","0.240855316198531","0.264138138395225"
"No","2014","Not Employed","Urban Area","4322","0.794280749133252","0.783440964974773","0.805120533291732"
"No","2014","Not Employed","Rural Area","2544","0.848891000291881","0.836046961465311","0.861735039118451"
"No","2014","Employed","Urban Area","7528","0.728005597892749","0.719350829118443","0.736660366667055"
"No","2014","Employed","Rural Area","4060","0.747503272703122","0.735861861604775","0.759144683801469"
"Yes","2015","Not Employed","Urban Area","","","",""
"Yes","2015","Not Employed","Rural Area","","","",""
"Yes","2015","Employed","Urban Area","","","",""
"Yes","2015","Employed","Rural Area","","","",""
"No","2015","Not Employed","Urban Area","","","",""
"No","2015","Not Employed","Rural Area","","","",""
"No","2015","Employed","Urban Area","","","",""
"No","2015","Employed","Rural Area","","","",""
"Yes","2016","Not Employed","Urban Area","781","0.17536925504527","0.164379812441704","0.186358697648836"
"Yes","2016","Not Employed","Rural Area","304","0.118137817006348","0.105612529830057","0.130663104182639"
"Yes","2016","Employed","Urban Area","2192","0.247090372360984","0.23829681813238","0.255883926589589"
"Yes","2016","Employed","Rural Area","1079","0.237301875640164","0.225440811753739","0.249162939526589"
"No","2016","Not Employed","Urban Area","3819","0.82463074495473","0.813641302351164","0.835620187558296"
"No","2016","Not Employed","Rural Area","2247","0.881862182993652","0.869336895817361","0.894387470169943"
"No","2016","Employed","Urban Area","7050","0.752909627639016","0.744116073410411","0.76170318186762"
"No","2016","Employed","Rural Area","3863","0.762698124359836","0.750837060473411","0.774559188246261"
"Yes","2017","Not Employed","Urban Area","","","",""
"Yes","2017","Not Employed","Rural Area","","","",""
"Yes","2017","Employed","Urban Area","","","",""
"Yes","2017","Employed","Rural Area","","","",""
"No","2017","Not Employed","Urban Area","","","",""
"No","2017","Not Employed","Rural Area","","","",""
"No","2017","Employed","Urban Area","","","",""
"No","2017","Employed","Rural Area","","","",""
"Yes","2018","Not Employed","Urban Area","775","0.185721450848164","0.174451616259144","0.196991285437183"
"Yes","2018","Not Employed","Rural Area","340","0.132941586976976","0.119908953453447","0.145974220500506"
"Yes","2018","Employed","Urban Area","2360","0.246414625092933","0.23793726899481","0.254891981191057"
"Yes","2018","Employed","Rural Area","1323","0.252695325071699","0.241230555053837","0.26416009508956"
"No","2018","Not Employed","Urban Area","3799","0.814278549151837","0.803008714562817","0.825548383740856"
"No","2018","Not Employed","Rural Area","2267","0.867058413023024","0.854025779499494","0.880091046546553"
"No","2018","Employed","Urban Area","7566","0.753585374907067","0.745108018808943","0.76206273100519"
"No","2018","Employed","Rural Area","4196","0.747304674928301","0.735839904910439","0.758769444946162"
