"ple0098_v5","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Full Time","in school","1","","",""
"Yes","1999","Full Time","inadequately","2","","",""
"Yes","1999","Full Time","general elemantary","35","0.0708619212682051","0.0511511241488256","0.0905727183875846"
"Yes","1999","Full Time","middle vocational","229","0.0988607196397772","0.0876520935017641","0.11006934577779"
"Yes","1999","Full Time","vocational + Abi","31","0.159986026496417","0.113988184277026","0.205983868715809"
"Yes","1999","Full Time","higher vocational","43","0.107730952381431","0.0769998686578986","0.138462036104963"
"Yes","1999","Full Time","higher education","114","0.177767997493421","0.152141514226441","0.2033944807604"
"Yes","1999","Part Time","in school","6","","",""
"Yes","1999","Part Time","inadequately","1","","",""
"Yes","1999","Part Time","general elemantary","21","","",""
"Yes","1999","Part Time","middle vocational","131","0.108532891178536","0.0927601876376285","0.124305594719443"
"Yes","1999","Part Time","vocational + Abi","13","","",""
"Yes","1999","Part Time","higher vocational","18","","",""
"Yes","1999","Part Time","higher education","34","0.156886551727779","0.115867984480413","0.197905118975145"
"Yes","1999","Not Working","in school","16","","",""
"Yes","1999","Not Working","inadequately","1","","",""
"Yes","1999","Not Working","general elemantary","40","0.0366171935052268","0.0260865609017378","0.0471478261087158"
"Yes","1999","Not Working","middle vocational","139","0.0812751845728882","0.069762113952766","0.0927882551930104"
"Yes","1999","Not Working","vocational + Abi","11","","",""
"Yes","1999","Not Working","higher vocational","11","","",""
"Yes","1999","Not Working","higher education","24","","",""
"No","1999","Full Time","in school","1","","",""
"No","1999","Full Time","inadequately","112","0.989200853596996","0.970228001506792","1.0081737056872"
"No","1999","Full Time","general elemantary","616","0.929138078731795","0.909427281612415","0.948848875851174"
"No","1999","Full Time","middle vocational","2495","0.901139280360223","0.88993065422221","0.912347906498236"
"No","1999","Full Time","vocational + Abi","213","0.840013973503583","0.794016131284191","0.886011815722974"
"No","1999","Full Time","higher vocational","348","0.892269047618569","0.861537963895037","0.923000131342101"
"No","1999","Full Time","higher education","741","0.822232002506579","0.7966055192396","0.847858485773559"
"No","1999","Part Time","in school","24","","",""
"No","1999","Part Time","inadequately","83","0.982045756907319","0.953649711610392","1.01044180220425"
"No","1999","Part Time","general elemantary","467","0.954986236345622","0.936590829417271","0.973381643273972"
