"ple0098_v5","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1999","16-34 y.","(0) in school","22","","",""
"Yes","1999","16-34 y.","(1a) inadequately completed","5","","",""
"Yes","1999","16-34 y.","(1b) general elementary school","12","","",""
"Yes","1999","16-34 y.","(1c) basic vocational qualification","48","0.0824841786850823","0.062649828350502","0.102318529019663"
"Yes","1999","16-34 y.","(2b) intermediate general qualification","24","","",""
"Yes","1999","16-34 y.","(2a) intermediate vocational","86","0.0837838970178045","0.0669044911993044","0.100663302836305"
"Yes","1999","16-34 y.","(2c_gen) general maturity certificate","24","","",""
"Yes","1999","16-34 y.","(2c_voc) vocational maturity certificate","33","0.116916348609484","0.0807366186610007","0.153096078557967"
"Yes","1999","16-34 y.","(3a) lower tertiary education","14","","",""
"Yes","1999","16-34 y.","(3b) higher tertiary education","25","","",""
"Yes","1999","35-65 y.","(0) in school","","","",""
"Yes","1999","35-65 y.","(1a) inadequately completed","3","","",""
"Yes","1999","35-65 y.","(1b) general elementary school","29","","",""
"Yes","1999","35-65 y.","(1c) basic vocational qualification","167","0.0809672869341914","0.0699547195573175","0.0919798543110654"
"Yes","1999","35-65 y.","(2b) intermediate general qualification","13","","",""
"Yes","1999","35-65 y.","(2a) intermediate vocational","156","0.153374577553448","0.134478475300183","0.172270679806713"
"Yes","1999","35-65 y.","(2c_gen) general maturity certificate","2","","",""
"Yes","1999","35-65 y.","(2c_voc) vocational maturity certificate","31","0.173084823240796","0.124298052008607","0.221871594472985"
"Yes","1999","35-65 y.","(3a) lower tertiary education","50","0.135808643888597","0.107358192659812","0.164259095117383"
"Yes","1999","35-65 y.","(3b) higher tertiary education","67","0.168039263952592","0.13462496503867","0.201453562866514"
"Yes","1999","66 and older","(0) in school","","","",""
"Yes","1999","66 and older","(1a) inadequately completed","","","",""
"Yes","1999","66 and older","(1b) general elementary school","14","","",""
"Yes","1999","66 and older","(1c) basic vocational qualification","39","0.0574044202004565","0.040633332165253","0.0741755082356601"
"Yes","1999","66 and older","(2b) intermediate general qualification","6","","",""
"Yes","1999","66 and older","(2a) intermediate vocational","20","","",""
"Yes","1999","66 and older","(2c_gen) general maturity certificate","2","","",""
"Yes","1999","66 and older","(2c_voc) vocational maturity certificate","7","","",""
"Yes","1999","66 and older","(3a) lower tertiary education","9","","",""
"Yes","1999","66 and older","(3b) higher tertiary education","7","","",""
"No","1999","16-34 y.","(0) in school","247","0.909400736645766","0.875099329606457","0.943702143685075"
"No","1999","16-34 y.","(1a) inadequately completed","82","0.921002573470402","0.864323158569221","0.977681988371583"
