"ple0098_v5","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1999","(0) in school","22","","",""
"Yes","1999","(1a) inadequately completed","8","","",""
"Yes","1999","(1b) general elementary school","55","0.0325258536359264","0.0245284093224458","0.0405232979494069"
"Yes","1999","(1c) basic vocational qualification","254","0.0752695960682843","0.0669196673495581","0.0836195247870105"
"Yes","1999","(2b) intermediate general qualification","43","0.1005543186772","0.0743248051287878","0.126783832225613"
"Yes","1999","(2a) intermediate vocational","262","0.12707868534953","0.114194437743714","0.139962932955347"
"Yes","1999","(2c_gen) general maturity certificate","28","","",""
"Yes","1999","(2c_voc) vocational maturity certificate","71","0.156581890252591","0.126669660474889","0.186494120030293"
"Yes","1999","(3a) lower tertiary education","73","0.129062781243108","0.105916858187783","0.152208704298433"
"Yes","1999","(3b) higher tertiary education","99","0.178852483513515","0.150821137757491","0.206883829269538"
"No","1999","(0) in school","249","0.910435231314987","0.876436980180302","0.944433482449673"
"No","1999","(1a) inadequately completed","456","0.976923798313405","0.963262196959921","0.990585399666889"
"No","1999","(1b) general elementary school","1835","0.967474146364074","0.959476702050593","0.975471590677554"
"No","1999","(1c) basic vocational qualification","3581","0.924730403931716","0.916380475212989","0.933080332650442"
"No","1999","(2b) intermediate general qualification","462","0.8994456813228","0.873216167774387","0.925675194871212"
"No","1999","(2a) intermediate vocational","2305","0.87292131465047","0.860037067044653","0.885805562256286"
"No","1999","(2c_gen) general maturity certificate","374","0.914430993045983","0.887086569075114","0.941775417016851"
"No","1999","(2c_voc) vocational maturity certificate","496","0.843418109747409","0.813505879969707","0.873330339525111"
"No","1999","(3a) lower tertiary education","733","0.870937218756892","0.847791295701567","0.894083141812217"
"No","1999","(3b) higher tertiary education","619","0.821147516486485","0.793116170730462","0.849178862242509"
"Yes","2000","(0) in school","26","","",""
"Yes","2000","(1a) inadequately completed","11","","",""
"Yes","2000","(1b) general elementary school","74","0.0306130827752097","0.0242391663063711","0.0369869992440483"
"Yes","2000","(1c) basic vocational qualification","502","0.0728863646343962","0.0669362341223283","0.0788364951464642"
"Yes","2000","(2b) intermediate general qualification","49","0.0907103866974557","0.0692345868970048","0.112186186497907"
"Yes","2000","(2a) intermediate vocational","559","0.127002505526651","0.117740583773001","0.1362644272803"
"Yes","2000","(2c_gen) general maturity certificate","71","0.0946335815215237","0.0730115452909176","0.11625561775213"
"Yes","2000","(2c_voc) vocational maturity certificate","163","0.129779618940959","0.111839677648854","0.147719560233064"
"Yes","2000","(3a) lower tertiary education","203","0.171068607087039","0.151062458883693","0.191074755290384"
"Yes","2000","(3b) higher tertiary education","219","0.179180277336111","0.15913442972731","0.199226124944912"
"No","2000","(0) in school","388","0.932473129533788","0.908301585412327","0.956644673655249"
"No","2000","(1a) inadequately completed","404","0.967332771720845","0.950229935495963","0.984435607945726"
"No","2000","(1b) general elementary school","2732","0.96938691722479","0.963013000755952","0.975760833693629"
"No","2000","(1c) basic vocational qualification","6830","0.927113635365604","0.921163504853536","0.933063765877672"
"No","2000","(2b) intermediate general qualification","638","0.909289613302544","0.887813813502093","0.930765413102995"
"No","2000","(2a) intermediate vocational","4406","0.872997494473349","0.8637355727197","0.882259416226999"
"No","2000","(2c_gen) general maturity certificate","633","0.905366418478476","0.88374438224787","0.926988454709082"
"No","2000","(2c_voc) vocational maturity certificate","1185","0.870220381059041","0.852280439766936","0.888160322351146"
