"ple0098_v5","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","1999","16-34 y.","1-pers.-HH","38","0.0958097815496455","0.0678600192532331","0.123759543846058"
"Yes","1999","16-34 y.","(Married) couple without C. ","100","0.157282115592014","0.132424168367377","0.18214006281665"
"Yes","1999","16-34 y.","Single parent ","19","","",""
"Yes","1999","16-34 y.","Couple + C. LE 16 ","70","0.0662987394585748","0.0526739395092949","0.0799235394078546"
"Yes","1999","16-34 y.","Couple + C. GT 16 ","51","0.0568213980598159","0.0413131001218244","0.0723296959978074"
"Yes","1999","16-34 y.","Couple + C. LE and GT 16","27","","",""
"Yes","1999","35-65 y.","1-pers.-HH","48","0.116221437632034","0.0890132671898176","0.143429608074251"
"Yes","1999","35-65 y.","(Married) couple without C. ","178","0.114258738183092","0.100285064055697","0.128232412310486"
"Yes","1999","35-65 y.","Single parent ","32","0.118283792467885","0.0830650485962271","0.153502536339543"
"Yes","1999","35-65 y.","Couple + C. LE 16 ","138","0.110377194230018","0.0941358226991753","0.126618565760861"
"Yes","1999","35-65 y.","Couple + C. GT 16 ","78","0.0648845196981336","0.0515559255550574","0.0782131138412098"
"Yes","1999","35-65 y.","Couple + C. LE and GT 16","39","0.0837666264239981","0.0625017501999904","0.105031502648006"
"Yes","1999","66 and older","1-pers.-HH","32","0.0631461682827922","0.0430013433499962","0.0832909932155882"
"Yes","1999","66 and older","(Married) couple without C. ","72","0.0988402569740423","0.0792328161993054","0.118447697748779"
"Yes","1999","66 and older","Single parent ","1","","",""
"Yes","1999","66 and older","Couple + C. LE 16 ","","","",""
"Yes","1999","66 and older","Couple + C. GT 16 ","1","","",""
"Yes","1999","66 and older","Couple + C. LE and GT 16","","","",""
"No","1999","16-34 y.","1-pers.-HH","388","0.904190218450355","0.876240456153942","0.932139980746767"
"No","1999","16-34 y.","(Married) couple without C. ","724","0.842717884407986","0.81785993718335","0.867575831632623"
"No","1999","16-34 y.","Single parent ","269","0.922316126366444","0.891401985268343","0.953230267464544"
"No","1999","16-34 y.","Couple + C. LE 16 ","1211","0.933701260541425","0.920076460592145","0.947326060490705"
"No","1999","16-34 y.","Couple + C. GT 16 ","805","0.943178601940184","0.927670304002193","0.958686899878176"
"No","1999","16-34 y.","Couple + C. LE and GT 16","368","0.921754159825188","0.895269906980939","0.948238412669437"
"No","1999","35-65 y.","1-pers.-HH","485","0.883778562367966","0.856570391925749","0.910986732810182"
"No","1999","35-65 y.","(Married) couple without C. ","1813","0.885741261816908","0.871767587689514","0.899714935944303"
"No","1999","35-65 y.","Single parent ","291","0.881716207532115","0.846497463660457","0.916934951403773"
"No","1999","35-65 y.","Couple + C. LE 16 ","1292","0.889622805769982","0.873381434239139","0.905864177300825"
"No","1999","35-65 y.","Couple + C. GT 16 ","1234","0.935115480301866","0.92178688615879","0.948444074444943"
"No","1999","35-65 y.","Couple + C. LE and GT 16","613","0.916233373576002","0.894968497351994","0.93749824980001"
"No","1999","66 and older","1-pers.-HH","528","0.936853831717208","0.916709006784412","0.956998656650004"
"No","1999","66 and older","(Married) couple without C. ","818","0.901159743025958","0.881552302251221","0.920767183800695"
"No","1999","66 and older","Single parent ","45","0.982739957002098","0.945103440581658","1.02037647342254"
"No","1999","66 and older","Couple + C. LE 16 ","","","",""
"No","1999","66 and older","Couple + C. GT 16 ","102","0.991226032770519","0.973216027811332","1.00923603772971"
"No","1999","66 and older","Couple + C. LE and GT 16","1","","",""
"Yes","2000","16-34 y.","1-pers.-HH","69","0.0957416618848441","0.0747813908988049","0.116701932870883"
"Yes","2000","16-34 y.","(Married) couple without C. ","122","0.117551668454123","0.0984925056779155","0.136610831230331"
"Yes","2000","16-34 y.","Single parent ","25","","",""
"Yes","2000","16-34 y.","Couple + C. LE 16 ","147","0.084200589375603","0.0716213924968627","0.0967797862543433"
"Yes","2000","16-34 y.","Couple + C. GT 16 ","100","0.0782800013535656","0.063843990894317","0.0927160118128142"
"Yes","2000","16-34 y.","Couple + C. LE and GT 16","32","0.0487800762777819","0.0323835052956432","0.0651766472599206"
"Yes","2000","35-65 y.","1-pers.-HH","120","0.119714347301742","0.100960285535532","0.138468409067952"
"Yes","2000","35-65 y.","(Married) couple without C. ","414","0.126981032724346","0.116265816444358","0.137696249004334"
"Yes","2000","35-65 y.","Single parent ","55","0.104193594132211","0.079134946551249","0.129252241713172"
"Yes","2000","35-65 y.","Couple + C. LE 16 ","283","0.107579747294985","0.0959906984504818","0.119168796139487"
"Yes","2000","35-65 y.","Couple + C. GT 16 ","168","0.0918329926025713","0.079298068551754","0.104367916653389"
"Yes","2000","35-65 y.","Couple + C. LE and GT 16","72","0.0689659676745763","0.0537971792590732","0.0841347560900794"
"Yes","2000","66 and older","1-pers.-HH","66","0.0688685949742061","0.053631348318819","0.0841058416295933"
"Yes","2000","66 and older","(Married) couple without C. ","150","0.0856230791871582","0.0729513100750674","0.098294848299249"
"Yes","2000","66 and older","Single parent ","1","","",""
"Yes","2000","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2000","66 and older","Couple + C. GT 16 ","5","","",""
"Yes","2000","66 and older","Couple + C. LE and GT 16","","","",""
"No","2000","16-34 y.","1-pers.-HH","688","0.904258338115156","0.883298067129117","0.925218609101195"
"No","2000","16-34 y.","(Married) couple without C. ","975","0.882448331545877","0.863389168769669","0.901507494322085"
