"pli0098_h","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","1-pers.-HH","no migration background","14","","","","1"
"Daily","1990","1-pers.-HH","direct migration background","","","","","1"
"Daily","1990","1-pers.-HH","indirect migration background","","","","","1"
"Daily","1990","(Married) couple without C. ","no migration background","7","","","","1"
"Daily","1990","(Married) couple without C. ","direct migration background","6","","","","1"
"Daily","1990","(Married) couple without C. ","indirect migration background","","","","","1"
"Daily","1990","Single parent ","no migration background","1","","","","1"
"Daily","1990","Single parent ","direct migration background","1","","","","1"
"Daily","1990","Single parent ","indirect migration background","","","","","1"
"Daily","1990","Couple + C. LE 16 ","no migration background","1","","","","1"
"Daily","1990","Couple + C. LE 16 ","direct migration background","11","","","","1"
"Daily","1990","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Daily","1990","Couple + C. GT 16 ","no migration background","11","","","","1"
"Daily","1990","Couple + C. GT 16 ","direct migration background","5","","","","1"
"Daily","1990","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Daily","1990","Couple + C. LE and GT 16","no migration background","4","","","","1"
"Daily","1990","Couple + C. LE and GT 16","direct migration background","9","","","","1"
"Daily","1990","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"Min 1x per month","1990","Couple + C. GT 16 ","direct migration background","64","0.109339781068916","0.0825177570708392","0.136161805066993","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","direct migration background","55","0.108273458572317","0.0786623437222854","0.137884573422349","3"
"Min 1x per month","1990","1-pers.-HH","indirect migration background","1","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","indirect migration background","4","","","","3"
"Min 1x per month","1990","1-pers.-HH","direct migration background","22","","","","3"
"Min 1x per month","1990","1-pers.-HH","no migration background","127","0.114403483656237","0.0962422786129688","0.132564688699506","3"
"Min 1x per month","1990","(Married) couple without C. ","no migration background","233","0.0936383258768121","0.0827361602914893","0.104540491462135","3"
"Min 1x per month","1990","(Married) couple without C. ","direct migration background","68","0.125034023241494","0.0950355372615872","0.155032509221401","3"
"Min 1x per month","1990","(Married) couple without C. ","indirect migration background","3","","","","3"
"Min 1x per month","1990","Single parent ","direct migration background","7","","","","3"
"Min 1x per month","1990","Single parent ","indirect migration background","1","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","direct migration background","98","0.131364854341218","0.106429713506951","0.156299995175484","3"
"Min 1x per month","1990","Couple + C. LE 16 ","indirect migration background","3","","","","3"
"Min 1x per month","1990","Couple + C. GT 16 ","no migration background","182","0.0963278720719623","0.0840215016407361","0.108634242503188","3"
"Min 1x per month","1990","Couple + C. GT 16 ","indirect migration background","17","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","no migration background","75","0.126376112856182","0.101761454196682","0.150990771515682","3"
"Min 1x per month","1990","Single parent ","no migration background","38","0.083188809333321","0.060108631364398","0.106268987302244","3"
"Min 1x per month","1990","Couple + C. LE 16 ","no migration background","215","0.0968298203530731","0.08587226700018","0.107787373705966","3"
"Min 1x per week","1990","Couple + C. GT 16 ","direct migration background","88","0.158793887732082","0.127380518441714","0.190207257022451","2"
"Min 1x per week","1990","(Married) couple without C. ","indirect migration background","4","","","","2"
"Min 1x per week","1990","(Married) couple without C. ","no migration background","267","0.112649168214086","0.100817476035364","0.124480860392808","2"
"Min 1x per week","1990","Couple + C. LE 16 ","no migration background","200","0.0838611149494912","0.0735907657429739","0.0941314641560085","2"
"Min 1x per week","1990","(Married) couple without C. ","direct migration background","61","0.105903760512982","0.0779951974957482","0.133812323530216","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","direct migration background","69","0.162856762347462","0.127669887821731","0.198043636873194","2"
"Min 1x per week","1990","Couple + C. GT 16 ","no migration background","264","0.143086610332512","0.12848110731714","0.157692113347885","2"
"Min 1x per week","1990","Single parent ","indirect migration background","1","","","","2"
"Min 1x per week","1990","1-pers.-HH","no migration background","138","0.134143013826209","0.114697733883017","0.153588293769401","2"
"Min 1x per week","1990","1-pers.-HH","direct migration background","30","0.236314744042229","0.173193423030452","0.299436065054005","2"
"Min 1x per week","1990","1-pers.-HH","indirect migration background","1","","","","2"
"Min 1x per week","1990","Single parent ","direct migration background","7","","","","2"
"Min 1x per week","1990","Couple + C. LE 16 ","direct migration background","106","0.133650618561484","0.108532589770738","0.158768647352229","2"
"Min 1x per week","1990","Couple + C. LE 16 ","indirect migration background","4","","","","2"
"Min 1x per week","1990","Couple + C. GT 16 ","indirect migration background","10","","","","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","no migration background","97","0.169426524712668","0.141637148317009","0.197215901108327","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","indirect migration background","10","","","","2"
"Min 1x per week","1990","Single parent ","no migration background","46","0.104732376790109","0.0791415884138819","0.130323165166336","2"
"Never","1990","Couple + C. LE 16 ","no migration background","1646","0.511490432011843","0.49296878811068","0.530012075913006","5"
"Never","1990","Single parent ","indirect migration background","9","","","","5"
"Never","1990","1-pers.-HH","no migration background","646","0.519974530718292","0.49146892566849","0.548480135768094","5"
"Never","1990","1-pers.-HH","direct migration background","86","0.458854972549242","0.384814697375945","0.532895247722539","5"
"Never","1990","1-pers.-HH","indirect migration background","5","","","","5"
"Never","1990","(Married) couple without C. ","no migration background","1506","0.501259084177989","0.482547790525545","0.519970377830432","5"
"Never","1990","(Married) couple without C. ","direct migration background","209","0.512558644465003","0.467224792891032","0.557892496038975","5"
"Never","1990","(Married) couple without C. ","indirect migration background","9","","","","5"
"Never","1990","Single parent ","no migration background","328","0.531010569131498","0.489304442579964","0.572716695683033","5"
