"pli0098_h","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Full Time","no migration background","9","","","","1"
"Daily","1990","Full Time","direct migration background","22","","","","1"
"Daily","1990","Full Time","indirect migration background","","","","","1"
"Daily","1990","Part Time","no migration background","9","","","","1"
"Daily","1990","Part Time","direct migration background","1","","","","1"
"Daily","1990","Part Time","indirect migration background","","","","","1"
"Daily","1990","Not Working","no migration background","25","","","","1"
"Daily","1990","Not Working","direct migration background","13","","","","1"
"Daily","1990","Not Working","indirect migration background","","","","","1"
"Min 1x per month","1990","Not Working","no migration background","327","0.140882511960565","0.1269812219872","0.154783801933931","3"
"Min 1x per month","1990","Not Working","indirect migration background","12","","","","3"
"Min 1x per month","1990","Part Time","indirect migration background","7","","","","3"
"Min 1x per month","1990","Full Time","no migration background","272","0.08791665657732","0.0777819144605655","0.0980513986940745","3"
"Min 1x per month","1990","Full Time","direct migration background","178","0.117976355441461","0.100613788603688","0.135338922279235","3"
"Min 1x per month","1990","Full Time","indirect migration background","12","","","","3"
"Min 1x per month","1990","Part Time","no migration background","165","0.1251239354625","0.106701124190227","0.143546746734773","3"
"Min 1x per month","1990","Part Time","direct migration background","60","0.131409925377257","0.0982599539279233","0.16455989682659","3"
"Min 1x per month","1990","Not Working","direct migration background","99","0.116060918858748","0.0937398997462099","0.138381937971286","3"
"Min 1x per week","1990","Full Time","indirect migration background","8","","","","2"
"Min 1x per week","1990","Not Working","no migration background","473","0.199517491760346","0.183548897327367","0.215486086193325","2"
"Min 1x per week","1990","Full Time","no migration background","328","0.103231243738311","0.0923418005750592","0.114120686901563","2"
"Min 1x per week","1990","Full Time","direct migration background","184","0.118372210839372","0.100984442558883","0.135759979119862","2"
"Min 1x per week","1990","Part Time","indirect migration background","9","","","","2"
"Min 1x per week","1990","Not Working","indirect migration background","15","","","","2"
"Min 1x per week","1990","Part Time","direct migration background","55","0.140218027556504","0.106149156906564","0.174286898206445","2"
"Min 1x per week","1990","Not Working","direct migration background","174","0.21020495099705","0.181810170016463","0.238599731977637","2"
"Min 1x per week","1990","Part Time","no migration background","140","0.108441101989671","0.0911276200465807","0.125754583932761","2"
"Never","1990","Part Time","direct migration background","175","0.463890751567112","0.414958392950052","0.512823110184172","5"
"Never","1990","Part Time","no migration background","484","0.408533875215798","0.381162828068416","0.43590492236318","5"
"Never","1990","Full Time","no migration background","1359","0.465473085374297","0.447620877543093","0.483325293205501","5"
"Never","1990","Full Time","direct migration background","562","0.45340862278388","0.42661369415171","0.48020355141605","5"
"Never","1990","Full Time","indirect migration background","41","0.316619492774396","0.223570303761045","0.409668681787747","5"
"Never","1990","Part Time","indirect migration background","30","0.403920103537034","0.295718295618075","0.512121911455993","5"
"Never","1990","Not Working","no migration background","851","0.361328981178239","0.342133885442309","0.38052407691417","5"
"Never","1990","Not Working","direct migration background","339","0.428607229925084","0.394120106920779","0.463094352929388","5"
"Never","1990","Not Working","indirect migration background","58","0.479802138257526","0.389661120291912","0.569943156223141","5"
"Rarely","1990","Part Time","indirect migration background","33","0.417635008866395","0.308884668830813","0.526385348901976","4"
"Rarely","1990","Full Time","indirect migration background","35","0.416856450170596","0.318229983291314","0.515482917049878","4"
"Rarely","1990","Not Working","direct migration background","166","0.230646138075373","0.201290196685077","0.260002079465669","4"
"Rarely","1990","Not Working","indirect migration background","33","0.236950571478886","0.160229916238149","0.313671226719622","4"
"Rarely","1990","Full Time","no migration background","1031","0.339429567313801","0.322482511540974","0.356376623086628","4"
"Rarely","1990","Full Time","direct migration background","380","0.297745426113131","0.273133468040324","0.322357384185937","4"
"Rarely","1990","Part Time","direct migration background","108","0.263778273635567","0.220538295192515","0.307018252078618","4"
"Rarely","1990","Not Working","no migration background","730","0.288841442987502","0.270731659732934","0.30695122624207","4"
"Rarely","1990","Part Time","no migration background","441","0.350188988799244","0.323627206428017","0.37675077117047","4"
"Daily","1991","Full Time","no migration background","","","","","1"
"Daily","1991","Full Time","direct migration background","","","","","1"
"Daily","1991","Full Time","indirect migration background","","","","","1"
"Daily","1991","Part Time","no migration background","","","","","1"
"Daily","1991","Part Time","direct migration background","","","","","1"
"Daily","1991","Part Time","indirect migration background","","","","","1"
"Daily","1991","Not Working","no migration background","","","","","1"
"Daily","1991","Not Working","direct migration background","","","","","1"
"Daily","1991","Not Working","indirect migration background","","","","","1"
"Min 1x per month","1991","Not Working","no migration background","","","","","3"
"Min 1x per month","1991","Part Time","indirect migration background","","","","","3"
"Min 1x per month","1991","Full Time","no migration background","","","","","3"
"Min 1x per month","1991","Full Time","direct migration background","","","","","3"
"Min 1x per month","1991","Not Working","indirect migration background","","","","","3"
"Min 1x per month","1991","Full Time","indirect migration background","","","","","3"
"Min 1x per month","1991","Part Time","no migration background","","","","","3"
"Min 1x per month","1991","Part Time","direct migration background","","","","","3"
"Min 1x per month","1991","Not Working","direct migration background","","","","","3"
"Min 1x per week","1991","Full Time","indirect migration background","","","","","2"
"Min 1x per week","1991","Part Time","indirect migration background","","","","","2"
"Min 1x per week","1991","Not Working","no migration background","","","","","2"
"Min 1x per week","1991","Full Time","no migration background","","","","","2"
"Min 1x per week","1991","Full Time","direct migration background","","","","","2"
