"pli0098_h","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","1-pers.-HH","Male","2","","",""
"Daily","1990","1-pers.-HH","Female","12","","",""
"Daily","1990","(Married) couple without C. ","Male","4","","",""
"Daily","1990","(Married) couple without C. ","Female","9","","",""
"Daily","1990","Single parent ","Male","1","","",""
"Daily","1990","Single parent ","Female","1","","",""
"Daily","1990","Couple + C. LE 16 ","Male","8","","",""
"Daily","1990","Couple + C. LE 16 ","Female","4","","",""
"Daily","1990","Couple + C. GT 16 ","Male","7","","",""
"Daily","1990","Couple + C. GT 16 ","Female","9","","",""
"Daily","1990","Couple + C. LE and GT 16","Male","9","","",""
"Daily","1990","Couple + C. LE and GT 16","Female","4","","",""
"Min 1x per week","1990","1-pers.-HH","Male","41","0.0810549857469473","0.0574149711524773","0.104695000341417"
"Min 1x per week","1990","1-pers.-HH","Female","128","0.173210663092702","0.147829945239039","0.198591380946365"
"Min 1x per week","1990","(Married) couple without C. ","Male","151","0.106538750356507","0.0914776316247459","0.121599869088269"
"Min 1x per week","1990","(Married) couple without C. ","Female","181","0.119272259675785","0.103509014154744","0.135035505196825"
"Min 1x per week","1990","Single parent ","Male","12","","",""
"Min 1x per week","1990","Single parent ","Female","42","0.122173124467032","0.090703344775023","0.15364290415904"
"Min 1x per week","1990","Couple + C. LE 16 ","Male","150","0.0866052687380797","0.0734316094853198","0.0997789279908397"
"Min 1x per week","1990","Couple + C. LE 16 ","Female","160","0.0922720268289565","0.0788311060597922","0.105712947598121"
"Min 1x per week","1990","Couple + C. GT 16 ","Male","183","0.128285708166894","0.111770500724612","0.144800915609175"
"Min 1x per week","1990","Couple + C. GT 16 ","Female","179","0.163050070689059","0.142804824933547","0.183295316444571"
"Min 1x per week","1990","Couple + C. LE and GT 16","Male","81","0.140063915742155","0.112745943172498","0.167381888311811"
"Min 1x per week","1990","Couple + C. LE and GT 16","Female","95","0.203208602290515","0.170290445646639","0.236126758934392"
"Min 1x per month","1990","1-pers.-HH","Male","39","0.069213733476488","0.0472283405374798","0.0911991264154962"
"Min 1x per month","1990","1-pers.-HH","Female","111","0.139819173889088","0.116559833179199","0.163078514598977"
"Min 1x per month","1990","(Married) couple without C. ","Male","137","0.0860387086938749","0.0723495608029155","0.0997278565848342"
"Min 1x per month","1990","(Married) couple without C. ","Female","167","0.106852438252531","0.0918276311350396","0.121877245370023"
"Min 1x per month","1990","Single parent ","Male","15","","",""
"Min 1x per month","1990","Single parent ","Female","31","0.0908260961150246","0.0632120382612052","0.118440153968844"
"Min 1x per month","1990","Couple + C. LE 16 ","Male","128","0.0792126393857319","0.0665628896121291","0.0918623891593348"
"Min 1x per month","1990","Couple + C. LE 16 ","Female","188","0.12210514405478","0.106899515979328","0.137310772130232"
"Min 1x per month","1990","Couple + C. GT 16 ","Male","126","0.0836262358730654","0.0699547597004434","0.0972977120456875"
"Min 1x per month","1990","Couple + C. GT 16 ","Female","137","0.116033691374488","0.0984818482153915","0.133585534533584"
"Min 1x per month","1990","Couple + C. LE and GT 16","Male","63","0.107883878071852","0.0834641279902883","0.132303628153417"
"Min 1x per month","1990","Couple + C. LE and GT 16","Female","71","0.133902219008105","0.10604296424466","0.16176147377155"
"Rarely","1990","1-pers.-HH","Male","118","0.252838275751973","0.215190282815654","0.290486268688292"
"Rarely","1990","1-pers.-HH","Female","178","0.197783171292515","0.171067892673138","0.224498449911893"
"Rarely","1990","(Married) couple without C. ","Male","418","0.270605305033358","0.248917528704127","0.292293081362588"
"Rarely","1990","(Married) couple without C. ","Female","445","0.300584201066049","0.278284149222876","0.322884252909223"
"Rarely","1990","Single parent ","Male","53","0.26948935789037","0.212640172531168","0.326338543249572"
"Rarely","1990","Single parent ","Female","111","0.280126267432553","0.236973713261209","0.323278821603897"
"Rarely","1990","Couple + C. LE 16 ","Male","456","0.297865819354678","0.276445526175897","0.319286112533458"
"Rarely","1990","Couple + C. LE 16 ","Female","485","0.315437186444916","0.293855805616127","0.337018567273704"
"Rarely","1990","Couple + C. GT 16 ","Male","448","0.315146374844021","0.292202706863703","0.338090042824339"
"Rarely","1990","Couple + C. GT 16 ","Female","402","0.350214756311681","0.32407118210911","0.376358330514251"
"Rarely","1990","Couple + C. LE and GT 16","Male","168","0.313243721210755","0.276735157056","0.349752285365511"
"Rarely","1990","Couple + C. LE and GT 16","Female","145","0.272239574581547","0.235826110904857","0.308653038258237"
"Never","1990","1-pers.-HH","Male","312","0.589666403718264","0.547059022586612","0.632273784849916"
