"pli0098_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Not Employed","no migration background","25","","","","1"
"Daily","1990","Not Employed","direct migration background","13","","","","1"
"Daily","1990","Not Employed","indirect migration background","","","","","1"
"Daily","1990","Employed","no migration background","18","","","","1"
"Daily","1990","Employed","direct migration background","23","","","","1"
"Daily","1990","Employed","indirect migration background","","","","","1"
"Min 1x per month","1990","Not Employed","direct migration background","99","0.116060918858748","0.0937398997462099","0.138381937971286","3"
"Min 1x per month","1990","Not Employed","no migration background","327","0.140882511960565","0.1269812219872","0.154783801933931","3"
"Min 1x per month","1990","Not Employed","indirect migration background","12","","","","3"
"Min 1x per month","1990","Employed","no migration background","437","0.0987289471967914","0.0897480943786088","0.107709800014974","3"
"Min 1x per month","1990","Employed","direct migration background","238","0.121359177159509","0.105949428984772","0.136768925334247","3"
"Min 1x per month","1990","Employed","indirect migration background","19","","","","3"
"Min 1x per week","1990","Not Employed","direct migration background","174","0.21020495099705","0.181810170016463","0.238599731977637","2"
"Min 1x per week","1990","Not Employed","no migration background","473","0.199517491760346","0.183548897327367","0.215486086193325","2"
"Min 1x per week","1990","Not Employed","indirect migration background","15","","","","2"
"Min 1x per week","1990","Employed","no migration background","468","0.104745208295456","0.0955256943771706","0.113964722213741","2"
"Min 1x per week","1990","Employed","direct migration background","239","0.123873392103356","0.108327129783967","0.139419654422746","2"
"Min 1x per week","1990","Employed","indirect migration background","17","","","","2"
"Never","1990","Not Employed","no migration background","851","0.361328981178239","0.342133885442309","0.38052407691417","5"
"Never","1990","Not Employed","direct migration background","339","0.428607229925084","0.394120106920779","0.463094352929388","5"
"Never","1990","Not Employed","indirect migration background","58","0.479802138257526","0.389661120291912","0.569943156223141","5"
"Never","1990","Employed","no migration background","1843","0.448926772224746","0.433952006936784","0.463901537512709","5"
"Never","1990","Employed","direct migration background","737","0.456048216954958","0.432544360575365","0.47955207333455","5"
"Never","1990","Employed","indirect migration background","71","0.362927150128566","0.291685602646342","0.43416869761079","5"
"Rarely","1990","Not Employed","direct migration background","166","0.230646138075373","0.201290196685077","0.260002079465669","4"
"Rarely","1990","Not Employed","indirect migration background","33","0.236950571478886","0.160229916238149","0.313671226719622","4"
