"pli0098_h","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","1-pers.-HH","3","","",""
"Daily","1990","Full Time","(Married) couple without C. ","4","","",""
"Daily","1990","Full Time","Single parent ","1","","",""
"Daily","1990","Full Time","Couple + C. LE 16 ","6","","",""
"Daily","1990","Full Time","Couple + C. GT 16 ","5","","",""
"Daily","1990","Full Time","Couple + C. LE and GT 16","9","","",""
"Daily","1990","Part Time","1-pers.-HH","2","","",""
"Daily","1990","Part Time","(Married) couple without C. ","1","","",""
"Daily","1990","Part Time","Single parent ","","","",""
"Daily","1990","Part Time","Couple + C. LE 16 ","1","","",""
"Daily","1990","Part Time","Couple + C. GT 16 ","4","","",""
"Daily","1990","Part Time","Couple + C. LE and GT 16","1","","",""
"Daily","1990","Not Working","1-pers.-HH","9","","",""
"Daily","1990","Not Working","(Married) couple without C. ","8","","",""
"Daily","1990","Not Working","Single parent ","1","","",""
"Daily","1990","Not Working","Couple + C. LE 16 ","5","","",""
"Daily","1990","Not Working","Couple + C. GT 16 ","7","","",""
"Daily","1990","Not Working","Couple + C. LE and GT 16","3","","",""
"Min 1x per week","1990","Full Time","1-pers.-HH","34","0.0700547527450791","0.0457312901659117","0.0943782153242464"
"Min 1x per week","1990","Full Time","(Married) couple without C. ","85","0.0761630760801126","0.0601186813696983","0.0922074707905268"
"Min 1x per week","1990","Full Time","Single parent ","18","","",""
"Min 1x per week","1990","Full Time","Couple + C. LE 16 ","120","0.0968090299295923","0.0791655155268956","0.114452544332289"
"Min 1x per week","1990","Full Time","Couple + C. GT 16 ","150","0.155559954715428","0.132844994639342","0.178274914791513"
"Min 1x per week","1990","Full Time","Couple + C. LE and GT 16","60","0.153964599248814","0.118901072809951","0.189028125687677"
"Min 1x per week","1990","Part Time","1-pers.-HH","14","","",""
"Min 1x per week","1990","Part Time","(Married) couple without C. ","29","","",""
"Min 1x per week","1990","Part Time","Single parent ","6","","",""
"Min 1x per week","1990","Part Time","Couple + C. LE 16 ","55","0.109513153088783","0.0816345205192745","0.137391785658291"
"Min 1x per week","1990","Part Time","Couple + C. GT 16 ","57","0.135394797679684","0.102555793835957","0.168233801523411"
