"pli0098_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","in school","","","",""
"Daily","1990","16-34 y.","inadequately","","","",""
"Daily","1990","16-34 y.","general elemantary","","","",""
"Daily","1990","16-34 y.","middle vocational","","","",""
"Daily","1990","16-34 y.","vocational + Abi","","","",""
"Daily","1990","16-34 y.","higher vocational","","","",""
"Daily","1990","16-34 y.","higher education","","","",""
"Daily","1990","35-65 y.","in school","","","",""
"Daily","1990","35-65 y.","inadequately","","","",""
"Daily","1990","35-65 y.","general elemantary","","","",""
"Daily","1990","35-65 y.","middle vocational","","","",""
"Daily","1990","35-65 y.","vocational + Abi","","","",""
"Daily","1990","35-65 y.","higher vocational","","","",""
"Daily","1990","35-65 y.","higher education","","","",""
"Daily","1990","66 and older","in school","","","",""
"Daily","1990","66 and older","inadequately","","","",""
"Daily","1990","66 and older","general elemantary","","","",""
"Daily","1990","66 and older","middle vocational","","","",""
"Daily","1990","66 and older","vocational + Abi","","","",""
"Daily","1990","66 and older","higher vocational","","","",""
"Daily","1990","66 and older","higher education","","","",""
"Min 1x per week","1990","16-34 y.","in school","34","0.180798826854959","0.126076522477805","0.235521131232112"
"Min 1x per week","1990","16-34 y.","inadequately","","","",""
"Min 1x per week","1990","16-34 y.","general elemantary","107","0.0803615731504238","0.0644405178972784","0.0962826284035693"
"Min 1x per week","1990","16-34 y.","middle vocational","208","0.0738756083674691","0.0641313173798491","0.0836198993550891"
"Min 1x per week","1990","16-34 y.","vocational + Abi","","","",""
"Min 1x per week","1990","16-34 y.","higher vocational","","","",""
"Min 1x per week","1990","16-34 y.","higher education","","","",""
"Min 1x per week","1990","35-65 y.","in school","","","",""
"Min 1x per week","1990","35-65 y.","inadequately","94","0.174449994064776","0.13973245601243","0.209167532117123"
"Min 1x per week","1990","35-65 y.","general elemantary","212","0.160200812082428","0.140517858965356","0.1798837651995"
"Min 1x per week","1990","35-65 y.","middle vocational","363","0.113212820278445","0.102804501148859","0.123621139408031"
"Min 1x per week","1990","35-65 y.","vocational + Abi","","","",""
"Min 1x per week","1990","35-65 y.","higher vocational","55","0.15397885755632","0.120594265383796","0.187363449728843"
"Min 1x per week","1990","35-65 y.","higher education","92","0.106026472779976","0.0874134795603963","0.124639465999556"
"Min 1x per week","1990","66 and older","in school","","","",""
"Min 1x per week","1990","66 and older","inadequately","","","",""
"Min 1x per week","1990","66 and older","general elemantary","123","0.249407352521434","0.212255026554447","0.286559678488422"
"Min 1x per week","1990","66 and older","middle vocational","104","0.168215916704207","0.140525599667901","0.195906233740513"
"Min 1x per week","1990","66 and older","vocational + Abi","","","",""
"Min 1x per week","1990","66 and older","higher vocational","","","",""
"Min 1x per week","1990","66 and older","higher education","","","",""
"Min 1x per month","1990","16-34 y.","in school","","","",""
"Min 1x per month","1990","16-34 y.","inadequately","","","",""
"Min 1x per month","1990","16-34 y.","general elemantary","89","0.0680866928525505","0.0533344532920264","0.0828389324130746"
